rank	yeast_gene	cosine
1	YER125W	0.98056
2	YHR030C	0.97684
3	YER020W	0.97319
4	YNL288W	0.97212
5	YER166W	0.97064
6	YDR328C	0.97036
7	YNL098C	0.96946
8	YHR005C	0.96927
9	YDL160C	0.96924
10	YDR093W	0.9691
11	YNL093W	0.96908
12	YHL003C	0.96907
13	YGR281W	0.96889
14	YGL201C	0.96815
15	YOL075C	0.96787
16	YGR152C	0.96744
17	YER190W	0.9672
18	YAL026C	0.96687
19	YDR040C	0.96668
20	YER089C	0.96648
21	YGL120C	0.96628
22	YGL163C	0.96626
23	YDR039C	0.96607
24	YIR026C	0.96602
25	YHR135C	0.96579
26	YKL145W	0.96567
27	YBR202W	0.96548
28	YCR048W	0.96544
29	YPL203W	0.96536
30	YDR038C	0.96515
31	YPL119C	0.96508
32	YLR467W	0.96483
33	YDR545W	0.96483
34	YOR396W	0.96483
35	YLR168C	0.96466
36	YNL339C	0.96462
37	YGR296W	0.9646
38	YPL283C	0.9646
39	YDL018C	0.96454
40	YNL154C	0.96416
41	YJL164C	0.96403
42	YJL225C	0.96391
43	YIL177C	0.96385
44	YER026C	0.96341
45	YDL134C	0.96331
46	YDL188C	0.96307
47	YNL307C	0.96276
48	YPL031C	0.96268
49	YOR358W	0.96264
50	YOR101W	0.96251
51	YLL067C	0.9625
52	YFR014C	0.96238
53	YPL042C	0.96238
54	YLR466W	0.96225
55	YOR117W	0.96216
56	YDR456W	0.96207
57	YBR080C	0.96174
58	YBR241C	0.9616
59	YDL001W	0.96156
60	YFR051C	0.96151
61	YDL007W	0.9615
62	YDR135C	0.96149
63	YLL066C	0.96149
64	YEL032W	0.96141
65	YOR089C	0.96137
66	YKL166C	0.9613
67	YBL105C	0.96127
68	YKL078W	0.96097
69	YML133C	0.9609
70	YMR054W	0.96084
71	YNL095C	0.96081
72	YLR397C	0.96074
73	YDL097C	0.96069
74	YMR089C	0.9605
75	YGR138C	0.96041
76	YGR092W	0.95984
77	YBL023C	0.95978
78	YHR110W	0.95969
79	YOR204W	0.95968
80	YNL312W	0.95966
81	YKR014C	0.95961
82	YDR196C	0.95956
83	YOR087W	0.95944
84	YOL122C	0.95936
85	YHR107C	0.95924
86	YOL016C	0.95923
87	YOR326W	0.95914
88	YDR177W	0.95902
89	YGL002W	0.95886
90	YBR038W	0.95886
91	YDR373W	0.95867
92	YEL077C	0.95841
93	YDR074W	0.95841
94	YIL001W	0.95795
95	YMR080C	0.95778
96	YNR011C	0.95774
97	YJR001W	0.95758
98	YER017C	0.95758
99	YOR048C	0.95753
100	YPL051W	0.95746
101	YNR032W	0.95744
102	YDL230W	0.9574
103	YPL221W	0.9574
104	YFR015C	0.95738
105	YLR398C	0.95737
106	YHR175W	0.95735
107	YER159C	0.95732
108	YKL039W	0.95727
109	YBR187W	0.9572
110	YGL130W	0.95716
111	YCR009C	0.95715
112	YMR034C	0.95709
113	YBL021C	0.95683
114	YKR002W	0.95679
115	YBR295W	0.95659
116	YDL029W	0.9565
117	YPR024W	0.95649
118	YDR375C	0.95647
119	YCL011C	0.95644
120	YLR113W	0.95628
121	YOR084W	0.95624
122	YDR490C	0.95612
123	YKL135C	0.95611
124	YBR112C	0.95611
125	YGL167C	0.95596
126	YJR049C	0.95594
127	YPR019W	0.95592
128	YGL208W	0.95592
129	YDL108W	0.95574
130	YLR019W	0.95571
131	YOL062C	0.95566
132	YPL204W	0.95565
133	YOR036W	0.95558
134	YOR270C	0.95548
135	YPL213W	0.95542
136	YPL015C	0.95529
137	YFR009W	0.95528
138	YHL017W	0.95526
139	YLR170C	0.95523
140	YCL010C	0.95518
141	YGL058W	0.95516
142	YDR394W	0.95515
143	YDR411C	0.95508
144	YLR268W	0.95506
145	YLR411W	0.95499
146	YGR123C	0.95498
147	YHR065C	0.95497
148	YGL006W	0.95494
149	YOL018C	0.95493
150	YER133W	0.95487
151	YPR103W	0.95479
152	YJL198W	0.95476
153	YDL102W	0.95473
154	YFR028C	0.95472
155	YIL109C	0.95466
156	YKL146W	0.95459
157	YDR092W	0.95458
158	YJR058C	0.95455
159	YDL132W	0.95454
160	YOR304W	0.95453
161	YDR258C	0.95443
162	YER019W	0.95439
163	YNR019W	0.95437
164	YMR183C	0.95431
165	YOR197W	0.95431
166	YOR339C	0.95427
167	YER013W	0.95415
168	YGR100W	0.95412
169	YLR326W	0.95412
170	YOR257W	0.95407
171	YLR005W	0.95406
172	YGR218W	0.95403
173	YDL057W	0.95402
174	YNR003C	0.95391
175	YBR236C	0.9539
176	YOR092W	0.95389
177	YBR245C	0.95389
178	YML068W	0.95388
179	YDR313C	0.9538
180	YOR273C	0.9538
181	YDR167W	0.95379
182	YGL200C	0.95379
183	YDL128W	0.95374
184	YOL084W	0.95356
185	YMR109W	0.95355
186	YML077W	0.95351
187	YKL190W	0.95346
188	YJR124C	0.95345
189	YBR023C	0.95331
190	YHR132C	0.95331
191	YBR043C	0.95323
192	YMR224C	0.95323
193	YPL226W	0.9532
194	YKL104C	0.95317
195	YOR362C	0.95304
196	YDR468C	0.95299
197	YGL212W	0.95298
198	YLR008C	0.95297
199	YLL028W	0.95292
200	YHR218W	0.95291
201	YGL139W	0.95286
202	YER145C	0.95283
203	YDL222C	0.95282
204	YPL199C	0.9528
205	YOL103W	0.95277
206	YFR018C	0.95266
207	YDL100C	0.95264
208	YNL161W	0.95262
209	YLL026W	0.9526
210	YPL153C	0.95255
211	YJR084W	0.95254
212	YNL113W	0.9525
213	YNL024C	0.95248
214	YGR040W	0.95248
215	YBR264C	0.95246
216	YHR032W	0.95246
217	YCR051W	0.95241
218	YPR173C	0.95234
219	YFR031C	0.95231
220	YDR084C	0.9523
221	YNL112W	0.9523
222	YPL245W	0.95227
223	YLR138W	0.95225
224	YLR234W	0.95221
225	YDR508C	0.9522
226	YAL021C	0.95219
227	YGR029W	0.95219
228	YBR235W	0.95205
229	YMR197C	0.95202
230	YBL057C	0.95197
231	YPR111W	0.95194
232	YMR288W	0.95188
233	YPR034W	0.95185
234	YKL129C	0.95179
235	YAR007C	0.95169
236	YER143W	0.95161
237	YNL323W	0.95152
238	YHR200W	0.95143
239	YAR035W	0.95135
240	YPL122C	0.95134
241	YML018C	0.95134
242	YFL038C	0.95132
243	YIL121W	0.95129
244	YAR002C-A	0.95125
245	YOL132W	0.9512
246	YML057W	0.95115
247	YGR048W	0.95115
248	YDR185C	0.95114
249	YPR204W	0.95109
250	YCR011C	0.95107
251	YBL050W	0.95105
252	YNL111C	0.95104
253	YNL125C	0.95099
254	YDR397C	0.95098
255	YDR436W	0.95094
256	YPL017C	0.95091
257	YBL111C	0.95089
258	YPL169C	0.95079
259	YFL028C	0.95077
260	YOL021C	0.95076
261	YCL036W	0.95062
262	YJL024C	0.95055
263	YIL120W	0.9505
264	YGL181W	0.95045
265	YGL020C	0.95026
266	YKR018C	0.95024
267	YMR285C	0.95022
268	YKR053C	0.95019
269	YOR094W	0.95017
270	YBR160W	0.95016
271	YCR027C	0.95013
272	YGL044C	0.95012
273	YKR050W	0.95009
274	YGR271W	0.95009
275	YDR264C	0.95
276	YOR381W	0.94999
277	YGL087C	0.94993
278	YOL065C	0.94991
279	YEL031W	0.94984
280	YDL087C	0.94983
281	YDR404C	0.94983
282	YAL019W	0.94983
283	YPL232W	0.94981
284	YPR156C	0.9497
285	YOR034C	0.94969
286	YDL047W	0.9496
287	YOL038W	0.94959
288	YGL210W	0.94956
289	YKR088C	0.94956
290	YJL094C	0.94954
291	YLR216C	0.94953
292	YNL281W	0.94953
293	YGR065C	0.94951
294	YPR113W	0.94945
295	YPL151C	0.94942
296	YOR165W	0.94936
297	YHR031C	0.94935
298	YGR197C	0.9493
299	YKL217W	0.9493
300	YIR002C	0.94908
301	YLR399C	0.94906
302	YLR258W	0.94903
303	YBR073W	0.949
304	YDL164C	0.94899
305	YER119C	0.94899
306	YJL065C	0.94894
307	YJR072C	0.94892
308	YGL242C	0.94885
309	YOR292C	0.94878
310	YAL022C	0.94873
311	YLR410W	0.94866
312	YCL040W	0.94861
313	YFL042C	0.9486
314	YMR210W	0.94859
315	YER176W	0.94857
316	YDR516C	0.94854
317	YIL106W	0.94846
318	YCR059C	0.94845
319	YBL091C-A	0.94843
320	YLR072W	0.94842
321	YNR052C	0.94841
322	YNR048W	0.94835
323	YNL223W	0.94834
324	YLR130C	0.94829
325	YNL007C	0.94828
326	YML001W	0.94825
327	YER031C	0.94825
328	YPL259C	0.94824
329	YAL042W	0.94823
330	YLR188W	0.94822
331	YJL196C	0.94817
332	YGR032W	0.94812
333	YLR078C	0.94811
334	YNR055C	0.94806
335	YFL016C	0.94802
336	YFL005W	0.94801
337	YGR007W	0.94799
338	YPL046C	0.94792
339	YKL181W	0.9479
340	YNL090W	0.94789
341	YOR250C	0.94784
342	YFR004W	0.94784
343	YAL053W	0.94781
344	YLR262C	0.94781
345	YOR261C	0.94776
346	YNL189W	0.94768
347	YNL243W	0.94767
348	YHR050W	0.94764
349	YGL047W	0.94764
350	YHR013C	0.94761
351	YCR068W	0.94758
352	YDR075W	0.94757
353	YEL041W	0.94756
354	YHL050C	0.94753
355	YER090W	0.94752
356	YKL022C	0.94749
357	YJR129C	0.94749
358	YML010W	0.94746
359	YJL035C	0.94739
360	YIL068C	0.94737
361	YLR108C	0.94732
362	YKL008C	0.94717
363	YPL092W	0.94717
364	YGL017W	0.94712
365	YLR291C	0.94711
366	YOR155C	0.947
367	YKL059C	0.947
368	YOL080C	0.94696
369	YLR277C	0.94694
370	YHR108W	0.94693
371	YDR243C	0.94692
372	YBR164C	0.94686
373	YDL110C	0.94684
374	YDL166C	0.94683
375	YLR137W	0.94682
376	YAL007C	0.94678
377	YBR254C	0.94678
378	YJL124C	0.94678
379	YMR308C	0.94677
380	YPR188C	0.94676
381	YJR125C	0.94669
382	YLR347C	0.94669
383	YGR163W	0.94668
384	YPL006W	0.94668
385	YAL029C	0.94664
386	YLR383W	0.94663
387	YBR243C	0.94658
388	YOR283W	0.94655
389	YHR040W	0.94654
390	YJR017C	0.94652
391	YOL125W	0.94651
392	YDR519W	0.94647
393	YPR082C	0.94647
394	YIR028W	0.94645
395	YMR214W	0.9464
396	YFL034W	0.94637
397	YJL134W	0.94637
398	YOL006C	0.94637
399	YPL058C	0.94636
400	YLL034C	0.94629
401	YPR088C	0.94627
402	YER027C	0.9462
403	YIR022W	0.94613
404	YCR061W	0.9461
405	YLR342W	0.94602
406	YDL126C	0.94601
407	YDR021W	0.94598
408	YPL218W	0.94597
409	YOL130W	0.94594
410	YML021C	0.94591
411	YJR074W	0.9459
412	YKR026C	0.94588
413	YML065W	0.94588
414	YBR170C	0.94584
415	YLL043W	0.94582
416	YDL052C	0.9458
417	YHR190W	0.94576
418	YOR161C	0.94574
419	YLR026C	0.94571
420	YBL007C	0.94571
421	YLR152C	0.94562
422	YOR172W	0.9456
423	YDR497C	0.9456
424	YMR180C	0.94557
425	YEL064C	0.94556
426	YPL094C	0.94547
427	YGL048C	0.94546
428	YML124C	0.94543
429	YHR012W	0.94537
430	YLR055C	0.94534
431	YMR263W	0.94532
432	YHL047C	0.94528
433	YAR018C	0.94528
434	YGR172C	0.94528
435	YBL016W	0.94523
436	YFR024C-A	0.94516
437	YDL064W	0.94504
438	YNL207W	0.94504
439	YNR060W	0.94503
440	YDR238C	0.94501
441	YMR138W	0.94499
442	YBR034C	0.94496
443	YIL047C	0.94492
444	YJR132W	0.94491
445	YJL050W	0.94489
446	YJL030W	0.94486
447	YER100W	0.94474
448	YDL212W	0.94473
449	YLL008W	0.94464
450	YKL220C	0.94462
451	YBR223C	0.94461
452	YNL102W	0.94453
453	YKL027W	0.94452
454	YNL275W	0.94452
455	YOR380W	0.94449
456	YBR029C	0.94447
457	YMR266W	0.94446
458	YDR051C	0.94439
459	YMR015C	0.94438
460	YLR092W	0.94436
461	YKL126W	0.94436
462	YKR068C	0.94436
463	YNL290W	0.94434
464	YPR161C	0.94429
465	YML012W	0.94425
466	YJL033W	0.94423
467	YIL126W	0.94421
468	YGL043W	0.94413
469	YDL155W	0.94411
470	YCR106W	0.94411
471	YLR220W	0.9441
472	YML085C	0.9441
473	YML102W	0.94406
474	YIL021W	0.944
475	YAL016W	0.94398
476	YLR213C	0.94398
477	YGL063W	0.94395
478	YFL037W	0.94392
479	YLR126C	0.94392
480	YOR185C	0.9439
481	YDR270W	0.94389
482	YML035C	0.94388
483	YDR297W	0.94388
484	YML101C	0.94388
485	YER171W	0.94383
486	YOL073C	0.94383
487	YCL025C	0.94376
488	YPL244C	0.94372
489	YGR028W	0.9437
490	YNL061W	0.94369
491	YMR020W	0.94369
492	YDR388W	0.94366
493	YGR276C	0.94365
494	YIL065C	0.94364
495	YDR214W	0.94361
496	YBR228W	0.9436
497	YGR055W	0.9436
498	YKR084C	0.94354
499	YGR105W	0.94352
500	YLL023C	0.94352
501	YGR211W	0.9435
502	YIL118W	0.94349
503	YOL067C	0.94349
504	YGL100W	0.94346
505	YOR162C	0.94346
506	YLR181C	0.94344
507	YGL171W	0.94342
508	YLR241W	0.9434
509	YAR042W	0.94337
510	YJL082W	0.94336
511	YNL194C	0.94334
512	YOL009C	0.94332
513	YOL112W	0.94324
514	YBR155W	0.94323
515	YDR120C	0.94323
516	YDL006W	0.94321
517	YCR037C	0.94317
518	YJL208C	0.94317
519	YJL128C	0.94316
520	YGL099W	0.94315
521	YJR015W	0.94312
522	YGL095C	0.94306
523	YAL039C	0.94306
524	YCR069W	0.94303
525	YBR204C	0.94301
526	YMR290C	0.94299
527	YGR224W	0.94298
528	YPL246C	0.94298
529	YNR020C	0.94296
530	YPL206C	0.94291
531	YER164W	0.9429
532	YDR392W	0.94289
533	YPR183W	0.94289
534	YBL011W	0.94289
535	YLR099C	0.94285
536	YFL008W	0.94284
537	YLR059C	0.94284
538	YKL028W	0.94283
539	YBR126C	0.94282
540	YMR101C	0.94277
541	YGR004W	0.94271
542	YML067C	0.94269
543	YNL072W	0.94269
544	YFR038W	0.94269
545	YBL102W	0.94266
546	YHR161C	0.94258
547	YER165W	0.94254
548	YOR157C	0.94251
549	YER036C	0.94251
550	YDL190C	0.94246
551	YPL175W	0.94229
552	YDR358W	0.94228
553	YLR034C	0.94227
554	YMR161W	0.94223
555	YHR034C	0.9422
556	YAL023C	0.9422
557	YOL158C	0.94217
558	YMR272C	0.94217
559	YPR192W	0.94216
560	YOR259C	0.94215
561	YOR213C	0.94214
562	YPL010W	0.94199
563	YNL021W	0.94188
564	YIL143C	0.94186
565	YMR277W	0.94182
566	YIL155C	0.94181
567	YHL040C	0.9418
568	YKR001C	0.9418
569	YBR169C	0.94179
570	YHR027C	0.94175
571	YNL326C	0.94172
572	YLR438C-A	0.9417
573	YMR123W	0.94169
574	YPL170W	0.94167
575	YLL029W	0.94161
576	YGR246C	0.9416
577	YMR079W	0.94159
578	YMR319C	0.94157
579	YEL058W	0.94154
580	YGR267C	0.94152
581	YGL240W	0.94149
582	YDL123W	0.94148
583	YGL220W	0.94144
584	YBR296C	0.94144
585	YIR008C	0.94139
586	YJL055W	0.94138
587	YBL056W	0.94136
588	YOR317W	0.94135
589	YDR530C	0.94132
590	YPR120C	0.94131
591	YHL002W	0.94129
592	YJR032W	0.94124
593	YLR276C	0.9412
594	YBL113C	0.94119
595	YNR002C	0.94117
596	YKL191W	0.94116
597	YMR162C	0.94114
598	YML069W	0.94113
