rank	yeast_gene	cosine
1	YDR093W	0.98393
2	YOR087W	0.98292
3	YGL163C	0.98182
4	YGL201C	0.98143
5	YIR026C	0.98127
6	YKL078W	0.98107
7	YER166W	0.98075
8	YAL026C	0.98016
9	YBR202W	0.97981
10	YDL007W	0.97964
11	YER125W	0.9787
12	YPR019W	0.97863
13	YOL016C	0.97834
14	YLR398C	0.97832
15	YMR054W	0.97832
16	YHR005C	0.97827
17	YNR011C	0.97811
18	YKL135C	0.97806
19	YNL095C	0.97789
20	YIL001W	0.97695
21	YDR264C	0.97677
22	YMR288W	0.97675
23	YBR080C	0.9766
24	YBR023C	0.97657
25	YGR092W	0.97649
26	YPL221W	0.97649
27	YEL032W	0.97645
28	YHL003C	0.97585
29	YOL062C	0.97579
30	YDR135C	0.97575
31	YDR039C	0.97569
32	YOR034C	0.97557
33	YKL039W	0.97556
34	YDR038C	0.97546
35	YOL075C	0.97545
36	YBR038W	0.97541
37	YHR030C	0.97538
38	YBR235W	0.97533
39	YDR040C	0.9751
40	YGL130W	0.97488
41	YJL198W	0.97482
42	YBL023C	0.9747
43	YOL122C	0.97451
44	YGR281W	0.9745
45	YGR271W	0.9745
46	YNR019W	0.9745
47	YER013W	0.97443
48	YBR236C	0.97439
49	YBR245C	0.97435
50	YOR165W	0.97433
51	YBR295W	0.97422
52	YDL018C	0.97421
53	YGR296W	0.9742
54	YDR545W	0.97419
55	YOR396W	0.97419
56	YLR467W	0.97419
57	YPL283C	0.97419
58	YNL339C	0.97418
59	YDL160C	0.97418
60	YOR048C	0.97416
61	YNL288W	0.97401
62	YOR326W	0.97393
63	YPL042C	0.97376
64	YGR100W	0.97371
65	YER020W	0.97371
66	YDL001W	0.97357
67	YLR410W	0.97353
68	YBL105C	0.97351
69	YGL120C	0.97345
70	YHL017W	0.97341
71	YMR080C	0.97339
72	YOR304W	0.97332
73	YLR411W	0.97324
74	YGL006W	0.97301
75	YGL139W	0.973
76	YML068W	0.97298
77	YJL225C	0.97291
78	YIL177C	0.97275
79	YDR074W	0.97274
80	YBR073W	0.97271
81	YOR358W	0.97268
82	YPR111W	0.97254
83	YPL122C	0.97244
84	YOR250C	0.9724
85	YER190W	0.97237
86	YLR138W	0.97232
87	YAL029C	0.97226
88	YML133C	0.97223
89	YPL213W	0.97221
90	YCR048W	0.97208
91	YLR397C	0.97198
92	YLL066C	0.97198
93	YJR001W	0.97193
94	YOR155C	0.9719
95	YKL145W	0.9719
96	YFR015C	0.97185
97	YDL102W	0.97185
98	YER089C	0.97171
99	YDR456W	0.97165
100	YPR024W	0.97151
101	YIR002C	0.97136
102	YNL093W	0.97133
103	YKL181W	0.97133
104	YOR339C	0.97125
105	YCR011C	0.97122
106	YKL022C	0.97122
107	YMR089C	0.97121
108	YNL223W	0.97119
109	YGR029W	0.97109
110	YER176W	0.97086
111	YHR107C	0.97084
112	YLR152C	0.97084
113	YNL312W	0.97078
114	YDR243C	0.9707
115	YLL067C	0.97069
116	YGR152C	0.97062
117	YOR117W	0.97056
118	YGR004W	0.97035
119	YNL307C	0.97023
120	YDL188C	0.97014
121	YER164W	0.97013
122	YCR037C	0.97013
123	YDR490C	0.9701
124	YER145C	0.97009
125	YOR092W	0.97008
126	YFR014C	0.97002
127	YGL002W	0.96999
128	YIL068C	0.96996
129	YIL103W	0.96987
130	YLR005W	0.96986
131	YFR028C	0.96975
132	YOR172W	0.96973
133	YOL080C	0.96968
134	YNR032W	0.96962
135	YPL204W	0.96953
136	YNL207W	0.96939
137	YDL057W	0.96937
138	YOR101W	0.96932
139	YER026C	0.96929
140	YHR031C	0.96929
141	YOL065C	0.96924
142	YKR018C	0.96908
143	YKR050W	0.96906
144	YEL041W	0.96902
145	YKR026C	0.96895
146	YDR375C	0.96889
147	YGL017W	0.96878
148	YHR132C	0.96876
149	YML035C	0.96868
150	YDL230W	0.96867
151	YMR084W	0.96865
152	YKL166C	0.96861
153	YMR162C	0.96859
154	YKL104C	0.96858
155	YML077W	0.96855
156	YPL015C	0.96847
157	YER019W	0.96846
158	YJR072C	0.96843
159	YFL034W	0.9684
160	YFR051C	0.96836
161	YKR017C	0.96835
162	YPL051W	0.96822
163	YDL132W	0.96815
164	YOL125W	0.96798
165	YJR049C	0.96794
166	YER017C	0.96791
167	YJL094C	0.9679
168	YOL084W	0.9678
169	YNL243W	0.96778
170	YBR223C	0.96777
171	YGL240W	0.96773
172	YDR313C	0.96768
173	YJL082W	0.96767
174	YBR264C	0.96755
175	YGL167C	0.96753
176	YPL206C	0.96752
177	YLR170C	0.9675
178	YIL047C	0.96743
179	YLR108C	0.96742
180	YBL111C	0.96731
181	YNR048W	0.96731
182	YCR068W	0.96729
183	YAL021C	0.96727
184	YLR189C	0.96721
185	YHR135C	0.96719
186	YAL022C	0.96719
187	YOL130W	0.96716
188	YOR261C	0.96708
189	YGR276C	0.96708
190	YBL057C	0.96706
191	YGL208W	0.96704
192	YBR029C	0.96701
193	YOR162C	0.96698
194	YFL028C	0.96697
195	YBR170C	0.9668
196	YAL053W	0.96679
197	YNL154C	0.96671
198	YGL171W	0.96671
199	YOL112W	0.96658
200	YMR224C	0.96658
201	YDR516C	0.96658
202	YLR241W	0.96655
203	YJR084W	0.96655
204	YNL102W	0.96654
205	YJR032W	0.96653
206	YFL004W	0.96652
207	YNR003C	0.96647
208	YDR051C	0.9664
209	YFR031C	0.96639
210	YML065W	0.96639
211	YLR447C	0.96636
212	YMR196W	0.96636
213	YDR177W	0.96633
214	YHR218W	0.9663
215	YGR007W	0.96625
216	YER100W	0.96621
217	YLR324W	0.96619
218	YLR466W	0.96616
219	YCR027C	0.96606
220	YPL226W	0.96604
221	YKR002W	0.96602
222	YKR084C	0.96594
223	YBL011W	0.96591
224	YLR268W	0.9659
225	YFR021W	0.96586
226	YIL126W	0.96576
227	YCL010C	0.96576
228	YPR103W	0.96574
229	YKR088C	0.96565
230	YLR386W	0.96564
231	YPL175W	0.96561
232	YDR258C	0.96549
233	YDR328C	0.96544
234	YOR384W	0.9654
235	YHR050W	0.96538
236	YMR285C	0.96534
237	YGR048W	0.96528
238	YHR034C	0.96519
239	YPL151C	0.96517
240	YKL146W	0.96517
241	YHR110W	0.96514
242	YDL109C	0.96509
243	YLR099C	0.96509
244	YJL087C	0.96508
245	YHR144C	0.96507
246	YAL009W	0.96502
247	YDR394W	0.96502
248	YOL018C	0.965
249	YGR163W	0.96499
250	YDL097C	0.96492
251	YPL245W	0.96488
252	YDL193W	0.9648
253	YPL153C	0.96479
254	YDL155W	0.96477
255	YMR210W	0.96476
256	YFL050C	0.96473
257	YNL125C	0.96473
258	YDL134C	0.96471
259	YFL008W	0.96469
260	YFR038W	0.96468
261	YAL007C	0.96466
262	YJL035C	0.96454
263	YAL019W	0.96453
264	YMR101C	0.96452
265	YPL006W	0.9645
266	YIL109C	0.96443
267	YPL119C	0.96441
268	YOR270C	0.96437
269	YEL031W	0.96433
270	YNL098C	0.96431
271	YDR291W	0.96429
272	YGL190C	0.96429
273	YMR306W	0.96423
274	YPL031C	0.96418
275	YHR175W	0.96406
276	YML075C	0.96406
277	YCR069W	0.96402
278	YCR106W	0.96395
279	YDR167W	0.9639
280	YNL323W	0.96387
281	YER172C	0.96384
282	YLR137W	0.96382
283	YIL106W	0.96381
284	YMR266W	0.96373
285	YHR012W	0.96371
286	YBR220C	0.96368
287	YNL192W	0.96358
288	YFL042C	0.96357
289	YJR124C	0.96356
290	YDR191W	0.96343
291	YEL077C	0.96342
292	YGL242C	0.96338
293	YNL326C	0.96335
294	YLR277C	0.96327
295	YDR164C	0.96326
296	YDR468C	0.96323
297	YPR056W	0.96323
298	YFR009W	0.96315
299	YBR237W	0.96315
300	YMR034C	0.96311
301	YDR170C	0.96306
302	YOR016C	0.96306
303	YGL100W	0.96304
304	YIR008C	0.96302
305	YLR220W	0.963
306	YBR198C	0.96299
307	YPR034W	0.96299
308	YIL014W	0.96298
309	YNL021W	0.96297
310	YMR123W	0.96297
311	YHR190W	0.96296
312	YGL087C	0.96291
313	YDL079C	0.96288
314	YAR042W	0.96286
315	YKL098W	0.96285
316	YOR084W	0.96284
317	YPL092W	0.9628
318	YGL200C	0.9628
319	YKR068C	0.96278
320	YOR039W	0.96278
321	YLR345W	0.96275
322	YOR381W	0.96273
323	YGR197C	0.96273
324	YOL132W	0.96259
325	YKL027W	0.96258
326	YPR190C	0.96257
327	YPR120C	0.96257
328	YDL108W	0.96256
329	YMR138W	0.96255
330	YOR036W	0.96254
331	YLL034C	0.96251
332	YLR291C	0.9625
333	YNL328C	0.96248
334	YGL044C	0.96244
335	YPR023C	0.96241
336	YKR086W	0.9623
337	YGL095C	0.9623
338	YBR034C	0.9623
339	YKL161C	0.96226
340	YKR024C	0.96225
341	YHR129C	0.96219
342	YNL163C	0.96216
343	YDR196C	0.96213
344	YKR001C	0.96212
345	YGR040W	0.9621
346	YPL094C	0.96206
347	YLR092W	0.96206
348	YLR019W	0.96205
349	YKL126W	0.96202
350	YLR262C	0.96195
351	YNR029C	0.96194
