rank	yeast_gene	cosine
1	YLR249W	0.97984
2	YDL084W	0.97809
3	YNL014W	0.97767
4	YPL106C	0.97703
5	YEL066W	0.97694
6	YGL245W	0.97641
7	YGL078C	0.97575
8	YMR186W	0.97464
9	YDL229W	0.97454
10	YPL240C	0.97443
11	YNL209W	0.97439
12	YGL137W	0.97372
13	YLR293C	0.97364
14	YER036C	0.97311
15	YOR133W	0.973
16	YJL034W	0.97282
17	YMR116C	0.97252
18	YDL126C	0.97215
19	YER095W	0.97171
20	YOR185C	0.97119
21	YKL081W	0.96974
22	YCL043C	0.96933
23	YGL105W	0.96889
24	YOR020C	0.96885
25	YPR041W	0.9684
26	YAL038W	0.96833
27	YDL055C	0.9683
28	YGR207C	0.96789
29	YNL064C	0.96773
30	YIL078W	0.96694
31	YER091C	0.96693
32	YPL048W	0.96691
33	YGL211W	0.96683
34	YBR169C	0.96616
35	YJR045C	0.96581
36	YGR211W	0.96565
37	YDL064W	0.96507
38	YBL076C	0.96471
39	YOL058W	0.96467
40	YER103W	0.96458
41	YPR080W	0.96451
42	YFR053C	0.96436
43	YBR261C	0.96396
44	YDR129C	0.96393
45	YPR086W	0.9637
46	YOR224C	0.96364
47	YGL106W	0.96359
48	YPR108W	0.96348
49	YML102W	0.96347
50	YOL143C	0.96342
51	YKL060C	0.96339
52	YGR043C	0.96337
53	YMR222C	0.96326
54	YER107C	0.96316
55	YHR193C	0.9627
56	YDL022W	0.96266
57	YJR105W	0.9626
58	YGR234W	0.96242
59	YLL024C	0.96241
60	YGL097W	0.96239
61	YPR173C	0.96238
62	YBR121C	0.96227
63	YDR424C	0.96178
64	YGR253C	0.96177
65	YNL189W	0.96175
66	YHR068W	0.96173
67	YDR172W	0.96152
68	YDR086C	0.96151
69	YDR510W	0.96147
70	YOR259C	0.96145
71	YLR200W	0.9614
72	YNL067W	0.96137
73	YGL253W	0.9613
74	YGL048C	0.96126
75	YPR062W	0.96104
76	YBR252W	0.96101
77	YGR285C	0.96097
78	YOR046C	0.96092
79	YDR238C	0.96091
80	YHR064C	0.96085
81	YKL067W	0.96081
82	YNL241C	0.96077
83	YJR139C	0.96062
84	YOL139C	0.9606
85	YDL166C	0.96053
86	YOR187W	0.9604
87	YLR258W	0.96037
88	YJR063W	0.96029
89	YNL148C	0.9602
90	YOR361C	0.96016
91	YER179W	0.96014
92	YHR019C	0.96002
93	YHR169W	0.96001
94	YPR182W	0.95985
95	YBL099W	0.95968
96	YGL147C	0.95964
97	YJR121W	0.9596
98	YLR069C	0.95907
99	YOL005C	0.95901
100	YNL138W	0.95897
101	YBL091C	0.95881
102	YML028W	0.95879
103	YNR050C	0.9587
104	YAL003W	0.95867
105	YAL005C	0.9586
106	YAR073W	0.95855
107	YJR047C	0.95852
108	YGR231C	0.95828
109	YBL071W-A	0.95825
110	YDR045C	0.95807
111	YMR290C	0.95794
112	YOR375C	0.95781
113	YER120W	0.95776
114	YOR369C	0.95775
115	YFL022C	0.95766
116	YDR418W	0.95761
117	YEL054C	0.95761
118	YJR025C	0.95742
119	YEL034W	0.95739
120	YGR210C	0.95736
121	YPL218W	0.95725
122	YCL035C	0.95701
123	YBL075C	0.95694
124	YNL185C	0.95678
125	YBR109C	0.95674
126	YDR190C	0.95663
127	YFL058W	0.95641
128	YER165W	0.95629
129	YDR453C	0.95627
130	YLR340W	0.9561
131	YJL111W	0.95606
132	YER110C	0.95603
133	YOR362C	0.95602
134	YOR159C	0.95591
135	YGL070C	0.95583
136	YNL332W	0.95581
137	YDR116C	0.95578
138	YBL091C-A	0.95574
139	YDR212W	0.95569
140	YDR394W	0.95565
141	YLR354C	0.95553
142	YGL043W	0.95536
143	YMR090W	0.95513
144	YJL050W	0.95501
145	YJL030W	0.955
146	YLL018C	0.95489
147	YJR074W	0.9548
148	YFR009W	0.95478
149	YOR332W	0.9547
150	YMR146C	0.95465
151	YEL070W	0.95443
152	YNR073C	0.95443
153	YJR156C	0.95443
154	YDL244W	0.95442
155	YGR123C	0.9543
156	YMR235C	0.95411
