rank	yeast_gene	cosine
1	YAL064C-A	0.91547
2	YEL027W	0.90616
3	YER025W	0.89872
4	YFL066C	0.89799
5	YNR032C-A	0.89701
6	YPL086C	0.89646
7	YLR229C	0.88634
8	YEL026W	0.88412
9	YDR091C	0.88346
10	YNL006W	0.88239
11	YLR167W	0.87732
12	YPR016C	0.87621
13	YPR165W	0.87512
14	YER072W	0.87442
15	YFL039C	0.87001
16	YJR065C	0.86709
17	YOR378W	0.8661
18	YJL190C	0.86299
19	YEL013W	0.86098
20	YKR059W	0.85998
21	YPL266W	0.85962
22	YLR175W	0.85902
23	YBL026W	0.85744
24	YLR367W	0.8567
25	YLR359W	0.85661
26	YER069W	0.85609
27	YMR303C	0.85544
28	YHR128W	0.85369
29	YOL086C	0.85304
30	YKL218C	0.8528
31	YGL008C	0.85203
32	YPL036W	0.84977
33	YLL050C	0.84955
34	YJR007W	0.84787
35	YBR143C	0.84772
36	YGR252W	0.84747
37	YGL225W	0.84671
38	YNR053C	0.84659
39	YER177W	0.84597
40	YHR213W	0.84568
41	YAR062W	0.84568
42	YKL152C	0.84404
43	YOL094C	0.84308
44	YIL074C	0.84269
45	YER148W	0.84261
46	YER081W	0.84158
47	YER178W	0.8396
48	YIL148W	0.83953
49	YKR094C	0.83953
50	YLR044C	0.83924
51	YBL030C	0.83898
52	YLL024C	0.83802
53	YDR353W	0.8379
54	YDR343C	0.83566
55	YOR061W	0.83533
56	YAL005C	0.83518
57	YLR134W	0.83506
58	YJR148W	0.83442
59	YDR342C	0.83421
60	YDR129C	0.8339
61	YIL143C	0.83389
62	YGL255W	0.83311
63	YER009W	0.83275
64	YDL192W	0.8327
65	YMR143W	0.8315
66	YDL083C	0.8315
67	YGL091C	0.83147
68	YDR099W	0.83057
69	YNL104C	0.83026
70	YLL018C	0.83021
71	YNL244C	0.82929
72	YNL290W	0.8277
73	YCL017C	0.82766
74	YER103W	0.82764
75	YHR092C	0.82762
76	YJL213W	0.82729
77	YOR046C	0.82714
78	YBR249C	0.82706
79	YMR146C	0.82704
80	YOR293W	0.82695
81	YER039C	0.82678
82	YPR182W	0.82593
83	YLR113W	0.82586
84	YFL026W	0.8258
85	YDL168W	0.82561
86	YDL229W	0.82496
87	YNL191W	0.82489
88	YER094C	0.82471
89	YJL026W	0.82458
90	YJL050W	0.82455
91	YDR021W	0.82436
92	YNL209W	0.82406
93	YJR159W	0.82404
94	YKL196C	0.82399
95	YDL246C	0.82361
96	YEL034W	0.82347
97	YDR345C	0.82335
98	YJL108C	0.82083
99	YAL038W	0.81992
100	YHR096C	0.81964
101	YDL137W	0.81928
102	YDR540C	0.81924
103	YLR303W	0.81909
104	YPR132W	0.81883
105	YGR118W	0.81883
106	YBR085W	0.81868
107	YCR012W	0.8183
108	YFL045C	0.81827
109	YBR145W	0.818
110	YDR341C	0.81797
111	YGR210C	0.81776
112	YBL016W	0.81771
113	YOR327C	0.81764
114	YMR109W	0.81694
115	YBL075C	0.81679
116	YMR230W	0.81672
117	YMR011W	0.81671
118	YGL256W	0.81614
119	YDL006W	0.81605
120	YPR102C	0.8159
121	YHL016C	0.81559
122	YMR108W	0.8152
123	YDL055C	0.81499
124	YIL142W	0.81482
125	YGR085C	0.81436
126	YER007C-A	0.81407
127	YDR454C	0.81405
128	YKL129C	0.81321
129	YLR438W	0.81311
130	YLL039C	0.81289
131	YNL135C	0.81268
132	YMR260C	0.8122
133	YKL148C	0.81154
134	YLR081W	0.81118
135	YGR087C	0.81112
136	YDR155C	0.81103
137	YJR153W	0.81094
138	YOR257W	0.81088
139	YPR033C	0.81056
140	YHR106W	0.81043
141	YHR218W-A	0.81026
142	YBL112C	0.81026
143	YJL045W	0.8101
144	YOR108W	0.80983
145	YBR164C	0.80921
146	YHR094C	0.80889
147	YDR339C	0.80882
148	YHR018C	0.80869
149	YHR208W	0.80813
150	YPL028W	0.8081
151	YOL133W	0.80777
152	YJR047C	0.80773
153	YFL011W	0.80752
154	YDR050C	0.80615
155	YGL103W	0.80602
156	YMR290C	0.80575
157	YKL190W	0.80548
158	YDL245C	0.8053
159	YLR208W	0.80513
160	YLR340W	0.80485
161	YJL214W	0.80459
162	YNR026C	0.80446
163	YFL058W	0.80421
164	YEL042W	0.80414
165	YDR059C	0.80388
166	YFL017W-A	0.80382
167	YIL170W	0.80362
168	YPL220W	0.80359
169	YGL135W	0.80359
170	YKR042W	0.80357
171	YNL332W	0.80357
172	YNL090W	0.80326
173	YDR232W	0.80321
174	YJR158W	0.80314
175	YNL189W	0.80273
176	YER056C-A	0.80247
177	YJL014W	0.80245
178	YEL069C	0.80205
179	YDL166C	0.80176
180	YJR156C	0.80162
181	YHR174W	0.80146
182	YLR028C	0.80138
183	YIL052C	0.80136
184	YGR254W	0.80127
185	YOL156W	0.80124
186	YDL244W	0.80073
187	YJR077C	0.80064
188	YJL034W	0.80057
189	YNR072W	0.80011
190	YJL219W	0.80001
191	YER055C	0.79925
192	YDL126C	0.79919
193	YOR298C-A	0.79909
194	YGL062W	0.799
195	YPR080W	0.79896
196	YKR039W	0.79875
197	YGL210W	0.79872
198	YMR083W	0.79826
199	YMR120C	0.79821
200	YER179W	0.79809
201	YPR052C	0.79807
202	YCR047C	0.79806
203	YGL011C	0.7979
204	YEL051W	0.79789
205	YOR122C	0.79778
206	YBR082C	0.79773
207	YNL112W	0.79767
208	YPR204W	0.79725
209	YOR204W	0.79701
210	YDR226W	0.79694
211	YDL047W	0.79684
212	YBR089C-A	0.79668
213	YBR196C	0.7964
214	YCR057C	0.79633
215	YJR068W	0.79582
216	YBR252W	0.79574
217	YLR355C	0.79548
218	YJR145C	0.79541
219	YHR203C	0.79541
220	YER171W	0.79532
221	YER031C	0.79524
222	YOR153W	0.79523
223	YER052C	0.79498
224	YLR200W	0.79452
225	YCR098C	0.7941
226	YBL087C	0.79402
227	YER117W	0.79402
228	YKL024C	0.79398
229	YPR173C	0.79387
230	YBR114W	0.79359
231	YEL021W	0.79316
232	YOR347C	0.793
233	YOL151W	0.79279
234	YDL208W	0.79272
235	YKR080W	0.7927
236	YBL091C	0.79266
237	YAL030W	0.79236
238	YBR160W	0.7923
239	YDR001C	0.79212
240	YBR121C	0.792
241	YBL071W-A	0.79199
242	YCR010C	0.79192
243	YER057C	0.79163
244	YER060W-A	0.79132
245	YDR075W	0.79098
246	YDR023W	0.79071
247	YPL093W	0.79028
248	YLR172C	0.78972
249	YHR211W	0.78958
250	YIL078W	0.78948
251	YGR132C	0.7893
252	YFR044C	0.78929
253	YPL281C	0.78913
254	YOR393W	0.78913
255	YLR438C-A	0.78907
256	YJR104C	0.78896
257	YAR050W	0.78889
258	YKL033W-A	0.78881
259	YNL259C	0.7887
260	YBR154C	0.78868
261	YAL012W	0.78826
262	YJR045C	0.78796
263	YGR282C	0.78785
264	YHR007C	0.78778
265	YBR218C	0.78759
266	YDR510W	0.78717
267	YJL164C	0.7871
268	YMR246W	0.78697
269	YDL182W	0.78691
270	YOL143C	0.78687
271	YLR249W	0.78682
272	YKL146W	0.78668
273	YPL106C	0.78636
274	YKL216W	0.78623
275	YLR330W	0.78612
276	YML012W	0.78597
277	YMR323W	0.78528
278	YPR138C	0.78521
279	YDR536W	0.78506
280	YMR015C	0.78494
281	YLR147C	0.78488
282	YHR148W	0.78487
283	YML001W	0.78472
284	YGR231C	0.78471
285	YOR094W	0.78447
286	YER056C	0.78445
287	YPL234C	0.7844
288	YOR323C	0.78428
289	YDR002W	0.78422
290	YKR057W	0.78417
291	YLR293C	0.78378
292	YJL001W	0.78357
293	YER107C	0.78351
294	YNL014W	0.78324
295	YOR202W	0.78314
296	YNL241C	0.7829
297	YML008C	0.78285
298	YPL119C	0.78282
299	YFL055W	0.78275
300	YOR157C	0.78275
301	YML018C	0.78231
302	YJL121C	0.78227
303	YOR270C	0.782
304	YHL047C	0.78173
305	YLR420W	0.78168
306	YBR222C	0.78165
307	YPL203W	0.7816
308	YBL022C	0.78129
309	YJL136C	0.78116
310	YPL218W	0.78111
311	YFR053C	0.78107
312	YLL056C	0.78107
313	YGL030W	0.78095
314	YHL040C	0.78088
315	YIL020C	0.78087
316	YGR286C	0.7807
317	YLR157C	0.78063
318	YLR158C	0.78063
319	YLR155C	0.78063
320	YLR160C	0.78063
321	YPL131W	0.78046
322	YIR019C	0.78029
323	YNL142W	0.77997
324	YEL031W	0.77973
325	YJR025C	0.77964
326	YEL066W	0.7796
327	YCL018W	0.77951
328	YDR406W	0.77941
329	YJL167W	0.77937
330	YLR029C	0.77915
331	YJR105W	0.77911
332	YMR116C	0.77905
333	YCL009C	0.77879
334	YGR121C	0.77862
335	YJL012C	0.77857
336	YAL063C	0.7781
337	YGR040W	0.77804
338	YNR050C	0.77797
339	YML123C	0.7779
340	YCR073W-A	0.77785
