rank	yeast_gene	cosine
1	YLR229C	0.93707
2	YKR059W	0.92945
3	YER072W	0.92928
4	YGL008C	0.92687
5	YJL108C	0.92628
6	YPR182W	0.92353
7	YPR165W	0.92349
8	YOR378W	0.92283
9	YPL036W	0.92215
10	YGL256W	0.92092
11	YBL026W	0.92039
12	YPL266W	0.92011
13	YPL218W	0.91957
14	YHL047C	0.91835
15	YDL192W	0.9163
16	YPL203W	0.91564
17	YFL039C	0.91545
18	YBR160W	0.91497
19	YLR113W	0.91493
20	YDR345C	0.91399
21	YGL225W	0.91314
22	YDR343C	0.91271
23	YBL016W	0.91255
24	YBR164C	0.91252
25	YHR092C	0.91237
26	YDR342C	0.91198
27	YHL040C	0.91198
28	YKL190W	0.91193
29	YMR290C	0.91191
30	YLR147C	0.91099
31	YNL189W	0.91088
32	YDL137W	0.91055
33	YEL026W	0.90981
34	YEL027W	0.9097
35	YKL218C	0.90917
36	YDL229W	0.90884
37	YNL209W	0.90879
38	YMR109W	0.90873
39	YBR261C	0.90873
40	YHL016C	0.90867
41	YER148W	0.90793
42	YOR046C	0.90792
43	YHR094C	0.90768
44	YGL255W	0.90755
45	YDR021W	0.90731
46	YBL112C	0.90728
47	YHR218W-A	0.90728
48	YGR231C	0.90715
49	YDR155C	0.9069
50	YNL290W	0.90686
51	YPR183W	0.90681
52	YKL196C	0.90611
53	YOR257W	0.90537
54	YER060W-A	0.90536
55	YBR241C	0.90481
56	YDL166C	0.90467
57	YDR091C	0.90463
58	YNL090W	0.90378
59	YLR081W	0.90377
60	YNL006W	0.90358
61	YDR129C	0.90353
62	YJL164C	0.90336
63	YJL214W	0.90326
64	YJL014W	0.90314
65	YBL030C	0.90277
66	YOR061W	0.90275
67	YDL126C	0.90257
68	YGR252W	0.9023
69	YER039C	0.90227
70	YFL066C	0.90226
71	YMR011W	0.90205
72	YLR234W	0.90192
73	YDL245C	0.90187
74	YHR128W	0.90167
75	YKL024C	0.90147
76	YJR158W	0.90125
77	YHR018C	0.90123
78	YFL011W	0.90117
79	YLL024C	0.90094
80	YDL047W	0.90073
81	YHR096C	0.90037
82	YAL005C	0.8998
83	YBL075C	0.89939
84	YIL170W	0.89926
85	YFL058W	0.89902
86	YER103W	0.899
87	YDR339C	0.89894
88	YDL055C	0.89893
89	YMR015C	0.89854
90	YNL332W	0.89852
91	YDL006W	0.89821
92	YER060W	0.89812
93	YNR072W	0.89797
94	YJL213W	0.89796
95	YDL244W	0.89789
96	YOL143C	0.89786
97	YNR053C	0.89761
98	YPR192W	0.89748
99	YMR034C	0.89735
100	YJR156C	0.89731
101	YER081W	0.89728
102	YEL069C	0.89725
103	YLR438C-A	0.89721
104	YBR082C	0.89711
105	YGR105W	0.89691
106	YJL167W	0.89687
107	YOL156W	0.89681
108	YDR373W	0.89677
109	YKL129C	0.89671
110	YMR079W	0.89663
111	YKR039W	0.89638
112	YER177W	0.8963
113	YDL084W	0.89626
114	YPR113W	0.89597
115	YJL050W	0.89597
116	YNL112W	0.89594
117	YOL094C	0.89586
118	YOR122C	0.89577
119	YER056C	0.89529
120	YLL050C	0.89523
121	YER009W	0.89521
122	YCR010C	0.89518
123	YFL017W-A	0.89514
124	YJR065C	0.89512
125	YPL234C	0.89505
126	YEL066W	0.895
127	YOR094W	0.89498
128	YDL108W	0.89489
129	YDR540C	0.89475
130	YJL219W	0.89466
131	YGL091C	0.89465
132	YHR030C	0.89416
133	YML012W	0.89413
134	YJL026W	0.89404
135	YER025W	0.89392
136	YJL034W	0.89366
137	YGR210C	0.89346
138	YER107C	0.89345
139	YAL038W	0.89328
140	YGR040W	0.89288
141	YDL168W	0.89288
142	YHR007C	0.89279
143	YDR185C	0.89254
144	YNL244C	0.89244
145	YBR085W	0.89225
146	YOL162W	0.89217
147	YPL058C	0.89215
148	YOR204W	0.89208
149	YBR252W	0.89206
150	YGL062W	0.89202
151	YFL045C	0.89193
152	YPR016C	0.89191
153	YCR098C	0.89148
154	YLR134W	0.89137
155	YDR059C	0.89137
156	YDR341C	0.89097
157	YOR153W	0.89096
158	YPR173C	0.89065
159	YOR224C	0.89064
160	YNL010W	0.89052
161	YGR218W	0.89021
162	YDR353W	0.89011
163	YHR200W	0.89003
164	YML102W	0.89002
165	YDL022W	0.89001
166	YNL135C	0.88992
167	YMR246W	0.88984
168	YPR204W	0.88982
169	YDR075W	0.88977
170	YML123C	0.88949
171	YGR123C	0.88907
172	YIL143C	0.8887
173	YKR002W	0.88868
174	Q0130	0.88845
175	YFL055W	0.88845
176	YPL106C	0.88839
177	YER133W	0.88799
178	YLR293C	0.88797
179	YDR406W	0.88793
180	YEL051W	0.88783
181	YDR404C	0.8877
182	YKL216W	0.88749
183	YJR105W	0.88746
184	YLR044C	0.88726
185	YBR218C	0.88724
186	YDR536W	0.88721
187	YPL031C	0.88682
188	YOR185C	0.8868
189	YER171W	0.88649
190	YER178W	0.88631
191	YPR138C	0.88624
192	YER012W	0.88623
193	YBR187W	0.88617
194	YGL070C	0.88617
195	YDR099W	0.88603
196	YAR002C-A	0.88602
197	YOR347C	0.8859
198	YOL021C	0.88588
199	YMR056C	0.88582
200	YLL060C	0.88582
201	YHR106W	0.88577
202	YCR047C	0.88562
203	YGL001C	0.88543
204	YPL086C	0.88543
205	YLL018C	0.88529
206	YPL061W	0.88524
207	YBL078C	0.88521
208	YIL074C	0.88506
209	YLR058C	0.88494
210	YBR089C-A	0.88491
211	YDR510W	0.88471
212	YLR249W	0.88468
213	YBL071W-A	0.88464
214	YNL014W	0.88436
215	YML018C	0.88426
216	YEL021W	0.88415
217	YOL158C	0.88415
218	YPR052C	0.88411
219	YNL268W	0.88404
220	YAL020C	0.88365
221	YBR143C	0.88355
222	YBR298C	0.88351
223	YDR454C	0.8835
224	YLR359W	0.88347
225	YGR132C	0.88346
226	YBR154C	0.88335
227	YOL038W	0.88333
228	YHR070W	0.88331
229	YNR032C-A	0.8833
230	YEL065W	0.88329
231	YLR193C	0.88328
232	YGL253W	0.88322
233	YDR424C	0.8831
234	YDR226W	0.88295
235	YNL142W	0.88283
236	YMR300C	0.88264
237	YOL133W	0.88258
238	YFR053C	0.88254
239	YMR146C	0.88246
240	YIL078W	0.8824
241	YDR196C	0.88234
242	YEL063C	0.88233
243	YGL120C	0.8823
244	YEL034W	0.8823
245	YLR303W	0.88216
246	YER036C	0.88205
247	YBR109C	0.88202
248	YJR159W	0.88197
249	YNR002C	0.88193
250	YOR270C	0.88186
251	YBR249C	0.88156
252	YPL119C	0.88126
253	YEL046C	0.88125
254	YBR296C	0.88116
255	YDL134C	0.88113
256	YJR025C	0.88089
257	YGL011C	0.88082
258	YJL121C	0.88077
259	YKL152C	0.88063
260	YOR089C	0.88051
261	YKL146W	0.88051
262	YOL086C	0.88044
263	YDL246C	0.88031
264	YMR222C	0.88021
265	YBR169C	0.8802
266	YKR080W	0.87989
267	YEL031W	0.87964
268	YOR159C	0.8796
269	YDL097C	0.87956
270	YER055C	0.87956
271	YGR256W	0.87955
272	YLR466W	0.87949
273	YLR347C	0.8793
274	YPR069C	0.8792
275	YLR153C	0.87911
276	YMR226C	0.87904
277	YIR042C	0.87902
278	YKL033W-A	0.87899
279	YIR036C	0.87885
280	YNL330C	0.87883
281	YHR183W	0.87882
282	YNL270C	0.87875
283	YKL104C	0.87862
284	YJR153W	0.87842
285	YJR007W	0.87836
286	YEL077C	0.87829
287	YMR292W	0.87813
288	YHR169W	0.87797
289	YLR170C	0.87792
290	YER094C	0.87787
291	YER095W	0.87777
292	YLL053C	0.87772
293	YLR367W	0.87731
294	YGR121C	0.87729
295	YFL026W	0.87715
296	YPR051W	0.87678
297	YGR282C	0.87675
298	YOL151W	0.87664
299	YMR279C	0.87657
300	YER119C	0.87646
301	YDR092W	0.87637
302	YGL058W	0.87634
303	YJL190C	0.87619
304	YBR145W	0.87618
305	YJR077C	0.87617
306	YER099C	0.87605
307	YJL217W	0.876
308	YDL128W	0.87596
309	YJL001W	0.87595
310	YMR303C	0.87593
311	YBR106W	0.87583
312	YCR009C	0.87564
313	YPL129W	0.87563
314	YER057C	0.87553
315	YML069W	0.87549
316	YNL202W	0.87547
317	YMR230W	0.87544
318	YJR045C	0.87539
319	YOR323C	0.87538
320	YIL003W	0.87536
321	YDR238C	0.87529
322	YMR260C	0.87523
323	YEL070W	0.87523
324	YNR073C	0.87523
325	YBR080C	0.87521
326	YOR293W	0.87508
327	YOR187W	0.87505
328	YBL091C	0.87505
329	YGL210W	0.87488
330	YDR011W	0.87485
331	YOL097C	0.87479
332	YER031C	0.87478
333	YPL028W	0.8747
334	YGL167C	0.87466
335	YFL038C	0.87455
336	YOR348C	0.87451
337	YFL056C	0.87448
338	YJL030W	0.87416
339	YHR110W	0.87414
340	YDL064W	0.87379
341	YGR211W	0.87375
342	YNL274C	0.87362
343	YJR047C	0.87352
344	YAL061W	0.87346
345	YAL026C	0.8734
346	YDL222C	0.87339
347	YHR057C	0.87338
348	YEL013W	0.87332
349	YPR080W	0.8733
350	YNL241C	0.87327
351	YMR108W	0.8732
352	YIL009W	0.87319
353	YER020W	0.87311
354	YNL288W	0.87311
355	YNL098C	0.87308
356	YLL056C	0.87307
357	YAR073W	0.87293
358	YLR200W	0.87272
359	YCR057C	0.8726
360	YML008C	0.87259
361	YGL135W	0.87256
362	YPL220W	0.87256
363	YER007C-A	0.87255
364	YCR012W	0.87253
365	YGR208W	0.87249
366	YKL166C	0.87247
367	YDR040C	0.87235
368	YLR289W	0.87222
369	YPR062W	0.87215
370	YER179W	0.87214
371	YDR002W	0.87184
372	YIL121W	0.87172
373	YJR068W	0.87171
374	YML085C	0.87168
375	YKL217W	0.87166
