rank	yeast_gene	cosine
1	YPL218W	0.90182
2	YBR241C	0.89357
3	YGR105W	0.89239
4	YPR113W	0.89023
5	YHL047C	0.88915
6	YPL203W	0.88801
7	YGL008C	0.88782
8	YHR030C	0.88661
9	YHR189W	0.8854
10	YJL108C	0.88466
11	YPL036W	0.88434
12	YPR192W	0.8833
13	YLL060C	0.88279
14	YMR034C	0.88257
15	YHL040C	0.88217
16	YPL017C	0.88203
17	YJL196C	0.88132
18	YGL126W	0.87961
19	YPR183W	0.87936
20	YLR466W	0.87809
21	YLR113W	0.87777
22	YDL222C	0.87776
23	YGL054C	0.87735
24	YLR234W	0.87725
25	YPR204W	0.87711
26	YOL162W	0.87683
27	YDL244W	0.87682
28	YPL067C	0.87678
29	YHR169W	0.87661
30	YFL058W	0.87594
31	YJR156C	0.87591
32	YNL332W	0.87571
33	YJL164C	0.87561
34	YHL003C	0.87555
35	YOR224C	0.87547
36	YBR160W	0.87547
37	YEL077C	0.87545
38	YDR185C	0.87539
39	YMR015C	0.87455
40	YMR290C	0.8745
41	YLL053C	0.8744
42	YAR002C-A	0.87378
43	YPL031C	0.87364
44	YER190W	0.8736
45	YER072W	0.87355
46	YPR182W	0.87329
47	YGL120C	0.87296
48	YPL246C	0.87294
49	YMR109W	0.87286
50	YDL128W	0.87273
51	YMR222C	0.87258
52	YDL108W	0.87234
53	YKL190W	0.8722
54	YBL112C	0.87202
55	YHR218W-A	0.87202
56	YGL058W	0.87172
57	YIL121W	0.87169
58	YNR055C	0.8714
59	YPL245W	0.87099
60	YLL026W	0.87097
61	YNL307C	0.87086
62	YGR231C	0.87049
63	YFR018C	0.87024
64	YLR168C	0.87024
65	YER119C	0.87023
66	YLR258W	0.87019
67	YBL016W	0.86968
68	YDL160C	0.86961
69	YBR261C	0.86959
70	YCR028C	0.86957
71	YML123C	0.86955
72	YBR164C	0.86941
73	YDR345C	0.86927
74	YOR084W	0.86926
75	YOR046C	0.86875
76	YDL084W	0.86875
77	YJR124C	0.86866
78	YOL158C	0.86836
79	YOR257W	0.86833
80	YCR009C	0.86823
81	YJL214W	0.8682
82	YHR092C	0.86812
83	YNL288W	0.86804
84	YKL217W	0.86793
85	YLL067C	0.86755
86	YBL102W	0.86752
87	YER039C	0.86747
88	YHR094C	0.86732
89	YGR281W	0.8673
90	YDR021W	0.86709
91	YKR059W	0.86694
92	YER004W	0.86691
93	YBR187W	0.86684
94	YNR057C	0.86655
95	YCR048W	0.86654
96	YER036C	0.86645
97	YDL245C	0.86635
98	YJL225C	0.86623
99	YJR158W	0.86615
100	YDR040C	0.86613
101	YIL177C	0.86611
102	YHR200W	0.86596
103	YCR098C	0.86581
104	YOR185C	0.8658
105	YGL225W	0.86576
106	YHL016C	0.86536
107	YNR072W	0.86531
108	YOR204W	0.8653
109	YLR081W	0.86521
110	YMR292W	0.86515
111	YML102W	0.86507
112	YER060W-A	0.86428
113	YHL050C	0.86422
114	YGR040W	0.86416
115	YDR343C	0.86411
116	YGR123C	0.864
117	YGR138C	0.86397
118	YDR342C	0.86394
119	YGL256W	0.86389
120	YEL069C	0.86368
121	YNL189W	0.86357
122	YLR193C	0.86356
123	YGR218W	0.86352
124	YDR039C	0.8635
125	YGL063W	0.86321
126	YDL126C	0.86312
127	YBL113C	0.86307
128	YLL028W	0.86273
129	YDR196C	0.86271
130	YBR243C	0.86263
131	YNL290W	0.86253
132	YDR373W	0.86246
133	YJR069C	0.86241
134	YPL244C	0.86226
135	YMR271C	0.86224
136	YOR187W	0.86222
137	YHR218W	0.8622
138	YDR038C	0.86205
139	YJL014W	0.86202
140	YOR396W	0.86192
141	YLR467W	0.86192
142	YDR545W	0.86192
143	YKR002W	0.86187
144	YBR296C	0.86181
145	YLL066C	0.86147
146	YDR536W	0.86146
147	YHR065C	0.86141
148	YOR270C	0.86141
149	YLR293C	0.86141
150	YFR015C	0.86125
151	YOL156W	0.86122
152	YHR110W	0.8612
153	YLR291C	0.86118
154	YOL147C	0.86117
155	YBR080C	0.8611
156	YMR095C	0.86108
157	YKL216W	0.86108
158	YOL075C	0.86108
159	YER020W	0.86106
160	YKL129C	0.86105
161	YGR065C	0.86103
162	YJL219W	0.86102
163	YGL167C	0.86101
164	YKL104C	0.86091
165	YER125W	0.86088
166	YOR161C	0.86082
167	YDL097C	0.86081
168	YMR079W	0.86064
169	YNL275W	0.86061
170	YDR092W	0.86057
171	YOL021C	0.8605
172	YIL170W	0.8605
173	YLR058C	0.86046
174	YFL011W	0.86041
175	YDL064W	0.86038
176	YNL209W	0.86035
177	YKL145W	0.86032
178	YHR135C	0.86019
179	YML133C	0.86018
180	YER060W	0.86014
181	YLR438C-A	0.86007
182	YML012W	0.86
183	YLR229C	0.85997
184	YDR424C	0.85991
185	YFR014C	0.85968
186	YOR381W	0.85965
187	YLR034C	0.85962
188	YNL339C	0.85959
189	YIL120W	0.85945
190	YGL211W	0.85944
191	YPL283C	0.85943
192	YGR296W	0.8594
193	YNL112W	0.85926
194	YDL229W	0.85926
195	YOR089C	0.85924
196	YER166W	0.85897
197	YCR047C	0.85891
198	YDR394W	0.85883
199	YDL029W	0.85875
200	YKL146W	0.85864
201	YCR060W	0.85858
202	YPL119C	0.85854
203	YML085C	0.85851
204	YDL166C	0.85839
205	YLR347C	0.85822
206	YML018C	0.85815
207	YDR155C	0.85808
208	YOL110W	0.85805
209	YNL090W	0.8579
210	YBR159W	0.85787
211	YER133W	0.85775
212	YER019W	0.85773
213	YHR096C	0.85772
214	YMR011W	0.85771
215	Q0045	0.85747
216	YOR117W	0.85745
217	YAR035W	0.85733
218	YEL031W	0.85726
219	YJR152W	0.85722
220	YCR020C-A	0.85713
221	YFL055W	0.85702
222	YOR094W	0.85701
223	YBL082C	0.85686
224	YKL086W	0.85685
225	YDR375C	0.85665
226	YNL010W	0.85628
227	YDR297W	0.85627
228	YLR186W	0.85627
229	YER026C	0.85621
230	YAL020C	0.85616
231	YDR404C	0.85613
232	YCR010C	0.85608
233	YAL026C	0.856
234	YJL030W	0.8559
235	YER159C	0.85588
236	YER090W	0.85586
237	YPL058C	0.85586
238	YDL022W	0.85584
239	YER056C	0.85582
240	YCL025C	0.85579
241	YJR058C	0.85574
242	YGR055W	0.85571
243	YMR214W	0.85556
244	YER148W	0.85552
245	YER012W	0.85549
246	YER043C	0.85538
247	YNL113W	0.85535
248	YKR053C	0.85529
249	YMR056C	0.85519
250	YLR170C	0.85516
251	YER145C	0.85515
252	YOR273C	0.85505
253	YPR173C	0.85497
254	YBR054W	0.85496
255	YHR107C	0.85487
256	YPL275W	0.85466
257	YBR082C	0.85461
258	YPL221W	0.85459
259	YBR218C	0.85459
260	YDR300C	0.85457
261	YNR002C	0.85452
262	YGL200C	0.85439
263	YOL103W	0.85439
264	YEL070W	0.85434
265	YNR073C	0.85434
266	YDL192W	0.85426
267	YDR129C	0.85424
268	YMR203W	0.85423
269	YER074W-A	0.85417
270	YOL143C	0.85407
271	YDL137W	0.85406
272	YCR034W	0.85402
273	YKR038C	0.854
274	YNL098C	0.85398
275	YJL167W	0.85397
276	YDR384C	0.85392
277	YDR033W	0.85386
278	YIR028W	0.85384
279	YER089C	0.8538
280	YDR238C	0.85377
281	YGL062W	0.85372
282	YCL073C	0.85372
283	YGL255W	0.85363
284	YJR073C	0.85354
285	YDR328C	0.85351
286	YKL024C	0.85351
287	YML124C	0.85349
288	YOR378W	0.85348
289	YJL034W	0.8534
290	YDL052C	0.85337
291	Q0130	0.85325
292	YGR296C-A	0.8532
293	YPL283W-A	0.8532
294	YNL339W-A	0.8532
295	YML133W-A	0.8532
296	YER190C-A	0.8532
297	YHR070W	0.85319
298	YNL323W	0.853
299	YLR326W	0.85298
300	YFL026W	0.85295
301	YKL220C	0.85295
302	YOL097C	0.85293
303	YER023W	0.85292
304	YDL057W	0.85277
305	YBL075C	0.85277
306	YEL065W	0.85271
307	YPL129W	0.85268
308	YBL078C	0.85262
309	YDR339C	0.85261
310	YFL067W	0.85254
311	YGL087C	0.85239
312	YOL122C	0.85235
313	YKR106W	0.85232
314	YLR147C	0.85228
315	YDL134C	0.8522
316	YNL268W	0.85199
317	YLR378C	0.85189
318	YDR540C	0.85185
319	YER146W	0.85184
320	YJR074W	0.85183
321	YMR205C	0.85181
322	YCL040W	0.85178
323	YHL018W	0.85177
324	YDL006W	0.8517
325	YPL015C	0.85157
326	YGR207C	0.85147
327	YGR152C	0.85143
328	YKR039W	0.85122
329	YOL005C	0.85119
330	YOL084W	0.85117
331	YHR007C	0.85112
332	YDR135C	0.85109
333	YJR001W	0.85107
334	YBL111C	0.85103
335	YNR048W	0.85101
336	YOR061W	0.85098
337	YPR165W	0.85096
338	YDL055C	0.85095
339	YGR210C	0.85093
340	YBR008C	0.85091
341	YNL014W	0.8509
342	YER171W	0.8509
343	YNR060W	0.85075
344	YPR145W	0.85072
345	YDL047W	0.85067
346	YLL055W	0.85066
347	YNL125C	0.85066
348	YGL012W	0.85056
349	YML106W	0.85055
350	YPL264C	0.85047
351	YBL021C	0.85036
352	YMR221C	0.85029
353	YHR032W	0.85027
354	YLR011W	0.85025
355	YBR265W	0.85021
356	YLR397C	0.85019
357	YDR497C	0.85012
358	YBR298C	0.85008
359	YBR263W	0.85001
360	YEL011W	0.84999
361	YKL166C	0.84986
362	YOR259C	0.84984
363	YOL038W	0.8498
