rank	yeast_gene	cosine
1	YLR229C	0.94175
2	YDL192W	0.93794
3	YFL039C	0.93687
4	YPR165W	0.93508
5	YKR059W	0.93221
6	YDL137W	0.93161
7	YOR378W	0.92265
8	YDR345C	0.92258
9	YBR164C	0.92175
10	YHR092C	0.92087
11	YDR343C	0.92054
12	YGL256W	0.92033
13	YDR342C	0.91964
14	YER072W	0.91891
15	YEL027W	0.91741
16	YER009W	0.916
17	YGL008C	0.91515
18	YHR094C	0.91408
19	YPL036W	0.91338
20	YMR011W	0.91214
21	YPL218W	0.91173
22	YHR096C	0.9107
23	YGL225W	0.91012
24	YLR081W	0.90986
25	YDL047W	0.90982
26	YPL266W	0.90967
27	YGL255W	0.90952
28	YJL108C	0.90948
29	YJL214W	0.90895
30	YDL229W	0.90842
31	YNL189W	0.90787
32	YNL209W	0.90777
33	YKL190W	0.90748
34	YNL090W	0.90716
35	YDL245C	0.90674
36	YJR065C	0.90654
37	YPR182W	0.90643
38	YJR158W	0.90608
39	YDR155C	0.90596
40	YKL024C	0.90592
41	YFL011W	0.90591
42	YLL024C	0.90586
43	YKL218C	0.90533
44	YOR094W	0.90533
45	YPL203W	0.90524
46	YNL135C	0.90511
47	YIL170W	0.90477
48	YLL050C	0.90474
49	YDL006W	0.90473
50	YBR241C	0.90384
51	YAL005C	0.90378
52	YOL156W	0.90282
53	YNR032C-A	0.90274
54	YLR113W	0.90168
55	YEL069C	0.90155
56	YNR072W	0.90149
57	YER103W	0.90111
58	YER177W	0.901
59	YKR039W	0.90093
60	YEL026W	0.90077
61	YDL126C	0.9004
62	YBL026W	0.90008
63	YJL219W	0.89958
64	YHL047C	0.89935
65	YJL164C	0.89895
66	YDR353W	0.8989
67	YBR160W	0.89876
68	YDR021W	0.89873
69	YAL038W	0.89836
70	YBL075C	0.89834
71	YOL086C	0.89834
72	YOL094C	0.89826
73	YNL006W	0.89824
74	YPR183W	0.89801
75	YBL030C	0.89791
76	YDL168W	0.89756
77	YHR128W	0.89718
78	YBL016W	0.89668
79	YJR159W	0.89625
80	YKL196C	0.89593
81	YDL055C	0.89569
82	YDR075W	0.89557
83	YOR046C	0.89524
84	YMR290C	0.89484
85	YER060W-A	0.89478
86	YDL246C	0.89478
87	YMR079W	0.89478
88	YNL290W	0.89448
89	YMR303C	0.8944
90	YMR109W	0.89411
91	YGR252W	0.89384
92	YDR129C	0.89366
93	YDR091C	0.89355
94	YDR454C	0.89329
95	YJL026W	0.89328
96	YBR109C	0.89319
97	YFL038C	0.8928
98	YOR257W	0.89274
99	YFL045C	0.89267
100	YCR010C	0.89253
101	YER039C	0.89239
102	YNL112W	0.89239
103	YAL064C-A	0.89231
104	YDR373W	0.892
105	YDR226W	0.89177
106	YDL166C	0.89177
107	YJL034W	0.89147
108	YJL167W	0.89144
109	YMR246W	0.89121
110	YHL040C	0.89088
111	YLR147C	0.89086
112	YFL066C	0.89072
113	YER031C	0.89066
114	YOR122C	0.89059
115	YHL016C	0.88988
116	YKR094C	0.88969
117	YIL148W	0.88969
118	YJL213W	0.8896
119	YBR082C	0.88936
120	YEL066W	0.8893
121	YGL210W	0.88929
122	YDR059C	0.88919
123	YGL091C	0.88879
124	YDL084W	0.88871
125	YLR303W	0.8885
126	YKL152C	0.88846
127	YHR106W	0.88835
128	YPL234C	0.88824
129	YBR145W	0.88801
130	YDR099W	0.88783
131	YBR261C	0.88757
132	YBR085W	0.88745
133	YHR018C	0.88734
134	YFL055W	0.88709
135	YER025W	0.88642
136	YPL061W	0.88638
137	YJR104C	0.88636
138	YER056C	0.88628
139	YGL001C	0.88626
140	YER060W	0.88621
141	YPR192W	0.88614
142	YJR105W	0.88613
143	YJL050W	0.88604
144	YER057C	0.88601
145	YOR061W	0.88598
146	YPL086C	0.88576
147	YLR293C	0.88532
148	YOR153W	0.88524
149	YLR134W	0.885
150	YER081W	0.88471
151	YLR044C	0.88466
152	YOR204W	0.88453
153	YKL129C	0.88452
154	YNL268W	0.8845
155	YER133W	0.88448
156	YDL134C	0.88443
157	YDR050C	0.88431
158	YMR034C	0.88409
159	YGR123C	0.88403
160	YDR536W	0.88391
161	YER148W	0.88362
162	YOR089C	0.88339
163	YPL058C	0.88313
164	YPL106C	0.88303
165	YNL142W	0.88299
166	YMR015C	0.88298
167	YHR218W-A	0.88287
168	YBL112C	0.88287
169	YEL063C	0.88269
170	YDR341C	0.88267
