rank	yeast_gene	cosine
1	YDL128W	0.93837
2	YER119C	0.93342
3	YIL121W	0.9326
4	YBR241C	0.93187
5	YPL031C	0.93183
6	YBR008C	0.93175
7	YIL120W	0.92836
8	YDL052C	0.92807
9	YNR055C	0.92793
10	YPL203W	0.9279
11	YPL264C	0.92782
12	YOR273C	0.92663
13	YOL103W	0.9264
14	YHR135C	0.92622
15	YDR196C	0.92522
16	YOR257W	0.92522
17	YLL028W	0.92507
18	YPR183W	0.92496
19	YCR028C	0.92418
20	YGR138C	0.92388
21	YHR032W	0.92336
22	YNR057C	0.92311
23	YJL164C	0.92293
24	YMR271C	0.9225
25	YHL003C	0.92116
26	YHR030C	0.92096
27	YBR243C	0.92081
28	YNL275W	0.92066
29	YER133W	0.92013
30	YLL060C	0.92009
31	YER004W	0.91925
32	YDR040C	0.91916
33	YDR375C	0.91884
34	YDR135C	0.91879
35	YMR015C	0.91877
36	YKL166C	0.91867
37	YCR048W	0.91855
38	YGL167C	0.91851
39	YGR281W	0.91849
40	YKR105C	0.91811
41	YBR043C	0.91807
42	YMR034C	0.91799
43	YGR152C	0.91789
44	YER026C	0.9178
45	YDL160C	0.91778
46	YOL075C	0.91771
47	YJR124C	0.91726
48	YNL154C	0.91706
49	YDR402C	0.91702
50	YDR039C	0.91657
51	YDR497C	0.91632
52	YDR038C	0.91599
53	YHL040C	0.91596
54	YPL246C	0.91586
55	YHR048W	0.91558
56	YFL011W	0.91555
57	YDR536W	0.91549
58	YNL093W	0.91539
59	YCR009C	0.91487
60	YER090W	0.91486
61	YGR124W	0.91463
62	YER039C	0.91459
63	YBR160W	0.91442
64	YHR094C	0.91419
65	YMR301C	0.91418
66	YBL105C	0.91413
67	YMR095C	0.91402
68	YLR426W	0.91398
69	YKR053C	0.91397
70	YMR109W	0.91394
71	YAR035W	0.91393
72	YNR072W	0.9138
73	YIL170W	0.91379
74	YHR132C	0.91359
75	YGR224W	0.9135
76	YCL025C	0.91343
77	YPR156C	0.9134
78	YBR180W	0.91323
79	YLR113W	0.91293
80	YJL219W	0.91291
81	YOL163W	0.91274
82	YML106W	0.91263
83	YLR081W	0.9126
84	YDR092W	0.91257
85	YGL047W	0.91246
86	YOL162W	0.91236
