rank	yeast_gene	cosine
1	YBR241C	0.95849
2	YDL128W	0.95195
3	YER119C	0.94719
4	YIL121W	0.9456
5	YOL103W	0.94498
6	YPL264C	0.94454
7	YPL031C	0.94312
8	YNR055C	0.94271
9	YLL028W	0.9426
10	YGR138C	0.94237
11	YPL203W	0.94197
12	YIL120W	0.94105
13	YOR257W	0.94068
14	YBR008C	0.94001
15	YOR273C	0.93956
16	YDR040C	0.9395
17	YHR032W	0.93929
18	YDR196C	0.93904
19	YER026C	0.9388
20	YOL075C	0.93874
21	YMR034C	0.93813
22	YHR094C	0.93791
23	YDR497C	0.93783
24	YNL093W	0.93748
25	YDR039C	0.9373
26	YLR081W	0.9371
27	YKR105C	0.9369
28	YDR038C	0.93683
29	YFL011W	0.93662
30	YJL164C	0.93636
31	YHR135C	0.93592
32	YBR043C	0.93585
33	YDR536W	0.93538
34	YMR015C	0.93537
35	YJL219W	0.9352
36	YNR072W	0.93512
37	YER125W	0.935
38	YGR281W	0.93494
39	YHR030C	0.93489
40	YJL214W	0.93487
41	YPR183W	0.93484
42	YCL025C	0.93462
43	YOL156W	0.9346
44	YJR124C	0.93458
45	YIL170W	0.93454
46	YGR224W	0.93453
47	YDR135C	0.93407
48	YHL003C	0.93388
49	YPL246C	0.9337
50	YGR152C	0.93365
51	YEL069C	0.93352
52	YDR345C	0.93335
53	YPL218W	0.93329
54	YGL167C	0.93285
55	YKL166C	0.93285
56	YMR011W	0.93266
57	YCR009C	0.93261
58	YHR092C	0.93224
59	YDL245C	0.93204
60	YPR156C	0.93199
61	YFL038C	0.93164
62	YDL052C	0.93158
63	YML018C	0.93138
64	YJR158W	0.93128
65	YDL160C	0.93123
66	YDR508C	0.93081
67	YER133W	0.93051
68	YPL244C	0.93032
69	YER039C	0.93
70	YDL006W	0.92989
71	YOR089C	0.9298
72	YBR187W	0.92976
73	YCR028C	0.92947
74	YHR096C	0.92926
75	YCL069W	0.92881
76	YNL154C	0.92881
77	YGR055W	0.92842
78	YCR048W	0.92818
79	YHR005C	0.92794
80	YMR080C	0.92787
81	YFL055W	0.92785
82	YER020W	0.92771
83	YKR053C	0.92766
84	YHL040C	0.9276
85	YLR113W	0.92739
86	YEL064C	0.92729
87	YKR014C	0.92706
88	YML123C	0.92704
89	YJR001W	0.92692
90	YLR251W	0.92663
91	YLR466W	0.92647
92	YHL047C	0.92646
93	YER019W	0.92644
94	YBR164C	0.92644
95	YMR301C	0.9263
96	YCR098C	0.92627
97	YDR342C	0.92614
98	YMR109W	0.9261
99	YJL196C	0.92603
100	YBR243C	0.92599
101	YBR180W	0.92596
102	YPR113W	0.92589
103	YDL134C	0.92543
104	YLR034C	0.92522
105	YDR343C	0.9252
106	YBR160W	0.9251
107	YJL134W	0.92474
108	YDR375C	0.92469
109	YNL090W	0.92435
110	YPL119C	0.9242
111	YHR132C	0.92414
112	YGR191W	0.92401
113	YNL268W	0.924
114	YDR021W	0.92395
115	YHR026W	0.9238
116	YBL105C	0.92356
117	YNL275W	0.92342
118	YBR287W	0.92337
119	YNL290W	0.92316
120	YER089C	0.92314
121	YGL047W	0.92297
122	YDR402C	0.92288
123	YER090W	0.92281
124	YBR080C	0.92278
125	YKL146W	0.92274
126	YJR152W	0.9227
127	YDR092W	0.92263
