rank	yeast_gene	cosine
1	YLR229C	0.93808
2	YFL039C	0.93469
3	YDL192W	0.93334
4	YPR165W	0.93168
5	YKR059W	0.92895
6	YDL137W	0.92841
7	YOR378W	0.92508
8	YDR345C	0.92141
9	YHR092C	0.91974
10	YDR343C	0.91963
11	YDR342C	0.9189
12	YBR164C	0.91873
13	YER072W	0.91797
14	YEL027W	0.9173
15	YHR094C	0.9139
16	YGL225W	0.91357
17	YMR011W	0.91336
18	YGL008C	0.91211
19	YER009W	0.91211
20	YHR096C	0.9116
21	YGL256W	0.91143
22	YPL036W	0.91122
23	YJL108C	0.91089
24	YLR081W	0.90993
25	YJL214W	0.90915
26	YFL011W	0.90731
27	YIL170W	0.90696
28	YGL255W	0.90686
29	YPL218W	0.90669
30	YJR065C	0.90665
31	YDL245C	0.90595
32	YJR158W	0.90515
33	YDL047W	0.90455
34	YDL006W	0.90415
35	YPL266W	0.90398
36	YBR241C	0.90381
37	YKL190W	0.90379
38	YOL156W	0.90355
39	YNL090W	0.90236
40	YNR072W	0.90181
41	YEL069C	0.90163
42	YKL218C	0.90149
43	YJL219W	0.90088
44	YER039C	0.90082
45	YOR094W	0.90043
46	YNL189W	0.90032
47	YPL203W	0.90013
48	YLR113W	0.89963
49	YPR182W	0.89939
50	YKR039W	0.89928
51	YKL024C	0.89912
52	YLL050C	0.89889
53	YDL229W	0.89869
54	YNL209W	0.89838
55	YNR032C-A	0.89787
56	YLL024C	0.89767
57	YER177W	0.89761
58	YHR128W	0.89743
59	YNL006W	0.89707
60	YDR155C	0.89686
61	YDR021W	0.89685
62	YOL094C	0.89663
63	YFL066C	0.89656
64	YBL026W	0.89648
65	YAL005C	0.89645
66	YHL047C	0.89643
67	YBL030C	0.89575
68	YJL164C	0.89569
69	YBL016W	0.8945
70	YOR257W	0.89446
71	YAL064C-A	0.89443
72	YPR183W	0.89399
73	YBR160W	0.89373
74	YNL290W	0.89346
75	YDR353W	0.89281
76	YER103W	0.89279
77	YDL126C	0.89264
78	YNL135C	0.89239
79	YER060W-A	0.89212
