rank	yeast_gene	cosine
1	YER039C	0.96479
2	YGL225W	0.95781
3	YFL026W	0.95444
4	YOR378W	0.95291
5	YMR015C	0.9524
6	YML018C	0.95118
7	YJL214W	0.9491
8	YNR072W	0.94907
9	YJL219W	0.94877
10	YEL069C	0.94876
11	YCR098C	0.94866
12	YFL011W	0.94821
13	YIL170W	0.94816
14	YOL156W	0.948
15	YOR257W	0.94798
16	YDR536W	0.94793
17	YLR081W	0.94792
18	YOR061W	0.9477
19	YDL245C	0.94754
20	YLR113W	0.94715
21	YHR094C	0.94682
22	YMR011W	0.94682
23	YHR096C	0.9467
24	YJR158W	0.94664
25	YHR092C	0.94614
26	YHL040C	0.94547
27	YKL146W	0.94429
28	YDR345C	0.94419
29	YBL016W	0.94412
30	YHL016C	0.94406
31	YDR342C	0.94391
32	YHL047C	0.94347
33	YOL162W	0.94338
34	YEL065W	0.9433
35	YBR241C	0.94323
36	YDR343C	0.94311
37	YDR021W	0.94304
38	YER081W	0.94153
39	YER119C	0.94128
40	YMR034C	0.94127
41	YEL013W	0.94097
42	YGR040W	0.94096
43	YHR007C	0.94033
44	YFL055W	0.94012
45	YDL006W	0.93954
46	YMR279C	0.93881
47	YPL246C	0.93852
48	YML123C	0.93849
49	YIL121W	0.93751
50	YKR059W	0.9366
51	YLR092W	0.93658
52	YPL264C	0.93657
53	YNL290W	0.93647
54	YIL074C	0.93598
55	YGR055W	0.9359
56	YOR380W	0.93585
57	YJL164C	0.93546
58	YBR164C	0.93546
59	YBR043C	0.93528
60	YEL031W	0.93453
61	YBR080C	0.93438
62	YEL064C	0.93433
63	YHR030C	0.93425
64	YMR109W	0.93412
65	YLR229C	0.93405
66	YPL244C	0.93405
67	YDR497C	0.93388
68	YHR218W	0.93364
69	YPR183W	0.93362
70	YIL048W	0.93359
71	YMR221C	0.93332
72	YKR039W	0.93319
73	YLR466W	0.93318
74	YNL090W	0.93318
75	YBR294W	0.93305
76	YNL125C	0.93274
77	YBR160W	0.9325
78	YNL270C	0.93219
79	YIL035C	0.93202
80	YKL129C	0.93199
81	YNL268W	0.93177
82	YDL001W	0.93174
83	YEL063C	0.93171
84	YPR138C	0.93167
85	YIL120W	0.93163
86	YER052C	0.9316
87	YPR165W	0.93143
88	YKL166C	0.93141
89	YKL190W	0.9313
90	YLL063C	0.93119
91	YOR094W	0.93104
92	YEL077C	0.93101
93	YDL210W	0.93099
94	YLR034C	0.93089
95	YCL025C	0.93087
96	YGR191W	0.93079
97	YGL255W	0.93073
98	YNR055C	0.9307
99	YBR287W	0.93067
100	YPL203W	0.93062
101	YGL087C	0.93054
102	YFL017W-A	0.93031
103	YFL066C	0.92983
104	YML116W	0.9298
105	YDR011W	0.92968
106	YER171W	0.92939
107	YAL026C	0.92909
108	YOL103W	0.92899
109	YDL137W	0.92885
110	YGR152C	0.92881
111	YCL073C	0.92879
112	YNL006W	0.92862
113	YJR095W	0.92855
114	YKR106W	0.92845
115	YGL077C	0.92832
116	YDR196C	0.92832
117	YOR092W	0.92829
118	YOR153W	0.92812
119	YDR406W	0.92811
120	YBR235W	0.92811
121	YHR128W	0.92792
122	YJR001W	0.92787
123	YGR252W	0.9276
124	YOL158C	0.92759
125	YFL038C	0.92756
126	YJL108C	0.92733
127	YBL111C	0.92722
128	YJR156C	0.92721
129	YDR039C	0.92712
130	YDR046C	0.92684
131	YDR040C	0.92679
132	YMR243C	0.92678
133	YLR130C	0.92673
134	YPL036W	0.9267
135	YDR038C	0.92659
136	YCR028C	0.92655
137	YIL088C	0.92645
138	YDL244W	0.92643
139	YPL031C	0.92638
140	YNL095C	0.92636
