rank	yeast_gene	cosine
1	YNR032C-A	0.92448
2	YAL064C-A	0.92254
3	YFL066C	0.89665
4	YER072W	0.89334
5	YPL036W	0.8877
6	YGL008C	0.88703
7	YLR229C	0.88622
8	YKR059W	0.88314
9	YGL225W	0.88236
10	YDR540C	0.88186
11	YLR167W	0.88165
12	YDL192W	0.88144
13	YKR094C	0.88129
14	YIL148W	0.88129
15	YOR378W	0.87994
16	YFL039C	0.87955
17	YEL027W	0.87554
18	YGL255W	0.87369
19	YBL026W	0.87191
20	YPR165W	0.87078
21	YDL137W	0.87037
22	YJR065C	0.87027
23	YER177W	0.86956
24	YNL006W	0.86898
25	YEL013W	0.86885
26	YHL016C	0.86826
27	YLR044C	0.86825
28	YBL030C	0.86698
29	YKL190W	0.86693
30	YLR134W	0.86655
31	YBR164C	0.86635
32	YOR061W	0.86601
33	YFL026W	0.86554
34	YOR293W	0.86531
35	YDL055C	0.86333
36	YDR343C	0.86325
37	YDR342C	0.86194
38	YHR092C	0.86179
39	YFL058W	0.86155
40	YAL038W	0.86146
41	YDL229W	0.86118
42	YNL332W	0.86117
43	YKL218C	0.86045
44	YNL209W	0.8602
45	YDR345C	0.85975
46	YMR230W	0.85924
47	YER060W-A	0.8591
48	YJR156C	0.85843
49	YCR010C	0.85828
50	YDR129C	0.85781
51	YDL244W	0.85771
52	YPL086C	0.85766
53	YMR146C	0.85762
54	YOL086C	0.85687
55	YEL026W	0.8567
56	YER039C	0.85596
57	YPL218W	0.85577
58	YCR098C	0.85553
59	YMR303C	0.85549
60	YGL091C	0.85527
61	YJL108C	0.85518
62	YNL142W	0.85513
63	YKL152C	0.85497
64	YPL266W	0.85495
65	YHL047C	0.85445
66	YDL246C	0.85417
67	YJR159W	0.85416
68	YOR094W	0.854
69	YER025W	0.85377
70	YER148W	0.85368
71	YJL190C	0.85346
72	YJL214W	0.85338
73	YDR091C	0.85325
74	YNL104C	0.85275
75	YDL245C	0.8526
76	YHR096C	0.85221
77	YGR121C	0.85209
78	YJR158W	0.85199
79	YDR099W	0.85176
80	YPR138C	0.8516
81	YER009W	0.85151
82	YBR085W	0.85147
83	YPR182W	0.8513
84	YER056C	0.85126
85	YDR021W	0.85117
86	YJL213W	0.85107
87	YER081W	0.85104
88	YPR204W	0.85085
89	YKR039W	0.84992
90	YGR252W	0.84914
91	YLL024C	0.84905
92	YPR016C	0.84905
93	YMR011W	0.84898
94	YLR157C	0.8488
95	YLR160C	0.8488
96	YLR158C	0.8488
97	YLR155C	0.8488
98	YLR367W	0.84867
99	YHR094C	0.84858
100	YOR046C	0.8482
101	YKL196C	0.84795
102	YER060W	0.84754
103	YLR081W	0.84748
104	YEL066W	0.8473
105	YLR113W	0.84723
106	YLR293C	0.84713
107	YNR026C	0.84697
108	YIL074C	0.84671
109	YEL069C	0.84619
110	YOL133W	0.84614
111	YDL168W	0.84544
112	YDL182W	0.8452
113	YHL040C	0.84517
114	YHR218W-A	0.84512
115	YBL112C	0.84512
116	YLR303W	0.84506
117	YNR072W	0.84479
118	YAL005C	0.84469
