rank	yeast_gene	cosine
1	YBR043C	0.96863
2	YML018C	0.96247
3	YIL048W	0.96085
4	YER039C	0.96041
5	YIL088C	0.96021
6	YPL264C	0.95978
7	YBR287W	0.95886
8	YOR316C	0.95583
9	YMR253C	0.95565
10	YMR243C	0.95497
11	YOL119C	0.95474
12	YNR013C	0.95254
13	YGL077C	0.9523
14	YDL138W	0.95187
15	YNL329C	0.95163
16	YHR032W	0.95162
17	YEL064C	0.95149
18	YDR536W	0.95144
19	YOR306C	0.95128
20	YIL120W	0.9502
21	YDL194W	0.95009
22	YBR235W	0.94982
23	YPR003C	0.94974
24	YDR497C	0.94973
25	YKL146W	0.94964
26	YHL036W	0.94938
27	YFL026W	0.94899
28	YER119C	0.94894
29	YOL103W	0.9485
30	YIL121W	0.9485
31	YBR132C	0.94845
32	YML064C	0.94801
33	YML038C	0.94733
34	YEL065W	0.94733
35	YIL170W	0.9473
36	YIL035C	0.94719
37	YJR001W	0.94708
38	YFL011W	0.94707
39	YMR221C	0.94661
40	YBR294W	0.94626
41	YJL219W	0.94625
42	YML116W	0.94569
43	YOL137W	0.94505
44	YBL089W	0.94472
45	YNR072W	0.94462
46	YEL069C	0.9446
47	YBR008C	0.94449
48	YIL118W	0.94439
49	YOL092W	0.94402
50	YGR028W	0.9438
51	YMR080C	0.94374
52	YPL204W	0.94351
53	YIL166C	0.9435
54	YOL156W	0.94324
55	YLR092W	0.94275
56	YDL210W	0.94274
57	YKL166C	0.94266
58	YBR114W	0.94264
59	YNL125C	0.94261
60	YDR402C	0.94237
61	YOR378W	0.9423
62	YHR002W	0.942
63	YJR049C	0.94183
64	YDL006W	0.9414
65	YMR011W	0.94138
66	YPL236C	0.94127
67	YLR081W	0.94099
68	YKL126W	0.94087
69	YAL067C	0.94063
70	YMR279C	0.94058
71	YJL214W	0.94056
72	YCR023C	0.94016
73	YDL001W	0.9401
74	YOR380W	0.94008
75	YEL013W	0.93986
76	YGR010W	0.93986
77	YNL101W	0.93975
78	YHR096C	0.93963
79	YKR050W	0.93953
80	YEL041W	0.93931
81	YGR125W	0.93927
82	YGR040W	0.93921
83	YLL061W	0.93919
84	YKR105C	0.93918
85	YMR155W	0.93913
86	YNL020C	0.93906
87	YLR241W	0.93883
88	YNL270C	0.9387
89	YOL163W	0.93842
90	YOR307C	0.9384
91	YDR438W	0.93837
92	YHR094C	0.93828
93	YBR068C	0.9382
94	YCR011C	0.93813
95	YPL227C	0.93804
96	YLR152C	0.938
97	YOR092W	0.93799
98	YLL063C	0.93793
99	YOL060C	0.93781
100	YMR138W	0.93775
101	YPL265W	0.93773
102	YOR101W	0.93767
103	YGR224W	0.93748
104	YOR326W	0.93746
105	YOL068C	0.93732
106	YGL006W	0.93729
107	YDR338C	0.93724
108	YNR055C	0.93698
109	YBR180W	0.93697
110	YNL095C	0.93694
111	YDR135C	0.93684
112	YLR253W	0.93678
113	YBR069C	0.93676
114	YDL245C	0.93675
115	YGR191W	0.93671
116	YLR034C	0.93669
117	YER026C	0.93662
118	YPL274W	0.93618
119	YJL128C	0.93616
120	YGR152C	0.93612
121	YOL020W	0.9358
122	YKR106W	0.9357
123	YNL021W	0.93569
124	YGL225W	0.93569
125	YPL175W	0.93567
126	YNL318C	0.93564
127	YCR008W	0.93562
128	YEL060C	0.93561
129	YJR158W	0.93551
130	YCL073C	0.93528
131	YOR291W	0.93524
132	YOR241W	0.93513
133	YOL112W	0.93504
134	YBR293W	0.93498
135	YOR003W	0.9349
136	YGR055W	0.9348
137	YDR058C	0.93479
138	YFL055W	0.93473
139	YLR014C	0.93446
140	YJL093C	0.9344
141	YGL115W	0.93439
142	YLR328W	0.93413
143	YOR257W	0.93398
144	YHR132C	0.93396
145	YOR351C	0.93393
146	YPL050C	0.93393
147	YPL184C	0.93377
148	YCR028C	0.93374
149	Q0085	0.93372
150	YNL065W	0.9337
151	YPL208W	0.93365
152	YNL293W	0.93352
153	YFR048W	0.93336
154	YBL016W	0.93329
155	YAL026C	0.933
