rank	yeast_gene	cosine
1	YFL066C	0.93655
2	YAL064C-A	0.93615
3	YEL027W	0.92852
4	YLR167W	0.92744
5	YJL190C	0.92352
6	YEL026W	0.92333
7	YER025W	0.92203
8	YER072W	0.92147
9	YLR367W	0.92022
10	YPL086C	0.90792
11	YDR091C	0.9076
12	YLR229C	0.90487
13	YGL008C	0.90476
14	YNR032C-A	0.90455
15	YOR293W	0.90313
16	YPR016C	0.90294
17	YNL006W	0.90175
18	YDL083C	0.90172
19	YMR143W	0.90172
20	YPL266W	0.89979
21	YPL036W	0.89945
22	YNR053C	0.89936
23	YEL034W	0.89886
24	YER148W	0.89754
25	YPR165W	0.8965
26	YMR230W	0.89618
27	YER177W	0.89462
28	YBL026W	0.89435
29	YBR143C	0.8928
30	YLR175W	0.89227
31	YPR102C	0.89122
32	YGR085C	0.88984
33	YFL039C	0.88962
34	YGR118W	0.88864
35	YPR132W	0.88864
36	YJR047C	0.88757
37	YKL152C	0.88734
38	YKR059W	0.88724
39	YLL050C	0.88708
40	YKL218C	0.88685
41	YNL244C	0.88637
42	YJR007W	0.8843
43	YDR129C	0.88409
44	YLL024C	0.88355
45	YOR298C-A	0.88274
46	YER069W	0.88265
47	YGR252W	0.88261
48	YHR128W	0.88163
49	YJR065C	0.88143
50	YKL196C	0.88112
51	YIL148W	0.88097
52	YKR094C	0.88097
53	YGL091C	0.88048
54	YKR042W	0.88031
55	YAL005C	0.88
56	YLR359W	0.87996
57	YPR182W	0.87985
58	YBL087C	0.87955
59	YER117W	0.87955
60	YER056C-A	0.87863
61	YDR353W	0.87825
62	YIL052C	0.87812
63	YDR099W	0.87791
64	YLR044C	0.8776
65	YLL018C	0.87753
66	YDL229W	0.87709
67	YKR057W	0.87703
68	YDR339C	0.87703
69	YGL103W	0.87677
70	YMR260C	0.87627
71	YCR012W	0.87624
72	YEL013W	0.87595
73	YLR340W	0.87579
74	YNL209W	0.8757
75	YBL030C	0.87555
76	YHR203C	0.87555
77	YJR145C	0.87555
78	YPR080W	0.87549
79	YER103W	0.8753
80	YGR210C	0.87516
81	YOR327C	0.87436
82	YJL136C	0.87425
83	YOL086C	0.87423
84	YER178W	0.87409
85	YDR540C	0.87372
86	YBR249C	0.87316
87	YIL143C	0.87314
88	YLR134W	0.87306
89	YOR122C	0.87292
90	YMR303C	0.87285
91	YAR062W	0.87235
92	YHR213W	0.87235
93	YER081W	0.87232
94	YDL055C	0.87145
95	YOR046C	0.87131
96	YBL112C	0.87109
97	YHR218W-A	0.87109
98	YOR378W	0.87068
99	YGL225W	0.86905
100	YDR155C	0.86858
101	YFL058W	0.86836
102	YER007C-A	0.8682
103	YDL192W	0.8682
104	YGL255W	0.86813
105	YNL135C	0.86771
106	YNL332W	0.86759
107	YJL108C	0.86758
108	YJR153W	0.86749
109	YIL074C	0.86721
110	YMR109W	0.86674
111	YJL159W	0.86658
112	YGL256W	0.86646
113	YEL051W	0.86636
114	YJL014W	0.86626
115	YJL026W	0.86617
116	YDL208W	0.86609
117	YBR089C-A	0.86537
118	YPR204W	0.86519
119	YDL244W	0.86507
120	YJR156C	0.86502
121	YBR252W	0.86479
122	YJL213W	0.86463
123	YDL014W	0.8643
124	YDR454C	0.86373
125	YBL075C	0.86355
126	YJL050W	0.86343
127	YPL131W	0.86334
128	YAL038W	0.86314
129	YBR196C	0.86292
130	YHR174W	0.86266
131	YMR146C	0.86257
132	YLR028C	0.8625
133	YER009W	0.86232
134	YGR254W	0.8619
135	YGL030W	0.86187
136	YLR029C	0.86168
137	YDR023W	0.86151
138	YKL129C	0.86147
139	YGL062W	0.8614
140	YGL135W	0.86133
141	YPL220W	0.86133
142	YPR052C	0.86096
143	YHL016C	0.86064
144	YHR148W	0.86021
145	YBL071W-A	0.86015
146	YKL190W	0.85992
147	YKL164C	0.85981
148	YML024W	0.85973
149	YFL045C	0.85941
150	YDR471W	0.8594
151	YNL290W	0.85872
152	YDR447C	0.85853
153	YDR226W	0.85848
154	YDR059C	0.85838
155	YHR010W	0.85829
156	YFL026W	0.85821
157	YNL104C	0.85797
158	YOL133W	0.85775
159	YNL191W	0.85766
160	YBR106W	0.85746
161	YPL093W	0.85741
162	YLL039C	0.85725
163	YMR121C	0.85717
164	YLR303W	0.857
165	YDL168W	0.85696
166	YLR355C	0.85678
167	YHR018C	0.85674
168	YDR341C	0.8567
169	YOR061W	0.85667
170	YAL030W	0.85665
171	YDR510W	0.85663
172	YLR113W	0.85649
173	YMR120C	0.85628
174	YDL166C	0.85582
175	YDR343C	0.8558
176	YOL143C	0.85579
177	YOR224C	0.85566
178	YDR021W	0.85544
179	YJR159W	0.85532
180	YOR204W	0.85502
181	YBR154C	0.85492
182	YDR002W	0.85465
183	YDL246C	0.85455
184	YOL039W	0.85439
185	YBR082C	0.85435
186	YCR010C	0.85422
187	YDR342C	0.85401
188	YJL034W	0.85373
189	YGR282C	0.85353
190	YNL189W	0.85336
191	YDL137W	0.8529
192	YOL094C	0.85275
193	YER107C	0.85273
194	YGR231C	0.85247
195	YIL142W	0.85211
196	YBR085W	0.85206
197	YNL112W	0.85165
198	YJR148W	0.85162
199	YIR019C	0.8515
200	YLR147C	0.85132
201	YBR164C	0.85107
202	YAR050W	0.85077
203	YDL126C	0.85076
204	YCR047C	0.85005
205	YBR218C	0.84985
206	YGL011C	0.8498
207	YHR092C	0.84976
208	YMR290C	0.84962
209	YKL163W	0.84956
210	YBL091C	0.84956
211	YHR106W	0.84911
212	YNL064C	0.84895
213	YBR191W	0.8489
214	YPL079W	0.84855
215	YPL218W	0.84836
216	YIL078W	0.84833
217	YBR031W	0.84811
218	YJR104C	0.84801
219	YPL235W	0.84796
220	YPL129W	0.84758
221	YEL021W	0.84753
222	YDR012W	0.8475
223	YLR075W	0.84744
224	YOR257W	0.8474
225	YER179W	0.84728
226	YLR200W	0.84715
227	YPR033C	0.84702
228	YMR307W	0.84685
229	YER055C	0.84671
230	YHR211W	0.84636
231	YBR121C	0.84609
232	YIL169C	0.84608
233	YCL017C	0.84606
234	YDR382W	0.84582
235	YDR345C	0.84564
236	YML012W	0.84548
237	YLR249W	0.84545
238	YER060W-A	0.84514
239	YDR158W	0.8451
240	YER039C	0.84474
241	YER094C	0.84454
242	Q0130	0.84403
243	YPL106C	0.84396
244	YDL182W	0.84338
245	YBR145W	0.84331
246	YPL028W	0.84326
247	YJR025C	0.84313
248	YKL067W	0.84294
249	YNL259C	0.84283
250	YNL255C	0.8428
251	YDR050C	0.84259
252	YOR369C	0.84258
253	YMR305C	0.84254
254	YGR279C	0.84235
255	YPL237W	0.84228
256	YJL079C	0.8422
257	YNL241C	0.84208
258	YGR087C	0.84197
259	YDL130W	0.84163
260	YNL066W	0.84146
261	YJR009C	0.84129
262	YPR173C	0.84111
263	YKL216W	0.84098
264	YGR020C	0.84093
265	YCR057C	0.8409
266	YLR293C	0.84074
267	YHR183W	0.84073
268	YLL045C	0.84067
269	YEL077C	0.84066
270	YNL014W	0.8405
271	YLR208W	0.84044
272	YIL123W	0.84031
273	YJL052W	0.84014
274	YBL016W	0.83993
275	YKL148C	0.83987
276	YOR096W	0.83973
277	YLR438W	0.83959
278	YAR015W	0.83952
279	YFL017W-A	0.83932
280	YBL078C	0.83915
281	YML008C	0.83901
282	YDR190C	0.83886
283	YAL063C	0.83877
284	YOR270C	0.83858
285	YJL116C	0.83857
286	YKL024C	0.83845
287	YGR207C	0.83838
288	YDL006W	0.83831
289	YMR236W	0.83819
290	YCL009C	0.83811
291	YPL281C	0.83798
292	YOR393W	0.83798
293	YOR108W	0.83796
294	YML102W	0.83783
295	YGR027C	0.83741
296	YGR192C	0.83727
297	YPL234C	0.83715
298	YAL003W	0.83713
299	YNR026C	0.83707
300	YOR202W	0.8369
301	YJR077C	0.83685
302	YPL119C	0.8368
303	YGR132C	0.83674
304	YBR127C	0.8366
305	YER171W	0.83658
306	YMR116C	0.83636
307	YEL066W	0.83632
308	YKR080W	0.83632
309	YJL045W	0.83601
310	YPR110C	0.83587
311	YFR053C	0.83581
312	YNL096C	0.83574
313	YER057C	0.83567
314	YJR045C	0.83559
315	YCR098C	0.83555
316	YHR096C	0.83553
317	YLR259C	0.83547
318	YLR333C	0.83541
319	YJL121C	0.83519
320	YMR108W	0.835
321	YKR039W	0.835
322	YKR013W	0.83479
323	YMR323W	0.83475
324	YNL090W	0.83458
325	YHL033C	0.83456
326	YHR208W	0.83448
327	YHR200W	0.83425
328	YLR330W	0.83409
329	YDR232W	0.83403
330	YGR256W	0.83401
331	YMR300C	0.83392
332	YER056C	0.83388
333	YHL001W	0.83385
