rank	yeast_gene	cosine
1	YDR135C	0.99012
2	YLL015W	0.98903
3	YKL209C	0.98794
4	YLL048C	0.98749
5	YJR040W	0.98698
6	YIL013C	0.98466
7	YFL003C	0.98425
8	YKR001C	0.9841
9	YDL154W	0.98397
10	YHR132C	0.98353
11	YLL001W	0.98299
12	YPL006W	0.98282
13	YAL048C	0.9825
14	YGL006W	0.98241
15	YMR101C	0.98195
16	YBR274W	0.98162
17	YPL147W	0.98161
18	YNR019W	0.98159
19	YLR241W	0.9815
20	YDR263C	0.98104
21	YHR032W	0.98082
22	YGL140C	0.98049
23	YBR073W	0.98044
24	YGR125W	0.9804
25	YLR272C	0.98035
26	YOL113W	0.98027
27	YNR011C	0.98019
28	YPL060W	0.98011
29	YGL065C	0.97999
30	YDR182W	0.97997
31	YLL034C	0.97993
32	YBR110W	0.97985
33	YCR023C	0.97985
34	YGR266W	0.97981
35	YKR051W	0.97978
36	YKR103W	0.97977
37	YOL075C	0.97966
38	YDR292C	0.97958
39	YNR033W	0.97955
40	YGR271W	0.97955
41	YLR188W	0.97953
42	YPL236C	0.97938
43	YJL134W	0.97936
44	YCR092C	0.97929
45	YAR018C	0.97919
46	YKR104W	0.97917
47	YGR028W	0.97913
48	YDR097C	0.97905
49	YPR162C	0.97875
50	YMR162C	0.97869
51	YLR345W	0.97868
52	YNL065W	0.97861
53	YKR053C	0.9786
54	YER013W	0.97848
55	YNL056W	0.97848
56	YLR383W	0.97845
57	YNL321W	0.97842
58	YLR426W	0.97824
59	YPL227C	0.97814
60	YKL008C	0.97813
61	YJL082W	0.9781
62	YDR338C	0.97809
63	YKL126W	0.97809
64	YOR175C	0.97807
65	YHR120W	0.97806
66	YOL034W	0.97798
67	YKR086W	0.97784
68	YOR246C	0.97784
69	YOR291W	0.97781
70	YDR331W	0.97778
71	YER051W	0.97772
72	YBL105C	0.9777
73	YFR028C	0.97766
74	YLR446W	0.97759
75	YIL039W	0.97752
76	YKL017C	0.97748
77	YPR003C	0.97728
78	YHR031C	0.97723
79	YJL093C	0.97721
80	YDL017W	0.97719
81	YBR002C	0.97718
82	YIL047C	0.97714
83	YMR138W	0.97712
84	YPL122C	0.97707
85	YNL092W	0.97694
86	YNR012W	0.97693
87	YBR220C	0.97692
88	YLR143W	0.97672
89	YNL021W	0.9767
90	YOR011W	0.97667
91	YLR386W	0.97667
92	YPL164C	0.97662
93	YCL047C	0.97656
94	YNL229C	0.97656
95	YLR306W	0.97648
96	YPR180W	0.9764
97	YLR274W	0.97635
98	YDR211W	0.97628
99	YCR045C	0.97614
100	YIR026C	0.97601
101	YKR050W	0.97601
102	YNL102W	0.976
