rank	yeast_gene	cosine
1	YDL192W	0.94374
2	YDL137W	0.93996
3	YPL218W	0.93604
4	YKR059W	0.93443
5	YLR229C	0.93222
6	YPR165W	0.93094
7	YBR164C	0.93089
8	YBR241C	0.9295
9	YFL039C	0.92878
10	YDR345C	0.92872
11	YHR092C	0.92713
12	YPL203W	0.92374
13	YKL190W	0.92364
14	YER072W	0.92358
15	YDR343C	0.92351
16	YGL008C	0.92337
17	YDR342C	0.92282
18	YHR094C	0.92199
19	YPL036W	0.9218
20	YDL047W	0.92011
21	YOR094W	0.91813
22	YLR081W	0.91812
23	YJL214W	0.91798
24	YGL256W	0.91782
25	YMR011W	0.91726
26	YHR096C	0.91677
27	YNL189W	0.91667
28	YDL126C	0.91595
29	YNL090W	0.91577
30	YJL164C	0.91548
31	YDL006W	0.91544
32	YDL245C	0.91486
33	YJR158W	0.91421
34	YFL011W	0.91336
35	YPR183W	0.91268
36	YPR182W	0.91247
37	YKL024C	0.91214
38	YLR113W	0.91188
39	YDL229W	0.91118
40	YOL156W	0.91105
41	YNL209W	0.91064
42	YOR378W	0.91037
43	YNR072W	0.91036
44	YIL170W	0.91029
45	YEL069C	0.91001
46	YBR109C	0.90959
47	YGL255W	0.90956
48	YHL047C	0.90952
49	YDR021W	0.90909
50	YJL108C	0.90896
51	YDL084W	0.9086
52	YOR089C	0.9086
53	YLR293C	0.90803
54	YPR192W	0.90795
55	YJL219W	0.90795
56	YDR373W	0.90777
57	YFL038C	0.90746
58	YNL112W	0.90745
59	YGL225W	0.90739
60	YOR185C	0.90738
61	YMR290C	0.90715
62	YMR109W	0.90706
63	YDR155C	0.90666
64	YMR034C	0.90664
65	YHR218W-A	0.90647
66	YBL112C	0.90647
67	YBR160W	0.90644
68	YPR204W	0.90641
69	YER177W	0.90556
70	YOR257W	0.90543
71	YER009W	0.90537
72	YKR039W	0.90511
73	YDL134C	0.90496
74	YDR075W	0.90485
75	YOR204W	0.90476
76	YOR046C	0.90385
77	YLR234W	0.90364
78	YDL166C	0.9036
79	YLL024C	0.90336
80	YNL290W	0.90304
81	YPL266W	0.90264
82	YMR079W	0.90247
83	YNL135C	0.90237
84	YER031C	0.90205
85	YAL005C	0.90187
86	YER133W	0.90176
87	YBR261C	0.90082
88	YBL075C	0.90082
89	YCR010C	0.90082
90	YDL055C	0.90048
91	YBL016W	0.90014
92	YJL034W	0.90012
93	YER103W	0.90007
94	YGR123C	0.90005
95	YGL210W	0.89997
96	YJR065C	0.89976
97	YMR015C	0.89965
98	YAL020C	0.89956
99	YER060W-A	0.89954
100	YHL040C	0.89935
101	YKR094C	0.89921
102	YIL148W	0.89921
103	YMR246W	0.89845
104	YGR105W	0.89818
105	YDR129C	0.89815
