rank	yeast_gene	cosine
1	YPR204W	0.94525
2	YLR466W	0.94398
3	YEL077C	0.94392
4	YGR105W	0.94363
5	YER072W	0.94339
6	YDL222C	0.94015
7	YGL008C	0.93882
8	YJL108C	0.93762
9	YPL218W	0.93757
10	YPL036W	0.93697
11	YKL190W	0.93631
12	YER190W	0.93463
13	YOR270C	0.93451
14	YCR009C	0.9344
15	YMR034C	0.93345
16	YHL047C	0.93342
17	YML012W	0.93294
18	YPL221W	0.93252
19	YPL245W	0.93197
20	YMR109W	0.93172
21	YAR002C-A	0.93169
22	YGR231C	0.93095
23	YHR200W	0.93016
24	YNL288W	0.93007
25	YFL026W	0.93003
26	YHR218W	0.92978
27	YPR113W	0.92977
28	YHL040C	0.92892
29	YLR258W	0.92877
30	YGL120C	0.92862
31	YOR224C	0.92834
32	YOR204W	0.92829
33	YLL067C	0.92828
34	YFL066C	0.92828
35	YOR161C	0.92815
36	YHR218W-A	0.92775
37	YBL112C	0.92775
38	YIL143C	0.9274
39	YCR010C	0.9274
40	YHR030C	0.92686
41	YLR113W	0.92677
42	YHR110W	0.92657
43	YHL016C	0.92638
44	YOL129W	0.92582
45	YBR296C	0.92571
46	YPL094C	0.92552
47	YNR002C	0.92481
48	YCR047C	0.92479
49	YER074W-A	0.92459
50	YKL146W	0.92458
51	YKL129C	0.92451
52	YIL177C	0.92436
53	YLR326W	0.92423
54	YJL225C	0.92413
55	YPR182W	0.92411
56	YDR375C	0.92407
57	YER125W	0.92401
58	YLR168C	0.92392
59	YPL119C	0.92387
60	YOR257W	0.9238
61	YDL244W	0.92359
62	YFL058W	0.92359
63	YNL332W	0.92357
64	YLR186W	0.92352
65	YJL030W	0.92345
66	YJR156C	0.92341
67	YER145C	0.92331
68	YBR080C	0.9231
69	YLL066C	0.92307
70	YDR129C	0.92303
71	YER148W	0.92299
72	YBR164C	0.92285
73	YDR185C	0.92251
74	YEL051W	0.92243
75	YDL140C	0.92235
76	YLR467W	0.92226
77	YOR396W	0.92226
78	YDR545W	0.92226
79	YER177W	0.92223
80	YGL054C	0.9222
81	YFR015C	0.92214
82	YLR234W	0.92205
83	YKL196C	0.92172
84	YMR015C	0.9217
85	YML133C	0.92162
86	YPL235W	0.92144
87	YML102W	0.92142
88	YOR197W	0.92132
89	YGL139W	0.92131
90	YMR292W	0.92131
91	YPL199C	0.92123
92	YHL050C	0.92122
93	YJL014W	0.92117
94	YBR106W	0.92113
95	YDR099W	0.92101
96	YDL166C	0.921
97	YER060W-A	0.92079
98	YBL078C	0.92054
99	YER171W	0.9198
100	YPL246C	0.91961
101	YOL110W	0.91949
102	YNL339C	0.91942
103	YNL095C	0.91942
104	YPL283C	0.9194
105	YGR296W	0.9194
106	YBR187W	0.91913
107	YBL102W	0.91876
108	YBR241C	0.91867
109	YER159C	0.91851
110	YGL255W	0.91832
111	YER020W	0.9182
112	YKL013C	0.91811
113	YKR059W	0.91807
114	YOL038W	0.918
