rank	yeast_gene	cosine
1	YDL137W	0.94564
2	YBR241C	0.9445
3	YBR164C	0.94345
4	YDL192W	0.94253
5	YDR345C	0.93739
6	YHR094C	0.93591
7	YHR092C	0.93562
8	YJL214W	0.93478
9	YKR059W	0.93357
10	YOR094W	0.93298
11	YMR011W	0.93265
12	YLR081W	0.93218
13	YFL039C	0.93184
14	YPL218W	0.93175
15	YDR342C	0.93142
16	YDR343C	0.93141
17	YDL047W	0.93118
18	YHR096C	0.93085
19	YIL170W	0.93032
20	YDL245C	0.93004
21	YDL006W	0.92992
22	YJR158W	0.92974
23	YFL011W	0.92973
24	YOL156W	0.92918
25	YMR034C	0.92871
26	YPR183W	0.92861
27	YLR229C	0.9282
28	YNR072W	0.92811
29	YPL203W	0.92796
30	YEL069C	0.92759
31	YNL090W	0.92744
32	YJL219W	0.92739
33	YJL108C	0.92724
34	YKR039W	0.92699
35	YKL190W	0.92656
36	YPR165W	0.92654
37	YGL225W	0.9264
38	YFL038C	0.92638
39	YHL047C	0.9259
40	YKL024C	0.92589
41	YDR373W	0.92493
42	YOR378W	0.92482
43	YFL055W	0.92477
44	YGL255W	0.92416
45	YJL164C	0.92408
46	YNL189W	0.92349
47	YML018C	0.92321
48	YNL268W	0.92258
49	YER039C	0.92168
50	YDL134C	0.92104
51	YPR192W	0.92096
52	YDR536W	0.92071
53	YEL063C	0.92044
54	YHL040C	0.92041
55	YOR257W	0.92023
56	YDR075W	0.91965
57	YDR040C	0.91946
58	YLR113W	0.91939
59	YGL256W	0.91908
60	YER060W-A	0.91878
61	YMR079W	0.91835
62	YDR039C	0.91777
63	YOR089C	0.91763
64	YPL036W	0.91755
65	YER031C	0.91752
66	YBR160W	0.91751
67	YER133W	0.91747
68	YDR021W	0.91723
69	YGL210W	0.91717
70	YPL058C	0.91682
71	YNL270C	0.91681
72	YMR015C	0.9168
73	YER009W	0.91672
74	YER119C	0.91659
75	YBR187W	0.91643
76	YPR138C	0.91641
77	YER060W	0.91638
78	YJL167W	0.9162
79	YDR038C	0.91619
80	YMR246W	0.91616
81	YPL051W	0.91592
82	YER056C	0.91542
83	YCR098C	0.91534
84	YDL108W	0.91499
85	YOR348C	0.91464
86	YGL008C	0.91464
87	YML001W	0.91442
88	YCL025C	0.9144
89	YNL142W	0.91414
90	YHL016C	0.9139
91	YPL031C	0.91373
92	YBL016W	0.91363
93	YGR191W	0.91334
94	YMR109W	0.91316
95	YCR010C	0.91313
96	YER072W	0.91304
97	YDR046C	0.91299
98	YLL028W	0.91286
99	YDL128W	0.91241
100	YJR065C	0.91216
