rank	yeast_gene	cosine
1	YAL026C	0.97916
2	YGL120C	0.97892
3	YHR030C	0.97881
4	YER125W	0.97755
5	YER166W	0.9764
6	YER020W	0.97563
7	YKR002W	0.97335
8	YBR080C	0.97319
9	YPL203W	0.97278
10	YGL163C	0.9726
11	YKL104C	0.97229
12	YDL160C	0.97228
13	YLR170C	0.97217
14	YDL102W	0.97211
15	YNL288W	0.97198
16	YDR040C	0.97175
17	YDR039C	0.97143
18	YKL078W	0.97141
19	YDR093W	0.9712
20	YDL108W	0.971
21	YLR397C	0.97091
22	YDR373W	0.97069
23	YDL029W	0.97031
24	YDR038C	0.97021
25	YGR281W	0.97014
26	YHR107C	0.97012
27	YDL134C	0.96995
28	YHR005C	0.96993
29	YDL188C	0.96966
30	YDL001W	0.96965
31	YDR375C	0.96961
32	YGL167C	0.96956
33	YFR015C	0.96954
34	YPL119C	0.9695
35	YLR005W	0.9693
36	YPL031C	0.96925
37	YPR173C	0.96921
38	YER089C	0.96919
39	YBR160W	0.9691
40	YER171W	0.96905
41	YBR038W	0.96898
42	YGL201C	0.96883
43	YOR270C	0.96879
44	YDL097C	0.96876
45	YHR110W	0.96876
46	YLR113W	0.96872
47	YHL003C	0.96864
48	YNL093W	0.96864
49	YGR152C	0.96835
50	YMR109W	0.9683
51	YBR202W	0.96811
52	YOL021C	0.96796
53	YOR257W	0.96791
54	YML124C	0.9679
55	YDL047W	0.9678
56	YJR049C	0.96768
57	YJL164C	0.96743
58	YPL051W	0.9674
59	YOR117W	0.96736
60	YER133W	0.96734
61	YGL002W	0.96726
62	YMR034C	0.96723
63	YKL166C	0.96719
64	YML057W	0.96683
65	YGR040W	0.96683
66	YOL122C	0.9667
67	YOL038W	0.96658
68	YDR196C	0.96652
69	YJL050W	0.96646
70	YKL129C	0.96644
71	YDR021W	0.96641
72	YNL090W	0.96639
73	YNL098C	0.96639
74	YLR168C	0.96638
75	YDR404C	0.9663
76	YDR074W	0.96595
77	YJL198W	0.96594
78	YBL016W	0.96592
79	YMR054W	0.9659
80	YBR187W	0.96589
81	YML085C	0.96575
82	YPL259C	0.96571
83	YNL095C	0.96571
84	YOR326W	0.96571
85	YJR058C	0.96568
86	YDR075W	0.96566
87	YKL146W	0.9655
88	YGL200C	0.96543
89	YER026C	0.96529
90	YNL290W	0.96525
91	YEL031W	0.96515
92	YPL058C	0.96511
93	YGR218W	0.96511
94	YGR123C	0.96501
95	YOR089C	0.96492
96	YDR238C	0.96482
97	YDR185C	0.96482
98	YGL130W	0.96472
99	YOL075C	0.96461
100	YDL100C	0.96459
101	YHR135C	0.96449
102	YDR394W	0.96444
103	YDL230W	0.96434
104	YJL012C	0.96421
105	YDL166C	0.96419
106	YOR094W	0.96417
107	YCR009C	0.96398
108	YNL189W	0.96389
109	YOR204W	0.96388
110	YER145C	0.96387
111	YKL190W	0.96378
112	YKL145W	0.96371
113	YIL143C	0.96371
114	YDR135C	0.9637
115	YDL164C	0.96366
116	YPL015C	0.96362
117	YKR026C	0.96361
118	YNL112W	0.9636
119	YIL001W	0.96356
120	YBR235W	0.96349
121	YGR163W	0.9632
122	YFR009W	0.96319
123	YGR100W	0.96318
124	YNR032W	0.96318
125	YLR234W	0.96304
126	YDR258C	0.96301
127	YCL040W	0.963
128	YBR164C	0.96295
129	YDL007W	0.96295
130	YDR516C	0.96285
131	YHR065C	0.96275
132	YFR014C	0.96273
133	YNL330C	0.9627
134	YDR092W	0.96269
135	YLR398C	0.96268
136	YNR003C	0.96268
137	YPL175W	0.96264
138	YER019W	0.96258
139	YBR034C	0.96255
140	YPL221W	0.96253
141	YLR258W	0.96252
142	YBL023C	0.96248
143	YGL210W	0.96226
144	YEL032W	0.96226
145	YJL035C	0.96224
146	YOR381W	0.96207
147	YMR300C	0.96205
148	YPL245W	0.96203
149	YMR290C	0.96201
150	YLR268W	0.96199
151	YIL109C	0.96193
152	YDL018C	0.96192
