rank	yeast_gene	cosine
1	YDR488C	0.9574
2	YMR069W	0.95336
3	YGL126W	0.95162
4	YCL036W	0.94932
5	YNL307C	0.94836
6	YHR219W	0.94756
7	YKR040C	0.94661
8	YDR313C	0.94598
9	YKL145W	0.94491
10	YHL050C	0.94453
11	YNL148C	0.94232
12	YHL006C	0.94161
13	YMR180C	0.94107
14	YHL042W	0.94083
15	YOL110W	0.93935
16	YLL067C	0.9389
17	YLR141W	0.93881
18	YLL066C	0.93854
19	YBL021C	0.93834
20	YPL067C	0.93821
21	YNL339C	0.93814
22	YGR296W	0.93809
23	YPL283C	0.93809
24	YPL017C	0.93773
25	YER190W	0.93767
26	YJL065C	0.9371
27	YBL091C-A	0.93706
28	YDL145C	0.937
29	YLR258W	0.937
30	YJL225C	0.93653
31	YDL087C	0.93646
32	YER166W	0.93642
33	YIL177C	0.93628
34	YML133C	0.9361
35	YLR342W	0.93599
36	YLR467W	0.93596
37	YDR545W	0.93596
38	YOR396W	0.93596
39	YGL063W	0.93547
40	YJR084W	0.93534
41	YIR013C	0.9348
42	YCR020C-A	0.93399
43	YHR169W	0.93381
44	YJL210W	0.93371
45	YER147C	0.93362
46	YFR014C	0.93346
47	YGR247W	0.93247
48	YGR032W	0.93246
49	YHR030C	0.93196
50	YBR202W	0.93193
51	YOR117W	0.93187
52	YIR004W	0.93177
53	YPL213W	0.93163
54	YLL008W	0.93148
55	YFR015C	0.93133
56	YAL020C	0.93123
57	YDR093W	0.93119
58	YPL042C	0.93112
59	YMR263W	0.9309
60	YHR040W	0.93071
61	YGL058W	0.93061
62	YML068W	0.93051
63	YOR036W	0.93048
64	YOR145C	0.93046
65	YJR074W	0.93019
66	YER036C	0.92942
67	YML101C	0.92927
68	YGL201C	0.92922
69	YGL212W	0.92906
70	YDR394W	0.92824
71	YFR018C	0.92823
72	YGL043W	0.92809
73	YIL106W	0.92794
74	YLR234W	0.92789
75	YPL245W	0.92782
76	YBR228W	0.92781
77	YER146W	0.92775
78	YFL028C	0.92744
79	YBL023C	0.92742
