rank	yeast_gene	cosine
1	YDL192W	0.94018
2	YDL137W	0.93989
3	YLR229C	0.93366
4	YPR165W	0.93245
5	YKR059W	0.93171
6	YDR345C	0.93063
7	YHR092C	0.92964
8	YBR164C	0.92956
9	YFL039C	0.92945
10	YOR378W	0.92741
11	YDR343C	0.92736
12	YBR241C	0.92725
13	YDR342C	0.92709
14	YHR094C	0.92696
15	YMR011W	0.92631
16	YDL006W	0.92356
17	YLR081W	0.92295
18	YHR096C	0.92288
19	YJL214W	0.92267
20	YFL011W	0.92235
21	YIL170W	0.92194
22	YPL218W	0.92067
23	YGL225W	0.91993
24	YDL245C	0.91916
25	YER072W	0.91909
26	YDL047W	0.91856
27	YJR158W	0.91823
28	YKL190W	0.91815
29	YOL156W	0.918
30	YNR072W	0.91659
31	YEL069C	0.91615
32	YJL108C	0.91611
33	YJL219W	0.91573
34	YGL008C	0.91548
35	YOR094W	0.91545
36	YPL036W	0.9149
37	YGL255W	0.91471
38	YNL090W	0.91449
39	YGL256W	0.91397
40	YFL055W	0.91375
41	YER039C	0.91368
42	YER009W	0.91356
43	YKR039W	0.91348
44	YPR183W	0.91293
45	YPL203W	0.91145
46	YFL038C	0.9111
47	YHL047C	0.91033
48	YKL024C	0.90963
49	YDR021W	0.90898
50	YOR257W	0.90877
51	YML018C	0.9085
52	YMR034C	0.90792
53	YNL189W	0.90783
54	YJL164C	0.90773
55	YLR113W	0.90752
56	YDR075W	0.90693
57	YHR128W	0.90587
58	YER060W-A	0.9052
59	YER133W	0.90487
60	YHL040C	0.90443
61	YDR536W	0.90436
62	YEL027W	0.90374
63	YNL290W	0.9035
64	YPR182W	0.90344
65	YJR065C	0.90329
66	YKL218C	0.90324
67	YMR015C	0.90319
68	YFL066C	0.90303
69	YNL268W	0.90217
70	YBR160W	0.90181
71	YEL063C	0.90152
72	YCR098C	0.90141
73	YPR138C	0.90136
74	YBL016W	0.90079
75	YPL266W	0.90074
76	YDL134C	0.90069
77	YJL167W	0.9006
78	YMR109W	0.90016
79	YDR373W	0.90004
80	YBL112C	0.89972
81	YHR218W-A	0.89972
82	YHL016C	0.89946
83	YGL210W	0.89936
84	YER031C	0.89936
85	YER060W	0.89918
86	YER056C	0.89893
87	YER177W	0.89874
88	YDL126C	0.89858
89	YMR246W	0.8982
90	YNL142W	0.89787
91	YNL112W	0.89735
92	YPL234C	0.89726
93	YMR290C	0.89718
94	YCR010C	0.897
95	YNL270C	0.89698
96	YOL094C	0.89697
97	YBR082C	0.89683
98	YMR079W	0.89672
99	YOR089C	0.89657
100	YJL001W	0.89656
101	YNL006W	0.8965
102	YDR155C	0.89649
103	YGR282C	0.89619
104	YLL050C	0.8956
105	YDL166C	0.89552
106	YER119C	0.89545
107	YBR109C	0.89527
108	YNL209W	0.89523
109	YPR192W	0.89478
110	YOR046C	0.89476
111	YDR040C	0.89474
112	YDL229W	0.89473
113	YPR204W	0.8946
114	YML001W	0.89458
115	YDR059C	0.89425
116	YGR252W	0.89409
117	YGL001C	0.89391
118	YGR121C	0.89354
119	YBR187W	0.89353
120	YOR204W	0.8934
121	YKL196C	0.89327
122	YAL005C	0.89309
123	YDR039C	0.89303
124	YDR129C	0.89277
125	YCL025C	0.8927
126	YDR353W	0.89267
127	YKL033W-A	0.8926
128	YBL075C	0.89258
129	YMR279C	0.89256
130	YPL264C	0.89237
131	YLL024C	0.89223
132	YFL005W	0.8922
133	YER081W	0.89215
134	YPL058C	0.89213
135	YDL055C	0.89205
136	YDR099W	0.89205
137	YML012W	0.89194
138	YOR153W	0.89185
139	YHR106W	0.89168
140	YDL128W	0.89142
141	YDL168W	0.89142
142	YNL010W	0.89126
143	YPL051W	0.89125
144	YGR191W	0.89117
145	YBL026W	0.89109
146	YNL135C	0.89096
147	YDR038C	0.89085
148	YDR046C	0.8906
149	YFL058W	0.89022
150	YML123C	0.89008
151	YKL129C	0.89
152	YOR061W	0.88988
153	YOR348C	0.88968
154	YNR002C	0.88959
155	YNL332W	0.88943
156	YHR007C	0.88927
157	YDL244W	0.88919
158	YDR341C	0.88893
159	YJR156C	0.8888
160	YGR123C	0.88871
161	YER103W	0.88862
162	YJL213W	0.88854
163	YPL061W	0.88849
164	YGL167C	0.88827
165	YLR466W	0.88815
166	YER125W	0.888
167	YLR130C	0.88796
168	YDR196C	0.88789
169	YEL013W	0.88765
170	YJL050W	0.88755
171	YGR055W	0.88749
172	YPL031C	0.88746
173	YLR303W	0.88741
174	YDR406W	0.88737
175	YPL246C	0.88731
176	YOL038W	0.8869
177	YDL108W	0.88677
178	YKL166C	0.88674
179	YGR040W	0.88663
180	YEL077C	0.88649
181	YAL038W	0.88648
182	YPL119C	0.88642
183	YPR173C	0.88639
184	YDR519W	0.88618
185	YFL045C	0.88618
186	YLR347C	0.88616
187	YKR094C	0.88614
188	YIL148W	0.88614
189	YJL034W	0.88595
190	YBL030C	0.88591
191	YGL091C	0.88585
192	YFL026W	0.88583
193	YGL253W	0.88556
194	YLL028W	0.88525
195	YLR438C-A	0.88523
196	YBR261C	0.88519
197	YOR161C	0.88518
198	YOL158C	0.88483
199	YOL151W	0.88483
200	YLR234W	0.88481
201	YAL026C	0.88475
202	YBR296C	0.8847
203	YDR454C	0.88456
204	YGL087C	0.88455
205	YOR317W	0.88455
206	YDR091C	0.88452
207	YER020W	0.88447
208	YIL121W	0.8843
209	YDL084W	0.88395
210	YDL188C	0.88389
211	YPR113W	0.88387
212	YHR030C	0.8838
213	YOR122C	0.88362
214	YAL064C-A	0.88362
215	YHR057C	0.8836
216	YDR011W	0.88355
217	YOR185C	0.88338
218	YKL146W	0.88337
219	YOR157C	0.88331
220	YEL046C	0.88328
221	YJL014W	0.88321
222	YJR148W	0.88318
223	YNL098C	0.88316
224	YHR018C	0.88305
225	YER052C	0.88302
226	YDR497C	0.88298
227	YGR105W	0.88297
228	YER094C	0.88283
229	YJR105W	0.88255
230	YLR293C	0.88233
231	YOR388C	0.8821
232	YER057C	0.88195
233	YIL074C	0.88185
234	YBR085W	0.88177
235	Q0130	0.88174
236	YGL011C	0.88171
237	YDR404C	0.88154
238	YOR197W	0.88141
239	YDL210W	0.88135
240	YEL031W	0.88124
241	YEL065W	0.88119
242	YMR300C	0.88119
243	YGR281W	0.88116
244	YOL086C	0.88115
245	YFR053C	0.88113
246	YBR145W	0.88091
247	YLR034C	0.88089
248	YIL009W	0.88056
249	YDR540C	0.88049
250	YEL066W	0.88043
251	YAL061W	0.88014
252	YKR002W	0.87995
253	YJR159W	0.87992
254	YBR080C	0.87989
255	YNL274C	0.87981
256	YBR008C	0.87942
257	YEL064C	0.87937
258	YMR303C	0.87926
259	YAL020C	0.87917
260	YER148W	0.87913
261	YGR218W	0.8791
262	YOR347C	0.87903
263	YNR032C-A	0.87888
264	YMR292W	0.87885
265	YPR069C	0.87879
266	YOL162W	0.87869
267	YFL017W-A	0.87862
