rank	yeast_gene	cosine
1	YPL203W	0.94201
2	YHR030C	0.93874
3	YBR241C	0.93507
4	YHL047C	0.93307
5	YBR160W	0.92983
6	YLR113W	0.9293
7	YPL218W	0.92879
8	YPL031C	0.92707
9	YJL164C	0.92636
10	YPR113W	0.92561
11	YNL288W	0.92555
12	YLR234W	0.925
13	YHL040C	0.92493
14	YDL108W	0.92391
15	YHL003C	0.92356
16	YGR105W	0.9231
17	YBL016W	0.92292
18	YGL120C	0.92075
19	YMR034C	0.92047
20	YER125W	0.9203
21	YFR018C	0.92021
22	YDR185C	0.91995
23	YJL108C	0.91848
24	YLR168C	0.91772
25	YIL121W	0.91758
26	YER020W	0.91734
27	YNL307C	0.91704
28	YNL098C	0.91696
29	YMR109W	0.91694
30	YGR040W	0.91692
31	YPR192W	0.91685
32	YER190W	0.9167
33	YGR231C	0.91622
34	YDL128W	0.91622
35	YMR290C	0.91614
36	YGR152C	0.91604
37	YDL029W	0.91578
38	YGL126W	0.91567
39	YLR466W	0.91538
40	YGR138C	0.91529
41	YDR196C	0.91523
42	YGR218W	0.91523
43	YGR281W	0.91473
44	YKL190W	0.91435
45	YOR257W	0.91421
46	YJL196C	0.91385
47	YPL017C	0.9138
48	YOR084W	0.91379
49	YLL028W	0.91367
50	YBR187W	0.91332
51	YDL097C	0.91268
52	YHR094C	0.91267
53	YJR124C	0.91245
54	YAR002C-A	0.91241
55	YAL020C	0.91238
56	YOL158C	0.91236
57	YDR345C	0.91214
58	YDL222C	0.912
59	YHR135C	0.91185
60	YNL189W	0.91169
61	YNL290W	0.91168
62	YKR059W	0.91139
63	YBR164C	0.91136
64	YDL134C	0.91136
65	YDL160C	0.91101
66	YDL126C	0.911
67	YML018C	0.91089
68	YER133W	0.91075
69	YDR373W	0.91065
70	YJL214W	0.91056
71	YGL058W	0.91049
72	YCR028C	0.91044
73	YOR204W	0.91039
74	YLR081W	0.91034
75	YDR040C	0.91021
76	YLR258W	0.90989
77	YHR092C	0.90983
78	YNL090W	0.90979
79	YPR182W	0.90978
80	YDL047W	0.90969
81	YER119C	0.90969
82	YOR089C	0.90968
83	YER166W	0.90947
84	YKL166C	0.90942
85	YIL120W	0.90942
86	YOL021C	0.90911
87	YOL075C	0.90906
88	YPL067C	0.90893
89	YDR021W	0.90891
90	YGR123C	0.90891
91	YGL008C	0.90889
92	YPL119C	0.90889
93	YHR200W	0.90866
94	YKL146W	0.90863
95	YDR039C	0.90863
96	YNR055C	0.90848
97	YEL077C	0.90847
98	YDL084W	0.90842
99	YPR183W	0.90839
100	YDR328C	0.90838
101	YKL145W	0.90821
102	YER026C	0.90806
103	YKR002W	0.90799
104	YAL026C	0.90788
105	YPR204W	0.90773
106	YCR009C	0.90771
107	YPL036W	0.90762
108	YPL058C	0.90742
109	YPR173C	0.90735
110	YHR110W	0.90734
111	YDR545W	0.90732
112	YOR396W	0.90732
113	YLR467W	0.90732
114	YLL067C	0.90723
115	YMR015C	0.90722
116	YML012W	0.90718
117	YDR038C	0.90694
118	YDL245C	0.90687
119	YDL137W	0.90678
120	YJL225C	0.90665
121	YNL112W	0.90663
122	YIL177C	0.90663
123	YJR158W	0.90659
124	YOR273C	0.90641
125	YBR080C	0.90634
126	YNR072W	0.90632
127	YER072W	0.90617
128	YDR135C	0.90601
129	YOR117W	0.906
130	YGL063W	0.906
131	YFR015C	0.90597
132	YPL244C	0.9058
133	YDR404C	0.90569
134	YOR270C	0.90563
135	YNL339C	0.9056
136	YPL283C	0.90556
137	YGR296W	0.90555
138	YEL069C	0.90548
139	YMR222C	0.9054
140	YHR096C	0.90538
141	YDL188C	0.90532
142	YDL166C	0.90525
143	YOL156W	0.90523
144	YOR046C	0.90511
145	YKL104C	0.90501
146	YOR185C	0.90498
147	YLR438C-A	0.90487
148	YPL245W	0.90477
149	YDR342C	0.90474
150	YDR343C	0.9046
151	YML102W	0.90459
152	YFL011W	0.90453
153	YKL129C	0.90434
154	YMR079W	0.90433
155	YBR243C	0.90431
156	YMR056C	0.90431
157	YHR107C	0.90431
158	YKL217W	0.90415
159	YDL192W	0.90411
160	YJL219W	0.90411
161	YER039C	0.90396
162	YGL163C	0.90389
163	YNL154C	0.90385
164	YLR347C	0.90384
165	YBL102W	0.90382
166	YDR375C	0.90376
167	YNL093W	0.90372
168	YER019W	0.90371
169	YLL026W	0.90369
170	YER089C	0.90363
171	YAR035W	0.90351
172	YLL066C	0.90347
173	YBR043C	0.90328
174	YOL122C	0.9032
175	YJL050W	0.90312
176	YLR397C	0.90292
177	YLL060C	0.90291
178	YBL082C	0.90288
179	YHR032W	0.90279
180	YBR202W	0.90278
181	YHR189W	0.90273
182	YBL075C	0.90268
183	YML085C	0.90262
184	YHR169W	0.90259
185	YDR075W	0.90255
186	YHR218W	0.90252
187	YDR536W	0.90233
188	YOL110W	0.90233
189	YCR020C-A	0.90229
190	YCR048W	0.90228
191	YGL201C	0.9022
192	YDR092W	0.90212
193	YOR381W	0.9021
194	YOR094W	0.90207
195	YDL001W	0.90194
196	YLR170C	0.9018
197	YBR261C	0.90177
198	YML133C	0.9017
199	YER036C	0.90169
200	YGL167C	0.90163
201	YPR165W	0.90162
202	YNL095C	0.90159
203	YJL034W	0.9013
204	YHR065C	0.9013
205	YOR161C	0.90112
206	YKR053C	0.9011
207	YKL078W	0.9011
208	YPL246C	0.90109
209	YFR014C	0.90106
210	YDL006W	0.90096
211	YCR047C	0.90094
212	YLR229C	0.90088
213	YIL170W	0.90082
214	YML124C	0.90082
215	YGL225W	0.90081
216	YJR058C	0.90074
217	YIL143C	0.90059
218	YOL162W	0.9005
219	YLR193C	0.90043
220	YDL057W	0.90042
221	YOL103W	0.90037
222	YMR011W	0.90025
223	YJL014W	0.90023
224	YJR001W	0.90008
225	YPL042C	0.89999
226	YNL209W	0.89985
227	YOR061W	0.89982
228	YPL175W	0.89976
229	YER171W	0.89972
230	YOR187W	0.89966
231	YDR093W	0.89962
232	YDR394W	0.89957
233	YLR291C	0.89956
234	YDL230W	0.89955
235	YHL016C	0.89955
236	YHR005C	0.89947
237	YJL030W	0.8994
238	YIR022W	0.89934
239	YGL054C	0.89933
240	YHR218W-A	0.89929
241	YBL112C	0.89929
242	YCL073C	0.89929
243	YGL002W	0.89925
244	YGR065C	0.89923
245	YPL221W	0.89893
246	YNR057C	0.89888
247	YBR296C	0.89881
248	YNL125C	0.89859
249	YEL031W	0.89858
250	YPR156C	0.89857
251	YDL229W	0.89855
252	YLR293C	0.89845
253	YLR034C	0.89841
254	YNL268W	0.8984
255	YNL275W	0.89839
256	YKL024C	0.89837
257	YML123C	0.89832
258	YDL052C	0.89832
259	YOR197W	0.89821
260	YKR106W	0.89797
261	YHR050W	0.89792
262	YDL087C	0.89785
263	YMR197C	0.89784
264	YBR159W	0.89783
265	YER159C	0.89772
266	YMR279C	0.89765
267	YCL025C	0.89758
268	YHL050C	0.89742
269	YPL051W	0.89741
270	YER145C	0.89722
271	YLL053C	0.89722
272	YPL015C	0.89713
273	YBR038W	0.89711
274	YGL200C	0.89709
275	YOL038W	0.89707
276	YLR005W	0.89699
277	YDR406W	0.89699
278	YDR258C	0.8968
279	YOL147C	0.89676
280	YOR378W	0.89676
281	YIR028W	0.89642
282	YKL220C	0.89635
283	YCL040W	0.89633
284	YLR348C	0.89623
285	YBL021C	0.89622
286	YDR508C	0.89617
287	YGL255W	0.89617
288	YCR010C	0.89616
289	YOR087W	0.89614
290	YJR152W	0.89612
291	YJR049C	0.89612
292	YNR002C	0.89607
293	YPL264C	0.89598
294	YML057W	0.89593
295	YGL047W	0.89589
296	YDR238C	0.89578
297	YDR497C	0.89578
298	YLR268W	0.89578
299	YMR292W	0.89573
300	YFR009W	0.89561
301	YDL022W	0.89557
302	YJR084W	0.89555
303	YOL084W	0.8955
304	YMR183C	0.8955
305	YPL204W	0.89546
306	YPR051W	0.89543
307	YIR026C	0.89534
308	YJR112W-A	0.89526
309	YBR169C	0.89525
310	YDR297W	0.89525
311	YNL113W	0.89518
312	YJR074W	0.89511
313	YDL064W	0.89511
314	YOR348C	0.89509
315	YGR055W	0.89505
316	YBR008C	0.89492
317	YBR235W	0.89482
318	YER060W-A	0.89473
319	YGR203W	0.89466
320	YCR098C	0.89457
321	YPR103W	0.89454
322	YDR424C	0.8945
323	YLR426W	0.89445
324	YJL198W	0.89436
325	YER107C	0.8943
326	YCR060W	0.89422
327	YJR073C	0.89421
328	YBL111C	0.89417
329	YEL064C	0.89414
330	YDR129C	0.89407
331	YFL038C	0.89405
332	YDL102W	0.89386
333	YOR036W	0.89381
334	YHR190W	0.89376
335	YEL032W	0.89373
336	YNR032W	0.8937
337	YEL051W	0.89354
338	YDR456W	0.89351
339	YPL259C	0.89341
340	YNR003C	0.89338
341	YIR036C	0.8933
342	YDL018C	0.89326
343	YER060W	0.89322
