rank	yeast_gene	cosine
1	YBR241C	0.97878
2	YOL075C	0.9716
3	YDR456W	0.96954
4	YDR040C	0.96938
5	YDR039C	0.96897
6	YDR038C	0.96858
7	YGR138C	0.96583
8	YMR034C	0.96564
9	YER125W	0.96421
10	YML018C	0.96412
11	YLL028W	0.96401
12	YDR135C	0.96389
13	YJR124C	0.96318
14	YER119C	0.96308
15	YER026C	0.96304
16	YIL121W	0.96231
17	YGR281W	0.9623
18	YOL122C	0.96177
19	YPL051W	0.9614
20	YOL103W	0.96105
21	YNL093W	0.96105
22	YHL003C	0.96055
23	YGR224W	0.96048
24	YDR497C	0.96006
25	YEL064C	0.96005
26	YKR105C	0.96003
27	YJR001W	0.95986
28	YPL031C	0.9597
29	YDL134C	0.9594
30	YIL120W	0.95938
31	YDR508C	0.95857
32	YHR030C	0.95856
33	YER020W	0.9581
34	YOR273C	0.95791
35	YHR032W	0.95736
36	YPL092W	0.95729
37	YAL026C	0.95717
38	YPR156C	0.95694
39	YDL188C	0.95687
40	YBR295W	0.9567
41	YKL166C	0.95655
42	YCL069W	0.95646
43	YHL047C	0.95634
44	YOR087W	0.95634
45	YNR055C	0.95634
46	YOL158C	0.95621
47	YER166W	0.95616
48	YPL203W	0.9561
49	YJL214W	0.95538
50	YJR112W-A	0.95534
51	YKR053C	0.95505
52	YNL095C	0.95504
53	YGR055W	0.95497
54	YJL094C	0.95492
55	YER019W	0.95483
56	YOR381W	0.95482
57	YNR032W	0.95459
58	YNL307C	0.95453
59	YDR046C	0.9544
60	YDL128W	0.95423
61	YHR050W	0.95399
62	YGR152C	0.95385
63	YDL230W	0.95373
64	YDL108W	0.95372
65	YCL025C	0.9537
66	YDL047W	0.95369
67	YFL038C	0.95367
68	YDR093W	0.95347
69	YBR043C	0.95343
70	YER133W	0.95338
71	YPL246C	0.95324
72	YNL098C	0.95321
73	YER089C	0.95302
74	YAL022C	0.95301
75	YOL137W	0.95292
76	YHR094C	0.95282
77	YJL196C	0.95277
78	YCR011C	0.95264
79	YGL167C	0.95259
80	YLR130C	0.95223
81	YOR094W	0.95221
82	YBR187W	0.95211
83	YBR080C	0.95203
84	YER190W	0.9519
85	YGR065C	0.95178
86	YGR213C	0.95169
87	YOR101W	0.95155
88	YLR081W	0.9515
89	YDR196C	0.95147
90	YMR279C	0.95139
91	YER185W	0.9513
92	YLR034C	0.95128
93	YOL065C	0.95121
94	YGR191W	0.95121
95	YEL069C	0.95116
96	YNR072W	0.95114
97	YBR164C	0.95112
98	YPL264C	0.9511
99	YDL006W	0.95107
100	YGL006W	0.95097
101	YOR089C	0.95092
102	YOR380W	0.95074
103	YNL268W	0.95067
104	YNL125C	0.9506
105	YLR397C	0.95042
106	YHL040C	0.95037
107	YOL156W	0.95036
108	YDL245C	0.95009
109	YDR536W	0.95008
110	YJR158W	0.95007
111	YNL090W	0.94998
112	YHR175W	0.94962
113	YML001W	0.94949
114	YOR348C	0.94949
115	YJL219W	0.9494
116	YDR373W	0.94934
117	YDL137W	0.94926
118	YLR467W	0.9491
119	YDR545W	0.9491
120	YOR396W	0.9491
121	YJL164C	0.94899
122	YOL084W	0.94878
123	YHR005C	0.94877
124	YIR026C	0.94868
125	YDL029W	0.94863
126	YGR296W	0.94861
127	YPL283C	0.9486
128	YNL339C	0.94859
129	YDR384C	0.94856
130	YDR270W	0.94842
131	YPR113W	0.94832
132	YNR060W	0.94832
133	YKL220C	0.94831
134	YHR096C	0.9483
135	YKL146W	0.94818
136	YJL134W	0.94817
137	YMR138W	0.94817
138	YPR192W	0.94815
139	YJL198W	0.94796
140	YLR046C	0.94787
141	YCL073C	0.94778
142	YFL011W	0.94771
143	YDR084C	0.94763
144	YLR411W	0.94761
145	YOR161C	0.9476
146	YMR071C	0.94754
147	YKL078W	0.94732
148	YDR075W	0.94729
149	YDL160C	0.94729
150	YKL145W	0.94729
151	YLR092W	0.94729
152	YKR106W	0.94722
153	YIL088C	0.9472
154	YER145C	0.94707
155	YFL005W	0.94701
156	YBR235W	0.94696
157	YDR345C	0.94683
158	YOR034C	0.94677
159	YLR152C	0.94675
160	YMR080C	0.94674
161	YHR110W	0.94674
162	YNL288W	0.94674
163	YOR292C	0.94657
164	YBR068C	0.94652
165	YGL210W	0.94652
166	YIR028W	0.94652
167	YJL225C	0.94643
168	YIL177C	0.94643
169	YOR092W	0.94643
170	YGR040W	0.9464
171	YBR264C	0.94635
172	YBR160W	0.94633
173	YKL039W	0.94624
174	YOR084W	0.9461
175	YDR519W	0.94603
176	YCR023C	0.94602
177	YNL270C	0.94596
178	YLR466W	0.9459
179	YOR283W	0.9459
180	YLL067C	0.94582
181	YLL066C	0.94578
182	YPL058C	0.94572
183	YLR113W	0.94569
184	YDR264C	0.94567
185	YPL244C	0.94566
186	YHR092C	0.94564
187	YCR075C	0.9455
188	YML133C	0.94538
189	YDR090C	0.94527
190	YIL001W	0.94526
191	YCR048W	0.94514
192	YDL057W	0.94513
193	YGL047W	0.94496
194	YDL001W	0.94493
195	YER031C	0.94492
196	YPL274W	0.94486
197	YGL087C	0.94484
198	YPR103W	0.94483
199	YGL002W	0.94476
200	YMR054W	0.94472
201	YHR132C	0.94463
202	YEL063C	0.94442
203	YLR220W	0.94439
204	YIL170W	0.94429
205	YMR011W	0.94417
206	YDR074W	0.94409
207	YOR117W	0.94408
208	YDR411C	0.944
209	YOR079C	0.94396
210	YDL018C	0.94389
211	YML116W	0.94379
212	YOR326W	0.94375
213	YHL017W	0.94373
214	YFR018C	0.94367
215	YOR339C	0.94363
216	YBR296C	0.94355
217	YKL217W	0.94355
218	YDL097C	0.9433
219	YGR260W	0.94328
220	YGL200C	0.94325
221	YNL237W	0.94323
222	YPL218W	0.94316
223	YLR188W	0.94311
224	YBR220C	0.943
225	YHR218W	0.94291
226	YPL265W	0.94287
227	YPL206C	0.94275
228	YJR049C	0.94268
229	YBR038W	0.94265
230	YBR243C	0.9426
231	YOR384W	0.94253
232	YBR294W	0.9425
233	YOL016C	0.94247
234	YEL031W	0.94245
235	YPR003C	0.94244
236	YNL130C	0.94242
237	YPL221W	0.94237
238	YCR027C	0.94235
239	YLR241W	0.94232
240	YBR069C	0.94229
241	YDR516C	0.94222
242	YKR014C	0.9422
243	YMR243C	0.94218
244	YHR123W	0.94216
245	YOR131C	0.9421
246	YMR210W	0.94206
247	YKL190W	0.94191
248	YNL065W	0.9419
249	YKR026C	0.94189
250	YDR328C	0.94186
251	YBR021W	0.94168
