rank	yeast_gene	cosine
1	YNL307C	0.96338
2	YKL145W	0.96329
3	YCL036W	0.96281
4	YDR313C	0.96167
5	YMR180C	0.95883
6	YER166W	0.95828
7	YDR488C	0.95801
8	YLR342W	0.95619
9	YMR069W	0.95554
10	YDR093W	0.95526
11	YGR032W	0.95394
12	YDL145C	0.95384
13	YOR036W	0.95352
14	YPL042C	0.95344
15	YJR084W	0.9533
16	YML068W	0.95323
17	YBL091C-A	0.95318
18	YHL042W	0.9529
19	YGR296W	0.95287
20	YPL283C	0.95287
21	YNL339C	0.95285
22	YGL126W	0.95258
23	YNL148C	0.95218
24	YBL021C	0.95198
25	YER147C	0.95196
26	YHL050C	0.95195
27	YDL087C	0.95194
28	YIR004W	0.95191
29	YHR219W	0.95162
30	YPL213W	0.9511
31	YBR202W	0.95105
32	YOL110W	0.951
33	YDR545W	0.95094
34	YLR467W	0.95094
35	YOR396W	0.95094
36	YOR117W	0.95091
37	YBL023C	0.95078
38	YER190W	0.95076
39	YLL066C	0.95064
40	YJL210W	0.9506
41	YGL212W	0.95032
42	YFR014C	0.95023
43	YLL067C	0.94987
44	YHR040W	0.94986
45	YLL008W	0.94973
46	YJL065C	0.94972
47	YGL020C	0.94964
48	YCR076C	0.94962
49	YGL201C	0.94952
50	YGR281W	0.94894
51	YJL225C	0.9489
52	YDR490C	0.94885
53	YIL177C	0.94859
54	YML133C	0.94858
55	YPL017C	0.94801
56	YEL032W	0.94799
57	YBR204C	0.94761
58	YMR263W	0.94744
59	YML101C	0.9474
60	YOL084W	0.9471
61	YER125W	0.94691
62	YDL018C	0.94682
63	YIL106W	0.94663
64	YHR030C	0.94636
65	YOR145C	0.94625
66	YPR037C	0.94615
67	YIR026C	0.94613
68	YHL006C	0.94602
69	YLR258W	0.9459
70	YFR015C	0.94589
71	YDR394W	0.94583
72	YPL207W	0.94562
73	YLR141W	0.94556
74	YGL163C	0.94488
75	YGL043W	0.94475
76	YFL028C	0.94472
77	YGR247W	0.94468
78	YDL031W	0.94465
79	YOL016C	0.94451
80	YGR092W	0.94426
81	YPL151C	0.94391
82	YCR048W	0.94364
83	YER036C	0.94358
84	YBR228W	0.94351
85	YHR107C	0.94349
86	YJR074W	0.94344
87	YGL130W	0.94344
88	YPL067C	0.9434
89	YKL212W	0.94316
90	YNL326C	0.94293
91	YHR034C	0.94286
92	YCL010C	0.94265
93	YPL226W	0.94255
94	YPR188C	0.94243
95	YCR051W	0.94242
96	YCR020C-A	0.94209
97	YIL021W	0.94206
98	YKL186C	0.94188
99	YGL120C	0.94187
100	YGL063W	0.94175
101	YER159C	0.94164
102	YHR041C	0.94158
103	YMR054W	0.94154
104	YGL171W	0.94153
105	YDL160C	0.94149
106	YKR040C	0.94148
107	YBR023C	0.94146
108	YOR084W	0.94145
109	YPR082C	0.94131
110	YPL245W	0.94094
111	YGR029W	0.94093
112	YHR065C	0.94057
113	YLL026W	0.94056
114	YOL075C	0.94047
115	YFR009W	0.94043
116	YDL007W	0.94034
117	YHL003C	0.94033
118	YLR292C	0.94032
119	YLR276C	0.94029
120	YFR018C	0.93992
121	YOL018C	0.93984
122	YLR168C	0.93967
123	YGL048C	0.93952
124	YLR007W	0.93952
125	YGR026W	0.93944
126	YPR034W	0.93933
127	YNL098C	0.93928
128	YGL198W	0.93927
129	YFR004W	0.93925
130	YJL124C	0.9392
131	YNL288W	0.93915
132	YDR084C	0.93915
133	YFR051C	0.93905
134	YFL016C	0.939
135	YLR398C	0.93898
136	YGL058W	0.93898
137	YLR326W	0.93882
138	YNL240C	0.93871
139	YOL147C	0.93867
140	YFL002C	0.93866
141	YOR185C	0.9386
142	YER146W	0.93859
143	YBR112C	0.93838
144	YML067C	0.93832
145	YKL078W	0.93832
146	YIL154C	0.93829
147	YDL132W	0.93827
148	YAL020C	0.93805
149	YMR288W	0.93803
150	YNR003C	0.93782
151	YLR411W	0.93779
152	YLR072W	0.93772
153	YKL039W	0.93762
154	YGR058W	0.93759
155	YOR253W	0.93732
156	YHR169W	0.93716
157	YGL099W	0.93708
158	YAR002C-A	0.93702
159	YOL006C	0.93701
160	YOR034C	0.93692
161	YOR367W	0.93686
162	YJR058C	0.93675
163	YDL029W	0.93665
164	YNL323W	0.93654
165	YOL062C	0.93651
166	YER048C	0.93649
167	YOR087W	0.93647
168	YLR466W	0.93647
169	YOR341W	0.93646
170	YDL064W	0.9364
171	YDR056C	0.93631
172	YIL001W	0.93623
173	YLR234W	0.93592
174	YOR048C	0.93591
175	YDR334W	0.93589
176	YGL220W	0.93583
177	YOR165W	0.93578
178	YDL230W	0.9357
179	YNL232W	0.93566
180	YPR024W	0.93565
181	YLR065C	0.9356
182	YIL126W	0.93525
183	YAR023C	0.93522
184	YER020W	0.93517
185	YIR013C	0.93515
186	YMR319C	0.93512
187	YGL211W	0.93503
188	YHL017W	0.935
189	YDR468C	0.93499
190	YJL196C	0.93494
191	YML102W	0.93484
192	YLR384C	0.93481
193	YOR358W	0.93475
194	YPR111W	0.93473
195	YBR245C	0.93467
196	YOR213C	0.93446
197	YHR110W	0.93438
198	YGR047C	0.93435
199	YDR040C	0.93414
200	YMR214W	0.93412
201	YKL135C	0.9341
202	YOR103C	0.93406
203	YNR062C	0.93402
204	YDL057W	0.93401
205	YCR106W	0.93384
206	YNL024C	0.93382
207	YPR093C	0.93373
208	YAL042W	0.93367
209	YBL111C	0.93339
210	YMR306W	0.93334
211	YPL203W	0.93331
212	YKR018C	0.93327
213	YOR259C	0.93325
214	YDR185C	0.93315
215	YDR039C	0.93304
216	YDL222C	0.93299
217	YJR042W	0.93296
218	YDL123W	0.93293
219	YPL206C	0.93293
220	YJL115W	0.93291
221	YDR051C	0.93286
222	YDL072C	0.93286
223	YGL122C	0.93284
224	YDR167W	0.93275
225	YJR063W	0.93273
226	YLR019W	0.9327
227	YOL067C	0.93258
228	YMR264W	0.93257
229	YLR078C	0.93257
230	YIR012W	0.93253
231	YNL014W	0.93248
232	YJR112W-A	0.9324
233	YPR041W	0.9324
234	YEL077C	0.9324
235	YIL065C	0.93203
236	YDL084W	0.932
237	YCR069W	0.93199
238	YGL002W	0.93198
239	YDR258C	0.93197
240	YGL240W	0.93196
241	YNR011C	0.93194
242	YPL119C	0.93192
243	YER176W	0.93191
244	YPL015C	0.93189
245	YBR107C	0.93184
246	YPR204W	0.93179
247	YLR170C	0.9316
248	YOR086C	0.93159
249	YKL181W	0.93157
250	YHR218W	0.93157
251	YOR261C	0.93154
252	YAL007C	0.93154
253	YBR080C	0.93134
254	YGL019W	0.93131
255	YBR295W	0.9312
256	YER089C	0.93116
257	YAL019W	0.93114
258	YJR010C-A	0.93111
259	YDR038C	0.93088
260	YJL151C	0.93087
261	YML010W	0.93086
262	YJL030W	0.93082
263	YMR089C	0.93079
264	YPR103W	0.93069
265	YIL068C	0.93056
266	YBR038W	0.9305
267	YLR293C	0.93048
268	YDR411C	0.93035
269	YHL018W	0.93033
270	YBR091C	0.93026
271	YDR373W	0.93014
272	YOR116C	0.93001
273	YKL217W	0.93001
274	YLL036C	0.92992
275	YGL206C	0.92988
276	YOR361C	0.92987
277	YDL212W	0.92982
278	YOL072W	0.92973
279	YHR005C	0.92972
280	YAL026C	0.92955
281	YOR304W	0.92947
282	YBL102W	0.92931
283	YGR271W	0.92928
284	YJR055W	0.92911
285	YDL097C	0.92911
286	YAL035W	0.92909
287	YPR190C	0.92901
288	YML065W	0.9289
289	YDR456W	0.92885
290	YLR287C	0.92883
291	YOR155C	0.92861
292	YGR246C	0.92858
293	YJL117W	0.92849
294	YMR196W	0.92846
295	YFL037W	0.92835
296	YOR339C	0.92828
297	YGL200C	0.92825
298	YOR204W	0.92817
299	YDL126C	0.92809
300	YLR099C	0.92803
301	YNL061W	0.928
302	YLR145W	0.9279
303	YPL232W	0.92789
304	YMR222C	0.92789
305	YOR362C	0.92788
306	YBR236C	0.92787
307	YNR029C	0.9278
308	YBR155W	0.92778
309	YBL113C	0.92772
310	YDL008W	0.92767
311	YFL004W	0.92764
312	YCL033C	0.92751
313	YGR048W	0.92744
314	YDR188W	0.92744
315	YOR089C	0.92744
316	YPR086W	0.92732
317	YLL014W	0.92729
318	YJR129C	0.92719
319	YOR270C	0.92708
320	YLR249W	0.92707
321	YOR162C	0.92704
322	YMR132C	0.92704
323	YNL111C	0.92699
324	YDL110C	0.92699
325	YNL093W	0.92689
326	YGL106W	0.92688
327	YNL312W	0.92688
328	YFR041C	0.92687
329	YOR290C	0.92686
330	YGL017W	0.92685
331	YAL055W	0.92678
332	YKL075C	0.92657
333	YLL022C	0.92656
334	YJL164C	0.92654
335	YKL028W	0.92648
336	YHL002W	0.92648
337	YEL044W	0.92647
338	YDR164C	0.92644
339	YJR017C	0.92644
340	YMR183C	0.92643
341	YMR040W	0.92641
342	YKR002W	0.92632
343	YDL140C	0.92631
344	YDL079C	0.92622
345	YNL281W	0.92618
346	YLR390W	0.92617
347	YGR218W	0.92614
348	YKL128C	0.92613
349	YKL207W	0.92603
350	YJL033W	0.92601
351	YDL108W	0.92597
352	YPL024W	0.92596
353	YLR008C	0.92592
354	YDL092W	0.92592
355	YLR447C	0.92585
356	YMR285C	0.92578
357	YPR192W	0.92572
358	YHR168W	0.92572
359	YPR010C	0.92571
360	YMR197C	0.92565
361	YLR138W	0.92564
362	YMR128W	0.92563
363	YDR243C	0.9256
364	YPL002C	0.92554
365	YIR009W	0.92553
366	YOR077W	0.92544
367	YKL098W	0.92543
368	YHR191C	0.92535
369	YOL086W-A	0.92524
370	YML048W	0.92517
371	YPR161C	0.92515
372	YOR172W	0.92507
373	YCL011C	0.92505
374	YAL021C	0.92505
375	YGR100W	0.92498
376	YNL087W	0.92482
377	YAL039C	0.92479
378	YLR026C	0.92471
379	YKL220C	0.9247
380	YER017C	0.92468
381	YGR007W	0.92467
382	YIL030C	0.92466
383	YPR160W	0.92463
384	YOL065C	0.92461
385	YDR436W	0.92451
386	YDR177W	0.9244
387	YHL026C	0.92435
388	YGR074W	0.92423
389	YER164W	0.9242
390	YOR223W	0.9242
391	YDR238C	0.92418
392	YJL094C	0.92408
393	YIL016W	0.92405
394	R0020C	0.92404
395	YLR108C	0.92399
396	YBR267W	0.92395
397	YML098W	0.92394
398	YER029C	0.92394
399	YEL001C	0.92393
400	YOR039W	0.9239
401	YGR152C	0.92382
402	YGL070C	0.92382
403	YKL190W	0.92367
404	YGR295C	0.92365
405	Q0050	0.92347
406	YOR381W	0.92345
407	YDR328C	0.92336
408	YDL227C	0.92336
409	YLR449W	0.92327
410	YPL275W	0.92325
411	YJL198W	0.92322
412	YML077W	0.92321
413	YLR021W	0.92316
414	YKL022C	0.92313
415	YBR223C	0.9231
416	YDR135C	0.92309
417	YIR015W	0.92301
418	YGL166W	0.923
419	YGL078C	0.92294
420	YKR084C	0.92291
421	YLL023C	0.92283
422	YPL092W	0.92278
423	YMR265C	0.92275
424	YIR008C	0.92275
425	YHR189W	0.92273
426	YPR019W	0.9227
427	YPL058C	0.9227
428	YGR263C	0.92267
429	YLR196W	0.92262
430	YPL051W	0.92259
431	YMR266W	0.92258
432	YCR034W	0.92258
433	YIL047C	0.92258
434	YAR007C	0.92257
435	YPL012W	0.92254
436	YKL021C	0.92253
437	YGR123C	0.92239
438	YDR388W	0.92239
439	YER095W	0.92233
440	YIL161W	0.92231
441	YNL162W-A	0.92223
442	YCR059C	0.92223
443	YCR060W	0.92222
444	YNL328C	0.92208
445	YOR013W	0.92203
446	YAL058W	0.92202
447	YER180C-A	0.92194
448	YBR247C	0.92194
449	YPR088C	0.92193
450	YPL031C	0.92193
451	YDR264C	0.92188
452	YFR032C	0.92182
453	YPL108W	0.92165
454	YBR210W	0.92164
455	YBR162W-A	0.92163
456	YFL048C	0.92163
457	YLR418C	0.92161
458	YBL029C-A	0.9216
459	YPL217C	0.92154
460	YGR211W	0.92152
461	YPR173C	0.92148
462	YER110C	0.92144
463	YGL044C	0.92136
464	YOR283W	0.92136
465	YER100W	0.92133
466	YOR250C	0.92131
467	YER019W	0.92118
468	YCR011C	0.92117
469	YPR108W	0.92117
470	YKL160W	0.92116
471	YBR241C	0.92115
472	YHR200W	0.92105
473	YOL080C	0.92104
474	YML085C	0.92102
475	YNL095C	0.92096
476	YER026C	0.92095
477	YEL059C-A	0.9209
478	YLR397C	0.92088
479	YPL153C	0.92088
480	YIL103W	0.92085
481	YDR404C	0.92083
482	YMR034C	0.92074
483	YML124C	0.92071
484	YDR045C	0.92068
485	YLR186W	0.92066
486	YBR014C	0.92064
487	YOL073C	0.92063
488	YHR127W	0.92058
489	YGR138C	0.92056
490	YHR027C	0.92052
491	YGL054C	0.92051
492	YOR295W	0.92049
493	YJR020W	0.92046
494	YMR218C	0.92045
495	YHR192W	0.92043
496	YPL122C	0.92039
497	YNL207W	0.92039
498	YKL059C	0.92032
499	YOR292C	0.9203
500	YML087C	0.92028
501	YOR254C	0.92027
502	YOL122C	0.92024
503	YJL130C	0.92017
504	YGR245C	0.92012
505	YMR308C	0.92011
506	YER087C-B	0.92007
507	YML011C	0.92001
508	YMR020W	0.92
509	YML074C	0.92
510	YNL023C	0.91996
511	YGR144W	0.91994
512	YKL065C	0.91994
513	YDL051W	0.91994
514	YLL043W	0.9199
515	YDL134C	0.91987
516	YFR038W	0.91985
517	YGL208W	0.91985
518	YFL034W	0.91984
519	YBL050W	0.91978
520	YNR020C	0.91977
521	YGL051W	0.91974
522	YMR161W	0.91973
523	YBR170C	0.91972
524	YNL282W	0.91971
525	YPL095C	0.9197
526	YPL221W	0.91965
527	YML075C	0.91964
528	YGR285C	0.91956
529	YPL218W	0.91952
530	YMR316W	0.9195
531	YLR137W	0.91939
532	YDR074W	0.91937
533	YDR429C	0.91933
534	YNL007C	0.91931
535	YGL053W	0.91928
