rank	yeast_gene	cosine
1	YER025W	0.975
2	YLR175W	0.9709
3	YDR091C	0.96562
4	YNR053C	0.96477
5	YJR007W	0.96178
6	YGR252W	0.96153
7	YBR143C	0.96134
8	YPL266W	0.96073
9	YPL086C	0.95709
10	YPR016C	0.95394
11	YBL026W	0.95243
12	YLL050C	0.95148
13	YNL006W	0.95077
14	YKL196C	0.95053
15	YIL143C	0.95019
16	YER148W	0.95008
17	YMR109W	0.94977
18	YER069W	0.94901
19	YDR339C	0.94883
20	YJR065C	0.94865
21	YDR099W	0.948
22	YNL244C	0.94758
23	YHR128W	0.94745
24	YOR298C-A	0.94683
25	YOR327C	0.94669
26	YER177W	0.94657
27	YER081W	0.94574
28	YER007C-A	0.94517
29	YDR129C	0.94511
30	YER178W	0.94459
31	YKL129C	0.94447
32	YIL074C	0.94371
33	YOL094C	0.94344
34	YPL093W	0.94333
35	YLR359W	0.94318
36	YNL191W	0.94296
37	YJL050W	0.94267
38	YEL026W	0.94256
39	YJL014W	0.94243
40	YLL018C	0.94206
41	YFL066C	0.94179
42	YIL142W	0.94156
43	YJL026W	0.94122
44	YOR046C	0.94105
45	YNL290W	0.94097
46	YGR210C	0.94058
47	YBR154C	0.94043
48	YLR229C	0.94036
49	YAL030W	0.94021
50	YPR165W	0.93993
51	YPR182W	0.93927
52	YPL129W	0.93921
53	YOL133W	0.93891
54	YAL005C	0.93886
55	YMR260C	0.93884
56	YPR033C	0.93875
57	YDR341C	0.93865
58	YBR249C	0.93836
59	YOR204W	0.93786
60	YFL039C	0.93779
61	YDR059C	0.93773
62	YNL112W	0.93757
63	YOR257W	0.93745
64	YCL009C	0.93738
65	YPR052C	0.93729
66	YML069W	0.93676
67	YLR028C	0.93664
68	YEL027W	0.93662
69	YKR059W	0.93578
70	YER171W	0.93563
71	YKL218C	0.93536
72	YEL051W	0.93535
73	YLR113W	0.93532
74	YLL024C	0.93523
75	YDL208W	0.93506
76	YBR082C	0.93471
77	YDR002W	0.93392
78	YCL017C	0.93376
