rank	yeast_gene	cosine
1	YBR241C	0.95449
2	YJL196C	0.95112
3	YPR192W	0.9499
4	YNL307C	0.94892
5	YPL017C	0.94664
6	YPL218W	0.94578
7	YPR113W	0.94373
8	YGL054C	0.943
9	YHL003C	0.94205
10	YHL047C	0.94205
11	YGL126W	0.94201
12	YMR034C	0.9415
13	YHR030C	0.94121
14	YGR105W	0.9401
15	YLL053C	0.93954
16	YDL029W	0.9385
17	YOL147C	0.93844
18	YPL203W	0.93838
19	YOL158C	0.93803
20	YFR018C	0.93715
21	YDR185C	0.93696
22	YKL145W	0.93688
23	YOL075C	0.93658
24	YGR138C	0.93586
25	YJR124C	0.93586
26	YDL108W	0.93576
27	YOR381W	0.93539
28	YGL058W	0.93511
29	YJR112W-A	0.93508
30	YKL217W	0.93494
31	YBR210W	0.93479
32	YDR040C	0.93477
33	YLR258W	0.9347
34	YPL031C	0.93464
35	YER125W	0.93453
36	YOR084W	0.93453
37	YLL028W	0.93393
38	YDL222C	0.93377
39	YER166W	0.93329
40	YGR281W	0.93328
41	YLR168C	0.93313
42	YOL084W	0.93311
43	YOR161C	0.93308
44	YDR384C	0.93292
45	YDR039C	0.93286
46	YAR002C-A	0.93266
47	YKL220C	0.9326
48	YFR015C	0.93251
49	YOR117W	0.93249
50	YDR394W	0.93186
51	YDR038C	0.93167
52	YER020W	0.93142
53	YHL040C	0.93083
54	YPL067C	0.93081
55	YDR373W	0.93058
56	YGR065C	0.93035
57	YOL110W	0.93012
58	YLR342W	0.93006
59	YDR084C	0.92995
60	YBL102W	0.9299
61	YOR089C	0.92977
62	YCR034W	0.92928
63	YDL064W	0.92917
64	YHR110W	0.92899
65	YMR292W	0.92882
66	YNL288W	0.92878
67	YDR456W	0.92868
68	YGR032W	0.92794
69	YGL120C	0.92786
70	YHL042W	0.92786
71	YIL121W	0.92785
72	YCR048W	0.92778
73	YDL160C	0.92765
74	YNL098C	0.92741
75	YGL200C	0.92724
76	YAL020C	0.92717
77	YBL091C-A	0.92712
78	YBR164C	0.92709
79	YLR234W	0.92706
80	YOR185C	0.92699
81	YER190W	0.92671
82	YPL051W	0.92663
83	YHR107C	0.92648
84	YOL122C	0.92643
85	YBR160W	0.92631
86	YJR010C-A	0.9263
87	YNL326C	0.9263
88	YJR058C	0.92616
89	YDL018C	0.9261
90	YOR094W	0.92598
91	YJR074W	0.92588
92	YDL084W	0.92586
93	YPL246C	0.9258
94	YLL026W	0.92556
95	YNR055C	0.92552
96	YNR060W	0.92539
97	YBR296C	0.92517
98	YFR014C	0.92491
99	YPL058C	0.92465
100	YPL245W	0.92459
101	YLL060C	0.92459
102	YER119C	0.92444
103	YDR093W	0.92443
104	YBR187W	0.92439
105	YIL065C	0.92435
106	YMR222C	0.92423
107	YDL097C	0.92423
108	YGR131W	0.92409
109	YGL048C	0.92405
110	YJL164C	0.92392
111	YPL092W	0.92389
112	YNL093W	0.92381
113	YER026C	0.92378
114	YHR169W	0.92376
115	YKL190W	0.92352
116	YHL050C	0.92346
117	YDL123W	0.92343
118	YLL067C	0.92332
119	YER036C	0.92331
120	YDR135C	0.92321
121	YGR123C	0.92312
122	YJL214W	0.92291
123	YBL021C	0.92274
124	YJR084W	0.92248
125	YCL036W	0.92243
126	YLR347C	0.92238
127	YJL210W	0.92233
128	YDL230W	0.92224
129	YGR218W	0.92223
130	YLR113W	0.92218
131	YDL126C	0.9221
132	YML085C	0.922
133	YER019W	0.92194
134	YGL063W	0.92171
135	YNR002C	0.92167
136	YOR087W	0.92164
137	YLR170C	0.92151
138	YOR103C	0.92147
139	YLR326W	0.92138
140	YPR156C	0.92136
141	YDL128W	0.92126
142	YBR080C	0.92122
143	YDL137W	0.92112
144	YOR273C	0.92106
145	YLL066C	0.92102
146	YDL134C	0.92098
147	YML124C	0.92095
148	YKR053C	0.92093
149	YJL225C	0.92088
150	YGR213C	0.92088
151	YCR075C	0.92086
152	YAL026C	0.92085
153	YER089C	0.92082
154	YPL283C	0.92078
155	YGR296W	0.92078
156	YNL339C	0.92075
157	YLR467W	0.92074
158	YDR545W	0.92074
159	YOR396W	0.92074
160	YIL177C	0.92072
161	YJL094C	0.92072
162	YOR270C	0.92062
163	YLR378C	0.92054
164	YLR411W	0.92042
165	YKL039W	0.92032
166	YPL275W	0.92029
167	YGL002W	0.92027
168	YML102W	0.92025
169	YDL057W	0.92003
170	YNL189W	0.91999
171	YLR293C	0.9199
172	YPR082C	0.91981
173	YGL211W	0.91975
174	YLR466W	0.91974
175	YFL037W	0.91973
176	YPR183W	0.91973
177	YJR158W	0.91972
178	YOR348C	0.9197
179	YCR010C	0.91968
180	YER185W	0.91965
181	YIL120W	0.91959
182	YDR508C	0.91953
183	YPR103W	0.91947
184	YML133C	0.91943
185	YGR224W	0.91934
186	YPR024W	0.91932
187	YHR094C	0.91929
188	YDL245C	0.91928
189	YNL323W	0.91927
190	YDR258C	0.9192
191	YGR055W	0.91908
192	YMR054W	0.91905
193	YDR297W	0.91905
194	YHL017W	0.91893
195	YKR002W	0.91884
196	YDL047W	0.91879
197	YDR092W	0.91874
198	YPL206C	0.91872
199	YDR345C	0.91871
200	YHR175W	0.91866
201	YPL213W	0.91863
202	YIL114C	0.91849
203	YIR028W	0.91831
204	YHR050W	0.9183
205	YBR038W	0.91825
206	YLR034C	0.91823
207	YKL212W	0.91806
208	YLL014W	0.91806
209	YGL198W	0.91784
210	YKL078W	0.91777
211	YPL042C	0.91776
212	YMR069W	0.91771
213	YNL090W	0.91771
214	YGL167C	0.91769
215	YER145C	0.91766
216	YGL022W	0.91756
217	YJR001W	0.91753
218	YCL025C	0.91751
219	YDL192W	0.91749
220	YGR231C	0.9174
221	YNL268W	0.91723
222	YOL103W	0.91721
223	YPL015C	0.91713
224	YLR081W	0.91708
225	YPR149W	0.91708
226	YHL006C	0.91708
227	YKR105C	0.91708
228	YBL050W	0.91697
229	YMR071C	0.91689
230	YDR404C	0.91685
231	YCR009C	0.91682
232	YML012W	0.91678
233	YHR200W	0.91677
234	YNR072W	0.91676
235	YHR092C	0.91671
236	YDR196C	0.9166
237	YOR362C	0.91654
238	YBR202W	0.91653
239	YML018C	0.91648
240	YEL069C	0.91647
241	YAL007C	0.91646
242	YFR009W	0.91642
243	YML101C	0.91642
244	YDR525W-A	0.91638
245	YGL212W	0.91632
246	YKR040C	0.91631
247	YMR079W	0.91628
248	YGL020C	0.91627
249	YCL073C	0.91624
250	YDR033W	0.91617
251	YIR026C	0.91615
252	YDR424C	0.91597
253	YHR219W	0.91594
254	YDL212W	0.91586
255	YJL198W	0.91584
256	YPR028W	0.91578
257	YHR189W	0.91574
258	YLL023C	0.91569
259	YCR020C-A	0.91568
260	YDR313C	0.91565
261	YMR015C	0.91565
262	YDL188C	0.91564
263	YDR497C	0.91561
264	YIR022W	0.91561
