rank	yeast_gene	cosine
1	YHR189W	0.92781
2	YHR169W	0.92298
3	YKL086W	0.91776
4	YPL067C	0.91538
5	YPL218W	0.9086
6	YGL126W	0.90846
7	YOR224C	0.90817
8	YLR234W	0.90612
9	YLR258W	0.90458
10	YGR105W	0.90356
11	YCR060W	0.90213
12	YNL148C	0.90197
13	YGL058W	0.90176
14	YML102W	0.90047
15	YLL026W	0.8999
16	YDL014W	0.89965
17	YCR020C-A	0.89913
18	YPL017C	0.89854
19	YOR185C	0.89776
20	YPR204W	0.89769
21	YAL020C	0.89727
22	YBL003C	0.89695
23	YLR293C	0.89684
24	YDR225W	0.89665
25	YDL084W	0.89661
26	YMR214W	0.89618
27	YER036C	0.89564
28	YPR182W	0.89539
29	YDR488C	0.89531
30	YGL063W	0.89469
31	YGL211W	0.89437
32	YOL086W-A	0.89434
33	YGL008C	0.89419
34	YBR261C	0.89397
35	YLR147C	0.8934
36	YPL203W	0.89301
37	YOL005C	0.89297
38	YER095W	0.89229
39	YHL050C	0.89216
40	YER146W	0.8919
41	YOL110W	0.89141
42	YMR222C	0.89128
43	YHR218W-A	0.89114
44	YBL112C	0.89114
45	YGL070C	0.89034
46	YMR290C	0.89032
47	YDL126C	0.89028
48	YAR002C-A	0.89028
49	YPL245W	0.8898
50	YOL012C	0.88977
51	YBR010W	0.88958
52	YLR186W	0.88935
53	YGR231C	0.88927
54	YMR069W	0.88908
55	YNL075W	0.8889
56	YBL021C	0.88837
57	YGL120C	0.88799
58	YHR143W-A	0.88749
59	YHL006C	0.88721
60	YKL190W	0.88715
61	YEL051W	0.88664
62	YLR466W	0.88631
63	YLL060C	0.88611
64	YHR030C	0.88602
65	YER190W	0.88587
66	YJL030W	0.88586
67	YER159C	0.88567
68	YNL064C	0.8855
69	YEL077C	0.88522
70	YDL064W	0.88516
71	YBL113C	0.885
72	YER072W	0.88498
73	YER148W	0.8846
74	YPL036W	0.88441
75	YDL087C	0.88421
76	YHR065C	0.8841
77	YFR015C	0.88363
78	YJL065C	0.8835
79	YDR185C	0.88348
80	YOR204W	0.88343
81	YDR394W	0.88302
82	YNL185C	0.88282
83	YOL147C	0.88279
84	YHR170W	0.88262
85	YPL129W	0.88247
86	YJR074W	0.88221
87	YGR063C	0.88217
88	YKL145W	0.88206
89	YGL048C	0.88155
90	YDR424C	0.88136
91	YOR117W	0.88133
92	YLR249W	0.88118
93	YLR168C	0.8806
94	YHR200W	0.88056
95	YMR109W	0.8804
96	YDR339C	0.87986
97	YNL014W	0.87984
98	YNL307C	0.8798
99	YHR070W	0.87971
100	YDL229W	0.87968
101	YLL067C	0.87958
102	YOL143C	0.87952
103	YOR133W	0.87948
104	YFR018C	0.87914
105	YOR046C	0.87904
106	YGR207C	0.87874
107	YNL209W	0.87871
108	YLL008W	0.87867
109	YDR190C	0.87844
110	YCR047C	0.87843
111	YMR116C	0.87841
112	YPR041W	0.87834
113	YOR259C	0.87819
114	YDR224C	0.87782
115	YFR014C	0.8776
116	YNL332W	0.87742
117	YFL058W	0.8773
118	YBL002W	0.87701
119	YDL244W	0.87697
120	YDL166C	0.87693
121	YJL014W	0.87688
122	YGL043W	0.87682
123	YPL211W	0.87676
124	YGL054C	0.87675
125	YOR145C	0.87673
126	YGR204W	0.87668
127	YGR214W	0.87667
128	YDL222C	0.87654
129	YJL225C	0.8765
130	YML098W	0.87648
131	YIL177C	0.87639
132	YNL113W	0.87635
133	YHL018W	0.87568
134	YPL043W	0.87568
135	YDR381W	0.87562
136	YIR013C	0.87561
137	YDR086C	0.8756
138	YDR429C	0.87559
139	YMR230W	0.87544
140	YKL156W	0.87544
141	YJR156C	0.87541
142	YBL078C	0.87529
143	YLR438C-A	0.87516
144	YGR245C	0.87477
145	YOR187W	0.87471
146	YBL091C-A	0.87452
147	YGL099W	0.87452
148	YLL066C	0.8744
149	YNL255C	0.87414
150	YHR219W	0.87411
151	YML085C	0.87407
152	YJL034W	0.87395
153	YNR036C	0.87394
154	YLL053C	0.8739
155	YPR192W	0.87372
156	YNL339C	0.87369
157	YOR396W	0.87366
158	YLR467W	0.87366
159	YDR545W	0.87366
160	YGL220W	0.87364
161	YPL283C	0.87357
162	YGR296W	0.87355
163	YHR107C	0.87349
164	YPL119C	0.87342
165	YNL189W	0.87336
166	YCL033C	0.87334
167	YER107C	0.87331
168	YHR021C	0.87327
169	YNL112W	0.87322
170	YJL210W	0.87322
171	YJL164C	0.87296
172	YER074W-A	0.87293
173	YDL160C	0.87278
174	YJR014W	0.87275
175	YIL021W	0.87269
176	YNR073C	0.87256
177	YEL070W	0.87256
178	YGR211W	0.87244
179	YCL036W	0.87234
180	YML101C	0.87226
181	YOR089C	0.87223
182	YDL140C	0.87222
183	YLR113W	0.8722
184	YEL034W	0.87195
185	YBR252W	0.87193
186	YDR172W	0.87188
187	YLR048W	0.87153
188	YKR059W	0.87146
189	YJR047C	0.87142
190	YMR095C	0.8714
191	YGR218W	0.87115
192	YER018C	0.87106
193	YCL010C	0.87087
194	YML133C	0.87069
195	YPR163C	0.87062
196	YKL129C	0.87048
197	YOR084W	0.87043
198	YHR191C	0.87014
199	YGL078C	0.87007
200	YBR160W	0.87006
201	YPL213W	0.86992
202	YDR404C	0.86976
203	YDR238C	0.86969
204	YGR247W	0.86947
205	YKR040C	0.86945
206	YOR293W	0.86928
207	YDR300C	0.86901
208	YGR210C	0.86899
209	YPL240C	0.86892
210	YEL066W	0.86891
211	YLR074C	0.86887
212	YPR080W	0.86885
213	YKL160W	0.8687
214	YMR186W	0.86865
215	YMR236W	0.86844
216	YLR141W	0.86834
217	YHR148W	0.86827
218	YOL021C	0.86805
219	YCR009C	0.86799
220	YNL288W	0.86774
221	YEL054C	0.86773
222	YDR418W	0.86773
223	YML124C	0.86767
224	YKL013C	0.86766
225	YKR002W	0.86756
226	YER166W	0.86744
227	YFR004W	0.86739
228	YPR183W	0.86728
229	YBL102W	0.86721
230	YDR092W	0.86704
231	YER043C	0.86704
232	YDR021W	0.86699
233	YKR081C	0.86697
234	YHR218W	0.8668
235	YBR089C-A	0.86667
236	YFR032C	0.86665
237	YLR145W	0.8666
238	YGR020C	0.86659
239	YJL050W	0.86653
240	YPL013C	0.86639
241	YDL022W	0.86639
242	YFR009W	0.86637
243	YDL029W	0.86632
244	YDL092W	0.86619
245	YMR310C	0.86597
246	YBR009C	0.86584
247	YOR020C	0.86578
248	YPL235W	0.86571
249	YOR036W	0.8657
250	YPL143W	0.86566
251	YML012W	0.86563
252	YOR077W	0.86555
253	YNR003C	0.86554
254	YGR123C	0.86551
255	YPR173C	0.86545
256	YNR057C	0.8653
257	YIR015W	0.86522
258	YJR058C	0.86516
259	YOR234C	0.86506
260	YPL106C	0.865
261	YER125W	0.86499
262	YGR234W	0.86476
263	YDL145C	0.86475
264	YHR040W	0.8647
265	YLR264W	0.86454
266	YJR063W	0.86453
267	YGR203W	0.86444
268	YDL055C	0.86426
269	YGL163C	0.86424
270	YOR362C	0.86424
271	YDR373W	0.86423
272	YBR154C	0.8642
273	YJR069C	0.86415
274	YLR281C	0.86406
275	YJR084W	0.86398
276	YHL015W	0.86393
277	YDL051W	0.86388
278	YDL097C	0.86379
279	YDR510W	0.86378
280	YDR129C	0.86371
281	YOL006C	0.8637
282	YIR009W	0.8637
283	YBR109C	0.86361
284	YPR082C	0.86349
285	YOL038W	0.86319
286	YDL108W	0.86313
287	YHL047C	0.86293
288	YLR197W	0.8629
289	YEL037C	0.86289
290	YNL007C	0.86285
291	YPR088C	0.86264
292	YOR252W	0.86264
293	YER004W	0.8626
294	YJL196C	0.86252
295	YGL212W	0.86238
296	YOL139C	0.86233
297	YNL098C	0.86224
298	YCL059C	0.86214
299	YOR167C	0.86208
300	YBR202W	0.86207
301	YPR113W	0.86185
