rank	yeast_gene	cosine
1	YEL013W	0.94895
2	YER039C	0.94686
3	YLR113W	0.94545
4	YFL026W	0.94383
5	YDR021W	0.94382
6	YOR061W	0.94327
7	YOR378W	0.94256
8	YGL225W	0.94203
9	YKR059W	0.94195
10	YLR229C	0.941
11	YML018C	0.94012
12	YFL066C	0.93992
13	YBL016W	0.93968
14	YDL006W	0.93827
15	YER072W	0.93818
16	YPR165W	0.93742
17	YNL290W	0.9371
18	YOR257W	0.93698
19	YNL006W	0.93639
20	YHR092C	0.93555
21	YLR081W	0.93464
22	YJL214W	0.93447
23	YHR218W	0.93411
24	YEL069C	0.93319
25	YHR096C	0.93319
26	YHR094C	0.93314
27	YDR342C	0.93313
28	YDR345C	0.93296
29	YKL146W	0.9329
30	YHL047C	0.93289
31	YIL143C	0.93287
32	YDR343C	0.93278
33	YNR072W	0.93248
34	YFL011W	0.93234
35	YDL245C	0.93204
36	YGL008C	0.93165
37	YPL036W	0.93157
38	YEL077C	0.93124
39	YHL040C	0.93063
40	YLR466W	0.93063
41	YJR158W	0.93062
42	YGR040W	0.93054
43	YMR011W	0.93046
44	YJL219W	0.93027
45	YOL156W	0.9301
46	YPR204W	0.92969
47	YJR065C	0.92957
48	YBR160W	0.92924
49	YIL170W	0.92894
50	YNL090W	0.9289
51	YKL190W	0.92864
52	YHR030C	0.92838
53	YMR109W	0.92829
54	YPL203W	0.92828
55	YER081W	0.92747
56	YMR015C	0.92709
57	YDR536W	0.92703
58	YKL129C	0.92672
59	YHL016C	0.92658
60	YCR098C	0.9263
61	YJL050W	0.92585
62	YBR164C	0.9258
63	YER133W	0.9251
64	YBL111C	0.92508
65	YBR080C	0.92466
66	YMR290C	0.92442
67	YBR241C	0.92435
68	YCR047C	0.92427
69	YGL255W	0.92403
70	YDL137W	0.92395
71	YOL094C	0.92341
72	YOR046C	0.92278
73	YJL164C	0.92261
74	YGR252W	0.92257
75	YIL074C	0.92255
76	YEL065W	0.92209
77	YDL047W	0.92204
78	YBR114W	0.92201
79	YBL112C	0.9218
80	YHR218W-A	0.9218
81	YFL039C	0.92147
82	YHR128W	0.92145
83	YDL001W	0.92135
84	YPL119C	0.92115
85	YGR152C	0.92102
86	YDL192W	0.92083
87	YER052C	0.92055
88	YER171W	0.9205
89	YMR034C	0.9203
90	YER190W	0.91986
91	YLL067C	0.91967
92	YJR049C	0.91939
93	YAL026C	0.91878
94	YBR043C	0.91868
95	YDR075W	0.91796
96	YOL162W	0.91787
97	YEL031W	0.91775
98	YPR173C	0.9177
99	YJL108C	0.91765
100	YPR016C	0.91738
101	YPL266W	0.91731
102	YBR235W	0.91722
103	YOR204W	0.9172
104	YDR129C	0.91709
105	YOR270C	0.91703
106	YPR182W	0.91701
107	YER148W	0.91673
108	YKL104C	0.91664
109	YOR094W	0.91638
110	YGL210W	0.91623
111	YIL035C	0.91616
112	YIL048W	0.91614
113	YKL166C	0.91611
114	YBL026W	0.91605
115	YFL017W-A	0.91598
116	YPL175W	0.91593
117	YMR243C	0.9159
118	YFL055W	0.91581
119	YJR068W	0.91579
120	YJR156C	0.91558
121	YML123C	0.9153
122	YER119C	0.91525
123	YLR092W	0.91508
124	YNL332W	0.91502
125	YHR007C	0.91489
126	YFL058W	0.91471
127	YDL244W	0.91468
128	YLL066C	0.91465
129	YKR039W	0.91443
130	YML133C	0.91431
131	YIL177C	0.91426
132	YPL218W	0.91416
133	YJL225C	0.91373
134	YDR099W	0.91358
135	YDR375C	0.91312
136	YNL125C	0.91304
137	YER069W	0.91301
138	YER177W	0.91301
139	YMR146C	0.91289
140	YOL066C	0.9127
141	YPR138C	0.91261
142	YIL121W	0.91237
143	YGL087C	0.91223
144	YLR438C-A	0.91221
145	YMR080C	0.9122
146	YNL095C	0.912
147	YML001W	0.91196
148	YLR130C	0.91179
149	YDR091C	0.91159
150	YER031C	0.91133
151	YFL038C	0.91131
152	YDL166C	0.91128
153	YNR026C	0.91086
154	YNL098C	0.91084
155	YNL189W	0.91056
156	YNL268W	0.91056
157	YKR002W	0.91053
158	YOR396W	0.91048
159	YDR545W	0.91048
160	YLR467W	0.91048
161	YDR039C	0.91023
162	YMR279C	0.91005
163	YNL112W	0.9099
164	YML064C	0.90958
165	YPL031C	0.90953
166	YDR040C	0.90952
167	YOR092W	0.90952
168	YJR001W	0.90949
169	YDL134C	0.90949
170	YPL204W	0.90932
171	YOR380W	0.90928
172	YDR038C	0.90915
173	YGL167C	0.90913
174	YJL198W	0.90884
175	YBR222C	0.90878
176	YBR294W	0.90877
177	YLR034C	0.90869
178	YGL120C	0.90869
179	YCR057C	0.90864
180	YDR497C	0.90861
181	YOL021C	0.9086
182	YNL270C	0.90851
183	YOR153W	0.9081
184	YPL246C	0.90783
185	YOL038W	0.90762
186	YDL126C	0.90758
187	YPR183W	0.90756
188	YPL264C	0.90753
189	YGR296W	0.90753
190	YPL283C	0.90752
191	YNL339C	0.90751
192	YEL063C	0.90751
193	YDR196C	0.90748
194	YNL191W	0.90737
195	YDL108W	0.90734
196	YCL009C	0.90731
197	YMR221C	0.90724
198	YGL115W	0.90722
199	YBR296C	0.90721
200	YPL221W	0.90714
201	YER025W	0.90707
202	YCR008W	0.90704
203	YBR126C	0.90689
204	YOL122C	0.90687
205	YPL051W	0.90669
206	YER125W	0.90666
207	YJL128C	0.90658
208	YIL009W	0.90652
209	YJR095W	0.90651
210	YBR187W	0.90633
211	YKR080W	0.90632
212	YOR157C	0.90631
213	YDR406W	0.90629
214	YEL064C	0.90611
215	YER020W	0.9061
216	YBR287W	0.90608
217	YGL091C	0.9059
218	YLR005W	0.90589
219	YOR326W	0.90584
220	YLR328W	0.90576
221	YHR135C	0.90573
222	YKL218C	0.90563
223	YIL120W	0.90556
224	YGR210C	0.90551
225	YOL158C	0.90542
226	YDL188C	0.90539
227	YLR397C	0.90525
228	YDL222C	0.90504
229	YDL160C	0.90487
230	YDR404C	0.90479
231	YDL210W	0.90476
232	YGR121C	0.90459
233	YLR277C	0.90456
234	YGR191W	0.90456
235	YER145C	0.90456
236	YDR001C	0.90453
237	YNR032C-A	0.90444
238	YBL030C	0.90444
239	YCR009C	0.90431
240	YCL017C	0.90417
241	YCL025C	0.90417
242	YGR055W	0.90405
243	YMR246W	0.90403
244	YOR197W	0.90402
245	YPL244C	0.90396
246	YDL102W	0.90389
247	YER026C	0.90363
248	YOR185C	0.90363
249	YFL005W	0.90357
250	YDL097C	0.90352
251	YBR085W	0.90352
252	YBL022C	0.90347
253	YML012W	0.90307
254	YNR003C	0.90306
255	YDR373W	0.90303
256	YDR011W	0.90298
257	YMR056C	0.90294
258	YCL073C	0.90287
259	YKL196C	0.90282
260	YPL086C	0.90281
261	YLR152C	0.90276
262	YBR295W	0.90274
263	YEL042W	0.90257
264	YOL103W	0.90232
265	YER060W-A	0.9023
266	YER166W	0.90229
267	YJL012C	0.90226
268	YJL001W	0.90218
269	YKR038C	0.90216
270	YBL075C	0.90214
271	YKR106W	0.90201
272	YPL050C	0.90192
273	YDR540C	0.90172
274	YCR010C	0.90167
275	YHR050W	0.90166
276	YNR013C	0.90161
277	YHL050C	0.9016
278	YGL077C	0.90157
279	YER056C	0.90155
280	YPL245W	0.90133
281	YJL213W	0.90123
282	YJL033W	0.90115
283	YNR002C	0.90112
284	YNR055C	0.90109
285	YNL277W	0.90103
286	YAL064C-A	0.90101
287	YKL024C	0.90087
288	YLL063C	0.90072
289	YJL034W	0.90071
290	YGR281W	0.90061
291	YER012W	0.90048
292	YDR341C	0.90036
293	YBR298C	0.90033
294	YNL010W	0.90032
295	YNL014W	0.90025
296	YPL058C	0.90015
297	YER055C	0.90006
298	YHR110W	0.90003
299	YDR046C	0.89997
300	YOR317W	0.89992
301	YPR103W	0.8998
302	YBR082C	0.8998
