rank	yeast_gene	cosine
1	YFL066C	0.95091
2	YER072W	0.94722
3	YGL008C	0.94424
4	YPL036W	0.9376
5	YHR218W-A	0.92987
6	YBL112C	0.92987
7	YPR204W	0.92802
8	YKR059W	0.92576
9	YER148W	0.92275
10	YLR229C	0.92191
11	YPL218W	0.92143
12	YOR046C	0.91792
13	YPR165W	0.91753
14	YPR182W	0.91718
15	YKL190W	0.91701
16	YDR021W	0.91373
17	YEL077C	0.91351
18	YOR293W	0.91224
19	YNL006W	0.91178
20	YMR109W	0.91099
21	YMR230W	0.91075
22	YMR290C	0.91075
23	YFL058W	0.90981
24	YOR204W	0.90958
25	YNL332W	0.90948
26	YCR047C	0.9093
27	YNL290W	0.90911
28	YDL244W	0.90895
29	YEL034W	0.90855
30	YJR156C	0.90826
31	YOR257W	0.90774
32	YIL148W	0.9077
33	YKR094C	0.9077
34	YLR466W	0.90769
35	YER177W	0.90725
36	YDR540C	0.90719
37	YPL266W	0.90715
38	YDR129C	0.90677
39	YLR113W	0.90657
40	YOR224C	0.90651
41	YIL143C	0.90539
42	YEL013W	0.9052
43	YDL192W	0.90451
44	YNR053C	0.90446
45	YDL126C	0.90389
46	YDL229W	0.90338
47	YGR210C	0.90336
48	YLR293C	0.90322
49	YNL209W	0.9028
50	YDL055C	0.90261
51	YGR252W	0.90178
52	YEL051W	0.90168
53	YOR185C	0.90099
54	YNL112W	0.9007
55	YKL129C	0.90065
56	YER025W	0.90032
57	YDR091C	0.90017
58	YJL050W	0.8999
59	YDR339C	0.89915
60	YBL003C	0.89903
61	YDR225W	0.89836
62	YJL014W	0.89834
63	YPL119C	0.89716
64	YJR047C	0.89684
65	YPL129W	0.8966
66	YDR099W	0.89651
67	YLL024C	0.89643
68	YML012W	0.89639
69	YML102W	0.8963
70	YDL166C	0.89623
71	YBR164C	0.89602
72	YDL084W	0.89601
73	YDL137W	0.89588
74	YGL091C	0.8954
75	YLR249W	0.89518
76	YFL039C	0.8951
77	YBL026W	0.89502
78	YPR016C	0.89471
79	YAL005C	0.89453
80	YHR218W	0.89448
81	YKL196C	0.89446
82	YLR438C-A	0.89431
83	YNL064C	0.89355
84	YMR116C	0.89284
85	YMR146C	0.89274
86	YDL006W	0.89259
87	YNL014W	0.89256
88	YHR128W	0.89233
89	YPL203W	0.89218
90	YLR167W	0.89215
91	YMR015C	0.89177
92	YJL034W	0.89176
93	YGL225W	0.89175
94	YBR089C-A	0.89163
95	YBR154C	0.89155
96	YHR092C	0.89155
97	YER103W	0.89118
98	YDL014W	0.89098
99	YHR148W	0.89068
100	YDR343C	0.89053
101	YER081W	0.88997
102	YDR342C	0.88941
103	YCR057C	0.88941
104	YNL189W	0.88934
105	YLR234W	0.88912
106	YOR270C	0.88894
107	YEL027W	0.8888
108	YJL108C	0.88858
109	YNL255C	0.88826
110	YBL075C	0.88826
111	YPR173C	0.88808
112	YCL009C	0.88788
113	YOR122C	0.88785
114	YDR345C	0.88782
115	YLL067C	0.88776
116	YLR147C	0.88762
117	YGR231C	0.8876
118	YPR080W	0.88757
119	YPR052C	0.8874
120	YJR007W	0.88735
121	YEL026W	0.88734
122	YHL050C	0.88729
123	YER190W	0.88727
124	YJR065C	0.8872
125	YJL164C	0.88682
126	YBL016W	0.88636
