rank	yeast_gene	cosine
1	YOR292C	0.97167
2	YLR019W	0.96741
3	YOL013C	0.96268
4	YOR301W	0.96248
5	YGL053W	0.96231
6	YPR093C	0.96209
7	YAR023C	0.96191
8	YDL008W	0.96113
9	YNL326C	0.96109
10	YIL047C	0.96075
11	YOR299W	0.95873
12	YBR204C	0.95842
13	YMR306W	0.95824
14	YJR084W	0.95781
15	YGR092W	0.95773
16	YIL106W	0.95745
17	YAR028W	0.95641
18	YGR026W	0.9563
19	YAR031W	0.95615
20	YCR048W	0.95511
21	YGL051W	0.955
22	YAR033W	0.95496
23	YGR032W	0.95463
24	YDL248W	0.95426
25	YMR020W	0.95405
26	YJR046W	0.95404
27	YDR436W	0.95403
28	YNR075W	0.95374
29	YDR313C	0.95362
30	YHL042W	0.95362
31	YCR106W	0.95322
32	YDR372C	0.95293
33	YCR007C	0.95291
34	YLR007W	0.95289
35	YJR161C	0.95287
36	YOL075C	0.95287
37	YKL186C	0.95285
38	YLL043W	0.95272
39	YIL030C	0.95256
40	YLR342W	0.95228
41	YLR368W	0.95223
42	YML068W	0.95216
43	YOL072W	0.95202
44	YGL146C	0.95195
45	YPR111W	0.95184
46	YGL216W	0.95181
47	YGL198W	0.95177
48	YAL022C	0.95153
49	YOR079C	0.95107
50	YJL065C	0.95081
51	YGR058W	0.95054
52	YDL018C	0.95005
53	YKL219W	0.94992
54	YMR316W	0.94978
55	YOL047C	0.94948
56	YNL161W	0.94933
57	YLL052C	0.94928
58	YGR263C	0.94927
59	YGR066C	0.94901
60	YNL294C	0.94889
61	YHR058C	0.94886
62	YDR488C	0.94884
63	YKR088C	0.9487
64	YIR026C	0.94863
65	YNL165W	0.94837
66	YCR038C	0.94836
67	YER116C	0.94805
68	YOL026C	0.9479
69	YOR034C	0.94788
70	YLR205C	0.94786
71	YOR213C	0.94782
72	YNL305C	0.94782
73	YMR040W	0.94779
74	YGR295C	0.94775
75	YFL028C	0.94762
76	YHL017W	0.9476
77	YIR014W	0.94757
78	YJR042W	0.94754
79	YDR517W	0.9475
80	YHL048W	0.94748
81	YNL080C	0.94726
82	YDR281C	0.94719
83	YNL339C	0.94716
84	YPL283C	0.94709
85	YML011C	0.94708
86	YGR296W	0.94708
87	YLL022C	0.94706
88	YDR411C	0.94658
89	YHL043W	0.94658
90	YDR374W-A	0.9465
91	YOL048C	0.94635
92	YLR072W	0.94612
93	YML031W	0.94604
94	YGL240W	0.94597
95	YCL012C	0.94581
96	YJL047C	0.94562
97	YLL010C	0.94559
98	YBR023C	0.94551
99	YMR180C	0.94537
100	YKR017C	0.9453
101	YKR041W	0.94529
102	YDR265W	0.94528
103	YOL018C	0.94525
104	YDR456W	0.9451
105	YIL073C	0.94507
106	YAL058W	0.94501
107	YCR101C	0.94498
108	YIL068C	0.94487
109	YDR253C	0.94487
110	YOR396W	0.94485
111	YLR467W	0.94485
112	YDR545W	0.94485
113	YDR334W	0.94474
114	YIL082W	0.94461
115	YGR109W-A	0.94448
116	YFL062W	0.94439
117	YBR036C	0.94435
118	YGL140C	0.94426
119	YBR240C	0.94424
120	YOL065C	0.94419
121	YCR073C	0.94409
122	YER140W	0.94407
123	YJL082W	0.94386
124	YPL092W	0.94384
125	YLR350W	0.94382
126	YMR168C	0.94381
127	YKL183W	0.9438
128	YNR011C	0.94376
129	YML066C	0.94375
130	YLR443W	0.9436
131	YDL057W	0.94359
132	YML132W	0.94348
133	YBR302C	0.94348
134	YOL073C	0.94343
135	YOL116W	0.94343
136	YDR302W	0.94342
137	YCR075C	0.94342
138	YHR133C	0.94338
139	YHR175W	0.94337
140	YML077W	0.94327
141	YEL019C	0.9432
142	YGL212W	0.9432
143	YCL002C	0.94314
144	YHL003C	0.94307
145	YHR172W	0.94278
146	YOR087W	0.94277
147	YBR062C	0.94275
148	YLR093C	0.94274
149	YLR362W	0.94266
150	YOR223W	0.94262
151	YOR165W	0.94257
152	YOR138C	0.94245
153	YJL085W	0.94238
154	YDL160C-A	0.94234
155	YAL018C	0.94232
156	YKL039W	0.94229
157	YML088W	0.94229
158	YNR062C	0.94227
159	YMR069W	0.94225
160	YDR468C	0.94225
161	YMR162C	0.94217
162	YHR219W	0.94206
163	YLR108C	0.94201
164	YNL328C	0.94199
165	YLR246W	0.94199
166	YIL089W	0.94194
167	YPR057W	0.94193
168	YBR202W	0.94192
169	YDR126W	0.94189
170	YKL135C	0.94183
171	YIR043C	0.9418
172	YJL225C	0.94179
173	YJL072C	0.94172
174	YDR093W	0.94172
175	YKL203C	0.94167
176	YHL026C	0.94157
177	YLL049W	0.94153
178	YDR490C	0.94147
179	YPR188C	0.94144
180	YCL076W	0.94141
181	YDR135C	0.94139
182	YIR011C	0.94137
183	YDL079C	0.94136
184	YER176W	0.94136
185	YHL002W	0.94134
186	YPL038W	0.9413
187	YIL177C	0.94125
188	YJR129C	0.94121
189	YLR287C	0.94116
190	YPR034W	0.94112
191	YOR060C	0.94105
192	YHR192W	0.94092
193	YDR213W	0.94091
194	YNL336W	0.94091
195	YJL151C	0.9408
196	YOR013W	0.94076
197	YDL165W	0.94073
198	YPL144W	0.94071
199	YBR223C	0.94067
200	YLR292C	0.94064
201	YCL068C	0.94052
202	YLR125W	0.94038
203	YLR385C	0.94036
204	YLR046C	0.94035
205	YMR288W	0.94031
206	YLR010C	0.94028
207	YGR038W	0.94028
208	YMR263W	0.94026
209	YHL019C	0.94011
210	YOR290C	0.94003
211	YLR411W	0.93987
212	YIL132C	0.93977
213	YMR111C	0.93974
214	YJR112W	0.93971
215	YOL067C	0.93952
216	YKR086W	0.9395
217	YCL056C	0.93949
218	YML133C	0.93948
219	YLR233C	0.93943
220	YNL102W	0.9393
221	YIL151C	0.93926
222	YJR090C	0.93926
223	YDR122W	0.93922
224	YER190W	0.93915
225	YCL001W	0.93909
226	YCL036W	0.93904
227	YOR155C	0.93887
228	YMR218C	0.93883
229	YLR266C	0.93883
230	YLR071C	0.93879
231	YIL154C	0.93879
232	YLL066C	0.93875
233	YNL116W	0.93873
234	YMR198W	0.93869
235	YCL008C	0.93858
236	YDR051C	0.93855
237	YKL209C	0.93853
238	YNL307C	0.93852
239	YMR159C	0.93852
240	YOL053W	0.93847
241	YNL097C	0.93846
242	YOR363C	0.93845
243	YIL024C	0.93841
244	YMR114C	0.93834
245	YNR019W	0.93834
