rank	yeast_gene	cosine
1	YDL126C	0.97333
2	YKR059W	0.97304
3	YJL050W	0.96995
4	YER072W	0.96845
5	YLR113W	0.96806
6	YPL203W	0.96731
7	YJL034W	0.96717
8	YMR109W	0.96708
9	YMR290C	0.96662
10	YIL143C	0.96639
11	YGL008C	0.96591
12	YDL166C	0.96559
13	YPL036W	0.96551
14	YER148W	0.96546
15	YNL112W	0.96482
16	YGL120C	0.96482
17	YOR046C	0.96477
18	YNL209W	0.96467
19	YLR234W	0.96438
20	YNL290W	0.96437
21	YOR204W	0.96433
22	YPR173C	0.96425
23	YNL189W	0.96418
24	YDL229W	0.96415
25	YKL190W	0.96343
26	YDR021W	0.96293
27	YBR160W	0.96257
28	YBL075C	0.96233
29	YPR182W	0.9618
30	YKL129C	0.96166
31	YHR030C	0.96154
32	YDL084W	0.96152
33	YPL218W	0.96106
34	YGR252W	0.96085
35	YDL047W	0.96068
36	YBL016W	0.96062
37	YEL051W	0.96043
38	YPL266W	0.96018
39	YJL014W	0.96001
40	YDR129C	0.95997
41	YLR438C-A	0.9598
42	YPL119C	0.95976
43	YOR185C	0.95942
44	YKR002W	0.95935
45	YJL164C	0.9591
46	YGR231C	0.95904
47	YDL192W	0.9587
48	YML102W	0.95845
49	YFL039C	0.95834
50	YOR270C	0.95828
51	YAL005C	0.95794
52	YGR123C	0.95779
53	YLL024C	0.95778
54	YNL014W	0.95774
55	YER103W	0.95767
56	YLR258W	0.95756
57	YBR164C	0.95756
58	YNL090W	0.95705
59	YGR211W	0.95698
60	YLR229C	0.95668
61	YLR293C	0.95666
62	YML012W	0.95644
63	YDL137W	0.95636
64	YJR065C	0.95627
65	YOR257W	0.95611
66	YER177W	0.95605
67	YPR165W	0.95584
68	YLR249W	0.95565
69	YDR238C	0.95549
70	YGL091C	0.9554
71	YGR218W	0.95528
72	YOL021C	0.95498
73	YKL196C	0.95489
74	YMR300C	0.95462
75	YOL038W	0.95457
76	YER166W	0.95415
77	YBR169C	0.95387
78	YDR075W	0.95362
79	YPL106C	0.9531
80	YAL026C	0.95305
81	YGR210C	0.95283
82	YER036C	0.95273
83	YDR373W	0.95263
84	YDL029W	0.9522
85	YOR224C	0.95202
86	YJL026W	0.95191
87	YER020W	0.95191
88	YNL330C	0.95151
89	YFR015C	0.95088
90	YHR200W	0.95085
91	YDL097C	0.95083
92	YJL030W	0.9508
93	YOR089C	0.95079
94	YCR057C	0.95078
95	YBR080C	0.95067
96	YDR099W	0.95065
97	YNR053C	0.95058
98	YFR004W	0.95041
99	YHR065C	0.95034
100	YGL099W	0.95028
101	YNL098C	0.95009
102	YKL104C	0.94993
103	YGL210W	0.94987
104	YER171W	0.94977
105	YER095W	0.94958
106	YOR094W	0.94956
107	YHR107C	0.94952
108	YER031C	0.94951
109	YHL047C	0.94943
110	YGL255W	0.94921
111	YDL134C	0.94919
112	YER133W	0.94907
113	YNL064C	0.94906
114	YAR002C-A	0.94899
