rank	yeast_gene	cosine
1	YFL066C	0.96342
2	YFL026W	0.9522
3	YEL013W	0.95182
4	YER069W	0.94595
5	YPR016C	0.9435
6	YHR213W	0.93824
7	YAR062W	0.93824
8	YIL143C	0.93721
9	YNL191W	0.93502
10	YER081W	0.93497
11	YER039C	0.93421
12	YIL074C	0.93379
13	YPL050C	0.93315
14	YHR128W	0.93235
15	YEL077C	0.92994
16	YNL006W	0.92785
17	YGL225W	0.9277
18	YNR026C	0.92756
19	YOR061W	0.92631
20	YAL064C-A	0.9263
21	YCR047C	0.92586
22	YPR204W	0.92559
23	YLR375W	0.92504
24	YLR466W	0.92483
25	YHR218W	0.92481
26	YKL146W	0.9248
27	YER072W	0.92476
28	YER171W	0.92473
29	YDR099W	0.92455
30	YGR252W	0.92452
31	YDR091C	0.92415
32	YJR065C	0.92412
33	YER025W	0.92347
34	YHL016C	0.92295
35	YGR229C	0.92251
36	YEL042W	0.92217
37	YKL129C	0.92166
38	YOR257W	0.9216
39	YBR114W	0.92082
40	YER052C	0.92067
41	YPL094C	0.9202
42	YOR270C	0.92001
43	YDR001C	0.91977
44	YER148W	0.91964
45	YMR109W	0.91944
46	YNL066W	0.91883
47	YBL026W	0.91819
48	YEL031W	0.91809
49	YJR007W	0.91803
50	YDL001W	0.91782
51	YDR021W	0.91756
52	YIL048W	0.91734
53	YER177W	0.91732
54	YNL290W	0.91712
55	YDR129C	0.91661
56	YPL036W	0.91649
57	YLR330W	0.9162
58	YGR210C	0.9162
59	YBR154C	0.91608
60	YNL132W	0.91555
61	YJL012C	0.9155
62	YLR113W	0.91546
63	YCR098C	0.91539
64	YPL086C	0.91488
65	YMR015C	0.91486
66	YBL111C	0.91479
67	YOR327C	0.91465
68	YER007C-A	0.9143
69	YBL041W	0.91415
70	YDR375C	0.91407
71	YER055C	0.91381
72	YBL112C	0.91381
73	YHR218W-A	0.91381
74	YLR175W	0.91381
75	YCL009C	0.91379
76	YPL235W	0.91362
77	YBR235W	0.91356
78	YDR540C	0.91355
79	YFL017W-A	0.9134
80	YJL128C	0.91337
81	YJL050W	0.91317
82	YOR378W	0.91297
83	YBR080C	0.91297
84	YEL036C	0.9127
85	YPL221W	0.9127
86	YGL091C	0.91265
87	YGL008C	0.91253
88	YCR008W	0.91244
89	YLR328W	0.91202
90	YPR165W	0.91201
91	YJL116C	0.91171
