acc	status	note
B2RXH2	ok	3pockets
O00444	ok	3pockets
O15554	ok	3pockets
O43570	ok	3pockets
O60218	ok	3pockets
O75116	ok	3pockets
O75469	ok	3pockets
O75582	ok	3pockets
O75604	ok	3pockets
O94806	ok	3pockets
O95069	ok	3pockets
O95271	ok	3pockets
P00352	ok	3pockets
P02545	ok	3pockets
P03372	ok	3pockets
P04049	ok	3pockets
P04637	ok	3pockets
P04798	ok	3pockets
P05093	ok	3pockets
P05177	ok	3pockets
P06401	ok	3pockets
P06730	ok	3pockets
P07711	ok	3pockets
P07858	ok	3pockets
P08172	ok	3pockets
P08173	ok	3pockets
P08183	ok	3pockets
P08684	ok	3pockets
P08913	ok	3pockets
P0DMS8	ok	3pockets
P10632	ok	3pockets
P10635	ok	3pockets
P10636	ok	3pockets
P10721	ok	3pockets
P10828	ok	3pockets
P11229	ok	3pockets
P11388	ok	3pockets
P11474	ok	3pockets
P11511	ok	3pockets
P11712	ok	3pockets
P12268	ok	3pockets
P13726	ok	3pockets
P14174	ok	3pockets
P14416	ok	3pockets
P14902	ok	3pockets
P15121	ok	3pockets
P15428	ok	3pockets
P16050	ok	3pockets
P16152	ok	3pockets
P16473	ok	3pockets
P17655	ok	3pockets
P18054	ok	3pockets
P18089	ok	3pockets
P18825	ok	3pockets
P19838	ok	3pockets
P20309	ok	3pockets
P20618	ok	3pockets
P20648	ok	3pockets
P20813	ok	3pockets
P20839	ok	3pockets
P21397	ok	3pockets
P21728	ok	3pockets
P21917	ok	3pockets
P21918	ok	3pockets
P22303	ok	3pockets
P22694	ok	3pockets
P22748	ok	3pockets
P23443	ok	3pockets
P23975	ok	3pockets
P24557	ok	3pockets
P25021	ok	3pockets
P25100	ok	2pockets
P25929	ok	3pockets
P25963	ok	3pockets
P27338	ok	3pockets
P27695	ok	3pockets
P28074	ok	3pockets
P28223	ok	3pockets
P28335	ok	3pockets
P31645	ok	3pockets
P31751	ok	3pockets
P33261	ok	3pockets
P33527	ok	3pockets
P34969	ok	3pockets
P35348	ok	3pockets
P35367	ok	3pockets
P35372	ok	3pockets
P35462	ok	3pockets
P36888	ok	3pockets
P37088	ok	3pockets
P40225	ok	3pockets
P41145	ok	3pockets
P41146	ok	3pockets
P41595	ok	3pockets
P42345	ok	3pockets
P42858	ok	3pockets
P43166	ok	3pockets
P43235	ok	3pockets
P47989	ok	3pockets
P49721	ok	3pockets
P51589	ok	3pockets
P62937	ok	3pockets
P62942	ok	3pockets
P67870	ok	3pockets
P68106	ok	3pockets
Q01959	ok	3pockets
Q06124	ok	3pockets
Q06187	ok	3pockets
Q08828	ok	3pockets
Q12809	ok	3pockets
Q13451	ok	2pockets
Q13936	ok	3pockets
Q14330	ok	2pockets
Q14994	ok	3pockets
Q15125	ok	3pockets
Q15746	ok	3pockets
Q16637	ok	1pockets
Q16678	ok	3pockets
Q16790	ok	3pockets
Q16850	ok	3pockets
Q53EL6	ok	3pockets
Q86VL8	ok	2pockets
Q8TCT1	ok	3pockets
Q92731	ok	3pockets
Q96FL8	ok	3pockets
Q99714	ok	3pockets
Q99720	ok	3pockets
Q99808	ok	3pockets
Q9BY08	ok	3pockets
Q9GZQ8	ok	3pockets
Q9NUW8	ok	3pockets
Q9UBN7	ok	3pockets
Q9UL62	ok	3pockets
Q9UNQ0	ok	3pockets
Q9Y243	ok	3pockets
Q9Y468	ok	3pockets
