rank	yeast_gene	cosine
1	YFL066C	0.92828
2	YER039C	0.92043
3	YLR466W	0.91912
4	YEL077C	0.91847
5	YOR257W	0.91672
6	YPR204W	0.91609
7	YER072W	0.91568
8	YBL112C	0.91298
9	YHR218W-A	0.91298
10	YPR165W	0.91242
11	YHR218W	0.91204
12	YMR015C	0.91136
13	YLR229C	0.91029
14	YGL008C	0.90984
15	YOR378W	0.90971
16	YFL011W	0.90914
17	YHR092C	0.90894
18	YDL006W	0.9084
19	YCR047C	0.90791
20	YFL026W	0.90779
21	YLR081W	0.90726
22	YHR094C	0.90708
23	YDR342C	0.90698
24	YDR345C	0.90694
25	YDR021W	0.90684
26	YMR011W	0.90681
27	YDR343C	0.90665
28	YBR241C	0.90649
29	YEL013W	0.90595
30	YPL036W	0.9056
31	YGL225W	0.90532
32	YIL170W	0.90526
33	YLR113W	0.90521
34	YMR109W	0.90405
35	YCR098C	0.90364
36	YKR059W	0.90299
37	YNR072W	0.90285
38	YJL214W	0.90281
39	YHR096C	0.90278
40	YPL218W	0.90227
41	YER190W	0.90202
42	YJL219W	0.90176
43	YEL069C	0.90165
44	YDL244W	0.90123
45	YDL245C	0.90115
46	YOL156W	0.90109
47	YKL190W	0.90075
48	YML018C	0.9007
49	YJR156C	0.90069
50	YFL058W	0.90024
51	YNL332W	0.90016
52	YNL290W	0.90014
53	YJR158W	0.89911
54	YDR536W	0.89896
55	YHR128W	0.89753
56	YFL055W	0.89748
57	YLL067C	0.89712
58	YPR183W	0.89675
59	YER081W	0.89642
60	YMR034C	0.89634
61	YER119C	0.89566
62	YPL203W	0.89535
63	YBL111C	0.89524
64	YDL137W	0.89438
65	YJL164C	0.89425
66	YJL108C	0.89413
67	YPL264C	0.89332
68	YBR164C	0.89328
69	YIL177C	0.89297
70	YJL225C	0.89253
71	YNL006W	0.89237
72	YOR204W	0.89211
73	YPL246C	0.89208
74	YML123C	0.89206
75	YPR182W	0.89189
76	YER133W	0.89185
77	YHL040C	0.89183
78	YHL047C	0.89129
79	YOL162W	0.89127
80	YPL119C	0.8912
81	YBR043C	0.8909
82	YKL129C	0.89084
83	YLL066C	0.89073
84	YKL146W	0.89063
85	YML133C	0.89051
86	YDL192W	0.89049
87	YMR080C	0.89033
88	YHL016C	0.88989
89	YCR009C	0.88982
90	YHR030C	0.88976
91	YBL016W	0.88967
92	YDL128W	0.88967
93	YBR287W	0.88921
94	YNL090W	0.8884
95	YDR375C	0.8884
96	YOR046C	0.88819
97	YLR467W	0.88815
98	YOR396W	0.88815
99	YDR545W	0.88815
100	YMR290C	0.8872
101	YBR080C	0.88691
102	YGR152C	0.88666
103	YIL143C	0.88608
104	YDL001W	0.8857
105	YEL065W	0.8853
106	YGL087C	0.88525
107	YBR082C	0.88523
108	YGR252W	0.88521
109	YDR540C	0.88508
110	YOR061W	0.88473
111	YNL339C	0.88464
112	YDR196C	0.8846
113	YPL283C	0.88444
114	YGR296W	0.88441
115	YHR007C	0.88438
116	YPL050C	0.88418
117	YNL112W	0.88403
118	YIL074C	0.88388
