rank	yeast_gene	cosine
1	YBR241C	0.93367
2	YDL137W	0.92602
3	YPL218W	0.92415
4	YDL192W	0.92373
5	YBR164C	0.92354
6	YPL203W	0.92005
7	YDR345C	0.91835
8	YHR094C	0.91734
9	YHR092C	0.91597
10	YKR059W	0.91559
11	YPR183W	0.91554
12	YJL214W	0.9149
13	YMR034C	0.91391
14	YDL047W	0.91357
15	YKL190W	0.9133
16	YLR081W	0.9125
17	YOR094W	0.91247
18	YJL108C	0.91243
19	YHL047C	0.91208
20	YMR011W	0.912
21	YLR229C	0.91197
22	YJL164C	0.91186
23	YDL006W	0.91109
24	YDR343C	0.9109
25	YDR342C	0.91089
26	YFL011W	0.91089
27	YIL170W	0.91088
28	YDL245C	0.9102
29	YJR158W	0.9098
30	YPR192W	0.90933
31	YNL090W	0.90886
32	YPR165W	0.90874
33	YHR096C	0.9087
34	YNR072W	0.90854
35	YOL156W	0.90834
36	YDR373W	0.9078
37	YEL069C	0.90744
38	YJL219W	0.90654
39	YFL039C	0.9065
40	YDL134C	0.90645
41	YNL189W	0.90618
42	YGL256W	0.90613
43	YKL024C	0.90586
44	YER133W	0.90543
45	YML018C	0.90501
46	YHL040C	0.90468
47	YDR040C	0.9044
48	YBR160W	0.90421
49	YFL038C	0.90411
50	YPL031C	0.90403
51	YFL055W	0.90392
52	YOR257W	0.90334
53	YOR089C	0.90332
54	YOR378W	0.90322
55	YER119C	0.9032
56	YGL225W	0.90302
57	YDL128W	0.90297
58	YGL008C	0.9028
59	YLR113W	0.90265
60	YKR039W	0.90247
61	YPL036W	0.90224
62	YDL108W	0.90219
63	YDR039C	0.90189
64	YER039C	0.90119
65	YDR075W	0.90109
66	YLL028W	0.90085
67	YDR021W	0.9007
68	YDR038C	0.90008
69	YDR536W	0.89981
70	YNL268W	0.89943
71	YMR079W	0.89892
72	YGL255W	0.89891
73	YPR113W	0.89881
74	YER125W	0.89863
75	YER072W	0.89831
76	YER060W-A	0.89796
77	YHR030C	0.8979
78	YMR015C	0.89783
79	YBR187W	0.89742
80	YJL167W	0.89725
81	YMR109W	0.8972
82	YLL053C	0.89713
83	YEL063C	0.89711
84	YPR182W	0.89696
85	YPR204W	0.89683
86	YBL016W	0.89623
87	YIL121W	0.89613
88	YDL126C	0.89606
89	YPL264C	0.89603
90	YKL166C	0.89597
91	YOL075C	0.89595
92	YDR196C	0.89592
93	YGR105W	0.89579
94	YBR109C	0.89548
95	YNL270C	0.89548
96	YGR281W	0.89538
97	YER060W	0.89528
98	YPL058C	0.89526
99	YGL167C	0.89524
100	YLR234W	0.89523
101	YER020W	0.89506
102	YPL246C	0.89499
103	YMR290C	0.89482
104	YCL025C	0.89474
105	YGR138C	0.89441
106	YGR123C	0.89437
107	YOR348C	0.89436
108	YOL158C	0.89425
109	YBR082C	0.89405
110	YBL112C	0.89387
111	YHR218W-A	0.89387
112	YCR098C	0.8938
113	YLR466W	0.89365
114	YNL112W	0.89345
115	YDL188C	0.89311
116	YMR292W	0.89306
117	YLR347C	0.89293
118	YPL051W	0.89292
119	YNL290W	0.89284
120	YMR246W	0.8926
121	YJR124C	0.89256
122	YOR161C	0.8925
123	YER056C	0.89231
124	YER009W	0.89212
125	YGR191W	0.89186
126	YNR055C	0.89182
127	YEL077C	0.8917
128	YLL060C	0.89166
129	YER031C	0.89162
130	YMR279C	0.89142
131	YGR055W	0.89127
132	YGL058W	0.89127
133	YDR155C	0.89121
134	YPR138C	0.89109
135	YOR204W	0.89108
136	YCR010C	0.89098
137	YDL166C	0.89096
138	YDR519W	0.89092
139	YGL210W	0.89041
140	YHL016C	0.89028
141	YML123C	0.89013
142	YJL196C	0.89011
143	YDR046C	0.89011
144	YPL234C	0.88998
145	YNL098C	0.88997
146	YGR040W	0.88993
147	YBR261C	0.88991
148	YNL010W	0.88933
149	YAL026C	0.88899
150	YDR497C	0.88895
151	YDR404C	0.88893
152	YNR002C	0.88892
153	YNL142W	0.8886
154	YOR185C	0.88799
155	YDL084W	0.88796
156	YGR218W	0.88781
157	YGL001C	0.88746
158	YDR059C	0.88739
159	YER026C	0.88722
160	YAL020C	0.88719
161	YER190W	0.88718
162	YML001W	0.88717
163	YDR092W	0.88716
164	YOR046C	0.88705
165	YEL064C	0.88687
166	YLR034C	0.88687
167	YNL093W	0.88681
168	YER185W	0.88679
169	YKL129C	0.88671
170	YGL087C	0.88662
171	YNL209W	0.88635
172	YPL061W	0.88611
173	YML012W	0.88597
174	YKL218C	0.88579
175	YGR282C	0.88562
176	YAR002C-A	0.88555
177	YPL119C	0.88549
