rank	yeast_gene	cosine
1	YJL225C	0.96103
2	YER190W	0.96091
3	YIL177C	0.96091
4	YLL067C	0.95992
5	YLR466W	0.95937
6	YLL066C	0.95917
7	YDR545W	0.959
8	YOR396W	0.959
9	YLR467W	0.959
10	YEL077C	0.95882
11	YML133C	0.95875
12	YNL339C	0.95821
13	YGR296W	0.95812
14	YPL283C	0.95812
15	YGL120C	0.95753
16	YGL201C	0.95614
17	YHR218W	0.95549
18	YHR030C	0.95474
19	YER166W	0.95334
20	YBR202W	0.95327
21	YPL245W	0.95313
22	YPR204W	0.95264
23	YEL032W	0.95228
24	YKL078W	0.95194
25	YDR093W	0.95149
26	YBL111C	0.95126
27	YBR080C	0.95075
28	YDL007W	0.95028
29	YGL130W	0.94955
30	YGL163C	0.94944
31	YLR005W	0.94913
32	YKL104C	0.94889
33	YIR026C	0.94879
34	YER125W	0.94871
35	YDL057W	0.94864
36	YBL023C	0.94864
37	YPR019W	0.9482
38	YDL160C	0.94805
39	YMR288W	0.94799
40	YHL050C	0.9475
41	YNL288W	0.94747
42	YCR068W	0.94742
43	YAL026C	0.9473
44	YCL010C	0.94679
45	YPL213W	0.94654
46	YMR080C	0.94623
47	YPL221W	0.94619
48	YDR375C	0.94612
49	YGL208W	0.94608
50	YOL062C	0.94571
51	YFR015C	0.94564
52	YIL001W	0.94557
53	YNR003C	0.94522
54	YDR394W	0.94483
55	YKL145W	0.94466
56	YLR397C	0.94446
57	YML102W	0.94439
58	YNR011C	0.94428
59	YOR117W	0.94399
60	YKL039W	0.94381
61	YFR014C	0.94377
62	YNL307C	0.94365
63	YER089C	0.94364
64	YFR051C	0.9436
65	YNL095C	0.94357
66	YIL143C	0.94339
67	YHR107C	0.94336
68	YFR018C	0.94325
69	YLR398C	0.94304
70	YCR048W	0.943
71	YGR271W	0.943
72	YPR103W	0.94293
73	YDR404C	0.94291
74	YMR054W	0.94288
75	YDL001W	0.94274
76	YJL030W	0.94273
77	YLR137W	0.94224
78	YGR281W	0.94221
79	YBR295W	0.94219
80	YPL119C	0.94218
81	YHR132C	0.942
82	YDL102W	0.94193
