rank	yeast_gene	cosine
1	YPL264C	0.95808
2	YBR241C	0.95723
3	YER119C	0.95718
4	YOL103W	0.95717
5	YIL121W	0.95406
6	YDR497C	0.95348
7	YNR055C	0.95181
8	YBR043C	0.95178
9	YIL120W	0.95144
10	YDR536W	0.95118
11	YHR032W	0.95058
12	YDL128W	0.95019
13	YBR008C	0.94991
14	YFL011W	0.94905
15	YIL170W	0.94903
16	YNR072W	0.94865
17	YML018C	0.94863
18	YKR105C	0.94848
19	YJL219W	0.94835
20	YER039C	0.94827
21	YEL069C	0.94746
22	YJL214W	0.94738
23	YLR081W	0.94708
24	YHR094C	0.94692
25	YGR224W	0.94663
26	YOL156W	0.94658
27	YEL064C	0.94652
28	YER026C	0.94577
29	YGR138C	0.9455
30	YOR273C	0.94531
31	YLL028W	0.94515
32	YIL088C	0.94497
33	YMR011W	0.94488
34	YDR040C	0.94471
35	YKL166C	0.94453
36	YDR038C	0.94436
37	YOR257W	0.94432
38	YDR039C	0.94384
39	YDL245C	0.94356
40	YPL031C	0.94344
41	YBR287W	0.94286
42	YJR158W	0.94275
43	YOL075C	0.94256
44	YCL025C	0.94251
45	YDR135C	0.94163
46	YJR001W	0.94159
47	YDL006W	0.94133
48	YMR034C	0.94121
49	YJR124C	0.94106
50	YMR015C	0.94102
51	YDR196C	0.94077
52	YCL069W	0.94061
53	YHR096C	0.94057
54	YPL246C	0.94033
55	YPR156C	0.94019
56	YGR152C	0.93989
57	YBR180W	0.93976
58	YGR055W	0.93963
59	YCR028C	0.93958
60	YGL167C	0.93947
61	YMR080C	0.9394
62	YDR508C	0.9393
63	YDR345C	0.93921
64	YFL055W	0.93918
65	YHR092C	0.93912
66	YDL052C	0.93888
67	YCR098C	0.93853
68	YER133W	0.93851
69	YLR034C	0.93831
70	YFL038C	0.93798
71	YGR191W	0.93776
72	YHR135C	0.9377
73	YKL146W	0.9377
74	YMR221C	0.93695
75	YPL244C	0.93675
76	YDR402C	0.93671
77	YOL163W	0.93616
78	YMR279C	0.93612
79	YIL118W	0.93605
80	YML123C	0.93599
81	YNL093W	0.93597
82	YIL048W	0.93592
83	YNL270C	0.9358
84	YEL065W	0.93546
85	YJL164C	0.93537
86	YNL125C	0.93529
87	YPL203W	0.93511
88	YHR030C	0.93482
89	YHL040C	0.93478
90	YKR053C	0.93473
91	YNL065W	0.93473
92	YJL134W	0.93467
93	YNL268W	0.93454
94	YBL089W	0.93424
95	YHR132C	0.93413
96	YHR048W	0.93405
97	YGR281W	0.93404
98	YDR438W	0.934
99	YDR342C	0.93394
100	YAL067C	0.93356
101	YMR301C	0.93341
102	YGL006W	0.93335
103	YBR235W	0.93332
104	YHR005C	0.93331
105	YGR040W	0.93298
106	YBR068C	0.93296
107	YCL073C	0.93292
108	YKR106W	0.93289
109	YNL090W	0.93286
110	YPL274W	0.93282
111	YLL055W	0.93262
112	YPR183W	0.93257
113	YLL061W	0.93256
114	YDR343C	0.93255
115	YNL275W	0.93245
116	YNL095C	0.93242
117	YEL063C	0.93242
118	YGR028W	0.93241
119	YNL154C	0.93234
120	YDR046C	0.93233
121	YOL122C	0.93224
122	YOL162W	0.93208
123	YOL119C	0.93206
124	YAL026C	0.93188
125	YPL204W	0.93188
126	YHL003C	0.93182
127	YDL210W	0.9318
128	YOR326W	0.93179
129	YML116W	0.93172
130	YDR021W	0.9317
131	YHL036W	0.93149
132	YLR113W	0.93143
133	YOR306C	0.93137
134	YGR260W	0.93134
135	YKR093W	0.93122
136	YMR253C	0.93116
137	YER090W	0.93108
138	YOR380W	0.93081
139	YGL225W	0.93077
140	YHL047C	0.93072
141	YJR152W	0.93067
142	YER019W	0.93055
143	YOR092W	0.93054
144	YDR375C	0.93054
145	YBR164C	0.93048
146	YBR243C	0.93041
147	YDL188C	0.93032
148	YOL020W	0.93026
