rank	yeast_gene	cosine
1	YML018C	0.96487
2	YDR536W	0.96037
3	YER039C	0.95957
4	YJL214W	0.95922
5	YEL069C	0.95907
6	YNR072W	0.95894
7	YEL064C	0.95833
8	YIL170W	0.95771
9	YJL219W	0.9574
10	YOL156W	0.95637
11	YFL011W	0.95627
12	YDR497C	0.95626
13	YML116W	0.95612
14	YDL245C	0.95583
15	YMR279C	0.95573
16	YJR158W	0.95545
17	YFL026W	0.95545
18	YOR378W	0.95431
19	YLR081W	0.95415
20	YMR011W	0.9536
21	YIL088C	0.95347
22	YHR094C	0.95337
23	YHR096C	0.9531
24	YEL065W	0.95287
25	YGL077C	0.95238
26	YLR092W	0.95223
27	YBR294W	0.95219
28	YER119C	0.9521
29	YKL146W	0.95203
30	YGL225W	0.95112
31	YMR243C	0.95096
32	YDL210W	0.95052
33	YCR098C	0.94947
34	YBR132C	0.94943
35	YHL036W	0.94937
36	YBR241C	0.94877
37	YIL121W	0.94855
38	YOL103W	0.94853
39	YOL137W	0.94846
40	YNL270C	0.94834
41	YGR055W	0.94779
42	YCL073C	0.94768
43	YBR043C	0.94763
44	YHL040C	0.94757
45	YKR106W	0.94757
46	YGR191W	0.94755
47	YPL264C	0.94749
48	YJR001W	0.94725
49	YLL063C	0.94643
50	YOR380W	0.94602
51	YNL125C	0.94596
52	YOR061W	0.94592
53	YHR092C	0.94592
54	YHL047C	0.94584
55	YIL120W	0.94559
56	YPL265W	0.94552
57	YMR221C	0.94545
58	YGR040W	0.94536
59	YEL063C	0.94516
60	YLR034C	0.94514
61	YDR345C	0.94498
62	YHL016C	0.9439
63	YDL006W	0.94387
64	YDR342C	0.94338
65	YFL055W	0.94337
66	YEL013W	0.94336
67	YBR068C	0.9428
68	YNL268W	0.94272
69	YPL175W	0.94256
70	YOL122C	0.94251
71	YLR130C	0.94246
72	YDL138W	0.94242
73	YMR034C	0.94241
74	YHR050W	0.94238
75	YPR138C	0.94237
76	YLR152C	0.94229
77	YNR055C	0.94213
78	YDR046C	0.94211
79	YBR287W	0.94206
80	YPL246C	0.94206
81	YDR343C	0.942
82	YCR011C	0.94194
83	YGR224W	0.94192
84	YOL158C	0.94189
85	YER052C	0.94178
86	YML123C	0.94169
87	YPR003C	0.94167
88	YMR015C	0.94165
89	YOL162W	0.94157
90	YBL016W	0.94148
91	YIL035C	0.94142
92	YPL274W	0.94116
93	YKL166C	0.9411
94	YIL048W	0.94053
95	YOR241W	0.94052
96	YBR235W	0.94049
97	YDR038C	0.94049
98	YKR105C	0.9403
99	YDR090C	0.93982
100	YOL092W	0.93961
101	YIL166C	0.93957
102	YML064C	0.93954
103	YDR039C	0.93951
104	YHR032W	0.93946
105	YOR316C	0.93943
106	YCL025C	0.93941
107	YGR121C	0.93924
108	YLL061W	0.9392
109	YJR124C	0.93913
110	YDR011W	0.93911
111	YER185W	0.93892
112	YNL090W	0.93851
113	YER026C	0.93848
114	YKR039W	0.93801
115	YKR093W	0.93787
116	YDR040C	0.93777
117	YDR508C	0.93773
118	YOR328W	0.93773
119	YBR295W	0.93761
120	YJR160C	0.93746
121	YNL095C	0.93735
122	YHR007C	0.93721
123	YBL089W	0.93708
124	YOR306C	0.93702
125	YDL247W	0.93682
126	YEL031W	0.93663
127	YPL244C	0.93658
