rank	yeast_gene	cosine
1	YOR378W	0.95617
2	YLR229C	0.9494
3	YGL225W	0.94594
4	YKR059W	0.94317
5	YFL039C	0.94268
6	YEL027W	0.93777
7	YPR165W	0.93758
8	YGL255W	0.9374
9	YDR343C	0.93662
10	YDR342C	0.9362
11	YDR345C	0.93504
12	YHR092C	0.93504
13	YER072W	0.93479
14	YBL026W	0.93434
15	YHL016C	0.93406
16	YJR065C	0.93405
17	YKL218C	0.93307
18	YDL192W	0.9329
19	YNR032C-A	0.93239
20	YNL006W	0.93199
21	YJL108C	0.93093
22	YPL036W	0.9308
23	YMR011W	0.93053
24	YHR094C	0.93037
25	YHR096C	0.93035
26	YDL137W	0.92983
27	YER039C	0.92972
28	YJL214W	0.92971
29	YGL008C	0.92943
30	YOR061W	0.92929
31	YPL266W	0.92817
32	YHL047C	0.92806
33	YLR081W	0.92793
34	YDL245C	0.92765
35	YBR164C	0.92728
36	YHR128W	0.92715
37	YJR158W	0.92704
38	YKR039W	0.9267
39	YFL066C	0.92643
40	YIL170W	0.92626
41	YFL011W	0.92608
42	YDR091C	0.9254
43	YHL040C	0.92504
44	YJL213W	0.92488
45	YBL030C	0.92484
46	YBL016W	0.92475
47	YER081W	0.92457
48	YPL086C	0.9244
49	YER060W-A	0.92435
50	YEL069C	0.9243
51	YOL156W	0.92406
52	YNR072W	0.92394
53	YAL064C-A	0.92235
54	YJL219W	0.9222
55	YLR113W	0.92164
56	YDL168W	0.92127
57	YIL074C	0.92119
58	YPR138C	0.9211
59	YLR134W	0.92006
60	YER056C	0.92
61	YOL094C	0.91989
62	YBR085W	0.91953
63	YCR098C	0.91922
64	YDR021W	0.91921
65	YMR303C	0.9192
66	YOL086C	0.91895
67	YER009W	0.91881
68	YNL090W	0.91881
69	YGR252W	0.91859
70	YER060W	0.91838
71	YDL006W	0.91833
72	YNL142W	0.91817
73	YDR129C	0.91788
74	YPR016C	0.91784
75	YLR044C	0.91754
76	YOR153W	0.9175
77	YNL290W	0.91744
78	YGR121C	0.9171
79	YGL256W	0.91688
80	YER025W	0.91687
81	YFL055W	0.91668
82	YFL026W	0.9166
83	YPR182W	0.91603
84	YEL013W	0.91581
85	YKL190W	0.91568
86	YBR160W	0.91522
87	YER177W	0.91476
88	YDL047W	0.9146
89	YDR536W	0.91454
90	YNL189W	0.91415
91	YFL045C	0.91396
92	YJR159W	0.91394
93	YKL196C	0.91388
94	YHR007C	0.91378
95	YAL038W	0.91367
96	YDL246C	0.91343
97	YOR094W	0.9134
98	YCR010C	0.91288
99	YBR145W	0.91286
100	YMR015C	0.91257
101	YEL063C	0.91221
102	YKL024C	0.91214
103	YOR257W	0.91212
104	YLR359W	0.91208
105	YLR303W	0.91205
106	YML018C	0.91193
107	YGL091C	0.91193
108	YER094C	0.91177
109	YLL050C	0.91167
110	YER178W	0.91138
111	YMR246W	0.91128
112	YDR341C	0.91119
113	YNL104C	0.91114
114	YDR353W	0.91069
115	YNL209W	0.91039
116	YNL268W	0.91035
117	YOR046C	0.91027
118	YCL017C	0.91025
119	YML123C	0.91017
120	YBR241C	0.90996
121	YDR406W	0.90958
122	YDL229W	0.90946
123	YEL065W	0.90929
124	YJL050W	0.90921
125	YAL005C	0.90918
126	YJR148W	0.90902
127	YMR146C	0.90887
128	YFL017W-A	0.90864
129	YLL024C	0.90858
130	YDL055C	0.90858
131	YBR298C	0.90846
132	YMR034C	0.9084
133	YMR109W	0.90824
134	YMR108W	0.90797
135	YMR290C	0.90796
136	YDL166C	0.90765
137	YER148W	0.9075
138	YPR183W	0.90748
139	YBL075C	0.90744
140	YDR099W	0.90742
141	YHR106W	0.90724
142	YEL026W	0.90723
143	YOR347C	0.90652
144	YER103W	0.90614
145	YFL058W	0.90609
146	YNL270C	0.90603
147	YGL001C	0.90603
148	YER069W	0.90591
149	YOL162W	0.90586
150	YNL332W	0.90571
151	YDR075W	0.90531
152	YDR540C	0.90526
153	YPL218W	0.90521
154	YJR077C	0.90511
155	YKL129C	0.90508
156	YGR087C	0.90506
157	YKL146W	0.90504
158	YKL033W-A	0.90504
159	YJL167W	0.90503
160	YJR156C	0.90496
161	YDR155C	0.9049
162	YER052C	0.90479
163	YPL058C	0.90475
164	YOL151W	0.90467
165	YDL244W	0.90431
166	YGR132C	0.90423
167	YGL210W	0.90394
168	YHR018C	0.90381
169	YOR108W	0.90381
170	YIL143C	0.90371
171	YDR059C	0.90357
172	YMR279C	0.9035
173	YGR040W	0.90341
174	YMR079W	0.90333
175	YJL001W	0.90331
176	YJR153W	0.90315
177	YPL234C	0.90291
178	YMR056C	0.9026
179	YPL203W	0.90256
180	YBR082C	0.90253
181	YEL046C	0.9024
182	YKR080W	0.90208
183	YJL026W	0.90184
184	YER171W	0.90158
185	YGL011C	0.90144
186	YPR173C	0.9013
187	YDR373W	0.9011
188	YER031C	0.90104
189	YNR002C	0.90103
190	YBR296C	0.90086
191	YML001W	0.90046
192	YBR249C	0.90046
193	YGR210C	0.9003
194	YPL061W	0.90028
195	YNL191W	0.90017
196	YJL164C	0.90002
197	YEL031W	0.89991
198	YBR222C	0.89987
199	YLR130C	0.89979
200	YDL126C	0.89969
201	YLR058C	0.89967
202	YML012W	0.89957
203	YLR155C	0.89954
204	YLR160C	0.89954
205	YLR158C	0.89954
206	YLR157C	0.89954
207	YNL010W	0.89954
208	YDR232W	0.89951
209	YDR011W	0.8995
210	YER057C	0.89933
211	YPL028W	0.89931
212	YFR053C	0.89928
213	YLR153C	0.89927
214	YGR231C	0.89918
215	YLL018C	0.89906
216	YDR454C	0.89889
217	YOL158C	0.89866
218	YLR438W	0.89866
219	YJR007W	0.89837
220	YBL112C	0.89836
221	YHR218W-A	0.89836
222	YJL034W	0.89834
223	YLL056C	0.89825
224	YMR318C	0.8981
225	YGL253W	0.89799
226	YEL066W	0.89795
227	YGL062W	0.89775
228	YKL152C	0.89762
229	YOL133W	0.89758
230	YGR191W	0.89715
231	YNL330C	0.89707
232	YDL210W	0.897
233	YJR105W	0.89698
234	YPL276W	0.89693
235	YJL014W	0.89683
236	YHR208W	0.89683
237	YLR208W	0.89682
238	YKL216W	0.89679
