rank	yeast_gene	cosine
1	YPL218W	0.92543
2	YDL192W	0.91465
3	YER072W	0.90968
4	YGL008C	0.90912
5	YKR059W	0.9057
6	YLR229C	0.90463
7	YDL137W	0.90446
8	YLR147C	0.90337
9	YPL036W	0.90251
10	YPR165W	0.90214
11	YGL256W	0.90184
12	YDL229W	0.90029
13	YPL203W	0.89885
14	YKL190W	0.89859
15	YNL209W	0.89822
16	YPR182W	0.89789
17	YDL084W	0.89712
18	YBR164C	0.89673
19	YDL126C	0.89652
20	YDR155C	0.89526
21	YLR234W	0.89522
22	YGR105W	0.89455
23	YBR109C	0.89369
24	YFL039C	0.89351
25	YBR241C	0.89241
26	YLR293C	0.89109
27	YBR261C	0.89057
28	YNL135C	0.8901
29	YOR122C	0.88998
30	YNL189W	0.88926
31	YLL024C	0.88914
32	YDR345C	0.88841
33	YJL108C	0.88823
34	YHR092C	0.88604
35	YOR185C	0.88567
36	YJL164C	0.88526
37	YMR290C	0.88514
38	YER103W	0.88498
39	YAL005C	0.88466
40	YHR169W	0.88385
41	YHR218W-A	0.88368
42	YBL112C	0.88368
43	YGL058W	0.88359
44	YDR343C	0.88325
45	YNL112W	0.88281
46	YOR046C	0.88253
47	YAL020C	0.88218
48	YDR342C	0.88188
49	YOR204W	0.88127
50	YPR183W	0.88094
51	YDL047W	0.88058
52	YOR089C	0.88018
53	YDL055C	0.88009
54	YBL075C	0.87994
55	YPL266W	0.87987
56	YKL024C	0.8794
57	YMR109W	0.87916
58	YJL034W	0.87909
59	YER177W	0.87819
60	YLR113W	0.87808
61	YPR192W	0.87793
62	YOR094W	0.87767
63	YDR226W	0.87748
64	YBR089C-A	0.87651
65	YHR094C	0.87642
66	YER009W	0.87589
67	YGR231C	0.87574
68	YBR160W	0.87552
69	YBR252W	0.87543
70	YLL053C	0.87538
71	YPR204W	0.87512
72	YJL014W	0.87473
73	YHL047C	0.87412
74	YDL166C	0.87402
75	YDR373W	0.87388
76	YEL026W	0.87379
77	YKL196C	0.87356
78	YDR021W	0.87317
79	YNL090W	0.87314
80	YMR222C	0.87286
81	YLR081W	0.87219
82	YIL148W	0.87199
83	YKR094C	0.87199
84	YPL106C	0.87173
85	YER148W	0.87154
86	YML012W	0.87141
87	YEL027W	0.87125
88	YDL006W	0.87117
89	YNL290W	0.87111
90	YER095W	0.8709
91	YLL050C	0.87087
92	YGR123C	0.8706
93	YML102W	0.87029
94	YOR257W	0.87028
95	YDR129C	0.87018
96	YJL214W	0.8699
97	YAR002C-A	0.86989
98	YGL255W	0.86974
99	YPR052C	0.86952
100	YMR011W	0.8693
101	YDR424C	0.86925
102	YOR224C	0.8691
103	YMR079W	0.86902
104	YHR096C	0.86894
105	YCR012W	0.86888
106	YCR010C	0.86863
107	YFL058W	0.86841
108	YGR218W	0.86826
109	YEL066W	0.86816
110	YGL054C	0.86812
111	YLR438C-A	0.86798
112	YDL245C	0.86782
113	YEL034W	0.86776
114	YAL038W	0.86733
115	YER036C	0.86726
116	YNL332W	0.86717
117	YJR158W	0.86706
118	YGL225W	0.86689
119	YDL244W	0.86657
120	YBR082C	0.86637
121	YHR070W	0.86578
122	YFL066C	0.86578
123	YMR034C	0.86569
124	YNL244C	0.86566
125	YER107C	0.86555
126	YOL143C	0.86548
127	YPL234C	0.86544
128	YMR116C	0.86518
129	YJR156C	0.86487
130	YHR200W	0.86473
131	YER060W-A	0.86466
132	YOR378W	0.86456
133	YJR047C	0.86438
134	YFL011W	0.86432
135	YJR104C	0.8643
136	YLR249W	0.86404
137	YHR030C	0.86399
138	YGR282C	0.86385
139	YJL026W	0.86355
140	YDL134C	0.8635
141	YDR075W	0.86329
142	YER133W	0.86311
143	YLL060C	0.86307
144	YBL030C	0.86296
145	YPR113W	0.86296
146	YBL016W	0.86283
147	YDR510W	0.86279
148	YDR185C	0.86271
149	YPL119C	0.86243
150	YKL218C	0.86227
151	YLR347C	0.86223
152	YBL026W	0.86208
153	YOL156W	0.86196
154	YDR002W	0.86184
155	YBL071W-A	0.86177
156	YJL167W	0.86172
157	YKL129C	0.86169
158	YAL064W-B	0.86155
