rank	yeast_gene	cosine
1	YIL120W	0.96847
2	YIL121W	0.96841
3	YER119C	0.96755
4	YEL064C	0.96528
5	YOL103W	0.9647
6	YHR032W	0.96411
7	YNR055C	0.9638
8	YBR043C	0.96316
9	YPL264C	0.96316
10	YJR001W	0.96282
11	YJR124C	0.96272
12	YKR105C	0.9614
13	YIL088C	0.96127
14	YDR497C	0.9612
15	YML018C	0.96052
16	YDR135C	0.95986
17	YPL246C	0.95933
18	YCR028C	0.95895
19	YGR224W	0.95866
20	YBR241C	0.95857
21	YKR053C	0.95794
22	YKR106W	0.95768
23	YCL073C	0.95759
24	YPL244C	0.95755
25	YMR221C	0.95729
26	YGR055W	0.95725
27	YOL075C	0.95725
28	YER026C	0.95684
29	YOR273C	0.95677
30	YCL069W	0.9567
31	YLR241W	0.95597
32	YJL134W	0.95592
33	YNL125C	0.95572
34	YOR380W	0.95562
35	YBL089W	0.95562
36	YNL275W	0.9556
37	YBR287W	0.95559
38	YGR138C	0.95555
39	YDR536W	0.9553
40	YNL065W	0.95524
41	YPR003C	0.95518
42	YHL036W	0.95508
43	YAL067C	0.95458
44	YOL137W	0.95454
45	YMR034C	0.95441
46	YOL122C	0.95425
47	YER039C	0.95419
48	YDR508C	0.95411
49	YMR279C	0.95405
50	YML116W	0.95388
51	YBR235W	0.95373
52	YNL095C	0.95368
53	YKL146W	0.95344
54	YGR065C	0.95337
55	YLR034C	0.95301
56	YDR038C	0.95296
57	YLL028W	0.95238
58	YBR180W	0.95214
59	YKL166C	0.95207
60	YDL052C	0.95201
61	YPL031C	0.95201
62	YPR156C	0.95201
63	YDR039C	0.95199
64	YDR438W	0.95196
65	YDR402C	0.95194
66	YCL025C	0.95189
67	YDR040C	0.95171
68	YHR050W	0.95165
69	YGR191W	0.9516
70	YBR220C	0.95138
71	YCR023C	0.95137
72	YEL065W	0.95102
73	YGR197C	0.95084
74	YJR116W	0.95053
75	YMR301C	0.9505
76	YHL003C	0.95036
77	YDL128W	0.95034
78	YIR028W	0.95022
79	YOL162W	0.95019
80	YHL040C	0.95017
81	YDR196C	0.94974
82	YGR281W	0.94968
83	YOL158C	0.94958
84	YOR092W	0.94956
85	YOR049C	0.94941
86	YOL002C	0.94927
87	YGL006W	0.94922
88	YIL048W	0.94922
89	YBR068C	0.94917
90	YMR080C	0.94906
91	YMR015C	0.94889
92	YLL055W	0.94869
93	YBR069C	0.94867
94	YGR260W	0.94866
95	YNR072W	0.94858
96	YER019W	0.94856
97	YDR046C	0.94856
98	YJL219W	0.94856
99	YBR008C	0.94844
100	YGL186C	0.94839
101	YBR021W	0.94839
102	YLR152C	0.9482
103	YDR090C	0.9482
104	YJR015W	0.94813
105	YNL270C	0.94812
106	YJL214W	0.94805
107	YOR087W	0.948
108	YPL006W	0.94798
109	YLR092W	0.94795
110	YGR040W	0.94792
111	YPL175W	0.94785
112	YHR132C	0.94777
113	YBR294W	0.94772
114	YGR028W	0.94762
115	YEL069C	0.94761
116	YBR243C	0.94748
117	YER185W	0.94748
118	YOL092W	0.9473
119	YLR004C	0.94724
120	YML038C	0.94716
121	YOL156W	0.94714
122	YIL166C	0.9471
123	YHL047C	0.94703
124	YPR128C	0.94696
