rank	yeast_gene	cosine
1	YER072W	0.94062
2	YPR165W	0.94052
3	YLR229C	0.93879
4	YGL008C	0.9387
5	YKR059W	0.93766
6	YLR113W	0.93728
7	YPL203W	0.93687
8	YPL036W	0.93503
9	YPL218W	0.93382
10	YHR092C	0.9309
11	YDR345C	0.93002
12	YMR109W	0.92877
13	YDR021W	0.92874
14	YNL290W	0.92788
15	YDR343C	0.9277
16	YBR241C	0.92763
17	YDR342C	0.92732
18	YDL192W	0.92707
19	YPR204W	0.92545
20	YLR081W	0.92537
21	YHR094C	0.9252
22	YJL164C	0.92497
23	YDL137W	0.92482
24	YMR290C	0.92376
25	YDL006W	0.92373
26	YOR257W	0.92307
27	YKL190W	0.92274
28	YBL016W	0.92272
29	YHR096C	0.9225
30	YOR046C	0.92238
31	YHR030C	0.92228
32	YOR204W	0.92177
33	YJL214W	0.92164
34	YBR160W	0.92128
35	YNL090W	0.92103
36	YBR164C	0.92087
37	YFL039C	0.92058
38	YDL126C	0.92015
39	YFL011W	0.92004
40	YDL245C	0.91981
41	YPR182W	0.91978
42	YMR011W	0.91959
43	YNL006W	0.91934
44	YLR466W	0.91907
45	YEL077C	0.91877
46	YFL066C	0.9187
47	YJR158W	0.91837
48	YEL069C	0.9183
49	YNR072W	0.91825
50	YOR378W	0.91814
51	YPL119C	0.91799
52	YBL112C	0.91787
53	YHR218W-A	0.91787
54	YKL129C	0.9174
55	YNL112W	0.91739
56	YHL047C	0.91715
57	YOR185C	0.91679
58	YOL156W	0.9166
59	YJL050W	0.91629
60	YJL219W	0.91564
61	YEL013W	0.9154
62	YER177W	0.9152
63	YGL225W	0.91464
64	YIL143C	0.91427
65	YIL170W	0.91421
66	YNL209W	0.91418
67	YDL047W	0.91412
68	YCR047C	0.91411
69	YER133W	0.91385
70	YDL229W	0.91382
71	YER148W	0.91381
72	YLR293C	0.91349
73	YFL058W	0.91264
74	YNL332W	0.91236
75	YBL075C	0.91235
76	YDL244W	0.91228
77	YDR129C	0.91217
78	YNL189W	0.91195
79	YJR156C	0.91193
80	YER039C	0.91179
81	YHR218W	0.9114
82	YNL098C	0.91131
83	YPR173C	0.91108
84	YLR234W	0.91103
85	YGR152C	0.91074
86	YJL108C	0.91073
87	YGL120C	0.91051
88	YPL266W	0.91049
89	YDL084W	0.91017
90	YJR065C	0.91014
91	YHL040C	0.91014
92	YER190W	0.90969
93	YMR015C	0.90943
94	YJL034W	0.90942
95	YOR061W	0.90915
96	YAL005C	0.90913
97	YDR099W	0.90887
98	YML018C	0.90881
99	YLL024C	0.90871
100	YDL166C	0.90856
101	YOR089C	0.90788
102	YGR252W	0.90777
103	YER125W	0.90769
104	YLL067C	0.90763
105	YMR034C	0.90724
106	YBR080C	0.90721
107	YOR094W	0.90705
108	YER103W	0.90698
109	YLR438C-A	0.90697
110	YDR536W	0.90688
111	YGL255W	0.90661
112	YFL026W	0.90623
113	YGR040W	0.90603
114	YER031C	0.90571
115	YPR183W	0.90571
116	YDR075W	0.90548
117	YKR094C	0.90512
118	YIL148W	0.90512
119	YGL210W	0.905
120	YER020W	0.90493
121	YML012W	0.90488
122	YFL038C	0.90477
123	YDL134C	0.90445
124	YPL031C	0.90413
125	YOL094C	0.90386
126	YCR098C	0.90361
127	YKL146W	0.90346
128	YOR270C	0.90301
129	YOL021C	0.9028
130	YGR231C	0.90264
131	YGR123C	0.90246
132	YGR105W	0.9021
133	YLL066C	0.90133
134	YIL177C	0.90132
135	YJL014W	0.90118
136	YDL001W	0.90112
137	YCR009C	0.90106
138	YHL050C	0.90096
139	YER081W	0.90094
140	YJL225C	0.90089
141	YDR040C	0.90069
142	YHR128W	0.90069
143	YKL024C	0.90065
144	YKR002W	0.90063
145	YAL026C	0.90054
146	YDL160C	0.90044
147	YKL196C	0.90029
148	YML102W	0.90024
149	YGL256W	0.90019
150	YKL166C	0.90013
151	YBR082C	0.8997
152	YML133C	0.89939
153	YLR258W	0.89939
154	YDR039C	0.89933
155	YKL104C	0.89931
156	YNL014W	0.89917
157	YML123C	0.89915
158	YHL016C	0.89906
159	YDR404C	0.89887
160	YBL111C	0.89869
161	YOL038W	0.89858
162	YGR210C	0.89846
163	YHR135C	0.89832
164	YEL051W	0.89823
165	YGL167C	0.89822
166	YDL222C	0.89806
167	YKR039W	0.898
168	YBL030C	0.89765
169	YDL097C	0.8973
170	YDR196C	0.89724
171	YAL020C	0.89717
172	YDR038C	0.897
173	YGR218W	0.89672
174	YML001W	0.89664
175	YCL009C	0.89653
176	YDR545W	0.89613
177	YOR396W	0.89613
178	YLR467W	0.89613
179	YDL108W	0.896
180	YDL128W	0.89597
181	YBR187W	0.89591
182	YEL031W	0.89575
183	YLR249W	0.89543
184	YFL055W	0.89542
185	YGL091C	0.8952
186	YDR155C	0.89504
187	YMR079W	0.89497
188	YCR010C	0.89487
189	YDL055C	0.89479
190	YMR146C	0.89471
191	YBR109C	0.89461
192	YGL058W	0.89447
193	YKL218C	0.89444
194	YDL188C	0.89441
195	YNL339C	0.89434
196	YGR296W	0.89433
197	YPL283C	0.89432
198	YER166W	0.89429
199	YDR091C	0.89426
200	YER171W	0.89424
201	YLR397C	0.89419
202	YER119C	0.89409
203	YHR065C	0.89375
204	YGL087C	0.89364
205	YDR373W	0.89342
206	YIL121W	0.89313
207	YAR002C-A	0.89308
208	YJR068W	0.89289
