rank	yeast_gene	cosine
1	YDL006W	0.96098
2	YEL069C	0.96035
3	YLR081W	0.96026
4	YNR072W	0.96017
5	YJL214W	0.96006
6	YBR241C	0.95968
7	YLR113W	0.95961
8	YGR152C	0.95948
9	YHR218W	0.95941
10	YML018C	0.95896
11	YFL011W	0.95866
12	YJL219W	0.95854
13	YBR043C	0.95852
14	YHR094C	0.95796
15	YMR080C	0.95783
16	YOL156W	0.95783
17	YDL245C	0.95778
18	YDR536W	0.95759
19	YKL166C	0.95711
20	YHR096C	0.95709
21	YJR158W	0.9568
22	YDR021W	0.95668
23	YHR092C	0.95657
24	YHR030C	0.9563
25	YDR497C	0.95614
26	YLR466W	0.95588
27	YBR080C	0.95585
28	YDL001W	0.95569
29	YMR011W	0.95534
30	YNL090W	0.95524
31	YDR039C	0.95515
32	YEL013W	0.95514
33	YDR040C	0.95491
34	YDR038C	0.95476
35	YBL111C	0.95466
36	YEL077C	0.95446
37	YIL170W	0.95446
38	YFL026W	0.95421
39	YDR345C	0.95418
40	YOL103W	0.95402
41	YOR257W	0.95379
42	YLL067C	0.9535
43	YKL146W	0.95292
44	YER026C	0.95272
45	YAL026C	0.95261
46	YPL203W	0.95249
47	YML133C	0.95208
48	YER133W	0.95203
49	YMR015C	0.95201
50	YER119C	0.95198
51	YER190W	0.9517
52	YGR040W	0.95166
53	YDR342C	0.95163
54	YLL066C	0.9516
55	YJL164C	0.95148
56	YIL177C	0.95143
57	YNL290W	0.95125
58	YJL225C	0.95121
59	YBL016W	0.95101
60	YNL125C	0.95095
61	YDR343C	0.95075
62	YIL121W	0.95042
63	YNL095C	0.95038
64	YOR326W	0.95022
65	YMR109W	0.94993
66	YFL038C	0.94983
67	YLR092W	0.94971
68	YMR034C	0.94955
69	YKL129C	0.94938
70	YER039C	0.94937
71	YBR235W	0.94918
72	YCR098C	0.94908
73	YJR049C	0.94863
74	YJR001W	0.9484
75	YOR380W	0.94837
76	YBR295W	0.94792
77	YDR545W	0.94782
78	YLR467W	0.94782
79	YOR396W	0.94782
80	YMR243C	0.94777
81	YNL098C	0.94756
82	YGL210W	0.94748
83	YIL120W	0.94743
84	YER052C	0.94717
85	YPL119C	0.94714
86	YHR032W	0.94685
87	YPL204W	0.94676
88	YBR164C	0.94673
89	YNL339C	0.94669
90	YEL031W	0.94662
91	YGR296W	0.94662
92	YER089C	0.94662
93	YPL283C	0.94662
94	YOR092W	0.94655
95	YPL031C	0.94639
96	YHR005C	0.94638
97	YML001W	0.94625
98	YGL167C	0.94602
99	YOR061W	0.94601
100	YDL134C	0.94592
101	YGL087C	0.94591
102	YBR114W	0.94581
103	YLR130C	0.94571
104	YHR135C	0.94561
105	YDL188C	0.94549
106	YPR204W	0.94548
107	YLR213C	0.94535
108	YBR294W	0.94532
109	YOL122C	0.94531
110	YKL104C	0.94505
111	YBR160W	0.94501
112	YKR059W	0.945
113	YOR101W	0.94499
114	YER019W	0.94487
115	YIL048W	0.94485
116	YLR397C	0.94469
117	YHL047C	0.94466
118	YGR281W	0.94461
119	YEL064C	0.94461
120	YER125W	0.94451
121	YCR011C	0.94423
122	YER031C	0.9442
123	YDL047W	0.9442
124	YHL040C	0.94407
