rank	yeast_gene	cosine
1	YDL192W	0.93538
2	YDL137W	0.92522
3	YPL218W	0.92342
4	YKR059W	0.92307
5	YFL039C	0.92255
6	YLR229C	0.92226
7	YER072W	0.91989
8	YPR165W	0.9191
9	YGL008C	0.91665
10	YPL036W	0.9128
11	YBR164C	0.91159
12	YDL229W	0.91123
13	YGL256W	0.91098
14	YNL209W	0.90919
15	YDR345C	0.90866
16	YKL190W	0.90796
17	YHR092C	0.90611
18	YDR343C	0.90455
19	YDL126C	0.90404
20	YDR342C	0.90316
21	YLL024C	0.90302
22	YNL135C	0.90263
23	YLR147C	0.90251
24	YPR182W	0.90233
25	YDR155C	0.90181
26	YNL189W	0.90124
27	YBR241C	0.9006
28	YDL084W	0.90023
29	YBR109C	0.90011
30	YPL203W	0.89994
31	YER009W	0.89953
32	YJL108C	0.89913
33	YER103W	0.89835
34	YAL005C	0.89834
35	YDL047W	0.89757
36	YEL027W	0.89727
37	YHR094C	0.89684
38	YPL266W	0.89673
39	YGL255W	0.89553
40	YOR122C	0.89471
41	YLR293C	0.89451
42	YOR094W	0.89433
43	YOR378W	0.89392
44	YER177W	0.89342
45	YKL024C	0.89341
46	YDL055C	0.89271
47	YHR096C	0.89251
48	YBL075C	0.8924
49	YLR081W	0.89193
50	YAL038W	0.89162
51	YMR011W	0.8915
52	YBR261C	0.89149
53	YJL214W	0.89081
54	YGL225W	0.89067
55	YJL034W	0.89006
56	YLR234W	0.89
57	YLL050C	0.88967
58	YHL047C	0.88938
59	YNL112W	0.88926
60	YNL090W	0.88913
61	YMR290C	0.8889
62	YJL164C	0.88875
63	YOR046C	0.88848
64	YDL245C	0.8882
65	YOR185C	0.8882
66	YDR226W	0.88813
67	YEL026W	0.88801
68	YJR158W	0.88765
69	YBL030C	0.88752
70	YPR192W	0.88747
71	YPR183W	0.88737
72	YLR113W	0.88735
73	YCR010C	0.88698
74	YKL196C	0.88643
75	YAL020C	0.88625
76	YDR373W	0.88624
77	YJR104C	0.88613
78	YDL006W	0.88536
79	YKR039W	0.88533
80	YGR105W	0.88521
81	YDL166C	0.88502
82	YBR160W	0.88494
83	YER060W-A	0.8849
84	YDR129C	0.88484
85	YBL112C	0.8848
86	YHR218W-A	0.8848
87	YFL011W	0.88443
88	YJR065C	0.88404
89	YOR204W	0.88391
90	YKR094C	0.88382
91	YIL148W	0.88382
92	YKL218C	0.88337
93	YDR021W	0.88315
94	YGR231C	0.88306
95	YMR109W	0.88304
96	YEL066W	0.88285
97	YOL156W	0.88279
98	YML012W	0.8826
99	YCR012W	0.88215
100	YIL170W	0.88212
101	YMR079W	0.88209
102	YPL106C	0.88196
103	YOR089C	0.88145
104	YNL290W	0.88085
105	YBL026W	0.88084
106	YDR353W	0.88081
107	YNR072W	0.88073
108	YEL069C	0.88064
109	YFL066C	0.88015
110	YJL026W	0.87961
111	YDR075W	0.87936
112	YJR159W	0.87882
113	YOR257W	0.87863
114	YJL014W	0.87843
115	YJL219W	0.87834
116	YBR252W	0.87826
117	YNR032C-A	0.87815
118	YKL152C	0.87778
119	YPL234C	0.87757
120	YMR034C	0.87708
121	YGR123C	0.87704
122	YNL006W	0.87687
123	YBL016W	0.87675
124	YDL246C	0.87667
125	YFL038C	0.87662
126	YER031C	0.8765
127	YLL053C	0.8763
128	YHL040C	0.87614
129	YGR282C	0.87605
130	YJR105W	0.87598
131	YMR246W	0.87596
132	YGL091C	0.87586
133	YER148W	0.87574
134	YDR454C	0.87568
135	YFL058W	0.87558
136	YGL058W	0.87557
137	YLR249W	0.87512
138	YPL061W	0.87512
139	YJL050W	0.87507
140	YDR099W	0.87478
141	YOL086C	0.8747
142	YGR252W	0.87452
143	YER095W	0.87449
144	YNL332W	0.87439
145	YDL168W	0.87433
146	YEL034W	0.87382
147	YFL045C	0.87368
148	YJL167W	0.87364
149	YER060W	0.87347
150	YPR204W	0.87338
151	YBR082C	0.87327
152	YNL244C	0.8731
153	YGL210W	0.87284
154	YPR173C	0.87281
155	YDL244W	0.87277
156	YBL071W-A	0.87266
157	YBR089C-A	0.87266
158	YER107C	0.87257
159	YPL058C	0.87247
160	YDL134C	0.87246
161	YDR059C	0.87245
162	YNL014W	0.87214
163	YGR218W	0.87192
164	YER056C	0.87171
165	YJR156C	0.8717
166	YJR045C	0.87163
167	YMR116C	0.8716
168	YBR085W	0.87157
169	YDR050C	0.87134
170	YHR018C	0.87122
171	YLR438C-A	0.87094
172	YAR002C-A	0.87082
173	YGL253W	0.87053
174	YFL055W	0.8704
175	YOL094C	0.87035
176	YLR347C	0.87034
177	YMR015C	0.87017
178	YHL016C	0.86999
179	YNL142W	0.86993
180	YJR047C	0.86989
181	YHR128W	0.86974
182	YKL129C	0.86959
183	YJL001W	0.86956
184	YNR053C	0.86952
185	YML102W	0.86932
186	YER039C	0.86922
187	YER133W	0.86915
188	YDR091C	0.86892
189	YOL143C	0.86889
190	YMR222C	0.86871
191	YLR303W	0.86869
192	YPR052C	0.86824
193	YHR169W	0.86815
194	YIL078W	0.86813
195	YDR510W	0.86794
196	YFR053C	0.8677
197	YPR113W	0.86747
198	YER036C	0.86736
199	YBR187W	0.86735
200	YLR200W	0.86713
201	YNL098C	0.86689
202	YMR303C	0.86683
203	YER057C	0.86679
204	YLR044C	0.86677
205	YNL268W	0.86676
206	YPL119C	0.86669
207	YMR300C	0.86644
208	YJL213W	0.86628
209	YDR185C	0.86624
210	YDR424C	0.86623
211	YDR540C	0.86622
212	YLR167W	0.86613
213	YDL022W	0.86593
214	YLR134W	0.86573
215	YDR086C	0.86546
216	YBR106W	0.86538
217	YML001W	0.86535
218	YOR161C	0.86534
219	YHR106W	0.86531
220	YDR002W	0.8652
221	YGL054C	0.86508
222	YNR002C	0.86487
223	YGL001C	0.86481
224	YBR169C	0.86475
225	YPR080W	0.86465
226	YHR200W	0.86461
227	YNL010W	0.86455
228	YMR292W	0.86449
229	YDL108W	0.86435
230	YHR030C	0.86382
231	YAL064C-A	0.86377
232	YOR153W	0.8637
233	YCR098C	0.86362
234	YDL064W	0.86356
235	YOL038W	0.86349
236	YER025W	0.86337
237	YGR211W	0.86332
238	YER020W	0.86299
239	YOR224C	0.86277
240	YER125W	0.86275
241	YER179W	0.86271
242	YPR069C	0.86247
243	YOR347C	0.86242
244	YHR070W	0.86213
245	YPL051W	0.86213
