systematic	common	init_type	n_symbols_in_scf	human_symbols_used	sources
Q0010	Q0010	random	0		
Q0017	Q0017	random	0		
Q0032	Q0032	random	0		
Q0045	COX1	ortholog	1	MT-CO1	InParanoid,OMA
Q0050	AI1	random	0		
Q0055	AI2	random	0		
Q0060	AI3	random	0		
Q0065	AI4	random	0		
Q0070	AI5_ALPHA	random	0		
Q0075	AI5_BETA	random	0		
Q0080	ATP8	random	0		
Q0085	ATP6	ortholog	1	MT-ATP6	InParanoid,OMA
Q0092	Q0092	random	0		
Q0105	COB	ortholog	1	MT-CYB	InParanoid,OMA
Q0110	BI2	random	0		
Q0115	BI3	random	0		
Q0120	BI4	random	0		
Q0130	OLI1	ortholog	3	ATP5MC1,ATP5MC2,ATP5MC3	InParanoid
Q0140	VAR1	random	0		
Q0142	Q0142	random	0		
Q0143	Q0143	random	0		
Q0144	Q0144	random	0		
Q0160	SCEI	random	0		
Q0182	Q0182	random	0		
Q0250	COX2	ortholog	1	MT-CO2	InParanoid,OMA
Q0255		random	0		
Q0275	COX3	ortholog	1	MT-CO3	InParanoid,OMA
Q0297	Q0297	random	0		
R0010W	FLP1	random	0		
R0020C	REP1	random	0		
R0030W	RAF1	random	0		
R0040C	REP2	random	0		
YAL001C	TFC3	random	0		
YAL002W	VPS8	random	0		
YAL003W	EFB1	ortholog	2	EEF1B2,EEF1D	InParanoid,OMA
YAL004W		random	0		
YAL005C	SSA1	ortholog	6	HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8	InParanoid,OMA
YAL007C	ERP2	ortholog	4	TMED1,TMED3,TMED5,TMED7	InParanoid,OMA
YAL008W	FUN14	random	0		
YAL009W	SPO7	random	0		
YAL010C	MDM10	random	0		
YAL011W	SWC3	random	0		
YAL012W	CYS3	ortholog	1	CTH	InParanoid,OMA
YAL013W	DEP1	random	0		
YAL014C	SYN8	random	0		
YAL015C	NTG1	ortholog	1	NTHL1	InParanoid
YAL016C-A		random	0		
YAL016C-B		random	0		
YAL016W	TPD3	ortholog	2	PPP2R1A,PPP2R1B	InParanoid,OMA
YAL017W	PSK1	random	0		
YAL018C	LDS1	random	0		
YAL019W	FUN30	random	0		
YAL019W-A		random	0		
YAL020C	ATS1	random	0		
YAL021C	CCR4	ortholog	2	CNOT6,CNOT6L	InParanoid
YAL022C	FUN26	ortholog	3	SLC29A1,SLC29A2,SLC29A3	InParanoid,OMA
YAL023C	PMT2	ortholog	1	POMT2	InParanoid,OMA
YAL024C	LTE1	random	0		
YAL025C	MAK16	ortholog	1	MAK16	InParanoid,OMA
