rank	yeast_gene	cosine
1	YOR378W	0.94465
2	YLR229C	0.93963
3	YKR059W	0.92997
4	YGL225W	0.92922
5	YPR165W	0.92513
6	YBL026W	0.92365
7	YFL039C	0.9228
8	YER072W	0.92193
9	YJL108C	0.92128
10	YDR343C	0.92101
11	YER039C	0.9208
12	YDR342C	0.92073
13	YDR345C	0.92011
14	YHR092C	0.91985
15	YHL016C	0.91871
16	YEL027W	0.9187
17	YDL192W	0.91835
18	YGL255W	0.91827
19	YFL066C	0.91678
20	YHR094C	0.91675
21	YHL047C	0.91663
22	YMR011W	0.91649
23	YKL218C	0.91624
24	YDL137W	0.9162
25	YOR061W	0.91605
26	YHR128W	0.91595
27	YPL266W	0.91496
28	YGL008C	0.91482
29	YIL170W	0.91463
30	YJL214W	0.91463
31	YFL011W	0.91433
32	YNL006W	0.91428
33	YBR164C	0.91418
34	YPL036W	0.91383
35	YHL040C	0.9136
36	YHR096C	0.91343
37	YLR081W	0.91332
38	YBL016W	0.91307
39	YDL245C	0.91273
40	YJR158W	0.9119
41	YDR091C	0.91107
42	YER081W	0.91075
43	YLR113W	0.91065
44	YJR065C	0.9105
45	YNR032C-A	0.91049
46	YNR072W	0.90991
47	YEL069C	0.90971
48	YOL156W	0.90955
49	YDR021W	0.90947
50	YER060W-A	0.90922
51	YDL006W	0.90912
52	YGL256W	0.90885
53	YPR182W	0.90865
54	YKR039W	0.90813
55	YJL213W	0.90807
56	YJL219W	0.90788
57	YKL190W	0.90757
58	YPR138C	0.90727
59	YAL064C-A	0.90722
60	YOR257W	0.90618
61	YNL090W	0.90613
62	YBR160W	0.9061
63	YOL094C	0.90544
64	YFL055W	0.90464
65	YER009W	0.904
66	YIL074C	0.90398
67	YER060W	0.90396
68	YGR252W	0.90395
69	YCR098C	0.90391
70	YER056C	0.90391
71	YMR015C	0.90388
72	YNL290W	0.90384
73	YPL086C	0.90253
74	YDL047W	0.90243
75	YML018C	0.90224
76	YDL168W	0.90199
77	YPR183W	0.90175
78	YNL189W	0.90164
79	YOR153W	0.90152
80	YPR016C	0.90134
81	YFL017W-A	0.90126
82	YHR007C	0.90103
83	YBL030C	0.90074
84	YDR536W	0.90063
85	YBR241C	0.90057
86	YGR121C	0.90034
87	YOR094W	0.89928
88	YNL142W	0.89912
89	YDR540C	0.89907
90	YEL013W	0.89897
91	YDR341C	0.89884
92	YFL026W	0.89882
93	YER094C	0.89874
94	YDR129C	0.89872
95	YOL162W	0.89851
96	YEL065W	0.89837
97	YBL112C	0.89826
98	YHR218W-A	0.89826
99	YMR034C	0.89813
100	YKL024C	0.898
101	YMR290C	0.89799
102	YLR134W	0.89796
103	YKL196C	0.89778
104	YER025W	0.89759
105	YMR109W	0.89732
106	YPL203W	0.89708
107	YPL218W	0.89677
108	YEL063C	0.8967
109	YOR046C	0.89637
110	YOL086C	0.89607
111	YEL026W	0.89599
112	YBR085W	0.89578
113	YMR303C	0.89573
114	YGR040W	0.89559
115	YDR406W	0.89553
116	YFL045C	0.89529
117	YJL167W	0.89518
118	YDL166C	0.89489
119	YGL091C	0.89441
120	YER148W	0.89439
121	YML123C	0.89425
122	YNL268W	0.89403
123	YLR044C	0.89362
124	YDR075W	0.89355
125	YCR010C	0.8935
126	YMR246W	0.89343
127	YLL050C	0.89333
128	YFL058W	0.89326
129	YNL270C	0.89316
130	YBR145W	0.89311
131	YNL332W	0.89301
132	YGL001C	0.89285
133	YER177W	0.8928
134	YKL033W-A	0.8927
135	YDR353W	0.89261
136	YJL164C	0.89259
137	YLR359W	0.89258
138	YMR279C	0.89234
139	YJR156C	0.89226
140	YPL058C	0.89207
141	YJL050W	0.89206
142	YDL244W	0.89197
143	YKL129C	0.89163
144	YHR018C	0.89161
145	YDL055C	0.89159
146	YHR106W	0.89147
147	YLR303W	0.89141
148	YAL038W	0.89132
149	YER178W	0.89088
150	YDR373W	0.89083
151	YBR298C	0.89076
152	YJR159W	0.89065
153	YNL209W	0.8906
154	YCL017C	0.89055
155	YBR082C	0.89034
156	YKL146W	0.89022
157	YPL234C	0.89017
158	YMR146C	0.88995
159	YDL246C	0.88984
160	YDL229W	0.88959
161	YNL010W	0.88934
162	YMR079W	0.88908
163	YDR155C	0.88838
164	YDR059C	0.88816
165	YOL151W	0.88806
166	YOR347C	0.88801
167	YER133W	0.88786
168	YER171W	0.88774
169	YIL143C	0.88751
170	YAL005C	0.8868
171	YER052C	0.88669
172	YEL046C	0.88665
173	YKR080W	0.88661
174	YDR011W	0.88647
175	YJL001W	0.88625
176	YMR108W	0.88619
177	YDR099W	0.88618
178	YLL024C	0.88605
179	YGR132C	0.88594
180	YOL158C	0.88585
181	YBL075C	0.88581
182	YGR231C	0.88566
183	YJR148W	0.88548
184	YER069W	0.88548
185	YDL108W	0.88546
186	YJL026W	0.88507
187	YER012W	0.88506
188	YEL066W	0.88503
189	YGL011C	0.88495
190	YLR438C-A	0.88489
191	YLR058C	0.88467
192	YEL031W	0.88465
193	YGR210C	0.88456
194	YJL014W	0.88431
195	YNR002C	0.88411
196	YMR056C	0.88407
197	YML012W	0.88387
198	YBR296C	0.8838
199	YER119C	0.8837
200	YDL126C	0.88364
201	YNL191W	0.88364
202	YER103W	0.88331
203	YPR204W	0.88325
204	YGL210W	0.88317
205	YPR173C	0.88301
206	YLR438W	0.88284
207	YGR191W	0.8828
208	YNL202W	0.8828
209	Q0130	0.88268
210	YFL038C	0.88265
211	YKL216W	0.88246
212	YNR053C	0.88239
213	YNL104C	0.88209
214	YDR454C	0.88192
215	YOL133W	0.88191
216	YOR348C	0.8819
217	YPL061W	0.88184
218	YBR222C	0.88183
219	YBR187W	0.88162
220	YPR192W	0.88147
221	YNL112W	0.88141
222	YER055C	0.88116
223	YBR261C	0.88114
224	YGR087C	0.88082
225	YLR130C	0.88065
226	YDL210W	0.88052
227	YBR249C	0.88039
228	YJR153W	0.88038
229	YNL274C	0.88038
230	YPL028W	0.88035
231	YGL062W	0.88026
232	YPR113W	0.88024
233	YKR002W	0.88001
234	YLL018C	0.8799
235	YER031C	0.87989
236	YML001W	0.87989
237	YIL009W	0.87987
238	YEL021W	0.87986
239	YJR077C	0.8798
240	YHR030C	0.87979
241	YLL056C	0.87962
242	YJR068W	0.87956
243	YPL276W	0.87954
244	YER057C	0.87952
245	YGL253W	0.87945
246	YOL038W	0.87931
247	YFR053C	0.87927
248	YJR105W	0.87923
249	YJR007W	0.87913
250	YDR339C	0.87913
251	YOR328W	0.87904
252	YLR153C	0.87889
253	YOR270C	0.87886
254	YPL246C	0.8786
255	YIL116W	0.87857
256	YLL063C	0.87841
257	YGR055W	0.87841
258	YMR300C	0.87838
259	YLR034C	0.87821
260	YJL034W	0.87805
261	YDR404C	0.87775
262	YOR204W	0.87769
263	YFL056C	0.87766
264	YCL025C	0.87758
265	YDR232W	0.87755
266	YJR160C	0.87755
267	YDL134C	0.87751
268	YGL077C	0.87741
269	YMR318C	0.87735
270	YNL330C	0.87732
271	YOR108W	0.87728
272	YBR143C	0.87718
273	YGR282C	0.87717
274	YDR196C	0.87713
275	YBL041W	0.87706
276	YIL020C	0.87702
277	YCR047C	0.87698
278	YDR046C	0.87698
279	YOL143C	0.87695
280	YFR044C	0.87683
281	YLR092W	0.8767
282	YLR208W	0.87628
283	YAL060W	0.87627
284	YAL026C	0.87623
285	YJR025C	0.87618
286	YNR070W	0.87618
287	YOR317W	0.87611
288	YJL121C	0.87611
289	YBR218C	0.87594
290	YOR388C	0.87588
291	YEL077C	0.87578
292	YOR157C	0.87577
293	YPL031C	0.87569
294	YPR035W	0.87568
295	YLR466W	0.8756
296	YGR123C	0.87552
297	YBR080C	0.87548
298	YGL087C	0.87547
