rank	yeast_gene	cosine
1	YJR124C	0.93707
2	YPL246C	0.9342
3	YNL275W	0.93327
4	YEL064C	0.93318
5	YPR201W	0.93297
6	YBL040C	0.93296
7	YIL088C	0.93294
8	YKR053C	0.92959
9	YOR049C	0.92849
10	YLR046C	0.92774
11	YBR220C	0.9276
12	YLR241W	0.92737
13	YER119C	0.92727
14	YJR001W	0.92724
15	YGL186C	0.9271
16	YKR051W	0.92625
17	YHR175W	0.92596
18	YPL092W	0.92569
19	YNR055C	0.92568
20	YOL002C	0.92544
21	YKR106W	0.92541
22	YCL073C	0.92492
23	YDR090C	0.92487
24	YJL134W	0.92444
25	YCL069W	0.92435
26	YKR105C	0.92434
27	YMR221C	0.92421
28	YCR061W	0.92395
29	YOL137W	0.9238
30	YBL089W	0.92367
31	YMR071C	0.92292
32	YJR015W	0.92283
33	YDR438W	0.9228
34	YGR197C	0.92269
35	YDR135C	0.92146
36	YDR492W	0.92144
37	YHR142W	0.92124
38	YNL237W	0.92095
39	YIL120W	0.92062
40	YDR352W	0.92021
41	YOL122C	0.9202
42	YAL022C	0.92007
43	YIL121W	0.91959
44	YCR028C	0.91956
45	Q0085	0.91947
46	YHR032W	0.91946
47	YHR050W	0.91913
48	YMR034C	0.91908
49	YGR036C	0.91906
50	YOR292C	0.91895
51	YOL075C	0.9189
52	YBR287W	0.91886
53	YCR075C	0.91873
54	YGR224W	0.91872
55	YOL092W	0.91871
56	YHL036W	0.91858
57	YBR243C	0.91853
58	YLR152C	0.91848
59	YLR034C	0.91828
60	YBR021W	0.91814
61	YNL095C	0.91813
62	YCR044C	0.91809
63	YOR380W	0.91806
64	YGR288W	0.91765
65	YPR003C	0.91762
66	YJR116W	0.91744
67	YAL053W	0.91733
68	YBR029C	0.9172
69	YIR028W	0.91705
70	YML116W	0.91697
71	YOL103W	0.91667
72	YNL065W	0.91664
73	YLL063C	0.91649
74	YPL264C	0.91648
75	YOL073C	0.91612
76	YBR069C	0.91595
77	YGR213C	0.91592
78	YPL221W	0.9157
79	YNL130C	0.91561
80	YML018C	0.91554
81	YOR079C	0.91551
82	YBL042C	0.9154
83	YNL305C	0.9153
84	YER185W	0.91515
85	YGR055W	0.91508
86	YJL093C	0.91508
87	YGL139W	0.91502
88	YPL006W	0.91493
89	YMR063W	0.91493
90	YKR088C	0.91489
91	YGR065C	0.91484
92	YNR019W	0.91455
93	YOL158C	0.91452
94	YHL017W	0.91447
95	YHR123W	0.91444
96	YJR040W	0.91441
97	YKL039W	0.9143
98	YPR198W	0.91414
99	YPL087W	0.91394
100	YDR459C	0.91389
101	YOR087W	0.91375
102	YDR456W	0.91353
103	YKL051W	0.91326
104	YLR411W	0.91274
105	YMR306W	0.91271
106	YCL002C	0.9127
107	YOL020W	0.91267
108	YHR026W	0.9126
109	YJL196C	0.91252
110	YJR161C	0.91243
111	YHL003C	0.91222
112	YOR192C	0.91213
113	YOR071C	0.912
114	YCR023C	0.91199
115	YOR175C	0.91187
116	YKL004W	0.91184
117	YCR101C	0.91168
118	YOR013W	0.9116
119	YEL004W	0.9116
120	YJL059W	0.91135
121	YDR331W	0.91107
122	YDR508C	0.91106
123	YHR181W	0.911
124	YGL104C	0.91095
125	YOR390W	0.91089
126	YOR273C	0.91082
127	YNL194C	0.91081
128	YDR497C	0.91079
129	YCR048W	0.91072
130	YBR068C	0.9106
131	YDR411C	0.91058
132	YDL248W	0.91051
133	YBR235W	0.91043
134	YHL026C	0.91033
135	YNL125C	0.91029
136	YOR384W	0.91021
137	Q0065	0.91018
138	YFL052W	0.91011
139	YGL012W	0.91007
140	YDR100W	0.91001
141	YKL161C	0.91
142	YPL279C	0.90991
143	YBR180W	0.90989
144	YLR246W	0.90988
145	YDR038C	0.90984
146	YKL008C	0.90981
147	YOL162W	0.90981
148	YJL163C	0.9097
149	YDR384C	0.9096
