rank	yeast_gene	cosine
1	YDL137W	0.93786
2	YDL192W	0.93691
3	YBR164C	0.9313
4	YBR241C	0.93085
5	YKR059W	0.92579
6	YFL039C	0.92421
7	YLR229C	0.92416
8	YPL218W	0.92362
9	YDR345C	0.92331
10	YDL047W	0.92187
11	YPR165W	0.92177
12	YHR094C	0.92097
13	YHR092C	0.92096
14	YPL203W	0.91993
15	YJL108C	0.9198
16	YKL190W	0.91963
17	YOR094W	0.91921
18	YJL214W	0.91794
19	YDR343C	0.91711
20	YDL006W	0.91709
21	YDR342C	0.91696
22	YMR011W	0.91668
23	YLR081W	0.91609
24	YNL090W	0.91507
25	YHR096C	0.91476
26	YHL047C	0.9146
27	YOR378W	0.91458
28	YPR183W	0.91398
29	YFL011W	0.91363
30	YGL225W	0.91362
31	YIL170W	0.91348
32	YDR373W	0.91338
33	YJL164C	0.91321
34	YNL189W	0.91299
35	YDL245C	0.91296
36	YMR034C	0.91261
37	YJR158W	0.91252
38	YKL024C	0.91242
39	YGL256W	0.91215
40	YFL038C	0.91179
41	YOL156W	0.9117
42	YNR072W	0.91052
43	YKR039W	0.9104
44	YGL255W	0.9102
45	YEL069C	0.90994
46	YDR075W	0.9096
47	YJL219W	0.90937
48	YML018C	0.9093
49	YDL134C	0.90908
50	YER009W	0.90907
51	YPR192W	0.9083
52	YBR160W	0.90778
53	YLR113W	0.90767
54	YER039C	0.90764
55	YER072W	0.90743
56	YHL040C	0.90732
57	YOR257W	0.90716
58	YFL055W	0.90712
59	YPL036W	0.90675
60	YER133W	0.90658
61	YGL008C	0.9063
62	YNL268W	0.90467
63	YDR021W	0.90433
64	YER060W-A	0.90432
65	YOR089C	0.90414
66	YMR079W	0.90408
67	YBR109C	0.90258
68	YPR182W	0.90233
69	YBL016W	0.9021
70	YEL063C	0.90202
71	YDL108W	0.90197
72	YDL126C	0.90194
73	YJL167W	0.90167
74	YER031C	0.90112
75	YPL031C	0.90085
76	YDR040C	0.90071
77	YER060W	0.90068
78	YDR536W	0.90064
79	YGL210W	0.90045
80	YBR187W	0.9004
81	YPL058C	0.90033
82	YMR109W	0.89982
83	YCR010C	0.89953
84	YER125W	0.89904
85	YMR246W	0.89897
86	YNL270C	0.89895
87	YER056C	0.89873
88	YDR039C	0.89871
89	YNL290W	0.89861
90	YNL112W	0.8986
91	YBR082C	0.89855
92	YER119C	0.89853
93	YDR155C	0.89843
94	YDL128W	0.89833
95	YMR015C	0.89827
96	YPR138C	0.89815
97	YPL051W	0.89797
98	YNL142W	0.89797
99	YPR113W	0.89749
100	YPL234C	0.8973
101	YHL016C	0.89698
102	YDL166C	0.89697
103	YOR348C	0.89696
104	YMR290C	0.89695
105	YJR065C	0.89689
106	YER020W	0.89665
107	YDR038C	0.89662
108	YKL218C	0.89634
109	YLL028W	0.89628
110	YML001W	0.89607
111	YGR123C	0.89601
112	YNL209W	0.89601
113	YPL266W	0.89583
114	YDL229W	0.89544
115	YER177W	0.89542
116	YCR098C	0.89517
117	YDR059C	0.89505
118	YHR030C	0.89487
119	YOR204W	0.89466
120	YHR128W	0.89461
121	YDR196C	0.89461
122	YKL166C	0.89459
123	YLR234W	0.89454
124	YLR347C	0.89439
125	YPR204W	0.89429
126	YCL025C	0.8942
127	YMR279C	0.89419
128	YOR161C	0.89416
129	YOL158C	0.894
130	YBL075C	0.89381
131	YGR105W	0.89377
132	YGR191W	0.89367
133	YNR002C	0.89363
134	YGL001C	0.89353
135	YDR046C	0.89351
136	YBL112C	0.8935
137	YHR218W-A	0.8935
138	YDL188C	0.89331
139	YPL264C	0.89324
140	YOR153W	0.89322
141	YJL001W	0.89321
142	YNL098C	0.89318
143	YGL167C	0.89299
144	YDR519W	0.89296
145	YFL005W	0.89292
146	YOL094C	0.89257
147	YBR261C	0.89247
148	YLL053C	0.89241
149	YGR040W	0.89212
150	YGR121C	0.89198
151	YKL196C	0.89194
152	YPL061W	0.89193
153	YML012W	0.89187
154	YMR292W	0.8918
155	YOR046C	0.8917
156	YDL084W	0.89114
157	YNL135C	0.89111
158	YDR406W	0.89105
159	YIL121W	0.891
160	YAL005C	0.89091
161	YGR218W	0.89078
162	YPL246C	0.89059
163	YLR130C	0.89053
164	YNL010W	0.89036
165	YEL027W	0.89026
166	YGR281W	0.89016
167	YKL129C	0.89015
168	YLL050C	0.88991
169	YGR055W	0.88987
170	YLL024C	0.88983
171	YAL026C	0.88975
172	YGR282C	0.88962
173	YGR252W	0.88961
174	YAL020C	0.8896
175	YDR404C	0.88939
176	YBL026W	0.88932
177	YDR099W	0.88926
178	YML123C	0.88914
179	YHR057C	0.88896
180	YGR138C	0.88894
181	YPR173C	0.8889
182	YDR129C	0.88869
183	YOR061W	0.88854
184	YOR197W	0.88851
185	YJL034W	0.88835
186	YGL058W	0.88825
187	YLR466W	0.88819
188	YDL055C	0.88815
189	YBR296C	0.88797
190	YOR185C	0.88796
191	YER103W	0.88787
192	YHR106W	0.8878
193	YOR317W	0.88775
194	YOL075C	0.88757
195	YLR438C-A	0.88754
196	YPL119C	0.8875
197	YOL038W	0.88709
198	YDR185C	0.88692
199	YGL253W	0.88689
200	YGL087C	0.88667
201	YER185W	0.88665
202	YEL077C	0.88661
203	YKL146W	0.88648
204	YJR124C	0.88647
205	YDR011W	0.88645
206	YJL050W	0.88645
207	YKR002W	0.88645
208	YHR007C	0.88618
209	YEL064C	0.88607
210	YLR293C	0.88605
211	YLR034C	0.88547
212	YKL033W-A	0.88518
213	YEL046C	0.88511
214	YDL029W	0.88501
215	YAL038W	0.88496
216	YDL168W	0.88486
217	YEL066W	0.88482
218	YHR110W	0.88475
219	YDR497C	0.88471
220	YDR092W	0.88459
221	YJL014W	0.88448
222	YJL213W	0.88431
223	YBL030C	0.88428
224	YFL045C	0.88426
225	YLR170C	0.88423
226	YMR300C	0.88418
227	YNR055C	0.88409
228	YDR353W	0.88387
229	YFL058W	0.88369
230	YER081W	0.88368
231	YAR002C-A	0.88366
232	YGR152C	0.88361
233	YOR381W	0.88345
234	YGR231C	0.8834
235	YJR105W	0.88339
236	YER057C	0.88338
237	YDR508C	0.88338
238	YPR069C	0.88313
239	YBR298C	0.88309
240	YIL009W	0.883
241	YDL244W	0.88288
242	YNL332W	0.88288
243	YNL006W	0.88279
244	YDL097C	0.88273
245	YLL060C	0.88268
246	YER026C	0.88259
247	YGR060W	0.88253
248	YNL093W	0.88251
249	YJR156C	0.8825
250	YDR454C	0.88241
251	YIR036C	0.88228
252	YBR085W	0.88206
253	YAL061W	0.88199
254	YDR456W	0.88197
255	YHR018C	0.88192
256	YDR341C	0.88192
257	YOR122C	0.88184
258	YHR200W	0.88182
259	YNL274C	0.88168
260	YEL031W	0.88163
261	YFR053C	0.88163
262	YFL066C	0.8816
263	YGL091C	0.88151
264	YOR157C	0.8815
265	YLR147C	0.88136
266	YGR208W	0.88118
267	YBR080C	0.88093
268	YMR222C	0.8809
269	YJL026W	0.88086
270	YLR397C	0.88075
271	YMR056C	0.88072
272	YOL122C	0.88071
273	YOL151W	0.88059
274	YDL022W	0.88049
275	YDR384C	0.88044
276	YOR347C	0.88042
277	YDL064W	0.88038
278	YBR008C	0.88031
279	YGR213C	0.88017
280	YOR388C	0.87993
281	YDR135C	0.87987
282	YER190W	0.87982
283	YFL017W-A	0.87975
284	YDL100C	0.87971
285	YOL162W	0.87971
286	YEL065W	0.87969
287	YGL120C	0.87967
288	YLR237W	0.87963
289	YER166W	0.87957
290	YPL106C	0.87955
291	YOR270C	0.87953
292	YNR070W	0.87952
293	YJL196C	0.87919
294	YNL330C	0.87895
295	YER052C	0.87894
