rank	yeast_gene	cosine
1	YPL203W	0.93354
2	YHR030C	0.93301
3	YBR160W	0.92714
4	YBL016W	0.92643
5	YLR113W	0.9264
6	YPL031C	0.92573
7	YCR028C	0.92432
8	YGR040W	0.92377
9	YJL164C	0.92271
10	YHR135C	0.92264
11	YHL047C	0.92134
12	YHL040C	0.92115
13	YIL121W	0.92059
14	YDL108W	0.92049
15	YOR257W	0.91987
16	YMR109W	0.91857
17	YGR152C	0.91709
18	YOL162W	0.91699
19	YKL166C	0.91672
20	YNR057C	0.9166
21	YER133W	0.91642
22	YDR021W	0.91616
23	YDR375C	0.91616
24	YKL104C	0.91548
25	YDL128W	0.91534
26	YJL108C	0.91522
27	YHL003C	0.91498
28	YIL120W	0.91497
29	YOL021C	0.91442
30	YBR241C	0.91389
31	YER039C	0.91374
32	YDL052C	0.91362
33	YDR196C	0.91347
34	YNL154C	0.91336
35	YMR290C	0.91326
36	YGL120C	0.91318
37	YER119C	0.9126
38	YPL204W	0.91255
39	YNL290W	0.91236
40	YNL288W	0.91203
41	YNR055C	0.91182
42	YLR466W	0.91159
43	YLR426W	0.91145
44	YCR047C	0.91144
45	YER171W	0.91126
46	YBR243C	0.9112
47	YPL259C	0.91117
48	YAR035W	0.91086
49	YPL175W	0.91074
50	YBR043C	0.91043
51	YEL065W	0.91036
52	YKL146W	0.90966
53	YDL160C	0.90949
54	YNL275W	0.90944
55	YMR034C	0.90942
56	YPR113W	0.90902
57	YHR032W	0.90826
58	YOR273C	0.90819
59	YML018C	0.90789
60	YBR008C	0.90783
61	YEL077C	0.90762
62	YPR051W	0.90756
63	YBL105C	0.90744
64	YOR061W	0.9073
65	YKL129C	0.90697
66	YLR005W	0.90696
67	YPR183W	0.90692
68	YER190W	0.90691
69	YMR095C	0.90656
70	YAL026C	0.90648
71	YDR536W	0.90634
72	YGR138C	0.90631
73	YGL167C	0.90599
74	YGR281W	0.90587
75	YMR221C	0.90587
76	YJR124C	0.90579
77	YNL090W	0.90564
78	YGL163C	0.9053
79	YFR028C	0.90525
80	YKR002W	0.90503
81	YLL028W	0.90459
82	YDR135C	0.90455
83	YOL103W	0.90449
84	YJL225C	0.90445
85	YIL177C	0.90439
86	YBR235W	0.90438
87	YFR018C	0.90438
88	YLR291C	0.90434
89	YDL188C	0.90414
90	YHR094C	0.90411
91	YLR438C-A	0.90401
92	YHR005C	0.90386
93	YNR072W	0.90382
94	YPL264C	0.90371
95	YLR234W	0.90364
96	YNL307C	0.90361
97	YMR015C	0.90354
98	YLR229C	0.90351
99	YDL134C	0.90339
100	YHR218W	0.90334
101	YKR068C	0.90332
102	YER026C	0.90328
103	YJL214W	0.90325
104	YFL011W	0.90325
105	YDR040C	0.90317
106	YBR080C	0.90289
107	YLR081W	0.9028
108	YOR378W	0.90271
109	YPL244C	0.90245
110	YKR059W	0.90241
111	YNL095C	0.90238
112	YEL069C	0.90237
113	YLL067C	0.90228
114	YDR404C	0.90224
115	YER019W	0.90204
116	YDL057W	0.90193
117	YDR039C	0.90178
118	YER020W	0.90175
