rank	yeast_gene	cosine
1	YPL203W	0.96142
2	YKL190W	0.95906
3	YHR030C	0.95652
4	YPL218W	0.95579
5	YER125W	0.95548
6	YLR234W	0.95481
7	YBR241C	0.95454
8	YJL164C	0.95385
9	YBR160W	0.95284
10	YDL137W	0.9527
11	YDR373W	0.95253
12	YLR113W	0.95217
13	YDL192W	0.95093
14	YER020W	0.9507
15	YHL047C	0.95064
16	YDL126C	0.95038
17	YKR059W	0.95
18	YGR218W	0.94979
19	YML012W	0.94958
20	YBR164C	0.94944
21	YDL047W	0.9494
22	YNL189W	0.94919
23	YNL288W	0.94864
24	YOR204W	0.94796
25	YGL120C	0.94788
26	YDR185C	0.94764
27	YBR187W	0.94756
28	YHR110W	0.94751
29	YAR002C-A	0.94739
30	YMR109W	0.94691
31	YBL016W	0.94656
32	YNL098C	0.94651
33	YOR257W	0.9464
34	YMR034C	0.94635
35	YDL029W	0.94635
36	YER166W	0.94602
37	YGR231C	0.94573
38	YGR105W	0.94534
39	YDL108W	0.94486
40	YNL112W	0.9448
41	YPR113W	0.9447
42	YJL108C	0.94451
43	YHR200W	0.94444
44	YAL026C	0.94442
45	YOR270C	0.94383
46	YOR094W	0.94381
47	YMR290C	0.94369
48	YDL166C	0.94351
49	YPL119C	0.94349
50	YDL134C	0.94346
51	YPL058C	0.94343
52	YDL097C	0.94302
53	YPR173C	0.94288
54	YNL290W	0.94285
55	YOR089C	0.94281
56	YAL020C	0.94279
57	YDR075W	0.94251
58	YDL084W	0.94248
59	YPR182W	0.94215
60	YHL040C	0.94212
61	YJL050W	0.94208
62	YER072W	0.94187
63	YGR281W	0.94185
64	YKR002W	0.94152
65	YLR168C	0.94152
66	YNL090W	0.94149
67	YLR170C	0.94126
68	YPL031C	0.94114
69	YGR123C	0.94101
70	YDR021W	0.94042
71	YPL036W	0.94027
72	YER133W	0.94021
73	YJL034W	0.93993
74	YPL051W	0.9394
75	YBL075C	0.93939
76	YGR040W	0.93929
77	YOL038W	0.93904
78	YML102W	0.93878
79	YGL008C	0.93876
80	YDR196C	0.93862
81	YOR185C	0.93849
82	YPR192W	0.93801
83	YML018C	0.93801
84	YLR466W	0.93775
85	YDR345C	0.93765
86	YHL003C	0.93764
87	YKL129C	0.93762
88	YLR438C-A	0.93752
89	YBR080C	0.93744
90	YDR040C	0.93743
91	YER190W	0.93726
92	YGL058W	0.93715
93	YOR046C	0.93705
94	YGL002W	0.93704
95	YNL209W	0.93698
96	YLR347C	0.93695
97	YOL021C	0.93689
98	YDR039C	0.93666
99	YFL039C	0.93665
100	YDL001W	0.93649
101	YIL143C	0.93629
102	YKL024C	0.93605
103	YDL229W	0.93603
104	YHR092C	0.93593
105	YGL255W	0.93588
106	YPR183W	0.93581
107	YGR152C	0.93569
108	YCR009C	0.93563
109	YDR404C	0.93548
110	YPR165W	0.93537
111	YPR204W	0.93536
112	YHR094C	0.9353
113	YKL146W	0.9352
114	YJR058C	0.93512
115	YBR109C	0.93498
116	YDL128W	0.93498
117	YOR161C	0.93491
118	YJL014W	0.93487
