rank	yeast_gene	cosine
1	YGL120C	0.97909
2	YHR030C	0.97798
3	YER166W	0.97513
4	YPL203W	0.97422
5	YAL026C	0.9737
6	YER125W	0.9727
7	YER020W	0.97126
8	YDL108W	0.97099
9	YKR002W	0.97039
10	YDR373W	0.97032
11	YJL164C	0.97026
12	YDL029W	0.97005
13	YGR218W	0.97004
14	YHR110W	0.96914
15	YBR160W	0.96898
16	YLR234W	0.9686
17	YGR281W	0.96814
18	YNL288W	0.96774
19	YKL104C	0.96718
20	YDR093W	0.96701
21	YOR270C	0.96692
22	YLR170C	0.96692
23	YKL078W	0.96686
24	YDL097C	0.9667
25	YDL160C	0.96668
26	YDR404C	0.96667
27	YLR397C	0.96651
28	YBR080C	0.96628
29	YDR040C	0.96619
30	YHR107C	0.96617
31	YPR173C	0.96614
32	YDR185C	0.96601
33	YOR117W	0.96587
34	YDR039C	0.96585
35	YLR113W	0.96577
36	YPL031C	0.96573
37	YMR109W	0.96569
38	YDR394W	0.96542
39	YOL038W	0.96521
40	YAR002C-A	0.96515
41	YBR038W	0.96507
42	YGR123C	0.96502
43	YPL058C	0.96478
44	YDL047W	0.9645
45	YML124C	0.96429
46	YDR038C	0.96427
47	YDL134C	0.96416
48	YDR196C	0.96411
49	YGL002W	0.96411
50	YDL126C	0.96408
51	YPL119C	0.96407
52	YNL189W	0.96396
53	YGL167C	0.96392
54	YER089C	0.96391
55	YKL129C	0.96371
56	YBL016W	0.96368
57	YMR034C	0.96362
58	YBR241C	0.96348
59	YGL200C	0.96343
60	YGR040W	0.96339
61	YJL050W	0.96332
62	YLR168C	0.96331
63	YOR204W	0.96322
64	YKL190W	0.96313
65	YOL021C	0.963
66	YBR187W	0.96299
67	YNL307C	0.96293
68	YFR015C	0.96292
69	YEL031W	0.96285
70	YJR058C	0.96278
71	YPL245W	0.96276
72	YML085C	0.96257
73	YOR089C	0.96256
74	YHR200W	0.96256
75	YKL145W	0.96255
76	YDR238C	0.96239
77	YLL026W	0.96237
78	YBR164C	0.96226
79	YML102W	0.96221
80	YDL166C	0.96212
81	YNL098C	0.96181
82	YPL017C	0.9618
83	YGL201C	0.96169
84	YMR290C	0.96163
85	YOL075C	0.96157
86	YNL090W	0.96156
87	YHL003C	0.96137
88	YDL102W	0.96128
89	YDL188C	0.96117
90	YHR065C	0.9611
91	YJL030W	0.96107
92	YOR094W	0.961
93	YHL047C	0.96095
94	YDL001W	0.96091
95	YDL100C	0.9609
96	YFR014C	0.96087
97	YDR021W	0.96082
98	YBR202W	0.96077
99	YER133W	0.96064
100	YPL051W	0.96064
101	YLR258W	0.96058
102	YER036C	0.96046
103	YNL112W	0.96038
104	YDR258C	0.9603
105	YER171W	0.96028
106	YDR092W	0.96025
107	YDR075W	0.9602
108	YGL163C	0.96016
109	YFR009W	0.96003
110	YML012W	0.95987
111	YGL130W	0.95976
112	YPR183W	0.95965
113	YKL166C	0.95965
114	YHR005C	0.95945
115	YMR300C	0.95933
116	YBR169C	0.95924
117	YMR054W	0.95917
118	YGR231C	0.95915
119	YDR375C	0.95909
120	YPR103W	0.95904
121	YIL143C	0.95888
122	YGR152C	0.95867
123	YPR113W	0.95863
124	YFL037W	0.95849
125	YNL330C	0.95845
126	YLR438C-A	0.95844
127	YFR018C	0.95842
128	YIL003W	0.95833
129	YOL122C	0.9583
130	YOR362C	0.95823
131	YLR005W	0.95823
132	YNL290W	0.9581
133	YJL034W	0.95804
134	YIL001W	0.95803
135	YNR003C	0.95784
136	YBL023C	0.9578
137	YNL093W	0.95766
138	YOR197W	0.95763
139	YOR257W	0.95761
140	YDR135C	0.95757
141	YKL146W	0.95754
142	YAL042W	0.95752
143	YKR059W	0.95733
144	YML057W	0.95724
145	YOL084W	0.95718
146	YGL048C	0.95713
147	YMR079W	0.95692
148	YCL040W	0.95691
149	YJL014W	0.95688
150	YJL198W	0.95686
151	YPL218W	0.95677
152	YLR268W	0.95639
153	YDL007W	0.95629
154	YDL164C	0.95626
155	YDL018C	0.95625
156	YMR183C	0.95603
157	YNL323W	0.956
158	YCR059C	0.95581
159	YGR211W	0.9558
160	YHL040C	0.95573
161	YKL024C	0.95562
162	YER026C	0.95553
163	YLR216C	0.95548
164	YDR406W	0.95545
165	YGR253C	0.95543
166	YKR026C	0.9554
167	YDR300C	0.95538
168	YER019W	0.95537
169	YOR046C	0.95533
170	YOR381W	0.95524
171	YPR088C	0.95518
172	YBR296C	0.95512
173	YLR193C	0.95501
174	YOR326W	0.95495
175	YPL259C	0.95492
176	YLR433C	0.95485
177	YGR208W	0.95474
178	YOR084W	0.9547
179	YLR347C	0.9547
180	YGL210W	0.95469
181	YDL022W	0.95467
182	YER190W	0.95463
183	YCR009C	0.95462
184	YGL058W	0.9546
185	YJR124C	0.95454
186	YDR074W	0.95453
187	YKL217W	0.95451
188	YEL032W	0.95451
189	YOR187W	0.95444
190	YLR466W	0.95443
191	YNL113W	0.95414
192	YOR339C	0.95412
193	YPL221W	0.95402
194	YIR022W	0.95402
195	YPR192W	0.95399
196	YDL230W	0.95398
197	YJR143C	0.95384
198	YDR516C	0.9538
199	YPL232W	0.95377
200	YER090W	0.95372
201	YDR519W	0.95365
202	YPL175W	0.95361
203	YCR068W	0.95359
204	YIL109C	0.95358
205	YML001W	0.95355
206	YDR011W	0.95354
207	YEL058W	0.95346
208	YOR185C	0.9534
209	YAR007C	0.95338
210	YGL063W	0.95336
211	YEL030W	0.95334
212	YDL064W	0.95333
213	YNL014W	0.95331
214	YNL095C	0.95326
215	YIR026C	0.95324
216	YER145C	0.95323
217	YFR051C	0.95315
218	YJL012C	0.95297
219	YKL220C	0.95295
220	YGR163W	0.9529
221	YOL158C	0.95289
222	YER031C	0.95286
223	YOR153W	0.95285
224	YDR328C	0.95274
225	YDL084W	0.95271
226	YAL023C	0.95268
227	YBL075C	0.95266
228	YPL213W	0.95265
229	YJL111W	0.95261
230	YBR154C	0.95257
231	YOR157C	0.95255
232	YLR398C	0.95243
233	YHR135C	0.9523
234	YPL226W	0.95224
235	YJL055W	0.95217
236	YDL137W	0.95216
237	YLR130C	0.95215
238	YOL016C	0.95211
239	YJR049C	0.95207
240	YFR004W	0.95206
241	YOR259C	0.95203
242	YHR057C	0.95195
243	YPR182W	0.95193
244	YLR069C	0.95193
245	YIL009W	0.95193
246	YDL087C	0.95186
247	YJL108C	0.9518
248	YOR087W	0.95175
249	YLL067C	0.95174
250	YEL077C	0.95169
251	YMR222C	0.95167
