rank	yeast_gene	cosine
1	YPL218W	0.88901
2	YGL008C	0.881
3	YHR169W	0.87603
4	YPL036W	0.87266
5	YOR224C	0.87013
6	YGL058W	0.8675
7	YGR105W	0.86654
8	YER072W	0.86643
9	YPR204W	0.86437
10	YGL054C	0.86415
11	YKL086W	0.86239
12	YDL084W	0.86231
13	YLR293C	0.86086
14	YOR185C	0.86075
15	YHL050C	0.86059
16	YKL190W	0.86053
17	YLR258W	0.85932
18	YPL203W	0.85915
19	YHL047C	0.85883
20	YGL126W	0.85821
21	YPR192W	0.85791
22	YHR189W	0.85777
23	YPL017C	0.85702
24	YKR059W	0.85554
25	YBL113C	0.85547
26	YHR030C	0.8552
27	YFL058W	0.8551
28	YNL332W	0.85491
29	YDL244W	0.85459
30	YLL026W	0.85457
31	YLL060C	0.85454
32	YDL014W	0.85414
33	YJL108C	0.85392
34	YJR156C	0.85344
35	YPL067C	0.85343
36	YLL053C	0.85329
37	YFL067W	0.85268
38	YDL229W	0.85216
39	YMR290C	0.85208
40	YPR113W	0.85182
41	YBR241C	0.8518
42	YDL126C	0.85171
43	YGL211W	0.85135
44	YBR261C	0.85124
45	YNL209W	0.85112
46	YPR182W	0.85105
47	YLR234W	0.85101
48	YMR034C	0.84975
49	YEL077C	0.84953
50	YBL112C	0.84915
51	YHR218W-A	0.84915
52	YER074W-A	0.84891
53	YLR229C	0.84882
54	YDL222C	0.84846
55	YPL245W	0.84846
56	YLR147C	0.84806
57	YBR164C	0.84799
58	YDL192W	0.84787
59	YBL003C	0.84764
60	YOR046C	0.84737
61	YLR113W	0.84701
62	YDR225W	0.84695
63	YNL307C	0.84692
64	YDR021W	0.84665
65	YML102W	0.84658
66	YDR185C	0.84655
67	YHL040C	0.84647
68	YER095W	0.84642
69	YLR338W	0.84633
70	YER036C	0.84564
71	YJL196C	0.84506
72	YMR230W	0.84489
73	YDL064W	0.84489
74	YBR160W	0.84471
75	YLR466W	0.84457
76	YER148W	0.84434
77	YLL067C	0.84399
78	YGR231C	0.84355
79	YNL189W	0.84353
80	YMR109W	0.84345
81	YAR002C-A	0.84341
82	YHR219W	0.8434
83	YDL055C	0.84337
84	YDR540C	0.84336
85	YGL256W	0.84333
86	YGL120C	0.84288
87	YJL164C	0.84287
88	YEL070W	0.84233
89	YNR073C	0.84233
90	YDR086C	0.84232
91	YDR155C	0.84188
92	YOR293W	0.84161
93	YDL137W	0.84136
94	YKL145W	0.84118
95	YMR222C	0.84088
96	YKL217W	0.84055
97	YPR183W	0.84047
98	YFR015C	0.84039
99	YMR292W	0.8403
100	YDR394W	0.84029
101	YOR204W	0.83998
102	YLR249W	0.83998
103	YGR214W	0.83981
104	YDR424C	0.83971
105	YER190W	0.83967
106	YOL005C	0.83922
107	YGR207C	0.83896
108	YBL021C	0.83891
109	YGR296C-A	0.83871
110	YPL283W-A	0.83871
111	YML133W-A	0.83871
112	YER190C-A	0.83871
113	YNL339W-A	0.83871
114	YHR200W	0.83833
115	YJL034W	0.83832
116	YDR373W	0.8381
117	YDL160C	0.83807
118	YER043C	0.83802
119	YDL108W	0.838
120	YNL014W	0.83753
121	YHR065C	0.83728
122	YCL042W	0.83724
123	YIL148W	0.83722
124	YKR094C	0.83722
125	YAL020C	0.83717
126	YER146W	0.83708
127	YLR186W	0.83704
128	YCR020C-A	0.83704
129	YDL166C	0.83686
130	YBL016W	0.83677
131	YKR040C	0.83674
132	YOR094W	0.83669
133	YLL066C	0.8363
134	YNL112W	0.83618
135	YOR259C	0.83609
136	YIL177C	0.836
137	YJL225C	0.83594
138	YOR133W	0.83585
139	YGL048C	0.83577
140	YEL066W	0.83575
141	YGR123C	0.83564
142	YER060W-A	0.83547
143	YGR218W	0.83538
144	YKR012C	0.83513
145	YKL129C	0.83503
146	YOR122C	0.83487
147	YBR054W	0.83461
148	YNL288W	0.83456
149	YOR257W	0.83455
150	YCR010C	0.83449
151	YHR218W	0.8342
152	YLR438C-A	0.83407
153	YMR116C	0.83403
154	YML133C	0.834
155	Q0275	0.83397
156	YPR165W	0.83394
157	YNL090W	0.83394
158	YOL110W	0.83389
159	YOL147C	0.83387
160	YLR048W	0.83386
