rank	yeast_gene	cosine
1	YFL026W	0.97616
2	YEL013W	0.97343
3	YER039C	0.97001
4	YOR061W	0.96995
5	YKL146W	0.96924
6	YER081W	0.96454
7	YGL225W	0.96438
8	YML018C	0.96399
9	YIL074C	0.96356
10	YER052C	0.96244
11	YER171W	0.96139
12	YBL016W	0.96107
13	YEL031W	0.96095
14	YLR113W	0.96014
15	YDR021W	0.9601
16	YIL048W	0.9601
17	YHL016C	0.96003
18	YEL065W	0.95985
19	YLR092W	0.95942
20	YGL115W	0.95923
21	YDL001W	0.95913
22	YER069W	0.95903
23	YEL042W	0.95899
24	YIL035C	0.95897
25	YBR114W	0.95891
26	YIL143C	0.95888
27	YGR040W	0.95875
28	YBR080C	0.95765
29	YBR294W	0.95744
30	YNL191W	0.95741
31	YDR001C	0.95738
32	YNR026C	0.95735
33	YOR378W	0.95723
34	YBR235W	0.95719
35	YKL129C	0.95715
36	YOR257W	0.95695
37	YHR128W	0.95589
38	YPL175W	0.95569
39	YJR065C	0.95564
40	YNL123W	0.95558
41	YAL026C	0.95539
42	YCR098C	0.95538
43	YMR015C	0.95532
44	YDL006W	0.95524
45	YPR016C	0.9545
46	YLL063C	0.95437
47	YPL050C	0.95426
48	YNL290W	0.95411
49	YFL017W-A	0.95395
50	YDR536W	0.95394
51	YOR153W	0.95376
52	YDR375C	0.95353
53	YML064C	0.95342
54	YMR243C	0.95332
55	YOR092W	0.9533
56	YHL040C	0.95326
57	YDR011W	0.95317
58	YGR252W	0.95304
59	YHR218W	0.95303
60	YDR406W	0.9529
61	YKR080W	0.95258
62	YLR130C	0.95253
63	YHR007C	0.95244
64	YBL022C	0.95232
65	YMR109W	0.95186
66	YOL066C	0.95181
67	YKL104C	0.95174
68	YBL041W	0.95167
69	YOR328W	0.95166
70	YGL255W	0.95164
71	YPL221W	0.95158
72	YJL128C	0.95134
73	YMR221C	0.95122
74	YBR001C	0.95114
75	YEL069C	0.95104
76	YNL006W	0.95094
77	YOR380W	0.95092
78	YNL090W	0.95078
79	YFL066C	0.95078
80	YEL060C	0.95068
81	YOL162W	0.95063
82	YGL087C	0.95054
83	YLR328W	0.95045
84	YNR072W	0.9504
85	YNL125C	0.95034
86	YCR008W	0.95021
87	YJL219W	0.95019
88	YOR326W	0.95012
89	YOR270C	0.95003
90	YJL214W	0.94999
91	YJL050W	0.9499
92	YJR068W	0.94983
93	YHL047C	0.94982
94	YJL012C	0.94957
95	YBL111C	0.94948
96	YGR132C	0.94942
97	YNL277W	0.94939
98	YNL095C	0.94926
99	YEL077C	0.94921
100	YJR049C	0.9491
101	YCR047C	0.94902
102	YCL017C	0.94899
103	YHR096C	0.94898
104	YOL156W	0.94893
105	YLR466W	0.94867
106	YKR059W	0.94855
107	YBR222C	0.94854
108	YLR034C	0.94845
109	YOL094C	0.94841
110	YDR341C	0.94822
111	YLR081W	0.94818
112	YDL210W	0.94814
113	YDL245C	0.94812
114	YBR164C	0.94795
115	YFL011W	0.94785
116	YOR241W	0.94782
117	YJL198W	0.94773
118	YGL077C	0.94768
119	YNL329C	0.94761
120	YER012W	0.94743
121	YJR158W	0.94739
122	YBR126C	0.94736
123	YMR034C	0.94728
124	YER145C	0.94722
125	YLR420W	0.94711
126	YML001W	0.94702
127	YMR080C	0.947
128	YNR013C	0.94663
129	YLR152C	0.94662
130	YHR030C	0.9466
131	YOL122C	0.94657
132	YGL210W	0.94644
133	YEL064C	0.94641
134	YGR152C	0.94636
135	YNL270C	0.94634
136	YIL009W	0.94621
137	YOR357C	0.94618
138	YDR099W	0.94616
139	YPR138C	0.94607
140	YMR011W	0.94597
141	YLR277C	0.94592
142	YNL132W	0.94557
143	YDL102W	0.94553
144	YMR146C	0.94552
145	YEL036C	0.94551
146	YBL026W	0.94545
147	YIL170W	0.94545
148	YBR043C	0.94544
149	YER094C	0.94536
150	YLR005W	0.94532
151	YOR197W	0.94523
152	YIL020C	0.94521
153	YOR157C	0.94518
154	YHR050W	0.94507
155	YHR094C	0.94505
156	YOR094W	0.94505
157	YGL139W	0.94502
158	YEL063C	0.94494
159	YER119C	0.94493
160	YJR001W	0.94478
161	YKR002W	0.94469
162	YPR173C	0.94465
163	YGR010W	0.94464
164	YJL055W	0.94464
165	YDR129C	0.94458
166	YBR287W	0.94444
167	YHR092C	0.94439
168	YBR160W	0.94439
169	YOL038W	0.94435
170	YML123C	0.94435
171	YGR197C	0.94419
172	YDR090C	0.94412
173	YGL167C	0.94411
