rank	yeast_gene	cosine
1	YBR241C	0.94467
2	YML018C	0.94156
3	YIL170W	0.93901
4	YJL214W	0.93802
5	YPL264C	0.93798
6	YHR094C	0.93796
7	YER119C	0.93713
8	YFL011W	0.93684
9	YBR164C	0.93682
10	YMR011W	0.93668
11	YDL006W	0.93633
12	YNL270C	0.93625
13	YDL137W	0.93561
14	YOL156W	0.93542
15	YJL219W	0.93535
16	YEL063C	0.93531
17	YER039C	0.93526
18	YEL064C	0.93516
19	YFL055W	0.93477
20	YFL038C	0.93475
21	YNR072W	0.9347
22	YLR081W	0.93457
23	YNL268W	0.93447
24	YDR536W	0.93422
25	YEL069C	0.93391
26	YDL047W	0.93355
27	YHR096C	0.93309
28	YMR034C	0.93266
29	YDL245C	0.93234
30	YDR345C	0.93221
31	YJR158W	0.93205
32	YGR191W	0.93195
33	YIL121W	0.93165
34	YKL166C	0.93148
35	YOR094W	0.93127
36	YNL090W	0.93119
37	YMR279C	0.93101
38	YLL028W	0.93094
39	YHR092C	0.93083
40	YOR378W	0.93065
41	YDL134C	0.93043
42	YDR040C	0.93038
43	YDL128W	0.93026
44	YGL225W	0.93024
45	YDR046C	0.92991
46	YDR039C	0.92971
47	YKR039W	0.92957
48	YDR038C	0.92929
49	YER133W	0.92912
50	YOR348C	0.92888
51	YCL025C	0.92878
52	YPL031C	0.9286
53	YDR075W	0.92848
54	YPR183W	0.92842
55	YDR497C	0.92796
56	YER185W	0.92786
57	YGR055W	0.92712
58	YDR342C	0.92696
59	YHL040C	0.92696
60	YML116W	0.92684
61	YHL047C	0.92683
62	YJL164C	0.92611
63	YDR343C	0.92598
64	YPL203W	0.92571
65	YJL108C	0.92569
66	YGR138C	0.92551
67	YPL265W	0.92535
68	YPR138C	0.92505
69	YDL108W	0.92503
70	YLR034C	0.92499
71	YIL120W	0.92493
72	YDR196C	0.92492
73	YOL075C	0.92486
74	YBR008C	0.92446
75	YBR068C	0.92444
76	YGL167C	0.92432
77	YOR257W	0.92425
78	YDR135C	0.92419
79	YNR070W	0.92418
80	YDL192W	0.92399
81	YNR055C	0.92394
82	YDR373W	0.9239
83	YJR124C	0.92383
84	YPL274W	0.9236
85	YKR105C	0.92351
86	YGR224W	0.92344
87	YDL188C	0.9234
88	YDR011W	0.92304
89	YDR508C	0.923
90	YKL024C	0.92274
91	YKL146W	0.92262
92	YJL167W	0.92261
93	YLR130C	0.92257
94	YOR317W	0.92212
95	YMR243C	0.92184
96	YLL061W	0.92175
97	YGR213C	0.92169
98	YGR040W	0.92163
99	YPL051W	0.92152
100	YBR187W	0.92146
101	YOL158C	0.92129
102	YOL103W	0.92123
103	YDR406W	0.92114
104	YBL016W	0.9209
105	YBR160W	0.92079
106	YDL210W	0.92065
107	YEL065W	0.92046
108	YAL026C	0.92035
109	YFL005W	0.92032
110	YGL210W	0.9199
111	YGL255W	0.91988
112	YPL058C	0.91983
113	YPL246C	0.9198
114	YOR153W	0.91977
115	YKR059W	0.9197
116	YER026C	0.91967
117	YLR113W	0.91961
118	YPR156C	0.9194
119	YFL039C	0.91919
120	YKR093W	0.91918
121	YDR456W	0.91883
122	YMR246W	0.9187
123	YGR121C	0.9187
124	YCR098C	0.91864
125	YML001W	0.91855
126	YMR079W	0.91853
127	YIL088C	0.91852
128	YLR092W	0.91845
129	YOR328W	0.91821
130	YGL001C	0.91814
131	YHR032W	0.91813
132	YOL122C	0.91805
133	YOR380W	0.91801
134	YBR294W	0.918
135	YER060W	0.91783
136	YMR015C	0.91774
137	YCL073C	0.91769
138	YGR281W	0.91762
139	YOR273C	0.91761
140	YLR229C	0.91751
141	YER031C	0.91747
142	YKR106W	0.91743
143	YER125W	0.91743
144	YIL118W	0.91742
145	YDR090C	0.91737
146	YER056C	0.91731
147	YCL069W	0.91714
148	YHL016C	0.91688
149	YDR021W	0.91681
150	YGL077C	0.9164
151	YBR132C	0.91608
152	YNL142W	0.91605
153	YHR050W	0.91602
154	YER020W	0.91597
155	YPR165W	0.91593
156	YLL063C	0.91582
157	YGR260W	0.91569
158	YDR519W	0.91542
159	YDR270W	0.9154
160	YHR128W	0.91532
161	YOL092W	0.91526
162	YIL009W	0.91525
163	YOL002C	0.91509
164	YPL244C	0.91496
165	YOL094C	0.9148
166	YGR060W	0.91463
167	YNL189W	0.91461
168	YER060W-A	0.91395
169	YGR152C	0.91371
170	YHR007C	0.91337
171	YMR138W	0.91324
172	YML123C	0.91317
173	YBR298C	0.91307
174	YPR192W	0.91289
175	YOR197W	0.91282
176	YNL093W	0.91278
177	YPR051W	0.91272
178	YOL162W	0.91239
179	YNR032W	0.91239
180	YBR082C	0.91212
181	YGL087C	0.91203
182	YHR030C	0.91197
183	YBR126C	0.91197
184	YBR043C	0.91186
185	YOL137W	0.91181
