rank	yeast_gene	cosine
1	YOL075C	0.97738
2	YOL103W	0.97504
3	YDR135C	0.97378
4	YBR241C	0.97375
5	YDR038C	0.97352
6	YDR039C	0.97329
7	YDR040C	0.97302
8	YDR497C	0.97207
9	YJR001W	0.97168
10	YML018C	0.97143
11	YIL120W	0.97141
12	YHR032W	0.9711
13	YBR043C	0.97101
14	YER026C	0.97087
15	YIL121W	0.97073
16	YER119C	0.97054
17	YKL166C	0.97014
18	YGR138C	0.96935
19	YDR456W	0.96878
20	YGR224W	0.9687
21	YGR281W	0.9684
22	YOR273C	0.96837
23	YKR105C	0.96801
24	YOL122C	0.96792
25	YGL006W	0.96754
26	YHR030C	0.96747
27	YAL026C	0.96744
28	YNL095C	0.96717
29	YCR011C	0.96692
30	YEL064C	0.96685
31	YNL093W	0.96662
32	YMR080C	0.96639
33	YGR152C	0.96637
34	YBR295W	0.96633
35	YOR101W	0.96597
36	YHL003C	0.9659
37	YPL031C	0.96551
38	YER019W	0.96535
39	YLL028W	0.96517
40	YOR087W	0.96501
41	YHR005C	0.96499
42	YNL125C	0.96488
43	YDL188C	0.96487
44	YJR124C	0.96457
45	YNR055C	0.96437
46	YPR156C	0.96425
47	YNR032W	0.96422
48	YAL022C	0.96412
49	YOL137W	0.96385
50	YER089C	0.96375
51	YIL088C	0.96369
52	YCL069W	0.96311
53	YDL134C	0.96311
54	YBR235W	0.96309
55	YKR053C	0.96293
56	YER125W	0.96241
57	YJL094C	0.96228
58	YHR132C	0.96217
59	YMR034C	0.96213
60	YHR050W	0.96195
61	YOR380W	0.96141
62	YDR093W	0.96126
63	YOR326W	0.96116
64	YER020W	0.9611
65	YGL167C	0.96106
66	YIR026C	0.96104
67	YDR508C	0.96088
68	YER133W	0.96083
69	YOL065C	0.96078
70	YDL138W	0.9603
71	YMR138W	0.96023
72	YBR080C	0.96014
73	YLR397C	0.95996
74	YGR092W	0.95984
75	YLR152C	0.95979
76	YER166W	0.95979
77	YDL001W	0.95971
78	YPL264C	0.95961
79	YPR003C	0.9595
80	YGR040W	0.95949
81	YPL051W	0.9594
82	YEL041W	0.95931
83	YCR023C	0.95927
84	YKL146W	0.95918
85	YDR264C	0.95902
86	YDR536W	0.95897
87	YGR055W	0.95896
88	YNL307C	0.95896
89	YLR034C	0.95882
90	YOR092W	0.9588
91	YNR019W	0.95841
92	YGL047W	0.9584
93	YDR196C	0.95834
94	YLR241W	0.9583
