rank	yeast_gene	cosine
1	YHR030C	0.98065
2	YDL001W	0.9806
3	YLR113W	0.97993
4	YGR152C	0.97847
5	YJL164C	0.97824
6	YOR326W	0.97771
7	YMR109W	0.97727
8	YAL026C	0.97676
9	YGR040W	0.9767
10	YOR257W	0.97655
11	YKL146W	0.97625
12	YBL016W	0.97608
13	YBR080C	0.97523
14	YEL031W	0.97476
15	YDR196C	0.97465
16	YKL129C	0.97419
17	YKL166C	0.97398
18	YER020W	0.9737
19	YNL290W	0.97369
20	YER171W	0.9733
21	YHR135C	0.97306
22	YDR375C	0.97256
23	YPL203W	0.97255
24	YLR397C	0.97254
25	YBL022C	0.97207
26	YHR005C	0.97188
27	YBR160W	0.97177
28	YJR049C	0.97151
29	YER026C	0.97129
30	YDL102W	0.97117
31	YNL154C	0.97114
32	YMR015C	0.97098
33	YBR043C	0.97068
34	YKL104C	0.97046
35	YOL021C	0.97046
36	YGR281W	0.97034
37	YDL097C	0.97031
38	YPL119C	0.96991
39	YDR021W	0.96991
40	YPR173C	0.96982
41	YJR068W	0.96975
42	YPL031C	0.96951
43	YOR270C	0.96937
44	YDR536W	0.96929
45	YPL204W	0.96924
46	YNL098C	0.96919
47	YER089C	0.96891
48	YIL143C	0.96888
49	YBR126C	0.96883
50	YKR002W	0.96857
51	YDR039C	0.9685
52	YNL090W	0.9683
53	YER125W	0.96824
54	YDR011W	0.96811
55	YBR114W	0.96808
56	YIL048W	0.96793
57	YDR406W	0.96791
58	YDR038C	0.96778
59	YMR080C	0.96778
60	YDL052C	0.96775
61	YDR040C	0.96773
62	YLR005W	0.96764
63	YBR235W	0.96755
64	YGL120C	0.96753
65	YLR268W	0.96745
66	YHR007C	0.9674
67	YLR277C	0.9674
68	YER052C	0.96709
69	YJL012C	0.96704
70	YOL038W	0.96698
71	YGL167C	0.96694
72	YOR092W	0.96683
73	YJL219W	0.96672
74	YLR081W	0.9667
75	YNL125C	0.96668
76	YER039C	0.96638
77	YDR074W	0.96636
78	YGL119W	0.96623
79	YJL050W	0.96621
80	YBR187W	0.96608
81	YOR101W	0.96604
82	YOL156W	0.96596
83	YNR072W	0.96593
84	YOR328W	0.9659
85	YEL069C	0.96586
86	YBR241C	0.96563
87	YMR301C	0.96548
88	YML057W	0.96541
89	YML018C	0.96538
