rank	yeast_gene	cosine
1	YBR241C	0.93232
2	YPL218W	0.93224
3	YDL137W	0.9284
4	YDL192W	0.92834
5	YBR164C	0.92701
6	YPL203W	0.92587
7	YKR059W	0.92432
8	YDR345C	0.92226
9	YLR229C	0.92157
10	YHR092C	0.92039
11	YHR094C	0.91905
12	YPR165W	0.91736
13	YKL190W	0.91702
14	YJL164C	0.91698
15	YPR183W	0.91674
16	YJL214W	0.91647
17	YGL008C	0.91623
18	YDL047W	0.91621
19	YDR343C	0.91557
20	YDR342C	0.91533
21	YLR081W	0.91505
22	YPL036W	0.91489
23	YJL108C	0.91482
24	YOR094W	0.91381
25	YFL039C	0.91371
26	YMR011W	0.91365
27	YMR034C	0.91348
28	YNL090W	0.91326
29	YHL047C	0.9131
30	YDL006W	0.91287
31	YGL256W	0.91271
32	YDL245C	0.91227
33	YFL011W	0.91191
34	YJR158W	0.91176
35	YNL189W	0.91121
36	YHR096C	0.91075
37	YER072W	0.91064
38	YIL170W	0.91029
39	YPR192W	0.91029
40	YLR113W	0.91027
41	YNR072W	0.91009
42	YOL156W	0.90945
43	YEL069C	0.9092
44	YDL134C	0.90869
45	YER133W	0.90867
46	YDR021W	0.90865
47	YKL024C	0.90846
48	YBR160W	0.9084
49	YOR257W	0.90837
50	YOR089C	0.90817
51	YPR204W	0.90814
52	YDR373W	0.90772
53	YJL219W	0.90769
54	YMR109W	0.90723
55	YDL126C	0.90685
56	YOR378W	0.90577
57	YHL040C	0.90547
58	YDR040C	0.90533
59	YPR182W	0.90516
60	YFL038C	0.905
61	YMR290C	0.90499
62	YGL225W	0.9046
63	YPL031C	0.90381
64	YHR030C	0.90368
65	YBL112C	0.90323
66	YHR218W-A	0.90323
67	YDR075W	0.90304
68	YKR039W	0.90296
69	YNL112W	0.90285
70	YLR234W	0.90266
71	YDR039C	0.90263
72	YGL255W	0.90224
73	YDL108W	0.90223
74	YML018C	0.90208
75	YFL055W	0.90155
76	YMR079W	0.90146
77	YBL016W	0.90115
78	YDR155C	0.90103
79	YBR109C	0.90085
80	YNL290W	0.90074
81	YER039C	0.90055
82	YDR038C	0.90054
83	YMR015C	0.90052
84	YEL077C	0.90052
85	YOR204W	0.90046
86	YGR123C	0.90045
87	YLR466W	0.90034
88	YGR105W	0.90005
89	YDR536W	0.89987
90	YJL167W	0.89962
91	YDL084W	0.89934
92	YER125W	0.89933
93	YDL128W	0.89928
94	YOR185C	0.89926
95	YPR113W	0.89925
96	YER060W-A	0.89915
97	YER119C	0.89905
98	YOR046C	0.89902
99	YER020W	0.89871
100	YNL268W	0.89841
101	YDL166C	0.89816
102	YNL209W	0.89792
103	YBR082C	0.89777
104	YGL058W	0.89772
105	YBR261C	0.89759
106	YLL053C	0.8975
107	YLL028W	0.89747
108	YDL229W	0.89746
109	YGL167C	0.89726
110	YER031C	0.89673
111	YCR098C	0.89657
112	YBR187W	0.89657
113	YKL166C	0.89649
114	YKL129C	0.89647
115	YLR293C	0.89646
116	YNL098C	0.89635
117	YMR246W	0.89579
118	YPL058C	0.8957
119	YGR281W	0.89536
120	YLL060C	0.89531
121	YDL188C	0.89522
122	YHL050C	0.89496
123	YEL063C	0.89479
124	YCR010C	0.89478
125	YER060W	0.89473
126	YGL210W	0.89465
127	YML123C	0.89395
128	YDR196C	0.89385
129	YER177W	0.89378
130	YFL058W	0.8937
131	YDL244W	0.89339
132	YPL119C	0.89339
133	YHL016C	0.89316
134	YNL332W	0.89293
135	YJR156C	0.89279
136	YIL121W	0.89275
137	YLR347C	0.89269
138	YER190W	0.89257
139	YPL051W	0.89249
140	YPL266W	0.89249
141	YLR438C-A	0.89248
142	YER009W	0.89229
143	YAL026C	0.89226
144	YCL025C	0.89225
145	YBL075C	0.8922
146	YER056C	0.8922
147	YOL075C	0.89219
148	YOL158C	0.89205
149	YGR040W	0.89193
150	YNL010W	0.89193
151	YGR218W	0.89186
152	YGR282C	0.89183
153	YLL067C	0.8918
154	YML012W	0.89175
155	YGR138C	0.89168
156	YDL055C	0.89166
157	YDR404C	0.89155
158	YPL234C	0.89147
159	YDR519W	0.89145
160	YNL270C	0.8914
161	YPR173C	0.89108
162	YAL020C	0.89105
163	YAR002C-A	0.89096
164	YKL218C	0.89076
165	YPL061W	0.89064
166	YOR348C	0.89062
167	YDR059C	0.89059
168	YJL034W	0.89043
169	YOR161C	0.89039
170	YKR002W	0.89034
171	YNR002C	0.89002
172	YGR252W	0.8897
173	YPL264C	0.88969
174	YMR222C	0.88966
175	YGL120C	0.88966
176	YHR128W	0.88963
177	YPL246C	0.8894
178	YML001W	0.88919
179	YNR055C	0.88919
180	YAL005C	0.88918
181	YGL253W	0.88915
182	YPR138C	0.88908
183	YDR129C	0.88886
184	YDR092W	0.88882
185	YMR292W	0.88877
186	YGR152C	0.88853
187	YJL050W	0.88851
188	YLL024C	0.88842
189	YJL014W	0.88829
190	YKL196C	0.88815
191	YOL038W	0.88811
192	YJL196C	0.88802
193	YJR065C	0.88801
194	YGR191W	0.88787
195	YGL001C	0.88769
196	YDR185C	0.88761
197	YDR099W	0.88756
198	YDL029W	0.88749
199	YHR070W	0.88745
200	YBL113C	0.88739
201	YNL135C	0.88723
