rank	yeast_gene	cosine
1	YPL218W	0.92704
2	YBR241C	0.91267
3	YDL192W	0.91248
4	YPL203W	0.91007
5	YDL137W	0.9093
6	YBR164C	0.9069
7	YGL008C	0.90398
8	YKR059W	0.90358
9	YGL256W	0.90345
10	YKL190W	0.90154
11	YJL108C	0.90137
12	YLR229C	0.9013
13	YGR105W	0.90101
14	YER072W	0.90021
15	YPL036W	0.89964
16	YPR165W	0.89903
17	YPR183W	0.89879
18	YDR345C	0.89856
19	YLR234W	0.89746
20	YJL164C	0.89735
21	YHR092C	0.89565
22	YPR192W	0.89551
23	YNL189W	0.89519
24	YBR109C	0.89367
25	YFL039C	0.89336
26	YDL126C	0.89312
27	YPR182W	0.89303
28	YHR094C	0.8925
29	YDR155C	0.89248
30	YOR089C	0.89235
31	YBR261C	0.89232
32	YGL058W	0.89229
33	YLL053C	0.89194
34	YDR343C	0.89091
35	YHL047C	0.8909
36	YMR034C	0.89066
37	YOR094W	0.89061
38	YDR342C	0.89026
39	YDL047W	0.89018
40	YDL084W	0.8901
41	YLR147C	0.89004
42	YKL024C	0.88903
43	YHR218W-A	0.88889
44	YBL112C	0.88889
45	YMR109W	0.88868
46	YDL229W	0.88786
47	YDR373W	0.88774
48	YLR081W	0.88753
49	YJL214W	0.8875
50	YNL112W	0.88746
51	YNL209W	0.88732
52	YLR113W	0.88721
53	YMR290C	0.88698
54	YPR204W	0.88672
55	YOR257W	0.88617
56	YBR160W	0.88597
57	YNL090W	0.88587
58	YPR113W	0.88548
59	YMR011W	0.88481
60	YOR204W	0.8848
61	YOR185C	0.88472
62	YLR293C	0.88449
63	YDL006W	0.88426
64	YLL060C	0.8836
65	YDL245C	0.88344
66	YOR122C	0.88343
67	YDL134C	0.88312
68	YJR158W	0.88295
69	YHR096C	0.88249
70	YMR222C	0.88237
71	YMR079W	0.88223
72	YFL011W	0.88195
73	YDR021W	0.88192
74	YAL020C	0.88178
75	YHR030C	0.88169
76	YOR046C	0.88156
77	YPL031C	0.8815
78	YBR082C	0.88142
79	YHL040C	0.88135
80	YDL128W	0.88125
81	YIL170W	0.88092
82	YER133W	0.88081
83	YHR169W	0.88069
84	YGR123C	0.88058
85	YNL135C	0.88031
86	YAR002C-A	0.8803
87	YOL156W	0.88016
88	YNR072W	0.87997
89	YER125W	0.87969
90	YGL054C	0.87932
91	YJL167W	0.87925
92	YFL038C	0.87911
93	YGL225W	0.8791
94	YER020W	0.879
95	YER060W-A	0.87898
96	YBL075C	0.87892
97	YER009W	0.87886
98	YEL069C	0.87865
99	YDL166C	0.87855
100	YLL024C	0.87849
101	YDL108W	0.87847
