rank	yeast_gene	cosine
1	YBR235W	0.98318
2	YMR080C	0.9819
3	YGL006W	0.97707
4	YNL021W	0.97694
5	YDR264C	0.97654
6	YBR295W	0.97624
7	YOL068C	0.97605
8	YJR001W	0.97584
9	YNL095C	0.97569
10	YDR135C	0.97513
11	YNL329C	0.9751
12	YLR152C	0.97496
13	YIL048W	0.97484
14	YHR132C	0.97435
15	YMR138W	0.9743
16	YOR380W	0.97413
17	YPR003C	0.97399
18	YDR038C	0.97371
19	YEL064C	0.97344
20	YGR028W	0.97336
21	YLR241W	0.97305
22	YCR011C	0.97303
23	YEL041W	0.97273
24	YDR039C	0.97271
25	YHR144C	0.9727
26	YBR043C	0.97261
27	YMR084W	0.97244
28	YNR013C	0.97238
29	YDR375C	0.97204
30	YOR092W	0.97178
31	YIL088C	0.97176
32	YKR050W	0.97172
33	YOL122C	0.97172
34	YPL175W	0.97171
35	YBR073W	0.97148
36	YDR040C	0.9713
37	YOR087W	0.97119
38	YOR316C	0.97117
39	YPL236C	0.97113
40	YOR326W	0.97104
41	YKR001C	0.97101
42	YDR270W	0.97099
43	YDR331W	0.97099
44	YDR291W	0.97084
45	YBR294W	0.97079
46	YLR092W	0.97062
47	YBR287W	0.97041
48	YPL221W	0.97033
49	YLR189C	0.97027
50	YAL026C	0.97019
51	YNR019W	0.97019
52	YHR031C	0.97008
53	YJL093C	0.96981
54	YCR037C	0.96979
55	YOL137W	0.96965
56	YLR220W	0.96963
57	YBR034C	0.96945
58	YCR008W	0.96944
59	YJL134W	0.96941
60	YBR080C	0.96939
61	YMR243C	0.96936
62	YPL204W	0.96929
63	YKL166C	0.96922
64	YOL132W	0.96904
65	YBR114W	0.96891
66	YGR125W	0.96884
67	YKL146W	0.96877
68	YGL139W	0.96875
69	YPR019W	0.96871
70	YIL120W	0.96869
71	YNL223W	0.96867
72	YJR107W	0.96863
73	YOR357C	0.96862
74	YER019W	0.9684
75	YOL075C	0.96831
76	YOR291W	0.96826
77	YLL063C	0.96818
78	YML018C	0.96815
79	YOL112W	0.96809
80	YNL099C	0.96806
81	YKL126W	0.96805
82	YAL029C	0.96801
83	YOR131C	0.96789
84	YNL125C	0.96786
85	YHL036W	0.96784
86	YPL208W	0.96773
87	YOR241W	0.96773
88	YBR220C	0.96772
89	YER119C	0.96771
90	YER026C	0.96752
91	YDR074W	0.96751
92	YLR446W	0.96738
93	YGL167C	0.96736
94	YJR049C	0.96735
95	YBL105C	0.96734
96	YHR032W	0.96724
97	YDR522C	0.96718
98	YDL001W	0.96709
99	YOR351C	0.96704
100	YKR104W	0.96691
101	YBR069C	0.96686
102	YMR288W	0.96683
103	YDL042C	0.96673
104	YLL001W	0.96663
105	YER052C	0.96643
106	YGL100W	0.96642
107	YFR031C	0.96628
108	YBR264C	0.96625
109	YNR012W	0.96624
110	YPL050C	0.96618
111	YKL197C	0.96615
112	YLR137W	0.96615
113	YDR109C	0.96608
114	YIL001W	0.96607
115	YDR508C	0.96603
116	YIL118W	0.96601
117	YLR410W	0.96599
118	YGR197C	0.96596
119	YHR050W	0.96594
120	YKL078W	0.96593
121	YLR307W	0.96591
122	YCR023C	0.96583
123	YGL252C	0.96572
124	YLR253W	0.96569
125	YPL006W	0.96566
126	YMR221C	0.96555
127	YKR026C	0.96553
128	YJR032W	0.96543
129	YLR034C	0.96537
130	YGL047W	0.96533
131	YBR153W	0.96525
132	YOL034W	0.96525
133	YLR451W	0.96521
134	YER013W	0.96519
135	YBR068C	0.96514
136	YOL065C	0.9651
137	YBL056W	0.96509
138	YDR196C	0.96506
139	YIL121W	0.96504
140	YDL102W	0.96487
141	YFR028C	0.96485
142	YOL125W	0.96483
143	YOR155C	0.96458
144	YNL101W	0.96456
145	YIL035C	0.96454
146	YLR262C	0.9645
147	YJR131W	0.96446
148	YIR026C	0.96446
149	YKL104C	0.96444
150	YML038C	0.96443
151	YLR397C	0.96442
152	YPL265W	0.9644
153	YHR218W	0.96438
154	YEL060C	0.96434
155	YKR053C	0.96432
156	YMR101C	0.96407
157	YER090W	0.96389
158	YAR042W	0.96388
159	YLR345W	0.96385
160	YFR021W	0.96379
161	YBL089W	0.96379
162	YER145C	0.96372
163	YLL029W	0.96369
164	YBR001C	0.96369
165	YPL164C	0.96366
166	YIR002C	0.96359
167	YOR384W	0.96358
168	YDR211W	0.96355
169	YJL198W	0.96354
170	YAL022C	0.96352
171	YBL111C	0.96348
172	YGL087C	0.96346
173	YMR113W	0.96339
174	YGR100W	0.96334
175	YNR011C	0.96333
176	YGR152C	0.96331
177	YOR101W	0.96326
178	YJL128C	0.96314
179	YNL082W	0.96312
180	YJL087C	0.963
181	YEL036C	0.96296
182	YDL194W	0.96286
183	YOR246C	0.96283
184	YJL155C	0.9628
185	YBL011W	0.96279
186	YPL227C	0.96278
187	YKR051W	0.96273
188	YOR396W	0.96271
189	YDR545W	0.96271
190	YLR467W	0.96271
191	YKL107W	0.96269
192	YNL229C	0.96264
193	YMR268C	0.96263
194	YLR386W	0.96258
195	YOR109W	0.96258
196	YOL103W	0.9625
197	YBL106C	0.96238
198	YNL321W	0.96238
199	YPL133C	0.96238
200	YDR191W	0.96237
201	YOL113W	0.96235
202	YKR055W	0.96231
203	YEL031W	0.96226
204	YOL092W	0.96219
205	YDL188C	0.96217
206	YLR343W	0.96215
207	YOR250C	0.96214
208	YOL020W	0.96212
209	YKL184W	0.96198
210	YGL140C	0.96192
211	YOL130W	0.96192
212	YDL138W	0.96188
213	YDR477W	0.96187
214	YLL061W	0.96186
215	YFR048W	0.96185
216	YDL155W	0.96184
217	YLR014C	0.96182
218	YHR005C	0.96179
219	YCR027C	0.96177
220	YGL154C	0.96175
221	YDR090C	0.96174
222	YGL017W	0.96174
223	YFR006W	0.96165
224	YML064C	0.96163
225	YLR213C	0.9615
226	YER066W	0.96146
227	YNL093W	0.96141
228	YOR003W	0.9614
229	YER183C	0.96138
230	YKR106W	0.96138
231	YLR214W	0.96137
232	YLR005W	0.96134
233	YGR271W	0.96129
234	YLR466W	0.96127
235	YDR402C	0.96126
236	YDR497C	0.9612
237	YJR124C	0.96108
238	YJL035C	0.96106
239	YKL039W	0.96106
240	YGR004W	0.96105
241	YIL108W	0.96102
242	YER133W	0.96102
243	YCL073C	0.961
244	YDR263C	0.96094
245	YMR220W	0.96086
246	YNL339C	0.96083
247	YJR015W	0.96083
248	YDR516C	0.96082
249	YHR039C	0.9608
250	YAL053W	0.96077
251	YGR296W	0.96075
252	YMR162C	0.96075
253	YPL283C	0.96075
254	YJR072C	0.96071
255	YDL007W	0.9606
256	YER190W	0.96059
257	YOR118W	0.96058
258	YMR301C	0.96057
259	YGR281W	0.96054
260	YPR054W	0.96054
261	YPL206C	0.96053
262	YBR126C	0.96051
263	YHR003C	0.9605
264	YPL184C	0.96046
265	YHR178W	0.96036
266	YER125W	0.96035
267	YGL114W	0.96033
268	YLR398C	0.96032
269	YER089C	0.9603
270	YKL027W	0.9603
271	YER176W	0.96029
272	YGR010W	0.96027
273	YDR456W	0.96026
274	YIL177C	0.96025
275	YJL225C	0.96024
276	YJL082W	0.96024
277	YPL092W	0.96019
278	YHR012W	0.96016
279	YDL052C	0.96013
280	YGL251C	0.96012
281	YAR018C	0.96007
282	YMR178W	0.96006
283	YDL006W	0.96003
284	YAL067C	0.96
285	YDL109C	0.95999
286	YNL123W	0.95999
287	YDR046C	0.95992
288	YGR055W	0.95992
289	YML133C	0.95992
290	YKL222C	0.95991
291	YJL094C	0.9599
292	YNL056W	0.95988
293	YLR130C	0.95988
294	YML005W	0.95976
295	YGR040W	0.95974
296	YBR132C	0.95971
297	YDL057W	0.95971
298	YPL082C	0.95969
299	YNL106C	0.95964
300	YPL274W	0.95962
301	YPL122C	0.95961
302	YOL002C	0.9596
303	YMR058W	0.95959
304	YKL135C	0.95957
305	YIL039W	0.95956
306	YJR130C	0.95956
307	YIL046W	0.95956
308	YPL110C	0.95955
309	YKR105C	0.95954
310	YMR210W	0.9595
311	YPL113C	0.95948
312	YMR022W	0.95947
313	YDR058C	0.95947
314	YLR020C	0.95943
315	YBR003W	0.95943
316	YIR028W	0.95943
317	YBR021W	0.95934
318	YIL014W	0.95932
319	YMR224C	0.95931
320	YGR199W	0.95927
321	YIL013C	0.95926
322	YLR277C	0.95926
323	YNL065W	0.95926
324	YBR214W	0.95924
325	YFL050C	0.95924
326	YOR011W	0.95923
327	YBR029C	0.95917
328	YOR034C	0.95912
329	YMR034C	0.95911
330	YKL161C	0.95909
331	YHR129C	0.95908
332	YCL025C	0.95906
333	YER086W	0.95905
334	YDR452W	0.95905
335	YBR274W	0.95904
336	YER005W	0.95902
337	YLR452C	0.95895
338	YJR057W	0.95895
339	YOR274W	0.95894
340	YBR243C	0.95893
341	YLR328W	0.95891
342	YJR040W	0.95888
343	YGL243W	0.95888
344	YDR306C	0.95885
345	YOR273C	0.95883
346	YLR361C	0.95882
347	YCR017C	0.95876
348	YEL052W	0.95875
349	YPL153C	0.95874
350	YDR142C	0.95874
351	YHR202W	0.95872
352	YPL194W	0.9587
353	YOR283W	0.95869
354	YGR224W	0.95868
355	YNR032W	0.95864
356	YDR523C	0.95864
357	YIL009W	0.9586
358	YOL080C	0.9586
359	YGR191W	0.95857
360	YOL066C	0.95854
361	YOR311C	0.95851
362	YDL017W	0.95851
363	YER171W	0.9585
364	YDR292C	0.95849
365	YDL193W	0.95846
366	YCR061W	0.95842
367	YCR045C	0.95841
368	YHL008C	0.9584
369	YOR236W	0.95838
370	YPL008W	0.95828
371	YPL264C	0.95827
372	YGR266W	0.95826
373	YPR120C	0.95824
374	YLL066C	0.95824
375	YDR338C	0.95821
376	YOR390W	0.95819
377	YML115C	0.95817
378	YAL023C	0.95816
379	YLR210W	0.95813
380	YLR324W	0.95809
381	YCL048W	0.95808
382	YDR011W	0.95801
383	YPR131C	0.95797
384	YGL163C	0.95794
385	YMR285C	0.95793
386	YPR157W	0.95792
387	YOR110W	0.95791
388	YGL186C	0.9579
389	YNR055C	0.95788
390	YFL041W	0.95786
391	YOL090W	0.9578
392	YIL103W	0.95779
393	YHR028C	0.95779
394	YBR094W	0.95769
395	YOL011W	0.95768
396	YPL051W	0.95766
397	YMR253C	0.95761
398	YML082W	0.95758
399	YBR002C	0.95755
400	YOR172W	0.9575
401	YNL192W	0.95746
402	YHL003C	0.95738
403	YBR175W	0.95735
404	YDR093W	0.95734
405	YER172C	0.95732
406	YOR306C	0.9573
407	YGL164C	0.95727
408	YLR203C	0.95727
409	YBL042C	0.95724
410	YNL222W	0.95724
411	YGR277C	0.95721
412	YPL279C	0.9572
413	YHR135C	0.9572
414	YML086C	0.95719
415	YBR237W	0.95718
416	YJL208C	0.95718
417	YGR276C	0.95718
418	YLL012W	0.95717
419	YLL048C	0.95715
420	YCL069W	0.95706
421	YLL034C	0.95702
422	YMR250W	0.95699
423	YOR328W	0.95698
424	YGL155W	0.95698
425	YHR100C	0.95698
426	YNL275W	0.95698
427	YLR383W	0.95697
428	YHR025W	0.95694
429	YHR164C	0.95692
430	YLR369W	0.95689
431	YMR262W	0.95689
432	YHR205W	0.95683
433	YNR008W	0.95683
434	YLR138W	0.95682
435	YDL238C	0.9568
436	YLR047C	0.95679
437	YEL077C	0.95677
438	YAL048C	0.95677
439	YGR092W	0.95676
440	YPR172W	0.95676
441	YNL293W	0.95676
442	YLL067C	0.95673
443	YER015W	0.95672
444	YPL246C	0.95672
445	YOL115W	0.9567
446	YNL154C	0.95669
447	YLL015W	0.95665
448	YEL065W	0.95656
449	YDR243C	0.95644
450	YBR198C	0.95641
451	YOR317W	0.95636
452	YJL125C	0.95635
453	YGL201C	0.95634
454	YGR288W	0.95633
455	YLR017W	0.95631
456	YOR005C	0.95629
457	YLR108C	0.95627
458	YJL163C	0.95617
459	YLR405W	0.9561
460	YMR085W	0.9561
461	YHR190W	0.95609
462	YJL068C	0.95608
463	YHL039W	0.95604
