rank	yeast_gene	cosine
1	YER039C	0.95695
2	YOR378W	0.95441
3	YFL026W	0.95379
4	YEL013W	0.94446
5	YGL225W	0.94241
6	YML018C	0.93991
7	YEL065W	0.93875
8	YKL146W	0.93674
9	YOR061W	0.93649
10	YGL077C	0.93572
11	YIL074C	0.93352
12	YDR536W	0.93311
13	YER081W	0.93234
14	YIL048W	0.93176
15	YIL170W	0.93127
16	YFL011W	0.93105
17	YIL035C	0.93046
18	YML064C	0.92984
19	YJL219W	0.92944
20	YEL069C	0.92888
21	YHL016C	0.92878
22	YNR072W	0.92874
23	YHR096C	0.9287
24	YMR011W	0.92856
25	YMR243C	0.92825
26	YER069W	0.92809
27	YOL156W	0.92714
28	YBR043C	0.92693
29	YJL214W	0.92693
30	YHR128W	0.92687
31	YLR081W	0.92682
32	YBL016W	0.92663
33	YBR132C	0.92638
34	YNL191W	0.92617
35	YGL115W	0.92562
36	YDL210W	0.92559
37	YHR094C	0.92495
38	YMR221C	0.92492
39	YPR016C	0.92491
40	YJR065C	0.92485
41	YEL042W	0.92433
42	YHR213W	0.92419
43	YAR062W	0.92419
44	YBR114W	0.92399
45	YLL063C	0.92369
46	YDL245C	0.92365
47	YCR098C	0.92315
48	YOL162W	0.92299
49	YCL017C	0.92298
50	YBR294W	0.92273
51	YJR158W	0.92243
52	YLR113W	0.92214
53	YDR342C	0.92174
54	YGR040W	0.9215
55	YLR092W	0.92149
56	YHL040C	0.92147
57	YOL094C	0.92131
58	YNL006W	0.92127
59	YDR343C	0.9204
60	YDL006W	0.92036
61	YOR257W	0.92015
62	YHR092C	0.91982
63	YBR287W	0.9194
64	YBR235W	0.91939
65	YER171W	0.91888
66	YDL001W	0.91883
67	YER052C	0.91879
68	YIL166C	0.91865
69	YLR120C	0.9181
70	YGR010W	0.91802
71	YNL270C	0.91784
72	YHR007C	0.9175
73	YEL064C	0.91741
74	YDR345C	0.91733
75	YLR328W	0.91715
76	YLR229C	0.91713
77	YPL050C	0.91686
78	YMR279C	0.91671
79	YFL055W	0.91647
80	YNL329C	0.91635
81	YPL264C	0.91618
82	YIL088C	0.91614
83	YOR316C	0.91604
84	YFL066C	0.91595
85	YML116W	0.91593
86	YCR008W	0.91579
87	YDR021W	0.91572
88	YNR013C	0.91537
89	YER094C	0.91519
90	YPL175W	0.91508
91	YMR015C	0.91487
92	YHL047C	0.91461
93	YEL060C	0.91427
94	YPR165W	0.91404
95	YIL143C	0.914
96	YJR049C	0.91398
97	YOR328W	0.91396
98	YJR095W	0.9138
99	YNL125C	0.91372
100	YEL063C	0.91355
101	YPR138C	0.9135
