rank	yeast_gene	cosine
1	YPL218W	0.91807
2	YDL192W	0.90943
3	YLR147C	0.90456
4	YER072W	0.90098
5	YGL008C	0.90005
6	YDL229W	0.8989
7	YDL137W	0.89646
8	YNL209W	0.89595
9	YGL256W	0.89489
10	YKR059W	0.89474
11	YPL036W	0.89358
12	YDL084W	0.89282
13	YLR229C	0.89174
14	YDR155C	0.89136
15	YDL126C	0.89106
16	YFL039C	0.89083
17	YBR109C	0.89026
18	YPR165W	0.88976
19	YGR105W	0.88879
20	YLR234W	0.88846
21	YNL135C	0.88811
22	YOR122C	0.88758
23	YKL190W	0.88716
24	YLL024C	0.88689
25	YBR164C	0.88676
26	YPR182W	0.88643
27	YBR261C	0.88609
28	YPL203W	0.88512
29	YLR293C	0.88485
30	YER103W	0.88264
31	YNL189W	0.88123
32	YAL005C	0.88065
33	YJL108C	0.88047
34	YHR169W	0.87849
35	YBR241C	0.87843
36	YAL020C	0.87765
37	YDR226W	0.87739
38	YGL058W	0.87717
39	YOR185C	0.87686
40	YDR345C	0.87614
41	YLL053C	0.87525
42	YBL075C	0.87478
43	YER095W	0.87407
44	YJL034W	0.87385
45	YPR192W	0.87358
46	YEL026W	0.87239
47	YNL112W	0.87239
48	YHR092C	0.8723
49	YGR231C	0.87169
50	YDL055C	0.87165
51	YPL266W	0.87158
52	YER177W	0.87134
53	YCR012W	0.87098
54	YBR252W	0.87052
55	YMR290C	0.87001
56	YER009W	0.87001
57	YDR343C	0.86986
58	YKL024C	0.86916
59	YJL164C	0.86909
60	YOR046C	0.86897
61	YJR104C	0.86887
62	YOR089C	0.86865
63	YOR204W	0.86825
64	YDR342C	0.86812
65	YPL106C	0.86808
66	YBR089C-A	0.86793
67	YDL047W	0.86785
68	YHR218W-A	0.86777
69	YBL112C	0.86777
70	YEL027W	0.86698
71	YMR222C	0.86672
72	YDR086C	0.86662
73	YJR047C	0.86636
74	YOR094W	0.86629
75	YJL014W	0.86629
76	YKL196C	0.86614
77	YEL034W	0.86609
78	YPR183W	0.86598
79	YAL038W	0.86527
