rank	yeast_gene	cosine
1	YHR189W	0.8914
2	YGR105W	0.88022
3	YPL203W	0.87995
4	YPL218W	0.87932
5	YLR234W	0.87742
6	YJL108C	0.87347
7	YGL126W	0.87226
8	YHR030C	0.87147
9	YPR113W	0.87123
10	YNR057C	0.86986
11	YLL060C	0.86965
12	YPL017C	0.86951
13	YHR169W	0.86834
14	YPL067C	0.86669
15	YDL128W	0.86587
16	YJL164C	0.86563
17	YBR241C	0.86546
18	YER004W	0.86463
19	YLL026W	0.86378
20	YGL058W	0.86371
21	YHL003C	0.8623
22	YPL031C	0.86167
23	YMR222C	0.8615
24	YCR060W	0.86147
25	YMR109W	0.86126
26	YFR018C	0.86108
27	YGL120C	0.86044
28	YHL047C	0.86043
29	YBR261C	0.86042
30	YPR192W	0.8602
31	YMR095C	0.8599
32	YGL008C	0.85987
33	YBR160W	0.85975
34	YLR113W	0.85934
35	YBL082C	0.8586
36	YJL196C	0.85845
37	YHR135C	0.85814
38	YLL053C	0.85811
39	YGL063W	0.85798
40	YPR183W	0.85797
41	YNL288W	0.85772
42	YMR290C	0.85723
43	YLR168C	0.85618
44	YOR224C	0.85581
45	YMR214W	0.85581
46	YHL040C	0.85576
47	YDL108W	0.85561
48	YGR218W	0.85528
49	YMR271C	0.8552
50	YPL036W	0.85474
51	YGR231C	0.85447
52	YAR035W	0.85445
53	YOL021C	0.8544
54	YDR185C	0.8543
55	YBL102W	0.85428
56	YDR424C	0.85423
57	YGL256W	0.85392
58	YAR002C-A	0.85388
59	YHR200W	0.85381
60	YGR123C	0.85372
61	YPR182W	0.85366
62	YDR092W	0.85349
63	YDL160C	0.85333
64	YJL014W	0.85276
65	YCR028C	0.85251
66	YGL054C	0.8524
67	YNL113W	0.85235
68	YOR084W	0.8522
69	YOL086W-A	0.85135
70	YOR046C	0.85121
71	YBL113C	0.85114
72	YMR034C	0.85113
73	YDR155C	0.85112
74	YJR069C	0.85097
75	YLR147C	0.85087
76	YCR009C	0.85074
77	YDL084W	0.85064
78	YOR257W	0.85037
79	YCR048W	0.85016
80	YER020W	0.84983
81	YIL121W	0.84966
82	YNL307C	0.84948
83	YBL016W	0.84939
84	YGR138C	0.84909
85	YOR204W	0.84907
86	YNL112W	0.84893
87	YNR055C	0.84856
88	YER036C	0.84854
89	YBR243C	0.84843
90	YDR196C	0.8483
91	YBR187W	0.84826
92	YLL028W	0.84826
93	YDL222C	0.84799
94	YLR291C	0.84785
95	YNL339W-A	0.84776
96	YGR296C-A	0.84776
97	YML133W-A	0.84776
98	YPL283W-A	0.84776
99	YER190C-A	0.84776
100	YML085C	0.84764
101	YOR187W	0.84758
102	YHR065C	0.84734
103	YNR073C	0.84731
104	YEL070W	0.84731
105	YBR159W	0.8473
106	YNL189W	0.84726
107	YMR079W	0.847
108	YOL162W	0.84663
109	YDL029W	0.84643
110	YHR070W	0.8464
111	YDL126C	0.8463
112	YLR438C-A	0.84602
113	YLR466W	0.84585
114	YKR002W	0.84585
115	YLR258W	0.8457
116	YJL167W	0.8456
117	YOR089C	0.84554
118	YNL154C	0.84547
119	YER125W	0.8452
120	YER018C	0.84506
121	YPL129W	0.845
122	YNL290W	0.84499
123	YGR281W	0.84459
124	YPL259C	0.84405
125	YDL097C	0.84378
126	YGL167C	0.84354
127	YML022W	0.84354
128	YPR204W	0.84328
129	YLR193C	0.84323
130	YBR082C	0.84322
131	YER072W	0.84274
132	YLR347C	0.84268
133	YBL075C	0.84262
134	YML102W	0.8426
135	YDR328C	0.84256
136	YKL104C	0.84222
137	YOL097C	0.84217
138	YDL244W	0.84199
139	YMR197C	0.84192
140	YNL209W	0.84191
141	YDR345C	0.84186
142	YER190W	0.84157
143	YDR297W	0.8415
