rank	yeast_gene	cosine
1	YIL121W	0.96749
2	YIL120W	0.96673
3	YBR043C	0.96662
4	YOL103W	0.96541
5	YHR032W	0.96506
6	YER119C	0.96466
7	YML018C	0.9645
8	YEL064C	0.96332
9	YBR241C	0.96265
10	YDR497C	0.96213
11	YJR001W	0.96209
12	YJR124C	0.96101
13	YDR135C	0.96054
14	YNR055C	0.95955
15	YKL166C	0.95943
16	YOR273C	0.95939
17	YCR028C	0.95914
18	YER026C	0.95898
19	YKR105C	0.95843
20	YOL137W	0.95838
21	YGR138C	0.95797
22	YHR030C	0.95794
23	YKR053C	0.95788
24	YPL264C	0.95772
25	YIL088C	0.95724
26	YPL031C	0.95696
27	YCL073C	0.95695
28	YNL125C	0.95692
29	YKR106W	0.95674
30	YGR040W	0.95668
31	YOL075C	0.95612
32	YMR279C	0.95611
33	YGR224W	0.95585
34	YDR536W	0.95548
35	YLL028W	0.95546
36	YHL047C	0.95545
37	YOR380W	0.95524
38	YOL122C	0.95505
39	YNL095C	0.95483
40	YGR152C	0.95465
41	YHL040C	0.95461
42	YHL003C	0.95415
43	YML116W	0.95376
44	YMR221C	0.95361
45	YKL146W	0.95332
46	YDR038C	0.95292
47	YPR156C	0.95291
48	YNR072W	0.95289
49	YMR034C	0.95279
50	YCL069W	0.95273
51	YNL275W	0.95264
52	YJL214W	0.95254
53	YDR039C	0.95245
54	YBR235W	0.9523
55	YEL069C	0.95225
56	YJL134W	0.95214
57	YDR040C	0.95196
58	YGR055W	0.95182
59	YOL158C	0.95179
60	YPL175W	0.95168
61	YLR241W	0.95166
62	YGR281W	0.95162
63	YHR050W	0.95154
64	YDR196C	0.95147
65	YJL219W	0.95106
66	YFL011W	0.95103
67	YER019W	0.95066
68	YCR023C	0.95053
69	YPL246C	0.95053
70	YHL036W	0.95045
71	YPL204W	0.95029
72	YOL156W	0.95024
73	YHR094C	0.95015
74	YNL065W	0.95013
75	YHR132C	0.94963
76	YCR011C	0.94962
77	YLR081W	0.94958
78	YEL065W	0.94955
79	YPR003C	0.94954
80	YOR087W	0.94937
81	YMR080C	0.94933
82	YLR034C	0.94931
83	YDR438W	0.94929
84	YGR197C	0.94924
85	YDR508C	0.94917
86	YOR101W	0.94909
87	YDL138W	0.94895
88	YDL245C	0.94894
89	YIL170W	0.94878
90	YBR295W	0.94878
91	YDL108W	0.94869
92	YJR158W	0.94862
93	YBL016W	0.94836
94	YBR287W	0.94834
95	YAL026C	0.94833
96	YBL089W	0.94826
97	YDL052C	0.94802
98	YDL128W	0.948
99	YGR065C	0.94789
100	YGL006W	0.94778
101	YER039C	0.94748
102	YBR008C	0.94737
103	YPL244C	0.94736
104	YBR180W	0.94725
105	YDL001W	0.94719
106	YGL047W	0.94711
107	YLR152C	0.94704
108	YPL203W	0.94666
109	YGR191W	0.94661
110	YPL006W	0.94654
111	YBR220C	0.9465
112	YOR092W	0.94641
113	YIR028W	0.94635
114	YBR160W	0.9462
115	YLR113W	0.9462
116	YHR218W	0.94599
117	YPL221W	0.94595
118	YDL194W	0.94589
119	YNL270C	0.94575
120	YCL025C	0.94574
121	YBR243C	0.94567
122	YER133W	0.94547
123	YAL022C	0.94542
124	YDR090C	0.94538
125	YLR092W	0.94533
126	YJR015W	0.94517
127	YKR050W	0.94516
128	YAL067C	0.94507
129	YDL188C	0.94496
130	YER185W	0.94493
131	YOR246C	0.94491
132	YCR027C	0.94476
133	YMR301C	0.94474
134	YOR306C	0.94468
135	YHR096C	0.94463
136	YMR015C	0.94444
137	YOR049C	0.9443
138	YHR005C	0.94426
139	YPL236C	0.94421
140	YIL048W	0.94418
141	YBR021W	0.94403
142	YMR138W	0.94398
143	YHR135C	0.94394
144	YBL111C	0.94393
145	YML038C	0.9439
146	YMR011W	0.94385
147	YEL041W	0.94361
148	YJL164C	0.94336
149	YKR093W	0.94319
150	YDR375C	0.94309
151	YJR049C	0.94303
152	YOL092W	0.94301
153	YOL162W	0.94299
154	YGR028W	0.94296
155	YBR080C	0.94296
156	YGR213C	0.94294
157	YGL186C	0.94291
158	YNL093W	0.94286
159	YGR260W	0.94273
160	YBR069C	0.94272
161	YDL057W	0.94263
162	YBR294W	0.94262
163	YPL265W	0.94258
164	YBR132C	0.94251
165	YDR456W	0.94234
166	YDR046C	0.94229
167	YGL139W	0.94218
168	YKL161C	0.94213
169	YDR402C	0.9421
170	YDL134C	0.94207
171	YER190W	0.94197
172	YIR026C	0.94195
173	YLR188W	0.94193
174	YOR326W	0.94192
175	YER125W	0.94188
176	YJR040W	0.94164
177	YNR013C	0.94162
178	YBR068C	0.94156
179	YJR116W	0.94153
180	YNL194C	0.94141
181	YNL154C	0.94128
182	YLR467W	0.94107
183	YOR396W	0.94107
184	YDR545W	0.94107
185	YKL008C	0.94106
186	YNL268W	0.94101
187	YDL006W	0.94099
188	YDR264C	0.94097
189	YKL126W	0.94092
190	YOL002C	0.94089
191	YNL090W	0.94084
192	YHR190W	0.94082
193	YPR054W	0.94081
194	YLR004C	0.94076
195	YDR074W	0.94071
196	YBL105C	0.9407
197	YCR098C	0.94068
198	YOL119C	0.94065
199	YKL104C	0.94053
200	YIL035C	0.94052
201	YMR243C	0.94052
202	YLL055W	0.94051
203	YOR351C	0.94048
204	YOR292C	0.94048
205	YGL077C	0.94048
206	YNR019W	0.94046
207	YJR152W	0.94037
208	YOR011W	0.94034
209	YER089C	0.94034
210	YLR220W	0.94034
211	YJL225C	0.94033
212	YIL177C	0.94027
213	YPL092W	0.94027
214	YML133C	0.94023
215	YKL039W	0.94022
216	YGL167C	0.94003
217	YPR131C	0.93997
218	YFL026W	0.93996
219	YDR345C	0.93993
220	YER145C	0.93987
221	YJL093C	0.93987
222	YPL274W	0.93984
223	YNL307C	0.93983
224	YDR011W	0.93983
225	YBL042C	0.93977
226	YIR022W	0.93972
227	YGR092W	0.93972
228	YOR013W	0.93958
229	YLR466W	0.93957
230	YDL247W	0.93956
231	YLL061W	0.93954
232	YLR137W	0.93952
233	YEL063C	0.93952
234	YJL198W	0.93948
235	YHR092C	0.93936
236	YNL339C	0.93933
237	YAL053W	0.93929
238	YPR128C	0.93927
239	YCR048W	0.93926
240	YNL288W	0.93925
241	YLL067C	0.93924
242	YPL283C	0.93919
243	YGR296W	0.93919
244	YNR032W	0.93914
245	YOR257W	0.93912
246	YLR046C	0.93911
247	YLR130C	0.93911
248	YLL066C	0.93903
249	YOR328W	0.939
250	YAR018C	0.93896
251	YMR288W	0.93886
252	YGR125W	0.93885
253	YOR348C	0.93882
254	YIL118W	0.9388
255	YMR210W	0.93875
256	YOR079C	0.93867
257	YML064C	0.93864
258	YDL210W	0.93858
259	YIL166C	0.93856
260	YFR028C	0.9385
261	YKR051W	0.9385
262	YEL031W	0.93837
263	YLR397C	0.93834
264	YKL078W	0.93823
265	YER020W	0.93822
266	YJL094C	0.93822
267	YOL020W	0.93822
268	YML123C	0.93822
269	YPR111W	0.93817
270	YNR070W	0.9381
271	YIL001W	0.93809
272	YMR253C	0.93804
273	YNL130C	0.938
274	YOR061W	0.93795
275	YBR187W	0.93791
276	YHR048W	0.93784
277	YDR328C	0.93781
278	YPL051W	0.93779
279	YIL013C	0.93755
280	YLR213C	0.93754
281	YDL155W	0.93752
282	YOR384W	0.9375
283	YPL208W	0.93749
284	YLL063C	0.93743
285	YLR426W	0.9373
286	YMR058W	0.93726
287	YAL023C	0.93717
288	YLR253W	0.93713
289	YOL112W	0.93703
290	YJR160C	0.93702
291	YKR026C	0.93691
292	YNL021W	0.93672
293	YOL065C	0.93669
294	YOL132W	0.9366
295	YOL163W	0.93658
296	YKL107W	0.93648
297	YOR131C	0.9364
298	YER090W	0.93631
299	YPR011C	0.93621
300	YKL027W	0.9362
301	YJR131W	0.93617
302	YHR026W	0.93614
303	YPR051W	0.93612
304	YPR113W	0.93612
305	YNL098C	0.93609
306	YOR381W	0.93608
307	YHL017W	0.936
308	YAL029C	0.93597
309	YCR061W	0.93596
310	YGL104C	0.93596
311	YNR060W	0.93578
312	YDR406W	0.93577
313	YDR093W	0.9357
314	YFL055W	0.93569
315	YBR073W	0.93569
316	YGL087C	0.93568
317	YCR037C	0.93567
318	YOR084W	0.93547
319	YOL130W	0.9354
320	YNL329C	0.93539
321	YHR007C	0.93533
322	YHR013C	0.93533
323	YBR029C	0.93529
324	YFL041W	0.93529
325	YOR316C	0.93527
326	YDR331W	0.93525
327	YKR088C	0.9352
328	YGL140C	0.93512
329	YBR126C	0.93512
330	YMR101C	0.93503
331	YKL217W	0.93501
332	YOR378W	0.93501
333	YDR021W	0.935
334	YPL153C	0.935
335	YHR123W	0.93488
336	YPR019W	0.93483
337	YHR144C	0.9348
338	YBR038W	0.93474
339	YAR035W	0.93466
340	YKR001C	0.9345
341	YDR270W	0.93449
342	YDL160C	0.93447
343	YER166W	0.93446
344	YPL058C	0.93445
345	YNL229C	0.93443
346	YDR342C	0.9344
347	YFL038C	0.9343
348	YKL221W	0.93421
349	YLR268W	0.93417
350	YBR298C	0.93412
351	YNL099C	0.93411
352	YMR001C	0.934
353	YFL050C	0.93398
354	YGL002W	0.93397
355	YKR014C	0.93394
356	YFR018C	0.9339
357	YHR175W	0.93387
358	YGR289C	0.93378
359	YDL047W	0.93368
360	YDR291W	0.93368
361	YMR178W	0.93364
362	YHL016C	0.93355
363	YMR084W	0.93348
364	YKR055W	0.93337
365	YGL201C	0.93319
366	YJL196C	0.93316
367	YOR192C	0.93316
368	YNL237W	0.93309
369	YPR183W	0.933
370	YER052C	0.93293
371	YDR343C	0.9329
372	YEL077C	0.93286
373	YLR214W	0.93285
374	YLL015W	0.93282
375	YDR075W	0.9328
376	YPR103W	0.93273
377	YDR338C	0.93271
378	YGR100W	0.93258
379	YOR317W	0.93255
380	YGR031W	0.93247
381	YFR031C	0.93246
382	YGL163C	0.93244
383	YDL097C	0.93237
384	YEL060C	0.93233
385	YCR008W	0.9323
386	YOR034C	0.93224
387	YBR264C	0.93217
388	YGL225W	0.93215
389	YGL100W	0.93213
390	YJL128C	0.93209
391	YOR071C	0.93207
392	YBL040C	0.93206
393	YDR516C	0.93206
394	YDL017W	0.93203
395	YNL101W	0.93202
396	YGL252C	0.93201
397	YJL035C	0.932
398	YHR031C	0.93199
399	YLL048C	0.93199
400	YMR088C	0.93196
401	YLR451W	0.93188
402	YJR112W-A	0.93188
403	YOR311C	0.93186
404	YJL163C	0.93184
405	YMR155W	0.93182
406	YDL102W	0.93169
407	YPR198W	0.93166
408	YDR404C	0.93166
409	YLR262C	0.9316
410	YDL230W	0.9316
411	YMR139W	0.93154
412	YMR285C	0.9315
413	YEL004W	0.9314
414	YGR124W	0.93138
415	YGL114W	0.93136
416	YHR025W	0.93134
417	YPL227C	0.93133
418	YBR002C	0.93132
419	YOL090W	0.93127
420	YER015W	0.93127
421	YLR411W	0.93127
422	YFR048W	0.93126
423	YIL009W	0.93121
424	YNR048W	0.93118
425	YER171W	0.93112
426	YGR060W	0.93101
427	YHR110W	0.93094
428	YCR045C	0.93093
429	YMR054W	0.93089
430	YER086W	0.93086
431	YFL052W	0.93082
432	YNR011C	0.93081
433	YDL222C	0.9307
434	YOR155C	0.93067
435	YBR034C	0.93065
436	YGL012W	0.93064
437	YBR265W	0.93061
438	YLR014C	0.93059
439	YBR164C	0.93058
440	YPL015C	0.93056
441	YOL008W	0.93054
442	YPL042C	0.9305
443	YJL208C	0.93044
444	YOR094W	0.93044
445	YDR477W	0.9304
446	YBL082C	0.93037
447	YHR205W	0.93031
448	YHR178W	0.93029
449	YML001W	0.93028
450	YGR175C	0.93017
451	YLR005W	0.93015
452	YLR126C	0.93006
453	YLR277C	0.93001
454	YGL119W	0.93
455	YBR296C	0.9299
456	YGR288W	0.9299
457	YNL056W	0.92983
458	YPR201W	0.92982
459	YOR153W	0.92963
460	YAL016W	0.92953
461	YGL120C	0.92951
462	YDR490C	0.92948
463	YJR013W	0.92942
464	YOR321W	0.9294
465	YLR210W	0.92939
466	YOL016C	0.92935
467	YJR107W	0.92934
468	YGR163W	0.92925
469	YOR175C	0.92924
470	YLR307W	0.92918
471	YKL004W	0.9291
472	YKL197C	0.92909
473	YDL007W	0.92908
474	YMR266W	0.92907
475	YOR241W	0.92906
476	YOR307C	0.92903
477	YPR194C	0.92902
478	YGR271W	0.92893
479	YPL122C	0.9288
480	YNL290W	0.92879
481	YBR114W	0.92879
482	YNL123W	0.92879
483	YLR189C	0.92877
484	YNL321W	0.92877
485	YBR137W	0.92877
486	YMR272C	0.92873
487	YLR121C	0.92871
488	YER013W	0.92869
489	YOL068C	0.92868
490	YOR270C	0.92867
491	YKL135C	0.92862
492	YKR002W	0.92858
493	YHR012W	0.92858
494	YJL055W	0.92857
495	YKL220C	0.92856
496	YMR071C	0.9285
497	YEL052W	0.92846
498	YBR202W	0.92842
499	YKL051W	0.92839
500	YER017C	0.92838
501	YKL184W	0.92835
502	YLR251W	0.92833
503	YFR006W	0.92832
504	YGR007W	0.92832
505	YCL038C	0.9283
506	YJR143C	0.92829
507	YIL155C	0.92828
508	YMR113W	0.92823
509	YBR159W	0.92819
510	YMR109W	0.92819
511	YCR106W	0.92816
512	YLR328W	0.92816
513	YLL012W	0.92812
514	YGR010W	0.92811
515	YCR017C	0.92805
516	YDR384C	0.92804
517	YPR145W	0.92803
518	YPR138C	0.928
519	YOR283W	0.9279
520	YDR284C	0.92785
521	YOR357C	0.92783
522	YHR039C	0.92782
523	YPL046C	0.92781
524	YOR339C	0.9278
525	YDR062W	0.9278
526	YDL018C	0.9278
527	YOR291W	0.92775
528	YIL116W	0.92773
529	YDR373W	0.92773
530	YDL132W	0.92773
531	YNL161W	0.92768
532	YNL223W	0.92765
533	YKR039W	0.9276
534	YJR095W	0.92751
535	YLR020C	0.9275
536	YOL034W	0.92747
537	YGL200C	0.92747
538	YLR398C	0.92739
539	YIL047C	0.92739
540	YLR237W	0.92734
541	YDR352W	0.92734
542	YOL084W	0.92731
543	YCL040W	0.9273
544	YDR519W	0.9273
545	YLL001W	0.92729
546	YOR250C	0.92728
547	YDR492W	0.92726
548	YPR120C	0.92726
549	YMR308C	0.92726
550	YGL115W	0.92717
551	YDR305C	0.92717
552	YFL005W	0.92717
553	YDR411C	0.92714
554	YJL155C	0.92712
555	YOL113W	0.92712
556	YGR036C	0.92711
557	YJR068W	0.92701
558	YKR068C	0.92695
559	YHR129C	0.92691
560	YBR139W	0.92688
561	YPL206C	0.92687
562	YPL151C	0.9268
563	YJR072C	0.9268
564	YFL017C	0.92677
565	YAL054C	0.92674
566	YPR121W	0.92669
567	YBL056W	0.92668
568	YDR297W	0.92658
569	YOL066C	0.92658
570	YNR002C	0.92658
571	YHR002W	0.92649
572	YBR019C	0.92646
573	YIL108W	0.92646
574	YER183C	0.92645
575	YMR262W	0.92644
576	YHR063C	0.92635
577	YBR222C	0.92628
578	YJL082W	0.92624
579	YIL039W	0.92623
580	YCR068W	0.92621
581	YKL129C	0.92615
582	Q0085	0.92614
583	YBR023C	0.92614
584	YML075C	0.92611
585	YDR292C	0.92608
586	YGL210W	0.92608
