rank	yeast_gene	cosine
1	YAL026C	0.98292
2	YDR039C	0.98084
3	YER026C	0.98051
4	YDR038C	0.98046
5	YDR040C	0.98037
6	YER125W	0.97999
7	YDR135C	0.97991
8	YHR030C	0.97964
9	YGR281W	0.97955
10	YOL075C	0.97941
11	YER020W	0.97894
12	YKL166C	0.97865
13	YDL188C	0.97715
14	YDL134C	0.97706
15	YOL122C	0.97696
16	YBR241C	0.97657
17	YML018C	0.97601
18	YHR005C	0.9759
19	YDL001W	0.97589
20	YHL003C	0.97541
21	YDR196C	0.97523
22	YGR138C	0.97468
23	YLR397C	0.97451
24	YER166W	0.97443
25	YJR001W	0.97431
26	YPL031C	0.97429
27	YJL164C	0.97408
28	YNL093W	0.97407
29	YKL146W	0.97402
30	YGR152C	0.97395
31	YER089C	0.97393
32	YIL121W	0.97386
33	YOR326W	0.97352
34	YDR093W	0.97328
35	YOR101W	0.97315
36	YEL064C	0.97314
37	YGL167C	0.97312
38	YJR124C	0.97311
39	YNL095C	0.97305
40	YDR456W	0.97295
41	YMR034C	0.97293
42	YPL051W	0.97291
43	YGR040W	0.97285
44	YBR187W	0.97265
45	YBR043C	0.9726
46	YGL006W	0.97211
47	YER133W	0.97209
48	YER119C	0.97188
49	YIL120W	0.97174
50	YOL103W	0.97162
51	YCR011C	0.97161
52	YOR087W	0.97157
53	YBR080C	0.97156
54	YDL108W	0.9715
55	YBR038W	0.9712
56	YDR508C	0.97109
57	YHR032W	0.97103
58	YNL288W	0.97102
59	YHR050W	0.97101
60	YPL203W	0.97045
61	YLL028W	0.97043
62	YNR032W	0.9704
63	YJR049C	0.97039
64	YLR130C	0.97034
65	YDR497C	0.97034
66	YDL128W	0.97032
67	YKL078W	0.97004
68	YOR092W	0.97004
69	YBR235W	0.97
70	YOR273C	0.96997
71	YEL031W	0.96984
72	YNL125C	0.96947
73	YER019W	0.96944
74	YDR074W	0.96927
75	YNR055C	0.96912
76	YGR055W	0.96867
77	YLR092W	0.96865
78	YPR156C	0.96858
79	YDR328C	0.96846
80	YMR138W	0.96843
81	YDR011W	0.96831
82	YNL098C	0.96809
83	YDR375C	0.96809
84	YGR197C	0.96803
85	YFL038C	0.96796
86	YDL047W	0.96787
87	YDR075W	0.96785
88	YIL001W	0.96783
89	YER145C	0.96782
90	YLR034C	0.96778
91	YJL198W	0.96776
92	YDR373W	0.96751
93	YLR113W	0.96749
94	YDL102W	0.96744
95	YGL002W	0.96736
96	YGL201C	0.96736
97	YLR268W	0.9673
98	YIR026C	0.96727
99	YPL006W	0.96722
100	YDL100C	0.96715
101	YGL120C	0.96706
102	YDL097C	0.96695
103	YMR080C	0.96694
104	YHR110W	0.96691
105	YEL041W	0.96691
106	YDR536W	0.9669
107	YKL104C	0.9669
108	YCL025C	0.96686
109	YCR027C	0.96683
110	YKR053C	0.96682
111	YML001W	0.96679
112	YBR160W	0.96675
113	YHR132C	0.96671
114	YBR295W	0.96668
115	YKR002W	0.96665
116	YPL058C	0.96662
117	YDR270W	0.96639
118	YJL094C	0.96638
119	YDL160C	0.96638
120	YAL023C	0.96632
121	YGR100W	0.96626
122	YBL016W	0.96617
123	YMR054W	0.96595
124	YGR163W	0.96594
125	YNL268W	0.9659
126	YBR294W	0.96583
127	YOR257W	0.96583
128	YNL090W	0.96576
129	YPL221W	0.96551
130	YPL204W	0.96547
131	YHR135C	0.96546
132	YHL047C	0.96546
133	YDR046C	0.96545
134	YNR019W	0.96533
135	YLR152C	0.96533
136	YOR328W	0.96531
137	YLR220W	0.96529
138	YDR406W	0.96517
139	YPL175W	0.96517
140	YBR126C	0.96507
141	YGL210W	0.965
142	YBR243C	0.965
143	YBR264C	0.965
144	YOR197W	0.96488
145	YGR065C	0.96483
146	YGR224W	0.96482
147	YDL164C	0.9648
148	YJL134W	0.96478
149	YIL118W	0.96474
150	YOR380W	0.96474
151	YPL244C	0.96471
152	YIR028W	0.9646
153	YOR270C	0.96446
154	YGR123C	0.96446
155	YDR090C	0.96443
156	YJL214W	0.96442
157	YHL040C	0.96441
158	YNL154C	0.9644
159	YGR191W	0.96439
160	YOL132W	0.96434
161	YAL029C	0.96423
162	YOL158C	0.96419
163	YER171W	0.96418
164	YOR094W	0.96395
165	YFL005W	0.96392
166	YOR317W	0.96392
167	YIL109C	0.96388
168	YJR015W	0.96372
169	YIL048W	0.96371
170	YLR170C	0.9637
171	YER185W	0.96363
172	YCL073C	0.96363
173	YNL270C	0.96362
174	YML057W	0.96355
175	YMR243C	0.96352
176	YKR050W	0.96347
177	YKR093W	0.96347
178	YIR022W	0.9633
179	YLR277C	0.9633
180	YDL006W	0.96328
181	YKL039W	0.96328
182	YFR031C	0.96327
183	YKR106W	0.96325
184	YOR011W	0.96324
185	YGL163C	0.96321
186	YPL119C	0.96316
187	YKR014C	0.9631
188	YGR028W	0.96309
189	YCR048W	0.96304
190	YGL200C	0.96302
191	YNR070W	0.963
192	YMR210W	0.96298
193	YGL047W	0.96297
194	YPR019W	0.96294
195	YBR164C	0.96291
196	YDR177W	0.96289
197	YDL230W	0.96283
198	YER090W	0.96278
199	YOR089C	0.96272
200	YDR516C	0.96268
201	YCR023C	0.96267
202	YMR279C	0.96267
203	YOL137W	0.96258
204	YBL105C	0.96258
205	YGL139W	0.9625
206	YKR026C	0.96248
207	YNL021W	0.96246
208	YGR218W	0.96242
209	YLR241W	0.96239
210	YOL112W	0.96237
211	YLR262C	0.96224
212	YBR034C	0.96223
213	YPR103W	0.96222
214	YPR003C	0.9622
215	YDL052C	0.96216
216	YGR213C	0.96214
217	YPL264C	0.96208
218	YCR037C	0.96201
219	YER031C	0.962
220	YJL219W	0.96193
221	YNR011C	0.96193
222	YER017C	0.96192
223	YOR381W	0.96191
224	YFR028C	0.96187
225	YNL275W	0.96187
226	YGL087C	0.96185
227	YDR291W	0.96184
228	YBR202W	0.96183
229	YOL038W	0.96182
230	YEL069C	0.9618
231	YNR072W	0.96179
232	YKR105C	0.96177
233	YOL156W	0.96176
234	YJL055W	0.96175
235	YEL063C	0.96167
236	YPL265W	0.96167
237	YOR339C	0.96166
238	YER052C	0.96166
239	YOR348C	0.96165
240	YLR081W	0.9616
241	YOR321W	0.96157
242	YDL018C	0.96156
243	YAL022C	0.96152
244	YBR068C	0.96143
245	YHR094C	0.96139
246	YDL007W	0.96132
247	YOL092W	0.96127
248	YCR028C	0.96124
249	YPR113W	0.96122
250	YIL009W	0.96117
251	YMR109W	0.96115
252	YBR029C	0.96115
253	YNL307C	0.96114
254	YDL029W	0.96111
255	YLR411W	0.96102
256	YNR013C	0.96095
257	YHR190W	0.96091
258	YOR153W	0.96088
259	YLR188W	0.96087
260	YLR126C	0.96087
261	YMR221C	0.96087
262	YPR051W	0.96079
263	YHR013C	0.96078
264	YIL088C	0.96076
265	YDR092W	0.96074
266	YHR175W	0.96073
267	YER013W	0.96072
268	YPR173C	0.96067
269	YGL130W	0.96065
270	YMR015C	0.96065
271	YBR021W	0.96063
272	YLR398C	0.96057
273	YLR005W	0.96056
274	YDR264C	0.96049
275	YLR347C	0.96049
276	YPL046C	0.96043
277	YPL259C	0.9604
278	YOL084W	0.96036
279	YOL021C	0.96035
280	YER143W	0.96033
281	YPR183W	0.9603
282	YPL274W	0.96026
283	YMR266W	0.96025
284	YDR404C	0.96016
285	YGR007W	0.96009
286	YGL100W	0.96009
287	YJR143C	0.96007
288	YER190W	0.96005
289	YNL312W	0.95997
290	YKL129C	0.95994
291	YJR072C	0.95992
292	YPL246C	0.95989
293	YBL042C	0.95975
294	YHR096C	0.95967
295	YOL016C	0.95966
296	YBR287W	0.95965
297	YDR519W	0.95965
298	YBR220C	0.95961
299	YBR088C	0.95961
300	YJL035C	0.95952
301	YMR089C	0.95951
302	YMR308C	0.95951
303	YNR060W	0.9595
304	YMR178W	0.95942
305	YJR058C	0.95942
306	YGR260W	0.95937
307	YKL135C	0.95931
308	YPL122C	0.9593
309	YMR301C	0.95929
310	YHL017W	0.95928
311	YJL212C	0.95927
312	YJR152W	0.95922
313	YJR158W	0.95919
314	YDL245C	0.95917
315	YBR296C	0.95907
316	YHR144C	0.95906
317	YMR079W	0.95905
318	YJL024C	0.95902
319	YDL132W	0.95896
320	YNL130C	0.95894
321	YNL290W	0.95889
322	YFL011W	0.9588
323	YDR021W	0.9588
324	YOL065C	0.9588
325	YKL217W	0.95878
326	YDL057W	0.95874
327	YNL065W	0.95872
328	YKL126W	0.95871
329	YOR396W	0.95871
330	YLR467W	0.95871
331	YDR545W	0.95871
332	YHR129C	0.95858
333	YJR040W	0.95857
334	YLL029W	0.95848
335	YDL155W	0.95844
336	YAR007C	0.95831
337	YGR092W	0.95825
338	YKL024C	0.95823
339	YCL069W	0.95821
340	YOR157C	0.95816
341	YOR131C	0.95815
342	YKL008C	0.95814
343	YFR009W	0.95812
344	YLR466W	0.95812
345	YBR073W	0.9581
346	YHR123W	0.95808
347	YOR084W	0.95804
348	YML077W	0.95803
349	YJR068W	0.95803
350	YLR433C	0.95801
351	YLR168C	0.95798
352	YBL056W	0.95796
353	YCL040W	0.95794
354	YNR048W	0.95793
355	YLR216C	0.9579
356	YJL012C	0.95785
357	YMR224C	0.95781
358	YAR035W	0.95777
359	YKL184W	0.95765
360	YGL017W	0.9576
361	YJR032W	0.95747
362	YFR014C	0.95745
363	YOL002C	0.95743
364	YBL011W	0.95741
365	YER015W	0.95738
366	YKL145W	0.95735
367	YBL023C	0.95735
368	YHR031C	0.95728
369	YMR058W	0.95726
370	YPR024W	0.95719
371	YJL225C	0.95716
372	YOR117W	0.95715
373	YIL177C	0.95712
374	YML116W	0.95709
375	YNL339C	0.95709
376	YBR298C	0.95709
377	YOR250C	0.95706
378	YAL053W	0.95706
379	YGR296W	0.95704
380	YPL283C	0.95704
381	YAL067C	0.95703
382	YJL155C	0.95702
383	YNL189W	0.95697
384	YLR138W	0.95691
385	YNR002C	0.95685
386	YOR384W	0.95678
387	YDR411C	0.95674
388	YER039C	0.95656
389	YCR061W	0.95654
390	YCR068W	0.95651
391	YGR271W	0.95649
392	YGR124W	0.95648
393	YPL092W	0.95644
394	YOL090W	0.95643
395	YOL125W	0.95641
396	YBR069C	0.95639
397	YCR098C	0.95638
398	YMR084W	0.95636
399	YCR009C	0.95635
400	YLR213C	0.95633
401	YLL061W	0.95632
402	YOR362C	0.9563
403	YGL119W	0.9563
404	YMR285C	0.95628
405	YDL194W	0.95628
406	YPL169C	0.95626
407	YBR236C	0.95625
408	YGR172C	0.95625
409	YOR283W	0.95625
410	YLR193C	0.95623
411	YFL017C	0.95622
412	YHL036W	0.95619
413	YBR023C	0.95617
414	YEL032W	0.95616
415	YLL034C	0.95616
416	YOR358W	0.9561
417	YJR131W	0.95606
418	YGR289C	0.95603
419	YPL015C	0.95602
420	YDR297W	0.95598
421	YLL067C	0.95595
422	YHR026W	0.95592
423	YPL042C	0.9559
424	YPL208W	0.95586
425	YDR258C	0.95586
426	YER086W	0.95584
427	YEL030W	0.95582
428	YJL208C	0.95574
429	YNL329C	0.95569
430	YKR051W	0.95568
431	YLR137W	0.95565
432	YLR189C	0.95561
433	YKL220C	0.95561
434	YKR001C	0.95559
435	YBR002C	0.95557
436	YJR132W	0.95557
437	YNL223W	0.95554
438	YHR107C	0.95553
439	YPR145W	0.95548
440	YML133C	0.95545
441	YOR204W	0.95543
442	YKR018C	0.95543
443	YBR114W	0.95542
444	YOR048C	0.95539
445	YDR084C	0.95533
446	YML038C	0.95533
447	YEL065W	0.95532
448	YGL252C	0.95527
449	YMR101C	0.95527
450	YFR018C	0.95527
451	YDR345C	0.95526
452	YGR125W	0.95521
453	YLL066C	0.95518
454	YOR236W	0.95517
455	YOL034W	0.95511
456	YGL012W	0.95511
457	YNL024C	0.95509
458	YDL095W	0.95506
459	YLR059C	0.95503
460	YDR214W	0.95501
461	YIR002C	0.955
462	YAL016W	0.95497
463	YIL155C	0.95494
464	YOR126C	0.95493
465	YHR007C	0.95491
466	YML123C	0.9549
467	YMR011W	0.95489
468	YEL052W	0.95488
469	YHR092C	0.95487
470	YPL153C	0.95487
471	YBR245C	0.95487
472	YEL058W	0.95486
473	YDL138W	0.95483
474	YKR088C	0.95482
475	YHR218W	0.95481
476	YOR246C	0.95475
477	YBL050W	0.95474
478	YKR039W	0.95473
479	YNL323W	0.95469
480	YPR194C	0.95467
481	YOR357C	0.95466
482	YMR071C	0.95466
483	YHR057C	0.95457
484	YFL041W	0.95457
485	YFR051C	0.95452
486	YDR465C	0.95446
487	YDR294C	0.95445
488	YKL190W	0.95445
489	YGR060W	0.95443
490	YCR059C	0.95441
491	YLR369W	0.9544
492	YNL099C	0.95439
493	YPL236C	0.95436
494	YIL013C	0.95435
495	YHR047C	0.95431
496	YOR161C	0.95429
497	YGR175C	0.95427
498	YIL170W	0.95426
499	YNR003C	0.95426
500	YDL166C	0.9542
501	YBR019C	0.95418
502	YJL050W	0.95417
503	YBL057C	0.95413
504	YML021C	0.95408
505	YLR383W	0.95405
506	YBL111C	0.95403
507	YOL062C	0.95399
508	YKL197C	0.95399
509	YOR316C	0.95391
510	YOL066C	0.95388
511	YDL137W	0.95384
512	YPR121W	0.95375
513	YLL015W	0.95371
514	YIL064W	0.95365
515	YMR022W	0.95359
